Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.4318695068359375e-05
id, fr, 1.0, 1.621246337890625e-05
id, mr, 1.0, 8.821487426757812e-06
id, tr, 1.0, 1.3589859008789062e-05
id, lv, 1.0, 7.3909759521484375e-06
id, el, 1.0, 1.1920928955078125e-05
id, es, 1.0, 1.3589859008789062e-05
id, pl, 0.6666666666666666, 1.33514404296875e-05
id, vi, 1.0, 1.239776611328125e-05
id, de, 1.0, 1.239776611328125e-05
id, ml, 1.0, 7.3909759521484375e-06
id, sh, 1.0, 7.152557373046875e-06
id, nl, 1.0, 1.2636184692382812e-05
id, pt, 0.6666666666666666, 1.6689300537109375e-05
id, ro, 0.6666666666666666, 1.3589859008789062e-05
id, ja, 0.6666666666666666, 1.3113021850585938e-05
id, simple, 1.0, 7.62939453125e-06
id, it, 1.0, 1.2636184692382812e-05
id, he, 1.0, 1.239776611328125e-05
id, da, 1.0, 7.152557373046875e-06
id, en, 0.6666666666666666, 3.1948089599609375e-05
id, sr, 1.0, 8.106231689453125e-06
id, sv, 1.0, 1.239776611328125e-05
id, ru, 0.6666666666666666, 1.3589859008789062e-05
id, hi, 1.0, 7.62939453125e-06
id, arz, 1.0, 7.152557373046875e-06
id, bs, 1.0, 1.1682510375976562e-05
id, te, 1.0, 7.62939453125e-06
id, zh, 1.0, 1.3113021850585938e-05
id, mk, 1.0, 7.3909759521484375e-06
id, ko, 0.6666666666666666, 1.2874603271484375e-05
fr, fr, 1.0, 1.9073486328125e-05
fr, mr, 1.0, 7.152557373046875e-06
fr, tr, 0.6666666666666666, 1.9550323486328125e-05
fr, lv, 1.0, 1.1205673217773438e-05
fr, el, 1.0, 1.1682510375976562e-05
fr, es, 1.0, 1.3113021850585938e-05
fr, pl, 0.6666666666666666, 1.3113021850585938e-05
fr, vi, 1.0, 1.1920928955078125e-05
fr, de, 1.0, 1.1682510375976562e-05
fr, ml, 1.0, 7.152557373046875e-06
fr, sh, 1.0, 1.1682510375976562e-05
fr, nl, 0.6666666666666666, 1.1920928955078125e-05
fr, pt, 0.6666666666666666, 2.09808349609375e-05
fr, ro, 0.6666666666666666, 1.430511474609375e-05
fr, ja, 1.0, 1.239776611328125e-05
fr, simple, 1.0, 7.152557373046875e-06
fr, it, 1.0, 1.2874603271484375e-05
fr, he, 1.0, 1.0967254638671875e-05
fr, da, 1.0, 6.67572021484375e-06
fr, en, 0.6666666666666666, 0.00011992454528808594
fr, sr, 1.0, 1.3589859008789062e-05
fr, sv, 0.6666666666666666, 1.3589859008789062e-05
fr, ru, 1.0, 1.4543533325195312e-05
fr, hi, 1.0, 1.1920928955078125e-05
fr, arz, 1.0, 7.62939453125e-06
fr, bs, 1.0, 1.1444091796875e-05
fr, te, 1.0, 7.152557373046875e-06
fr, zh, 1.0, 1.2874603271484375e-05
fr, mk, 1.0, 1.1444091796875e-05
fr, ko, 1.0, 1.1205673217773438e-05
mr, mr, 1.0, 1.0728836059570312e-05
mr, tr, 1.0, 7.152557373046875e-06
mr, lv, 1.0, 6.9141387939453125e-06
mr, el, 1.0, 6.67572021484375e-06
mr, es, 1.0, 6.67572021484375e-06
mr, pl, 1.0, 6.4373016357421875e-06
mr, vi, 1.0, 6.67572021484375e-06
mr, de, 1.0, 6.4373016357421875e-06
mr, ml, 1.0, 6.9141387939453125e-06
mr, sh, 1.0, 7.62939453125e-06
mr, nl, 1.0, 6.9141387939453125e-06
mr, pt, 1.0, 8.821487426757812e-06
mr, ro, 1.0, 5.9604644775390625e-06
mr, ja, 1.0, 7.152557373046875e-06
mr, simple, 1.0, 6.9141387939453125e-06
mr, it, 1.0, 6.9141387939453125e-06
mr, he, 1.0, 6.9141387939453125e-06
mr, da, 1.0, 6.4373016357421875e-06
mr, en, 1.0, 2.6941299438476562e-05
mr, sr, 1.0, 7.3909759521484375e-06
mr, sv, 1.0, 7.3909759521484375e-06
mr, ru, 1.0, 7.62939453125e-06
mr, hi, 1.0, 7.152557373046875e-06
mr, arz, 1.0, 7.152557373046875e-06
mr, bs, 1.0, 6.9141387939453125e-06
mr, te, 1.0, 6.9141387939453125e-06
mr, zh, 1.0, 6.67572021484375e-06
mr, mk, 1.0, 6.9141387939453125e-06
mr, ko, 1.0, 6.9141387939453125e-06
