Language1, Language2, SimilarityScore, Time
id, id, 1.0, 8.726119995117188e-05
id, fr, 1.0, 3.2901763916015625e-05
id, mr, 1.0, 2.9325485229492188e-05
id, tr, 1.0, 2.8133392333984375e-05
id, el, 1.0, 2.8371810913085938e-05
id, es, 1.0, 2.8133392333984375e-05
id, pl, 0.30340044024860324, 2.86102294921875e-05
id, vi, 1.0, 2.9325485229492188e-05
id, de, 1.0, 2.86102294921875e-05
id, ml, 1.0, 2.8133392333984375e-05
id, sh, 1.0, 2.8133392333984375e-05
id, nl, 1.0, 2.8133392333984375e-05
id, si, 1.0, 2.7894973754882812e-05
id, pt, 0.36934036463140424, 2.7418136596679688e-05
id, ro, 1.0, 2.8133392333984375e-05
id, ja, 1.0, 2.8133392333984375e-05
id, simple, 1.0, 2.8848648071289062e-05
id, it, 1.0, 2.8133392333984375e-05
id, he, 1.0, 2.7418136596679688e-05
id, da, 1.0, 2.765655517578125e-05
id, en, 0.270199308731268, 2.7894973754882812e-05
id, sr, 1.0, 2.7894973754882812e-05
id, sv, 1.0, 2.9802322387695312e-05
id, ckb, 1.0, 2.8371810913085938e-05
id, ru, 1.0, 2.7894973754882812e-05
id, hi, 1.0, 2.765655517578125e-05
id, bs, 1.0, 2.7894973754882812e-05
id, te, 1.0, 2.765655517578125e-05
id, zh, 1.0, 2.8371810913085938e-05
id, mk, 1.0, 2.86102294921875e-05
id, hu, 1.0, 2.8133392333984375e-05
id, ko, 1.0, 2.8371810913085938e-05
id, war, 1.0, 2.8133392333984375e-05
id, union, 0.2792672851586859, 2.8133392333984375e-05
fr, fr, 1.0, 2.86102294921875e-05
fr, mr, 1.0, 2.7894973754882812e-05
fr, tr, 1.0, 2.8133392333984375e-05
fr, el, 1.0, 2.9802322387695312e-05
fr, es, 1.0, 2.8133392333984375e-05
fr, pl, 0.30340044024860324, 2.7418136596679688e-05
fr, vi, 1.0, 2.765655517578125e-05
fr, de, 1.0, 2.8371810913085938e-05
fr, ml, 1.0, 2.8133392333984375e-05
fr, sh, 1.0, 2.8133392333984375e-05
fr, nl, 1.0, 2.86102294921875e-05
fr, si, 1.0, 2.7894973754882812e-05
fr, pt, 0.36934036463140424, 2.7418136596679688e-05
fr, ro, 1.0, 2.8133392333984375e-05
fr, ja, 1.0, 2.7894973754882812e-05
fr, simple, 1.0, 2.765655517578125e-05
fr, it, 1.0, 2.8371810913085938e-05
fr, he, 1.0, 2.8133392333984375e-05
fr, da, 1.0, 2.8371810913085938e-05
fr, en, 0.270199308731268, 2.8133392333984375e-05
fr, sr, 1.0, 2.7418136596679688e-05
fr, sv, 1.0, 2.7894973754882812e-05
fr, ckb, 1.0, 2.765655517578125e-05
fr, ru, 1.0, 2.7894973754882812e-05
fr, hi, 1.0, 2.8371810913085938e-05
fr, bs, 1.0, 2.8133392333984375e-05
fr, te, 1.0, 2.8371810913085938e-05
fr, zh, 1.0, 2.7418136596679688e-05
fr, mk, 1.0, 2.8133392333984375e-05
fr, hu, 1.0, 2.7894973754882812e-05
fr, ko, 1.0, 2.765655517578125e-05
fr, war, 1.0, 2.765655517578125e-05
fr, union, 0.2792672851586859, 2.8371810913085938e-05
mr, mr, 1.0, 2.8371810913085938e-05
mr, tr, 1.0, 2.86102294921875e-05
mr, el, 1.0, 2.8371810913085938e-05
mr, es, 1.0, 2.765655517578125e-05
mr, pl, 0.30340044024860324, 2.8133392333984375e-05
mr, vi, 1.0, 2.7894973754882812e-05
