Language1, Language2, SimilarityScore, Time
id, id, 2.0, 0.0002605915069580078
id, fr, 1.0, 0.0001220703125
id, mr, 1.0, 0.00010895729064941406
id, tr, 0.0, 4.029273986816406e-05
id, el, 2.0, 0.00010609626770019531
id, es, 2.0, 0.00012111663818359375
id, pl, 1.0, 0.00010991096496582031
id, vi, 1.0, 0.00010251998901367188
id, de, 1.0, 0.00010013580322265625
id, ml, 1.0, 9.965896606445312e-05
id, sh, 1.0, 9.72747802734375e-05
id, nl, 1.0, 9.846687316894531e-05
id, si, 1.0, 9.751319885253906e-05
id, pt, 2.0, 0.00010728836059570312
id, ro, 1.0, 9.799003601074219e-05
id, ja, 1.0, 9.942054748535156e-05
id, simple, 2.0, 0.004795551300048828
id, it, 1.0, 0.00019311904907226562
id, he, 1.0, 0.00010609626770019531
id, da, 1.0, 0.0001010894775390625
id, en, 2.0, 0.00012254714965820312
id, sr, 1.0, 0.0001010894775390625
id, sv, 1.0, 9.72747802734375e-05
id, ckb, 0.0, 3.719329833984375e-05
id, ru, 2.0, 9.822845458984375e-05
id, hi, 1.0, 9.846687316894531e-05
id, bs, 1.0, 9.632110595703125e-05
id, te, 1.0, 9.489059448242188e-05
id, zh, 1.0, 9.393692016601562e-05
id, mk, 0.0, 3.6716461181640625e-05
id, hu, 2.0, 9.632110595703125e-05
id, ko, 2.0, 0.00010418891906738281
id, war, 1.0, 9.72747802734375e-05
id, union, 2.0, 0.00011491775512695312
fr, fr, 6.0, 0.006754875183105469
fr, mr, 1.0, 0.0002205371856689453
fr, tr, 1.0, 0.00011777877807617188
fr, el, 1.0, 0.00011181831359863281
fr, es, 4.0, 0.00013113021850585938
fr, pl, 2.0, 0.00011968612670898438
fr, vi, 2.0, 0.00010776519775390625
fr, de, 4.0, 0.00011777877807617188
fr, ml, 1.0, 0.00010323524475097656
fr, sh, 2.0, 0.00010514259338378906
fr, nl, 3.0, 0.00011992454528808594
fr, si, 1.0, 0.00010180473327636719
fr, pt, 3.0, 0.0001201629638671875
fr, ro, 2.0, 0.00010824203491210938
fr, ja, 4.0, 0.00011324882507324219
fr, simple, 1.0, 0.00010275840759277344
fr, it, 2.0, 0.00010561943054199219
fr, he, 2.0, 0.00010538101196289062
fr, da, 2.0, 0.00010657310485839844
fr, en, 5.0, 0.00015234947204589844
fr, sr, 2.0, 0.00011110305786132812
fr, sv, 3.0, 0.00011420249938964844
fr, ckb, 1.0, 0.00010418891906738281
fr, ru, 3.0, 0.00012969970703125
fr, hi, 2.0, 0.00010991096496582031
fr, bs, 1.0, 0.00010514259338378906
fr, te, 1.0, 0.0001010894775390625
fr, zh, 3.0, 0.000118255615234375
fr, mk, 1.0, 0.00010347366333007812
fr, hu, 2.0, 0.00010585784912109375
fr, ko, 4.0, 0.00011754035949707031
fr, war, 1.0, 0.00010323524475097656
fr, union, 6.0, 0.016103744506835938
mr, mr, 1.0, 0.00021266937255859375
mr, tr, 0.0, 4.315376281738281e-05
mr, el, 1.0, 0.00010633468627929688
mr, es, 1.0, 0.0001068115234375
mr, pl, 1.0, 0.00010800361633300781
mr, vi, 1.0, 0.00010228157043457031
mr, de, 1.0, 0.00010156631469726562
mr, ml, 1.0, 0.00010013580322265625
mr, sh, 1.0, 9.918212890625e-05
mr, nl, 1.0, 9.894371032714844e-05
mr, si, 1.0, 9.72747802734375e-05
mr, pt, 1.0, 0.00010132789611816406
mr, ro, 1.0, 9.775161743164062e-05
mr, ja, 1.0, 9.870529174804688e-05
mr, simple, 1.0, 9.703636169433594e-05
mr, it, 1.0, 9.655952453613281e-05
mr, he, 1.0, 9.679794311523438e-05
mr, da, 1.0, 9.72747802734375e-05
mr, en, 1.0, 0.00010609626770019531
mr, sr, 1.0, 9.846687316894531e-05
mr, sv, 1.0, 9.918212890625e-05
mr, ckb, 0.0, 3.600120544433594e-05
mr, ru, 1.0, 9.274482727050781e-05
mr, hi, 1.0, 9.72747802734375e-05
mr, bs, 1.0, 9.679794311523438e-05
mr, te, 1.0, 9.584426879882812e-05
mr, zh, 1.0, 9.584426879882812e-05
mr, mk, 0.0, 3.695487976074219e-05
mr, hu, 1.0, 9.012222290039062e-05
mr, ko, 1.0, 9.72747802734375e-05
mr, war, 1.0, 9.679794311523438e-05
mr, union, 1.0, 0.00010967254638671875
tr, tr, 2.0, 0.00011897087097167969
tr, el, 0.0, 3.6716461181640625e-05
tr, es, 1.0, 9.179115295410156e-05
tr, pl, 0.0, 3.8623809814453125e-05
tr, vi, 1.0, 8.797645568847656e-05
tr, de, 1.0, 9.369850158691406e-05
tr, ml, 0.0, 3.552436828613281e-05
tr, sh, 1.0, 8.678436279296875e-05
tr, nl, 1.0, 9.465217590332031e-05
tr, si, 0.0, 3.528594970703125e-05
tr, pt, 1.0, 9.512901306152344e-05
tr, ro, 1.0, 9.632110595703125e-05
tr, ja, 1.0, 9.632110595703125e-05
tr, simple, 0.0, 3.5762786865234375e-05
tr, it, 1.0, 9.131431579589844e-05
tr, he, 0.0, 3.62396240234375e-05
tr, da, 1.0, 9.1552734375e-05
tr, en, 1.0, 0.00010442733764648438
tr, sr, 1.0, 9.775161743164062e-05
tr, sv, 1.0, 9.72747802734375e-05
tr, ckb, 1.0, 9.822845458984375e-05
tr, ru, 1.0, 9.655952453613281e-05
tr, hi, 1.0, 9.584426879882812e-05
tr, bs, 0.0, 3.719329833984375e-05
tr, te, 0.0, 2.9325485229492188e-05
tr, zh, 1.0, 0.018517255783081055
tr, mk, 1.0, 0.0001556873321533203
tr, hu, 1.0, 0.00010967254638671875
tr, ko, 1.0, 0.0001049041748046875
tr, war, 0.0, 3.981590270996094e-05
tr, union, 2.0, 0.00012969970703125
el, el, 2.0, 0.00010800361633300781
el, es, 2.0, 0.00010776519775390625
el, pl, 1.0, 0.00010609626770019531
el, vi, 1.0, 0.00010013580322265625
el, de, 1.0, 9.846687316894531e-05
el, ml, 1.0, 9.632110595703125e-05
el, sh, 1.0, 0.00011587142944335938
el, nl, 1.0, 9.775161743164062e-05
el, si, 1.0, 9.703636169433594e-05
el, pt, 2.0, 0.00010943412780761719
el, ro, 1.0, 9.775161743164062e-05
el, ja, 1.0, 9.822845458984375e-05
el, simple, 2.0, 0.00010371208190917969
el, it, 1.0, 9.846687316894531e-05
el, he, 1.0, 9.775161743164062e-05
el, da, 1.0, 9.822845458984375e-05
el, en, 2.0, 0.00011181831359863281
el, sr, 1.0, 0.00010728836059570312
el, sv, 1.0, 9.870529174804688e-05
el, ckb, 0.0, 3.743171691894531e-05
el, ru, 2.0, 9.918212890625e-05
el, hi, 1.0, 9.965896606445312e-05
el, bs, 1.0, 9.799003601074219e-05
el, te, 1.0, 9.679794311523438e-05
el, zh, 1.0, 9.655952453613281e-05
el, mk, 0.0, 3.695487976074219e-05
el, hu, 2.0, 9.72747802734375e-05
el, ko, 2.0, 0.00010514259338378906
el, war, 1.0, 9.751319885253906e-05
el, union, 2.0, 0.00011944770812988281
es, es, 8.0, 0.017281293869018555
es, pl, 2.0, 0.0002269744873046875
es, vi, 2.0, 0.00011301040649414062
es, de, 5.0, 0.012594461441040039
es, ml, 1.0, 0.00020456314086914062
es, sh, 2.0, 0.00011491775512695312
es, nl, 3.0, 0.00011849403381347656
es, si, 1.0, 0.00010156631469726562
es, pt, 4.0, 0.00011563301086425781
es, ro, 2.0, 0.0026395320892333984
es, ja, 4.0, 0.00016546249389648438
es, simple, 2.0, 0.0001068115234375
es, it, 2.0, 0.00010251998901367188
es, he, 2.0, 0.0001087188720703125
es, da, 2.0, 0.006654500961303711
es, en, 6.0, 0.010976791381835938
es, sr, 2.0, 0.00022292137145996094
es, sv, 3.0, 0.00012183189392089844
es, ckb, 1.0, 0.00010895729064941406
es, ru, 4.0, 0.00012159347534179688
es, hi, 2.0, 0.00011014938354492188
es, bs, 1.0, 0.00011229515075683594
es, te, 1.0, 0.00012063980102539062
es, zh, 2.0, 0.00010561943054199219
es, mk, 1.0, 0.00010156631469726562
es, hu, 3.0, 0.00011444091796875
es, ko, 5.0, 0.0001285076141357422
es, war, 1.0, 9.72747802734375e-05
es, union, 8.0, 0.00718235969543457
pl, pl, 3.002002002002002, 0.007843732833862305
pl, vi, 1.0, 0.00015592575073242188
pl, de, 2.0, 0.00011801719665527344
pl, ml, 1.0, 0.00010895729064941406
pl, sh, 1.0, 0.00010466575622558594
pl, nl, 2.0, 0.0003650188446044922
pl, si, 1.0, 0.00010895729064941406
pl, pt, 1.0, 0.00010156631469726562
pl, ro, 1.0, 9.560585021972656e-05
pl, ja, 3.0, 0.00010895729064941406
pl, simple, 1.0, 9.751319885253906e-05
pl, it, 1.0, 0.00010418891906738281
pl, he, 2.0, 0.000102996826171875
pl, da, 1.0, 9.799003601074219e-05
pl, en, 3.002002002002002, 0.0001270771026611328
pl, sr, 1.0, 0.00010752677917480469
pl, sv, 2.0, 0.004401445388793945
pl, ckb, 0.0, 8.487701416015625e-05
pl, ru, 3.0, 0.0051250457763671875
pl, hi, 1.0, 0.000213623046875
pl, bs, 1.0, 0.00011372566223144531
pl, te, 1.0, 0.00010943412780761719
pl, zh, 2.0, 0.00011897087097167969
pl, mk, 0.0, 4.3392181396484375e-05
pl, hu, 1.0, 0.00010347366333007812
pl, ko, 2.0, 0.00011181831359863281
pl, war, 1.0, 0.0001049041748046875
pl, union, 3.002002002002002, 0.015841960906982422
vi, vi, 2.0, 0.009986639022827148
vi, de, 2.0, 0.00021982192993164062
vi, ml, 1.0, 0.00011730194091796875
vi, sh, 2.0, 0.00011563301086425781
vi, nl, 2.0, 0.00011277198791503906
vi, si, 1.0, 0.00011706352233886719
vi, pt, 2.0, 0.00011157989501953125
vi, ro, 2.0, 0.00010585784912109375
vi, ja, 2.0, 0.00010561943054199219
vi, simple, 1.0, 0.000102996826171875
vi, it, 2.0, 0.00010728836059570312
vi, he, 1.0, 0.0001010894775390625
vi, da, 2.0, 0.0007185935974121094
vi, en, 2.0, 0.000125885009765625
vi, sr, 2.0, 0.002627134323120117
vi, sv, 2.0, 0.00019431114196777344
vi, ckb, 1.0, 0.00011467933654785156
vi, ru, 2.0, 0.00011467933654785156
vi, hi, 2.0, 0.0001163482666015625
vi, bs, 1.0, 0.00010943412780761719
vi, te, 1.0, 0.0001049041748046875
vi, zh, 2.0, 0.006932735443115234
vi, mk, 1.0, 0.00020885467529296875
vi, hu, 2.0, 0.00012040138244628906
vi, ko, 2.0, 0.00017118453979492188
vi, war, 1.0, 0.00011181831359863281
vi, union, 2.0, 0.0001239776611328125
de, de, 7.0, 0.006768941879272461
de, ml, 1.0, 0.00016355514526367188
de, sh, 2.0, 0.00011563301086425781
de, nl, 3.0, 0.00011682510375976562
de, si, 1.0, 0.00010538101196289062
de, pt, 3.0, 0.00013017654418945312
de, ro, 2.0, 0.003010988235473633
de, ja, 4.0, 0.00013184547424316406
de, simple, 1.0, 0.000110626220703125
de, it, 2.0, 0.000110626220703125
de, he, 2.0, 0.0018665790557861328
de, da, 2.0, 0.005818605422973633
de, en, 5.0, 0.017790555953979492
de, sr, 2.0, 0.002062559127807617
de, sv, 3.0, 0.0001819133758544922
de, ckb, 1.0, 0.0001266002655029297
de, ru, 3.0, 0.0001361370086669922
de, hi, 2.0, 0.00012230873107910156
de, bs, 1.0, 0.00011396408081054688
de, te, 1.0, 0.00010752677917480469
de, zh, 2.0, 0.00011444091796875
de, mk, 1.0, 0.00010943412780761719
de, hu, 2.0, 0.00011277198791503906
de, ko, 4.0, 0.00012373924255371094
de, war, 1.0, 0.00012183189392089844
de, union, 7.0, 0.006337881088256836
ml, ml, 1.0, 0.00020885467529296875
ml, sh, 1.0, 0.00011372566223144531
ml, nl, 1.0, 0.00010728836059570312
ml, si, 1.0, 0.00010466575622558594
ml, pt, 1.0, 0.00010704994201660156
ml, ro, 1.0, 0.00010013580322265625
ml, ja, 1.0, 0.000102996826171875
ml, simple, 1.0, 0.00010180473327636719
ml, it, 1.0, 0.00010204315185546875
ml, he, 1.0, 0.00010037422180175781
ml, da, 1.0, 0.00010251998901367188
ml, en, 1.0, 0.00011444091796875
ml, sr, 1.0, 0.00010013580322265625
ml, sv, 1.0, 9.822845458984375e-05
ml, ckb, 0.0, 3.743171691894531e-05
ml, ru, 1.0, 9.179115295410156e-05
