Language1, Language2, SimilarityScore, Time
id, id, 1.0, 7.939338684082031e-05
id, fr, 1.0, 1.8596649169921875e-05
id, tr, 1.0, 1.4066696166992188e-05
id, es, 1.0, 1.3589859008789062e-05
id, pl, 1.0, 1.33514404296875e-05
id, vi, 1.0, 1.3113021850585938e-05
id, de, 1.0, 1.3113021850585938e-05
id, nl, 1.0, 1.33514404296875e-05
id, pt, 1.0, 1.33514404296875e-05
id, ro, 1.0, 1.33514404296875e-05
id, ja, 1.0, 1.33514404296875e-05
id, simple, 1.0, 1.33514404296875e-05
id, it, 1.0, 1.3113021850585938e-05
id, he, 1.0, 1.33514404296875e-05
id, en, 1.0, 1.33514404296875e-05
id, ru, 1.0, 1.3113021850585938e-05
id, hi, 1.0, 1.2636184692382812e-05
id, zh, 1.0, 1.33514404296875e-05
id, ko, 1.0, 1.3113021850585938e-05
id, union, 1.0, 1.2636184692382812e-05
fr, fr, 1.0, 1.2874603271484375e-05
fr, tr, 1.0, 1.2636184692382812e-05
fr, es, 1.0, 1.2874603271484375e-05
fr, pl, 1.0, 1.2874603271484375e-05
fr, vi, 1.0, 1.2874603271484375e-05
fr, de, 1.0, 1.239776611328125e-05
fr, nl, 1.0, 1.2874603271484375e-05
fr, pt, 1.0, 1.2636184692382812e-05
fr, ro, 1.0, 1.2636184692382812e-05
fr, ja, 1.0, 1.3113021850585938e-05
fr, simple, 1.0, 1.2874603271484375e-05
fr, it, 1.0, 1.2874603271484375e-05
fr, he, 1.0, 1.239776611328125e-05
fr, en, 1.0, 1.2874603271484375e-05
fr, ru, 1.0, 1.2636184692382812e-05
fr, hi, 1.0, 1.2636184692382812e-05
fr, zh, 1.0, 1.2874603271484375e-05
fr, ko, 1.0, 1.3113021850585938e-05
fr, union, 1.0, 1.2874603271484375e-05
tr, tr, 1.0, 1.239776611328125e-05
tr, es, 1.0, 1.2874603271484375e-05
tr, pl, 1.0, 1.2874603271484375e-05
tr, vi, 1.0, 1.2636184692382812e-05
tr, de, 1.0, 1.2874603271484375e-05
tr, nl, 1.0, 1.2636184692382812e-05
tr, pt, 1.0, 1.2636184692382812e-05
tr, ro, 1.0, 1.2874603271484375e-05
tr, ja, 1.0, 1.2874603271484375e-05
tr, simple, 1.0, 1.3113021850585938e-05
tr, it, 1.0, 1.2874603271484375e-05
tr, he, 1.0, 1.2874603271484375e-05
tr, en, 1.0, 1.3589859008789062e-05
tr, ru, 1.0, 1.2874603271484375e-05
tr, hi, 1.0, 1.2636184692382812e-05
tr, zh, 1.0, 1.239776611328125e-05
tr, ko, 1.0, 1.2874603271484375e-05
tr, union, 1.0, 1.2874603271484375e-05
es, es, 1.0, 1.239776611328125e-05
es, pl, 1.0, 1.2874603271484375e-05
es, vi, 1.0, 1.2874603271484375e-05
es, de, 1.0, 1.2874603271484375e-05
es, nl, 1.0, 1.3113021850585938e-05
es, pt, 1.0, 1.2636184692382812e-05
es, ro, 1.0, 1.2874603271484375e-05
es, ja, 1.0, 1.2874603271484375e-05
es, simple, 1.0, 1.3113021850585938e-05
es, it, 1.0, 1.3113021850585938e-05
es, he, 1.0, 1.2874603271484375e-05
es, en, 1.0, 1.2874603271484375e-05
es, ru, 1.0, 1.239776611328125e-05
es, hi, 1.0, 1.2874603271484375e-05
es, zh, 1.0, 1.2874603271484375e-05
es, ko, 1.0, 1.3113021850585938e-05
es, union, 1.0, 1.239776611328125e-05
pl, pl, 1.0, 1.2874603271484375e-05
pl, vi, 1.0, 1.2874603271484375e-05
pl, de, 1.0, 1.2874603271484375e-05
pl, nl, 1.0, 3.933906555175781e-05
pl, pt, 1.0, 1.3828277587890625e-05
pl, ro, 1.0, 1.33514404296875e-05
pl, ja, 1.0, 1.2636184692382812e-05
pl, simple, 1.0, 1.2874603271484375e-05
pl, it, 1.0, 1.2636184692382812e-05
pl, he, 1.0, 1.3113021850585938e-05
pl, en, 1.0, 1.2874603271484375e-05
pl, ru, 1.0, 1.2636184692382812e-05
pl, hi, 1.0, 1.2874603271484375e-05
pl, zh, 1.0, 1.2874603271484375e-05
pl, ko, 1.0, 1.2874603271484375e-05
pl, union, 1.0, 1.2636184692382812e-05
vi, vi, 1.0, 1.2874603271484375e-05
vi, de, 1.0, 1.2874603271484375e-05
vi, nl, 1.0, 1.2636184692382812e-05
vi, pt, 1.0, 1.2636184692382812e-05
vi, ro, 1.0, 1.2874603271484375e-05
vi, ja, 1.0, 1.2636184692382812e-05
vi, simple, 1.0, 1.2874603271484375e-05
vi, it, 1.0, 1.2874603271484375e-05
vi, he, 1.0, 1.2636184692382812e-05
vi, en, 1.0, 1.2636184692382812e-05
vi, ru, 1.0, 1.2874603271484375e-05
vi, hi, 1.0, 1.3113021850585938e-05
vi, zh, 1.0, 1.2874603271484375e-05
vi, ko, 1.0, 1.2636184692382812e-05
vi, union, 1.0, 1.3113021850585938e-05
de, de, 1.0, 1.2636184692382812e-05
de, nl, 1.0, 1.3113021850585938e-05
de, pt, 1.0, 1.2874603271484375e-05
de, ro, 1.0, 1.2636184692382812e-05
de, ja, 1.0, 1.2874603271484375e-05
de, simple, 1.0, 1.2874603271484375e-05
de, it, 1.0, 1.2874603271484375e-05
de, he, 1.0, 1.2874603271484375e-05
de, en, 1.0, 1.3113021850585938e-05
de, ru, 1.0, 1.2636184692382812e-05
de, hi, 1.0, 1.2874603271484375e-05
de, zh, 1.0, 1.3113021850585938e-05
de, ko, 1.0, 1.2874603271484375e-05
de, union, 1.0, 1.2874603271484375e-05
nl, nl, 1.0, 1.2636184692382812e-05
nl, pt, 1.0, 1.2874603271484375e-05
nl, ro, 1.0, 1.2636184692382812e-05
nl, ja, 1.0, 1.2874603271484375e-05
nl, simple, 1.0, 1.2874603271484375e-05
nl, it, 1.0, 1.2874603271484375e-05
nl, he, 1.0, 1.2874603271484375e-05
nl, en, 1.0, 1.3113021850585938e-05
nl, ru, 1.0, 1.2874603271484375e-05
nl, hi, 1.0, 1.2874603271484375e-05
nl, zh, 1.0, 1.2874603271484375e-05
nl, ko, 1.0, 1.3113021850585938e-05
nl, union, 1.0, 1.2636184692382812e-05
pt, pt, 1.0, 1.3113021850585938e-05
pt, ro, 1.0, 1.2636184692382812e-05
pt, ja, 1.0, 1.239776611328125e-05
pt, simple, 1.0, 1.2874603271484375e-05
pt, it, 1.0, 1.2636184692382812e-05
pt, he, 1.0, 1.2636184692382812e-05
pt, en, 1.0, 1.2874603271484375e-05
pt, ru, 1.0, 1.2636184692382812e-05
pt, hi, 1.0, 1.3113021850585938e-05
pt, zh, 1.0, 1.3113021850585938e-05
pt, ko, 1.0, 1.3113021850585938e-05
pt, union, 1.0, 1.2636184692382812e-05
ro, ro, 1.0, 1.2874603271484375e-05
ro, ja, 1.0, 1.2874603271484375e-05
ro, simple, 1.0, 1.2874603271484375e-05
ro, it, 1.0, 1.3113021850585938e-05
ro, he, 1.0, 1.2874603271484375e-05
ro, en, 1.0, 1.2874603271484375e-05
ro, ru, 1.0, 1.3113021850585938e-05
ro, hi, 1.0, 1.3113021850585938e-05
ro, zh, 1.0, 1.239776611328125e-05
ro, ko, 1.0, 1.2874603271484375e-05
ro, union, 1.0, 1.3113021850585938e-05
ja, ja, 1.0, 1.239776611328125e-05
ja, simple, 1.0, 1.2874603271484375e-05
ja, it, 1.0, 1.2874603271484375e-05
ja, he, 1.0, 1.2636184692382812e-05
