Language1, Language2, SimilarityScore, Time
id, id, 1.0, 3.170967102050781e-05
id, fr, 0.0, 1.1920928955078125e-05
id, tr, 1.0, 9.298324584960938e-06
id, es, 0.5, 9.298324584960938e-06
id, pl, 0.0, 9.059906005859375e-06
id, vi, 0.0, 8.344650268554688e-06
id, de, 0.0, 9.298324584960938e-06
id, nl, 0.0, 9.298324584960938e-06
id, pt, 0.25, 9.298324584960938e-06
id, ro, 0.0, 8.344650268554688e-06
id, ja, 0.3333333333333333, 8.58306884765625e-06
id, simple, 0.0, 9.298324584960938e-06
id, it, 0.5, 9.059906005859375e-06
id, he, 1.0, 8.58306884765625e-06
id, en, 0.1111111111111111, 1.0251998901367188e-05
id, ru, 0.25, 9.059906005859375e-06
id, hi, 0.5, 9.059906005859375e-06
id, zh, 0.0, 9.298324584960938e-06
id, ko, 0.0, 8.821487426757812e-06
id, union, 0.09090909090909091, 9.298324584960938e-06
fr, fr, 1.0, 8.58306884765625e-06
fr, tr, 0.0, 8.106231689453125e-06
fr, es, 0.25, 8.106231689453125e-06
fr, pl, 0.25, 8.344650268554688e-06
fr, vi, 0.25, 8.106231689453125e-06
fr, de, 0.5, 8.344650268554688e-06
fr, nl, 0.25, 8.344650268554688e-06
fr, pt, 0.16666666666666666, 8.106231689453125e-06
fr, ro, 0.3333333333333333, 8.106231689453125e-06
fr, ja, 0.2, 8.58306884765625e-06
fr, simple, 0.25, 7.867813110351562e-06
fr, it, 0.25, 7.867813110351562e-06
fr, he, 0.0, 8.106231689453125e-06
fr, en, 0.3333333333333333, 8.58306884765625e-06
fr, ru, 0.4, 8.58306884765625e-06
fr, hi, 0.25, 8.344650268554688e-06
fr, zh, 0.5, 8.821487426757812e-06
fr, ko, 0.25, 8.344650268554688e-06
fr, union, 0.2727272727272727, 9.059906005859375e-06
tr, tr, 1.0, 8.821487426757812e-06
tr, es, 0.5, 7.867813110351562e-06
tr, pl, 0.0, 7.867813110351562e-06
tr, vi, 0.0, 7.867813110351562e-06
tr, de, 0.0, 7.867813110351562e-06
tr, nl, 0.0, 8.106231689453125e-06
tr, pt, 0.25, 8.106231689453125e-06
tr, ro, 0.0, 7.867813110351562e-06
tr, ja, 0.3333333333333333, 8.106231689453125e-06
tr, simple, 0.0, 8.344650268554688e-06
tr, it, 0.5, 8.58306884765625e-06
tr, he, 1.0, 8.106231689453125e-06
tr, en, 0.1111111111111111, 8.344650268554688e-06
tr, ru, 0.25, 8.58306884765625e-06
tr, hi, 0.5, 7.867813110351562e-06
tr, zh, 0.0, 7.867813110351562e-06
tr, ko, 0.0, 8.106231689453125e-06
tr, union, 0.09090909090909091, 8.106231689453125e-06
es, es, 1.0, 8.106231689453125e-06
es, pl, 0.3333333333333333, 7.867813110351562e-06
es, vi, 0.3333333333333333, 8.58306884765625e-06
es, de, 0.25, 8.344650268554688e-06
es, nl, 0.3333333333333333, 7.867813110351562e-06
es, pt, 0.5, 7.867813110351562e-06
es, ro, 0.5, 7.867813110351562e-06
es, ja, 0.6666666666666666, 9.5367431640625e-06
es, simple, 0.3333333333333333, 8.106231689453125e-06
es, it, 1.0, 7.867813110351562e-06
es, he, 0.5, 7.867813110351562e-06
es, en, 0.2222222222222222, 9.059906005859375e-06
es, ru, 0.5, 8.58306884765625e-06
es, hi, 1.0, 8.106231689453125e-06
es, zh, 0.25, 7.62939453125e-06
es, ko, 0.3333333333333333, 8.821487426757812e-06
es, union, 0.18181818181818182, 9.059906005859375e-06
pl, pl, 1.0, 7.867813110351562e-06
pl, vi, 0.3333333333333333, 8.106231689453125e-06
pl, de, 0.6666666666666666, 8.821487426757812e-06
pl, nl, 1.0, 7.867813110351562e-06
pl, pt, 0.2, 8.106231689453125e-06
pl, ro, 0.5, 7.867813110351562e-06
pl, ja, 0.25, 8.58306884765625e-06
pl, simple, 0.3333333333333333, 8.106231689453125e-06
pl, it, 0.3333333333333333, 8.58306884765625e-06
pl, he, 0.0, 8.106231689453125e-06
pl, en, 0.2222222222222222, 9.298324584960938e-06
pl, ru, 0.2, 7.867813110351562e-06
pl, hi, 0.3333333333333333, 7.867813110351562e-06
pl, zh, 0.25, 8.106231689453125e-06
pl, ko, 0.3333333333333333, 8.344650268554688e-06
pl, union, 0.18181818181818182, 8.58306884765625e-06
vi, vi, 1.0, 8.106231689453125e-06
vi, de, 0.25, 8.821487426757812e-06
vi, nl, 0.3333333333333333, 8.344650268554688e-06
vi, pt, 0.5, 8.58306884765625e-06
vi, ro, 0.5, 8.344650268554688e-06
vi, ja, 0.6666666666666666, 8.58306884765625e-06
vi, simple, 1.0, 8.821487426757812e-06
vi, it, 0.3333333333333333, 8.58306884765625e-06
vi, he, 0.0, 8.106231689453125e-06
vi, en, 0.2222222222222222, 8.58306884765625e-06
vi, ru, 0.2, 9.775161743164062e-06
vi, hi, 0.3333333333333333, 8.106231689453125e-06
vi, zh, 0.6666666666666666, 8.821487426757812e-06
vi, ko, 1.0, 8.344650268554688e-06
vi, union, 0.18181818181818182, 8.58306884765625e-06
de, de, 1.0, 8.821487426757812e-06
de, nl, 0.6666666666666666, 8.344650268554688e-06
de, pt, 0.16666666666666666, 8.821487426757812e-06
de, ro, 0.3333333333333333, 8.344650268554688e-06
de, ja, 0.2, 8.344650268554688e-06
de, simple, 0.25, 8.58306884765625e-06
de, it, 0.25, 8.106231689453125e-06
de, he, 0.0, 8.106231689453125e-06
de, en, 0.3333333333333333, 8.821487426757812e-06
de, ru, 0.4, 8.344650268554688e-06
de, hi, 0.25, 7.867813110351562e-06
de, zh, 0.2, 7.867813110351562e-06
de, ko, 0.25, 7.867813110351562e-06
de, union, 0.2727272727272727, 8.344650268554688e-06
nl, nl, 1.0, 7.867813110351562e-06
nl, pt, 0.2, 8.58306884765625e-06
nl, ro, 0.5, 8.344650268554688e-06
nl, ja, 0.25, 8.58306884765625e-06
nl, simple, 0.3333333333333333, 8.106231689453125e-06
nl, it, 0.3333333333333333, 7.867813110351562e-06
nl, he, 0.0, 8.106231689453125e-06
nl, en, 0.2222222222222222, 9.059906005859375e-06
nl, ru, 0.2, 8.106231689453125e-06
nl, hi, 0.3333333333333333, 8.106231689453125e-06
nl, zh, 0.25, 9.298324584960938e-06
nl, ko, 0.3333333333333333, 8.106231689453125e-06
nl, union, 0.18181818181818182, 8.821487426757812e-06
pt, pt, 1.0, 8.58306884765625e-06
pt, ro, 0.25, 8.58306884765625e-06
pt, ja, 0.75, 7.867813110351562e-06
pt, simple, 0.5, 8.344650268554688e-06
pt, it, 0.5, 8.344650268554688e-06
pt, he, 0.25, 7.867813110351562e-06
pt, en, 0.3, 9.298324584960938e-06
pt, ru, 0.3333333333333333, 8.106231689453125e-06
pt, hi, 0.5, 8.106231689453125e-06
pt, zh, 0.4, 8.106231689453125e-06
pt, ko, 0.5, 8.106231689453125e-06
pt, union, 0.36363636363636365, 1.0013580322265625e-05
ro, ro, 1.0, 8.106231689453125e-06
ro, ja, 0.3333333333333333, 8.344650268554688e-06
ro, simple, 0.5, 8.344650268554688e-06
ro, it, 0.5, 8.344650268554688e-06
ro, he, 0.0, 8.106231689453125e-06
ro, en, 0.1111111111111111, 9.298324584960938e-06
ro, ru, 0.25, 7.867813110351562e-06
ro, hi, 0.5, 7.867813110351562e-06
ro, zh, 0.3333333333333333, 8.344650268554688e-06
ro, ko, 0.5, 8.106231689453125e-06
ro, union, 0.09090909090909091, 8.58306884765625e-06
ja, ja, 1.0, 8.106231689453125e-06
ja, simple, 0.6666666666666666, 8.58306884765625e-06
ja, it, 0.6666666666666666, 8.344650268554688e-06
ja, he, 0.3333333333333333, 8.58306884765625e-06
ja, en, 0.3333333333333333, 8.821487426757812e-06
ja, ru, 0.4, 8.106231689453125e-06
ja, hi, 0.6666666666666666, 8.58306884765625e-06
ja, zh, 0.5, 8.58306884765625e-06
ja, ko, 0.6666666666666666, 8.106231689453125e-06
ja, union, 0.2727272727272727, 9.298324584960938e-06
simple, simple, 1.0, 8.106231689453125e-06
simple, it, 0.3333333333333333, 8.106231689453125e-06
