Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 1.4781951904296875e-05
fr, es, 1.0, 9.059906005859375e-06
fr, nl, 0.0, 9.298324584960938e-06
fr, ja, 0.0, 4.76837158203125e-06
fr, en, 0.0, 4.76837158203125e-06
fr, ru, 0.0, 5.0067901611328125e-06
es, es, 1.0, 8.106231689453125e-06
es, nl, 0.0, 5.245208740234375e-06
es, ja, 0.0, 4.5299530029296875e-06
es, en, 0.0, 5.0067901611328125e-06
es, ru, 0.0, 4.5299530029296875e-06
nl, nl, 1.0, 1.0013580322265625e-05
nl, ja, 0.0, 4.76837158203125e-06
nl, en, 0.0, 4.76837158203125e-06
nl, ru, 0.0, 4.76837158203125e-06
ja, ja, 1.0, 8.106231689453125e-06
ja, en, 0.0, 4.291534423828125e-06
ja, ru, 0.0, 4.76837158203125e-06
en, en, 1.0, 1.3589859008789062e-05
en, ru, 1.0, 8.58306884765625e-06
ru, ru, 1.0, 7.867813110351562e-06
