Language1, Language2, SimilarityScore, Kernel, Time
id, id, 1.0, 1.0225000000000009, 0.00017499923706054688
id, fr, 1.0, 1.0225000000000009, 0.00010085105895996094
id, mr, 1.0, 1.0, 6.008148193359375e-05
id, tr, 1.0, 1.0, 5.7697296142578125e-05
id, lv, 1.0, 1.0, 5.793571472167969e-05
id, el, 1.0, 1.0, 5.555152893066406e-05
id, es, 0.5660160774121898, 1.0391304347826091, 9.799003601074219e-05
id, pl, 1.0, 1.0225000000000009, 9.393692016601562e-05
id, vi, 1.0, 1.0, 5.91278076171875e-05
id, de, 1.0, 1.0225000000000009, 9.5367431640625e-05
id, ml, 1.0, 1.0, 5.626678466796875e-05
id, sh, 1.0, 1.0, 5.602836608886719e-05
id, nl, 1.0, 1.0, 5.817413330078125e-05
id, si, 1.0, 1.0, 5.555152893066406e-05
id, pt, 1.0, 1.0, 5.6743621826171875e-05
id, ro, 1.0, 1.0, 5.602836608886719e-05
id, ja, 1.0, 1.0, 5.602836608886719e-05
id, simple, 1.0, 1.0, 7.2479248046875e-05
id, it, 1.0, 1.0225000000000009, 9.655952453613281e-05
id, ceb, 1.0, 1.0, 5.793571472167969e-05
id, he, 1.0, 1.0, 5.5789947509765625e-05
id, da, 1.0, 1.0, 5.5789947509765625e-05
id, en, 1.0, 1.0225000000000009, 9.5367431640625e-05
id, sr, 1.0, 1.0225000000000009, 9.632110595703125e-05
id, sv, 1.0, 1.0, 5.936622619628906e-05
id, ckb, 1.0, 1.0, 5.626678466796875e-05
id, ru, 1.0, 1.0, 5.5789947509765625e-05
id, hi, 1.0, 1.0, 5.555152893066406e-05
id, bs, 1.0, 1.0, 5.4836273193359375e-05
id, te, 1.0, 1.0, 5.5789947509765625e-05
id, zh, 1.0, 1.0, 6.008148193359375e-05
id, mk, 1.0, 1.0, 5.5789947509765625e-05
id, hu, 1.0, 1.0225000000000009, 9.870529174804688e-05
id, ko, 1.0, 1.0, 5.650520324707031e-05
id, war, 1.0, 1.0, 5.626678466796875e-05
fr, fr, 1.0, 1.0225000000000009, 9.703636169433594e-05
fr, mr, 1.0, 1.0, 5.602836608886719e-05
fr, tr, 1.0, 1.0, 5.507469177246094e-05
fr, lv, 1.0, 1.0, 5.507469177246094e-05
fr, el, 1.0, 1.0, 5.4836273193359375e-05
fr, es, 0.5660160774121898, 1.0391304347826091, 0.000110626220703125
fr, pl, 1.0, 1.0225000000000009, 9.322166442871094e-05
fr, vi, 1.0, 1.0, 5.6743621826171875e-05
fr, de, 1.0, 1.0225000000000009, 9.369850158691406e-05
fr, ml, 1.0, 1.0, 5.602836608886719e-05
fr, sh, 1.0, 1.0, 5.53131103515625e-05
fr, nl, 1.0, 1.0, 5.53131103515625e-05
fr, si, 1.0, 1.0, 5.5789947509765625e-05
fr, pt, 1.0, 1.0, 5.555152893066406e-05
fr, ro, 1.0, 1.0, 5.53131103515625e-05
fr, ja, 1.0, 1.0, 5.4836273193359375e-05
fr, simple, 1.0, 1.0, 5.507469177246094e-05
fr, it, 1.0, 1.0225000000000009, 9.632110595703125e-05
fr, ceb, 1.0, 1.0, 5.6743621826171875e-05
fr, he, 1.0, 1.0, 5.626678466796875e-05
fr, da, 1.0, 1.0, 5.53131103515625e-05
fr, en, 1.0, 1.0225000000000009, 9.489059448242188e-05
fr, sr, 1.0, 1.0225000000000009, 9.322166442871094e-05
fr, sv, 1.0, 1.0, 5.650520324707031e-05
fr, ckb, 1.0, 1.0, 5.698204040527344e-05
fr, ru, 1.0, 1.0, 5.5789947509765625e-05
fr, hi, 1.0, 1.0, 5.555152893066406e-05
fr, bs, 1.0, 1.0, 5.626678466796875e-05
fr, te, 1.0, 1.0, 5.650520324707031e-05
fr, zh, 1.0, 1.0, 5.6743621826171875e-05
fr, mk, 1.0, 1.0, 5.5789947509765625e-05
fr, hu, 1.0, 1.0225000000000009, 0.00010156631469726562
fr, ko, 1.0, 1.0, 5.7220458984375e-05
fr, war, 1.0, 1.0, 5.602836608886719e-05
mr, mr, 1.0, 1.0, 5.53131103515625e-05
mr, tr, 1.0, 1.0, 5.4836273193359375e-05
mr, lv, 1.0, 1.0, 5.6743621826171875e-05
mr, el, 1.0, 1.0, 5.5789947509765625e-05
mr, es, 1.0, 1.0, 5.745887756347656e-05
mr, pl, 1.0, 1.0, 5.7697296142578125e-05
mr, vi, 1.0, 1.0, 5.7220458984375e-05
mr, de, 1.0, 1.0, 5.7697296142578125e-05
mr, ml, 1.0, 1.0, 5.555152893066406e-05
mr, sh, 1.0, 1.0, 5.459785461425781e-05
mr, nl, 1.0, 1.0, 5.5789947509765625e-05
mr, si, 1.0, 1.0, 5.626678466796875e-05
mr, pt, 1.0, 1.0, 5.745887756347656e-05
mr, ro, 1.0, 1.0, 5.507469177246094e-05
mr, ja, 1.0, 1.0, 5.7697296142578125e-05
mr, simple, 1.0, 1.0, 5.555152893066406e-05
mr, it, 1.0, 1.0, 5.53131103515625e-05
mr, ceb, 1.0, 1.0, 5.53131103515625e-05
mr, he, 1.0, 1.0, 5.4836273193359375e-05
mr, da, 1.0, 1.0, 5.7220458984375e-05
mr, en, 1.0, 1.0, 5.459785461425781e-05
mr, sr, 1.0, 1.0, 5.555152893066406e-05
mr, sv, 1.0, 1.0, 5.53131103515625e-05
mr, ckb, 1.0, 1.0, 5.5789947509765625e-05
mr, ru, 1.0, 1.0, 5.555152893066406e-05
mr, hi, 1.0, 1.0, 5.4836273193359375e-05
mr, bs, 1.0, 1.0, 5.5789947509765625e-05
mr, te, 1.0, 1.0, 5.745887756347656e-05
mr, zh, 1.0, 1.0, 5.53131103515625e-05
mr, mk, 1.0, 1.0, 5.459785461425781e-05
mr, hu, 1.0, 1.0, 5.626678466796875e-05
mr, ko, 1.0, 1.0, 5.5789947509765625e-05
mr, war, 1.0, 1.0, 5.650520324707031e-05
tr, tr, 1.0, 1.0, 5.793571472167969e-05
tr, lv, 1.0, 1.0, 5.5789947509765625e-05
tr, el, 1.0, 1.0, 5.555152893066406e-05
tr, es, 1.0, 1.0, 5.7697296142578125e-05
tr, pl, 1.0, 1.0, 5.626678466796875e-05
tr, vi, 1.0, 1.0, 5.507469177246094e-05
tr, de, 1.0, 1.0, 5.888938903808594e-05
tr, ml, 1.0, 1.0, 5.53131103515625e-05
tr, sh, 1.0, 1.0, 5.507469177246094e-05
tr, nl, 1.0, 1.0, 5.555152893066406e-05
tr, si, 1.0, 1.0, 6.794929504394531e-05
tr, pt, 1.0, 1.0, 5.650520324707031e-05
tr, ro, 1.0, 1.0, 5.793571472167969e-05
tr, ja, 1.0, 1.0, 5.626678466796875e-05
tr, simple, 1.0, 1.0, 5.507469177246094e-05
tr, it, 1.0, 1.0, 5.5789947509765625e-05
tr, ceb, 1.0, 1.0, 5.602836608886719e-05
tr, he, 1.0, 1.0, 5.602836608886719e-05
tr, da, 1.0, 1.0, 5.602836608886719e-05
tr, en, 1.0, 1.0, 5.7697296142578125e-05
tr, sr, 1.0, 1.0, 5.626678466796875e-05
tr, sv, 1.0, 1.0, 5.6743621826171875e-05
tr, ckb, 1.0, 1.0, 5.650520324707031e-05
tr, ru, 1.0, 1.0, 5.7220458984375e-05
tr, hi, 1.0, 1.0, 5.626678466796875e-05
tr, bs, 1.0, 1.0, 5.626678466796875e-05
tr, te, 1.0, 1.0, 5.4836273193359375e-05
tr, zh, 1.0, 1.0, 5.626678466796875e-05
tr, mk, 1.0, 1.0, 5.6743621826171875e-05
tr, hu, 1.0, 1.0, 6.008148193359375e-05
tr, ko, 1.0, 1.0, 5.650520324707031e-05
tr, war, 1.0, 1.0, 5.53131103515625e-05
lv, lv, 1.0, 1.0, 5.602836608886719e-05
lv, el, 1.0, 1.0, 5.4836273193359375e-05
lv, es, 1.0, 1.0, 5.817413330078125e-05
lv, pl, 1.0, 1.0, 5.745887756347656e-05
lv, vi, 1.0, 1.0, 5.626678466796875e-05
lv, de, 1.0, 1.0, 5.602836608886719e-05
lv, ml, 1.0, 1.0, 5.507469177246094e-05
lv, sh, 1.0, 1.0, 5.555152893066406e-05
lv, nl, 1.0, 1.0, 5.53131103515625e-05
lv, si, 1.0, 1.0, 5.745887756347656e-05
lv, pt, 1.0, 1.0, 5.602836608886719e-05
lv, ro, 1.0, 1.0, 5.626678466796875e-05
lv, ja, 1.0, 1.0, 5.602836608886719e-05
lv, simple, 1.0, 1.0, 5.6743621826171875e-05
lv, it, 1.0, 1.0, 6.079673767089844e-05
lv, ceb, 1.0, 1.0, 5.602836608886719e-05
lv, he, 1.0, 1.0, 5.626678466796875e-05
lv, da, 1.0, 1.0, 5.6743621826171875e-05
lv, en, 1.0, 1.0, 5.7220458984375e-05
lv, sr, 1.0, 1.0, 5.8650970458984375e-05
lv, sv, 1.0, 1.0, 5.817413330078125e-05
lv, ckb, 1.0, 1.0, 5.793571472167969e-05
lv, ru, 1.0, 1.0, 5.7220458984375e-05
lv, hi, 1.0, 1.0, 5.793571472167969e-05
lv, bs, 1.0, 1.0, 5.817413330078125e-05
lv, te, 1.0, 1.0, 5.7697296142578125e-05
lv, zh, 1.0, 1.0, 5.602836608886719e-05
lv, mk, 1.0, 1.0, 5.793571472167969e-05
lv, hu, 1.0, 1.0, 5.8650970458984375e-05
lv, ko, 1.0, 1.0, 5.7697296142578125e-05
lv, war, 1.0, 1.0, 5.793571472167969e-05
el, el, 1.0, 1.0, 5.745887756347656e-05
el, es, 1.0, 1.0, 5.91278076171875e-05
el, pl, 1.0, 1.0, 5.841255187988281e-05
el, vi, 1.0, 1.0, 5.6743621826171875e-05
el, de, 1.0, 1.0, 5.793571472167969e-05
el, ml, 1.0, 1.0, 5.817413330078125e-05
el, sh, 1.0, 1.0, 5.7220458984375e-05
el, nl, 1.0, 1.0, 5.745887756347656e-05
el, si, 1.0, 1.0, 5.793571472167969e-05
el, pt, 1.0, 1.0, 5.9604644775390625e-05
el, ro, 1.0, 1.0, 5.793571472167969e-05
el, ja, 1.0, 1.0, 5.698204040527344e-05
el, simple, 1.0, 1.0, 5.7697296142578125e-05
el, it, 1.0, 1.0, 5.650520324707031e-05
el, ceb, 1.0, 1.0, 5.841255187988281e-05
el, he, 1.0, 1.0, 5.626678466796875e-05
el, da, 1.0, 1.0, 5.7220458984375e-05
el, en, 1.0, 1.0, 5.91278076171875e-05
el, sr, 1.0, 1.0, 5.841255187988281e-05
el, sv, 1.0, 1.0, 7.772445678710938e-05
el, ckb, 1.0, 1.0, 5.888938903808594e-05
el, ru, 1.0, 1.0, 5.936622619628906e-05
el, hi, 1.0, 1.0, 5.8650970458984375e-05
el, bs, 1.0, 1.0, 5.817413330078125e-05
el, te, 1.0, 1.0, 5.91278076171875e-05
el, zh, 1.0, 1.0, 5.745887756347656e-05
el, mk, 1.0, 1.0, 5.793571472167969e-05
el, hu, 1.0, 1.0, 5.745887756347656e-05
el, ko, 1.0, 1.0, 5.6743621826171875e-05
el, war, 1.0, 1.0, 5.8650970458984375e-05
es, es, 1.0, 1.614366729678639, 0.00010395050048828125
es, pl, 0.5660160774121898, 1.0391304347826091, 0.00010180473327636719
es, vi, 1.0, 1.0, 6.031990051269531e-05
es, de, 0.5660160774121898, 1.0391304347826091, 0.00010156631469726562
es, ml, 1.0, 1.0, 6.151199340820312e-05
es, sh, 1.0, 1.0, 5.841255187988281e-05
es, nl, 1.0, 1.0, 5.888938903808594e-05
es, si, 1.0, 1.0, 5.984306335449219e-05
es, pt, 1.0, 1.0, 5.91278076171875e-05
es, ro, 1.0, 1.0, 5.817413330078125e-05
es, ja, 1.0, 1.0, 5.745887756347656e-05
es, simple, 1.0, 1.0, 7.605552673339844e-05
es, it, 0.5660160774121898, 1.0391304347826091, 0.00010323524475097656
es, ceb, 1.0, 1.0, 5.841255187988281e-05
es, he, 1.0, 1.0, 5.936622619628906e-05
es, da, 1.0, 1.0, 5.9604644775390625e-05
es, en, 0.5660160774121898, 1.0391304347826091, 9.846687316894531e-05
es, sr, 0.5660160774121898, 1.0391304347826091, 9.632110595703125e-05
es, sv, 1.0, 1.0, 5.793571472167969e-05
es, ckb, 1.0, 1.0, 5.7697296142578125e-05
es, ru, 1.0, 1.0, 5.745887756347656e-05
es, hi, 1.0, 1.0, 5.6743621826171875e-05
es, bs, 1.0, 1.0, 5.650520324707031e-05
es, te, 1.0, 1.0, 5.7697296142578125e-05
es, zh, 1.0, 1.0, 5.8650970458984375e-05
es, mk, 1.0, 1.0, 5.650520324707031e-05
es, hu, 0.5660160774121898, 1.0391304347826091, 9.942054748535156e-05
es, ko, 1.0, 1.0, 5.793571472167969e-05
es, war, 1.0, 1.0, 5.7220458984375e-05
pl, pl, 1.0, 1.0450000000000004, 0.0001347064971923828
pl, vi, 1.0, 1.0, 5.602836608886719e-05
pl, de, 1.0, 1.0450000000000004, 0.0001308917999267578
pl, ml, 1.0, 1.0, 7.081031799316406e-05
pl, sh, 1.0, 1.0, 5.7220458984375e-05
pl, nl, 1.0, 1.0225000000000009, 9.822845458984375e-05
pl, si, 1.0, 1.0, 5.602836608886719e-05
pl, pt, 1.0, 1.0, 5.7220458984375e-05
pl, ro, 1.0, 1.0, 5.4836273193359375e-05
pl, ja, 1.0, 1.0225000000000009, 9.441375732421875e-05
pl, simple, 1.0, 1.0, 5.5789947509765625e-05
pl, it, 1.0, 1.0225000000000009, 9.608268737792969e-05
pl, ceb, 1.0, 1.0, 5.6743621826171875e-05
pl, he, 1.0, 1.0, 5.7697296142578125e-05
pl, da, 1.0, 1.0225000000000009, 9.369850158691406e-05
pl, en, 0.5020797777427737, 1.0744230769230771, 0.00013399124145507812
pl, sr, 1.0, 1.0225000000000009, 9.655952453613281e-05
pl, sv, 0.5660160774121898, 1.0391304347826091, 9.417533874511719e-05
pl, ckb, 1.0, 1.0, 5.626678466796875e-05
pl, ru, 1.0, 1.0, 5.650520324707031e-05
pl, hi, 1.0, 1.0, 5.555152893066406e-05
pl, bs, 1.0, 1.0, 5.6743621826171875e-05
pl, te, 1.0, 1.0, 5.53131103515625e-05
pl, zh, 1.0, 1.0225000000000009, 9.679794311523438e-05
pl, mk, 1.0, 1.0, 5.650520324707031e-05
pl, hu, 1.0, 1.0225000000000009, 0.0001087188720703125
pl, ko, 1.0, 1.0225000000000009, 9.393692016601562e-05
pl, war, 1.0, 1.0, 5.555152893066406e-05
vi, vi, 1.0, 1.0, 5.626678466796875e-05
vi, de, 1.0, 1.0, 5.650520324707031e-05
vi, ml, 1.0, 1.0, 5.602836608886719e-05
vi, sh, 1.0, 1.0, 5.626678466796875e-05
vi, nl, 1.0, 1.0, 5.650520324707031e-05
vi, si, 1.0, 1.0, 5.626678466796875e-05
vi, pt, 1.0, 1.0, 5.555152893066406e-05
