Language1, Language2, SimilarityScore, Time
id, id, 0.5, 0.0001862049102783203
id, fr, 0.5, 0.00013184547424316406
id, mr, 1.0, 0.00011849403381347656
id, tr, 1.0, 0.0001125335693359375
id, lv, 1.0, 0.000110626220703125
id, el, 1.0, 0.00011038780212402344
id, es, 0.5, 0.0001373291015625
id, pl, 0.5, 0.00012874603271484375
id, vi, 1.0, 0.00011515617370605469
id, de, 0.5, 0.00012540817260742188
id, ml, 1.0, 0.00011491775512695312
id, sh, 1.0, 0.00011110305786132812
id, nl, 1.0, 0.00010919570922851562
id, si, 1.0, 0.00010943412780761719
id, pt, 1.0, 0.00010776519775390625
id, ro, 1.0, 0.00010800361633300781
id, ja, 1.0, 0.00010824203491210938
id, simple, 1.0, 0.00010967254638671875
id, it, 0.5, 0.00011563301086425781
id, ceb, 1.0, 0.000110626220703125
id, he, 1.0, 0.00010824203491210938
id, da, 1.0, 0.00010776519775390625
id, en, 0.5, 0.00012540817260742188
id, sr, 0.5, 0.0001266002655029297
id, sv, 1.0, 0.00011754035949707031
id, ckb, 1.0, 0.00010967254638671875
id, ru, 1.0, 0.00010919570922851562
id, hi, 1.0, 0.00010848045349121094
id, bs, 1.0, 0.00010800361633300781
id, te, 1.0, 0.00010824203491210938
id, zh, 1.0, 0.00010943412780761719
id, mk, 1.0, 0.00010848045349121094
id, hu, 0.5, 0.00012421607971191406
id, ko, 1.0, 0.00011277198791503906
id, war, 1.0, 0.00011777877807617188
id, union, 0.5, 0.0001456737518310547
fr, fr, 0.5, 0.00013017654418945312
fr, mr, 1.0, 0.00012373924255371094
fr, tr, 1.0, 0.0001087188720703125
fr, lv, 1.0, 0.00010657310485839844
fr, el, 1.0, 0.00010514259338378906
fr, es, 0.5, 0.00012540817260742188
fr, pl, 0.5, 0.00011658668518066406
fr, vi, 1.0, 0.00010848045349121094
fr, de, 0.5, 0.00011992454528808594
fr, ml, 1.0, 0.00010943412780761719
fr, sh, 1.0, 0.00010466575622558594
fr, nl, 1.0, 0.00010323524475097656
fr, si, 1.0, 0.00010347366333007812
fr, pt, 1.0, 0.00010251998901367188
fr, ro, 1.0, 0.00010251998901367188
fr, ja, 1.0, 0.00010204315185546875
fr, simple, 1.0, 9.72747802734375e-05
fr, it, 0.5, 0.00010752677917480469
fr, ceb, 1.0, 0.00010251998901367188
fr, he, 1.0, 9.989738464355469e-05
fr, da, 1.0, 9.918212890625e-05
fr, en, 0.5, 0.0016446113586425781
fr, sr, 0.5, 0.00012302398681640625
fr, sv, 1.0, 0.000110626220703125
fr, ckb, 1.0, 0.00010085105895996094
fr, ru, 1.0, 9.775161743164062e-05
fr, hi, 1.0, 9.703636169433594e-05
fr, bs, 1.0, 9.608268737792969e-05
