Language1, Language2, SimilarityScore, Time
id, id, 0.125, 0.00040912628173828125
id, fr, 0.125, 0.0001804828643798828
id, mr, 1.0, 0.0001418590545654297
id, tr, 0.25, 0.0001533031463623047
id, lv, 0.5, 0.0001277923583984375
id, el, 0.3333333333333333, 0.0001227855682373047
id, es, 0.125, 0.0001513957977294922
id, pl, 0.16666666666666666, 0.00014162063598632812
id, vi, 0.25, 0.0001251697540283203
id, de, 0.125, 0.0001456737518310547
id, ml, 0.5, 0.00011897087097167969
id, sh, 0.25, 0.0001266002655029297
id, nl, 0.14285714285714285, 0.00014495849609375
id, pt, 0.14285714285714285, 0.00014209747314453125
id, ro, 0.25, 0.00012826919555664062
id, ja, 0.16666666666666666, 0.00014090538024902344
id, simple, 0.3333333333333333, 0.00023317337036132812
id, it, 0.125, 0.00025773048400878906
id, he, 0.16666666666666666, 0.00024580955505371094
id, da, 0.2, 0.0002079010009765625
id, en, 0.125, 0.00018215179443359375
id, sr, 0.2, 0.00014352798461914062
id, sv, 0.14285714285714285, 0.0001804828643798828
id, ru, 0.16666666666666666, 0.00015854835510253906
id, hi, 0.25, 0.00014519691467285156
id, arz, 1.0, 0.00013327598571777344
id, bs, 0.5, 0.00013399124145507812
id, zh, 0.125, 0.00016355514526367188
id, mk, 0.2, 0.00015473365783691406
id, hu, 0.25, 0.00014853477478027344
id, ko, 0.14285714285714285, 0.00016188621520996094
id, union, 0.125, 0.00019788742065429688
fr, fr, 0.04167361284896007, 0.030361413955688477
fr, mr, 1.0, 0.00022840499877929688
fr, tr, 0.125, 0.0006177425384521484
fr, lv, 0.5, 0.0001342296600341797
fr, el, 0.25, 0.00047779083251953125
fr, es, 0.05263434903047091, 0.0005617141723632812
fr, pl, 0.1111111111111111, 0.0003705024719238281
fr, vi, 0.16666666666666666, 0.00035071372985839844
fr, de, 0.058823529411764705, 0.00046372413635253906
fr, ml, 0.5, 0.00030493736267089844
fr, sh, 0.14285714285714285, 0.000385284423828125
fr, nl, 0.07142857142857142, 0.0004718303680419922
fr, pt, 0.06666666666666667, 0.0004341602325439453
fr, ro, 0.16666666666666666, 0.00033211708068847656
fr, ja, 0.07692307692307693, 0.00039768218994140625
fr, simple, 0.3333333333333333, 0.0003032684326171875
fr, it, 0.05882698961937716, 0.00047469139099121094
fr, he, 0.125, 0.00035190582275390625
fr, da, 0.14285714285714285, 0.0003445148468017578
fr, en, 0.045456611570247926, 0.0006284713745117188
fr, sr, 0.14285714285714285, 0.0003514289855957031
fr, sv, 0.07692307692307693, 0.00040411949157714844
fr, ru, 0.09090909090909091, 0.00038623809814453125
fr, hi, 0.25, 0.000308990478515625
fr, arz, 1.0, 0.00012373924255371094
fr, bs, 0.5, 0.0004353523254394531
fr, zh, 0.07692307692307693, 0.00040149688720703125
fr, mk, 0.2, 0.0003173351287841797
fr, hu, 0.14285714285714285, 0.00032591819763183594
fr, ko, 0.09090909090909091, 0.008330106735229492
fr, union, 0.04167361284896007, 0.007991790771484375
mr, mr, 1.0, 0.0002262592315673828
mr, tr, 1.0, 0.00012612342834472656
mr, lv, 1.0, 0.0001163482666015625
mr, el, 0.0, 4.410743713378906e-05
mr, es, 1.0, 0.00011968612670898438
mr, pl, 1.0, 0.00011539459228515625
mr, vi, 0.0, 4.100799560546875e-05
mr, de, 1.0, 0.00010943412780761719
mr, ml, 0.0, 3.981590270996094e-05
mr, sh, 0.0, 3.4332275390625e-05
mr, nl, 1.0, 0.00010919570922851562
mr, pt, 1.0, 0.00012350082397460938
mr, ro, 1.0, 0.00010204315185546875
mr, ja, 1.0, 0.00010418891906738281
mr, simple, 1.0, 0.00010085105895996094
mr, it, 1.0, 0.00010538101196289062
mr, he, 1.0, 0.00010275840759277344
mr, da, 1.0, 0.00010061264038085938
mr, en, 1.0, 0.00011849403381347656
mr, sr, 0.0, 3.9577484130859375e-05
mr, sv, 1.0, 9.560585021972656e-05
mr, ru, 1.0, 0.00010180473327636719
mr, hi, 0.0, 3.790855407714844e-05
mr, arz, 0.0, 2.956390380859375e-05
mr, bs, 0.0, 2.8848648071289062e-05
mr, zh, 1.0, 9.655952453613281e-05
mr, mk, 1.0, 0.00010347366333007812
mr, hu, 1.0, 9.989738464355469e-05
mr, ko, 1.0, 0.00010061264038085938
mr, union, 1.0, 0.00012803077697753906
tr, tr, 0.1111234691481605, 0.008249521255493164
tr, lv, 0.5, 0.0005841255187988281
tr, el, 0.3333333333333333, 0.00020241737365722656
tr, es, 0.142877571449, 0.0006451606750488281
tr, pl, 0.16666666666666666, 0.00038695335388183594
tr, vi, 0.2, 0.00035643577575683594
tr, de, 0.125, 0.0003941059112548828
tr, ml, 0.5, 0.00033020973205566406
tr, sh, 0.2, 0.0003476142883300781
tr, nl, 0.16666666666666666, 0.0003628730773925781
tr, pt, 0.14285714285714285, 0.00038242340087890625
tr, ro, 0.2, 0.0003421306610107422
tr, ja, 0.14285714285714285, 0.0003554821014404297
tr, simple, 1.0, 0.00013184547424316406
tr, it, 0.125, 0.0005342960357666016
tr, he, 0.16666666666666666, 0.00035762786865234375
tr, da, 0.16666666666666666, 0.005726337432861328
tr, en, 0.125, 0.015943050384521484
tr, sr, 0.25, 0.003945112228393555
tr, sv, 0.16666666666666666, 0.00033664703369140625
tr, ru, 0.16666666666666666, 0.000865936279296875
tr, hi, 0.3333333333333333, 0.00014972686767578125
tr, arz, 1.0, 0.00013208389282226562
tr, bs, 0.5, 0.0009219646453857422
tr, zh, 0.14285714285714285, 0.025655269622802734
tr, mk, 0.3333333333333333, 0.0009493827819824219
tr, hu, 0.2, 0.0007932186126708984
tr, ko, 0.16666666666666666, 0.0006008148193359375
tr, union, 0.1111234691481605, 0.0007045269012451172
lv, lv, 0.5, 0.0005624294281005859
lv, el, 1.0, 0.00012731552124023438
lv, es, 0.5, 0.0014827251434326172
lv, pl, 0.5, 0.0008175373077392578
lv, vi, 1.0, 0.00012111663818359375
lv, de, 0.5, 0.0007638931274414062
lv, ml, 0.0, 4.38690185546875e-05
lv, sh, 1.0, 0.00011157989501953125
lv, nl, 0.5, 0.00013256072998046875
lv, pt, 0.5, 0.0011792182922363281
lv, ro, 0.5, 0.00011181831359863281
lv, ja, 0.5, 0.0006718635559082031
lv, simple, 1.0, 0.00010824203491210938
lv, it, 0.5, 0.0006775856018066406
lv, he, 0.5, 0.0004405975341796875
lv, da, 0.5, 0.00012683868408203125
lv, en, 0.5, 0.0008196830749511719
lv, sr, 1.0, 0.0001277923583984375
lv, sv, 0.5, 0.0007729530334472656
lv, ru, 0.5, 0.00013113021850585938
lv, hi, 1.0, 0.00011873245239257812
lv, arz, 1.0, 0.00011324882507324219
lv, bs, 1.0, 0.00011730194091796875
lv, zh, 0.5, 0.001626729965209961
lv, mk, 0.5, 0.0004711151123046875
lv, hu, 0.5, 0.00045108795166015625
lv, ko, 0.5, 0.00011658668518066406
lv, union, 0.5, 0.00013780593872070312
el, el, 0.25, 0.0010802745819091797
el, es, 0.25, 0.0004563331604003906
el, pl, 0.3333333333333333, 0.0004267692565917969
el, vi, 0.25, 0.00046181678771972656
el, de, 0.25, 0.00047016143798828125
el, ml, 1.0, 0.00011587142944335938
el, sh, 0.3333333333333333, 0.0007519721984863281
el, nl, 0.25, 0.00712895393371582
el, pt, 0.3333333333333333, 0.00022149085998535156
el, ro, 0.5, 0.0010974407196044922
el, ja, 0.3333333333333333, 0.0001399517059326172
el, simple, 0.0, 4.673004150390625e-05
el, it, 0.25, 0.0009989738464355469
el, he, 0.3333333333333333, 0.00015592575073242188
el, da, 0.3333333333333333, 0.0008649826049804688
el, en, 0.25, 0.0002009868621826172
el, sr, 0.3333333333333333, 0.008493423461914062
el, sv, 0.25, 0.0013384819030761719
el, ru, 0.3333333333333333, 0.00014352798461914062
el, hi, 0.5, 0.00012636184692382812
el, arz, 1.0, 0.00011730194091796875
el, bs, 1.0, 0.00012087821960449219
el, zh, 0.25, 0.00012731552124023438
el, mk, 0.5, 0.0005414485931396484
el, hu, 0.5, 0.00012540817260742188
el, ko, 0.3333333333333333, 0.0034677982330322266
el, union, 0.25, 0.0006928443908691406
es, es, 0.043483935731572776, 0.04369211196899414
es, pl, 0.1111111111111111, 0.0007014274597167969
es, vi, 0.2, 0.0008816719055175781
es, de, 0.058823529411764705, 0.000823974609375
es, ml, 0.5, 0.00046181678771972656
es, sh, 0.14285714285714285, 0.00808095932006836
es, nl, 0.07692307692307693, 0.0018758773803710938
es, pt, 0.07142857142857142, 0.006002187728881836
es, ro, 0.2, 0.0009725093841552734
es, ja, 0.09090909090909091, 0.0005936622619628906
es, simple, 0.3333333333333333, 0.00014090538024902344
es, it, 0.06250390624999999, 0.0008485317230224609
es, he, 0.125, 0.00017833709716796875
es, da, 0.14285714285714285, 0.00016617774963378906
es, en, 0.047621315192743756, 0.009220600128173828
es, sr, 0.14285714285714285, 0.0018362998962402344
es, sv, 0.07692307692307693, 0.005658864974975586
es, ru, 0.09090909090909091, 0.00032019615173339844
es, hi, 0.25, 0.00015783309936523438
es, arz, 1.0, 0.0001347064971923828
es, bs, 0.5, 0.00014090538024902344
es, zh, 0.09090909090909091, 0.00018143653869628906
es, mk, 0.2, 0.00015211105346679688
es, hu, 0.14285714285714285, 0.000156402587890625
es, ko, 0.09090909090909091, 0.00017976760864257812
es, union, 0.043483935731572776, 0.00033783912658691406
pl, pl, 0.09091735537190083, 0.00018668174743652344
pl, vi, 0.25, 0.00014448165893554688
pl, de, 0.1, 0.00017309188842773438
pl, ml, 0.5, 0.00012946128845214844
pl, sh, 0.2, 0.0001418590545654297
pl, nl, 0.125, 0.0001614093780517578
pl, pt, 0.125, 0.0001621246337890625
pl, ro, 0.2, 0.00014662742614746094
pl, ja, 0.125, 0.00015616416931152344
pl, simple, 0.5, 0.0001456737518310547
pl, it, 0.1111111111111111, 0.035990238189697266
pl, he, 0.14285714285714285, 0.0003046989440917969
pl, da, 0.16666666666666666, 0.0001983642578125
pl, en, 0.1111111111111111, 0.003339052200317383
pl, sr, 0.2, 0.0004978179931640625
pl, sv, 0.125, 0.0074253082275390625
pl, ru, 0.125, 0.0006363391876220703
pl, hi, 0.25, 0.0003056526184082031
pl, arz, 1.0, 0.00011849403381347656
pl, bs, 0.5, 0.0004227161407470703
pl, zh, 0.125, 0.010329246520996094
pl, mk, 0.25, 0.0005254745483398438
pl, hu, 0.16666666666666666, 0.00740361213684082
pl, ko, 0.1111111111111111, 0.0006549358367919922
pl, union, 0.09091735537190083, 0.0004343986511230469
vi, vi, 0.16666666666666666, 0.0003116130828857422
vi, de, 0.16666666666666666, 0.00031185150146484375
vi, ml, 0.5, 0.00027251243591308594
vi, sh, 0.25, 0.0003178119659423828
vi, nl, 0.2, 0.0003216266632080078
vi, pt, 0.25, 0.0003287792205810547
vi, ro, 0.3333333333333333, 0.0003190040588378906
vi, ja, 0.2, 0.00032639503479003906
vi, simple, 0.0, 4.744529724121094e-05
vi, it, 0.16666666666666666, 0.0004031658172607422
vi, he, 0.25, 0.0003542900085449219
vi, da, 0.25, 0.0003185272216796875
vi, en, 0.16666666666666666, 0.0003783702850341797
vi, sr, 0.25, 0.00030994415283203125
vi, sv, 0.2, 0.0003249645233154297
vi, ru, 0.25, 0.0003077983856201172
vi, hi, 0.3333333333333333, 0.0003032684326171875
vi, arz, 1.0, 0.00013113021850585938
vi, bs, 0.5, 0.0004534721374511719
vi, zh, 0.16666666666666666, 0.00036144256591796875
vi, mk, 0.5, 0.0001304149627685547
vi, hu, 0.3333333333333333, 0.0004589557647705078
vi, ko, 0.25, 0.00033354759216308594
vi, union, 0.16666666666666666, 0.010879755020141602
de, de, 0.047619047619047616, 0.01993083953857422
de, ml, 0.5, 0.00023317337036132812
de, sh, 0.14285714285714285, 0.007706642150878906
de, nl, 0.09090909090909091, 0.003917217254638672
de, pt, 0.08333333333333333, 0.0006768703460693359
de, ro, 0.2, 0.0003180503845214844
de, ja, 0.08333333333333333, 0.0003745555877685547
de, simple, 0.3333333333333333, 0.00029277801513671875
de, it, 0.06666666666666667, 0.006122589111328125
de, he, 0.125, 0.0039479732513427734
de, da, 0.14285714285714285, 0.0006654262542724609
de, en, 0.05263157894736842, 0.015867948532104492
de, sr, 0.14285714285714285, 0.0006246566772460938
de, sv, 0.08333333333333333, 0.006643533706665039
