Language1, Language2, SimilarityScore, Time
id, id, 8.0, 0.00032901763916015625
id, fr, 8.0, 0.0001709461212158203
id, mr, 1.0, 0.00012111663818359375
id, tr, 4.0, 0.00013184547424316406
id, lv, 2.0, 0.00011587142944335938
id, el, 3.0, 0.00011801719665527344
id, es, 8.0, 0.00014710426330566406
id, pl, 6.0, 0.00013566017150878906
id, vi, 4.0, 0.00012063980102539062
id, de, 8.0, 0.00014162063598632812
id, ml, 2.0, 0.00011181831359863281
id, sh, 4.0, 0.00011682510375976562
id, nl, 7.0, 0.00013685226440429688
id, pt, 7.0, 0.00013780593872070312
id, ro, 4.0, 0.00011682510375976562
id, ja, 6.0, 0.00012874603271484375
id, simple, 3.0, 0.00011467933654785156
id, it, 8.0, 0.005299806594848633
id, he, 6.0, 0.0003540515899658203
id, da, 5.0, 0.00016164779663085938
id, en, 8.0, 0.00023674964904785156
id, sr, 5.0, 0.00015997886657714844
id, sv, 7.0, 0.0002028942108154297
id, ru, 6.0, 0.00015425682067871094
id, hi, 4.0, 0.00018334388732910156
id, arz, 1.0, 0.0001270771026611328
id, bs, 2.0, 0.00017261505126953125
id, zh, 8.0, 0.0001773834228515625
id, mk, 5.0, 0.000179290771484375
id, hu, 4.0, 0.0001614093780517578
id, ko, 7.0, 0.00017333030700683594
id, union, 8.0, 0.0002193450927734375
fr, fr, 24.004001001001, 0.008744955062866211
fr, mr, 1.0, 0.0002963542938232422
fr, tr, 8.0, 0.00016736984252929688
fr, lv, 2.0, 0.00013446807861328125
fr, el, 4.0, 0.00013780593872070312
fr, es, 19.000999999999998, 0.0002665519714355469
fr, pl, 9.0, 0.006736278533935547
fr, vi, 6.0, 0.00026988983154296875
fr, de, 17.0, 0.0002334117889404297
fr, ml, 2.0, 0.00013327598571777344
fr, sh, 7.0, 0.0001506805419921875
fr, nl, 14.0, 0.0001964569091796875
fr, pt, 15.0, 0.00020170211791992188
fr, ro, 6.0, 0.00014853477478027344
fr, ja, 13.0, 0.00018930435180664062
fr, simple, 3.0, 0.0001327991485595703
fr, it, 17.000999999999998, 0.00022125244140625
fr, he, 8.0, 0.00016045570373535156
fr, da, 7.0, 0.00014734268188476562
fr, en, 22.000999999999998, 0.0002989768981933594
fr, sr, 7.0, 0.00015211105346679688
fr, sv, 13.0, 0.0001881122589111328
fr, ru, 11.0, 0.00017523765563964844
fr, hi, 4.0, 0.0001354217529296875
fr, arz, 1.0, 0.00011849403381347656
fr, bs, 2.0, 0.00013828277587890625
fr, zh, 13.0, 0.000179290771484375
fr, mk, 5.0, 0.00014257431030273438
fr, hu, 7.0, 0.00014972686767578125
fr, ko, 11.0, 0.00016689300537109375
fr, union, 24.004001001001, 0.00031375885009765625
mr, mr, 1.0, 0.00012755393981933594
mr, tr, 1.0, 0.00011968612670898438
mr, lv, 1.0, 0.00011491775512695312
mr, el, 0.0, 4.3392181396484375e-05
mr, es, 1.0, 0.00011754035949707031
mr, pl, 1.0, 0.00011587142944335938
mr, vi, 0.0, 4.220008850097656e-05
mr, de, 1.0, 0.00012350082397460938
mr, ml, 0.0, 3.8623809814453125e-05
mr, sh, 0.0, 3.2901763916015625e-05
mr, nl, 1.0, 0.00010895729064941406
mr, pt, 1.0, 0.00011205673217773438
mr, ro, 1.0, 0.00010943412780761719
