Language1, Language2, SimilarityScore, Time
id, id, 0.5, 3.9577484130859375e-05
id, fr, 0.16666666666666666, 2.6464462280273438e-05
id, mr, 0.0625, 2.6464462280273438e-05
id, tr, 0.15384615384615385, 2.0742416381835938e-05
id, lv, 0.125, 1.3828277587890625e-05
id, el, 0.16666666666666666, 1.2874603271484375e-05
id, es, 0.17391304347826086, 1.8358230590820312e-05
id, pl, 0.23076923076923078, 1.5020370483398438e-05
id, vi, 0.2, 1.3828277587890625e-05
id, de, 0.19047619047619047, 1.5974044799804688e-05
id, ml, 0.125, 1.3589859008789062e-05
id, sh, 0.18181818181818182, 1.33514404296875e-05
id, nl, 0.20588235294117646, 1.430511474609375e-05
id, pt, 0.21875, 1.4543533325195312e-05
id, ro, 0.2, 1.2636184692382812e-05
id, ja, 0.17647058823529413, 1.3589859008789062e-05
id, simple, 0.1875, 1.2159347534179688e-05
id, it, 0.23529411764705882, 1.4781951904296875e-05
id, he, 0.3, 1.2874603271484375e-05
id, da, 0.25, 1.1920928955078125e-05
id, en, 0.13333333333333333, 2.7894973754882812e-05
id, sr, 0.25, 1.3589859008789062e-05
id, sv, 0.25, 1.33514404296875e-05
id, ru, 0.21428571428571427, 1.2874603271484375e-05
id, hi, 0.2222222222222222, 1.2636184692382812e-05
id, arz, 0.0625, 1.1920928955078125e-05
id, bs, 0.125, 1.1920928955078125e-05
id, zh, 0.3076923076923077, 1.430511474609375e-05
id, mk, 0.3125, 1.2636184692382812e-05
id, hu, 0.16666666666666666, 1.3113021850585938e-05
id, ko, 0.2916666666666667, 1.4066696166992188e-05
id, union, 0.0975609756097561, 3.647804260253906e-05
fr, fr, 1.0, 2.4080276489257812e-05
fr, mr, 0.020833333333333332, 1.8358230590820312e-05
fr, tr, 0.16, 1.8835067749023438e-05
fr, lv, 0.041666666666666664, 1.7881393432617188e-05
fr, el, 0.08333333333333333, 1.71661376953125e-05
fr, es, 0.4226190476190476, 2.4080276489257812e-05
fr, pl, 0.17307692307692307, 2.0265579223632812e-05
fr, vi, 0.125, 1.7881393432617188e-05
fr, de, 0.30357142857142855, 1.9550323486328125e-05
fr, ml, 0.041666666666666664, 1.7404556274414062e-05
fr, sh, 0.14583333333333334, 1.7881393432617188e-05
fr, nl, 0.2692307692307692, 1.7642974853515625e-05
fr, pt, 0.3125, 1.7642974853515625e-05
fr, ro, 0.125, 1.5735626220703125e-05
fr, ja, 0.25, 1.6689300537109375e-05
fr, simple, 0.0625, 1.52587890625e-05
fr, it, 0.4541666666666667, 1.7642974853515625e-05
fr, he, 0.16666666666666666, 2.288818359375e-05
fr, da, 0.14583333333333334, 1.6927719116210938e-05
fr, en, 0.36875, 3.0994415283203125e-05
fr, sr, 0.14583333333333334, 1.6927719116210938e-05
fr, sv, 0.2708333333333333, 1.6689300537109375e-05
fr, ru, 0.22, 1.6450881958007812e-05
fr, hi, 0.08, 1.621246337890625e-05
fr, arz, 0.020833333333333332, 1.5497207641601562e-05
fr, bs, 0.041666666666666664, 1.5735626220703125e-05
fr, zh, 0.2708333333333333, 1.7404556274414062e-05
fr, mk, 0.10416666666666667, 1.6689300537109375e-05
fr, hu, 0.14, 1.6689300537109375e-05
fr, ko, 0.22916666666666666, 1.6927719116210938e-05
fr, union, 0.3726829268292683, 4.291534423828125e-05
mr, mr, 0.5, 1.33514404296875e-05
mr, tr, 0.05555555555555555, 1.2874603271484375e-05
mr, lv, 0.25, 1.2159347534179688e-05
mr, el, 0.0, 1.1444091796875e-05
mr, es, 0.021739130434782608, 1.5020370483398438e-05
mr, pl, 0.045454545454545456, 1.2159347534179688e-05
mr, vi, 0.0, 1.1444091796875e-05
