Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0011224746704101562
id, fr, 0.03694903772419953, 0.0010116100311279297
id, mr, 0.07294869175787436, 0.0010559558868408203
id, tr, 0.07606542535973361, 0.0010154247283935547
id, lv, 0.07266676498698312, 0.0010166168212890625
id, el, 0.07294869175787436, 0.0010066032409667969
id, es, 0.06872839826751018, 0.0009808540344238281
id, pl, 0.04774343607960462, 0.0009632110595703125
id, vi, 0.06865586318594814, 0.010236501693725586
id, de, 0.0348192336629044, 0.001054525375366211
id, ml, 0.07294869175787436, 0.0009503364562988281
id, sh, 0.0329257279376871, 0.000957489013671875
id, nl, 0.052249564997234356, 0.0009477138519287109
id, si, 0.07294869175787436, 0.0009312629699707031
id, pt, 0.07023178531736501, 0.0009260177612304688
id, ro, 0.06980925039385592, 0.0009357929229736328
id, ja, 0.07284423640594942, 0.0009770393371582031
id, simple, 0.07544654058025362, 0.0009343624114990234
id, it, 0.03914293883905222, 0.010961055755615234
id, ceb, 0.07294869175787436, 0.007982254028320312
id, he, 0.07263669959755374, 0.0009953975677490234
id, da, 0.07050792481289318, 0.0009741783142089844
id, en, 0.008954514040603377, 0.009845495223999023
id, sr, 0.04766004260041099, 0.0010311603546142578
id, sv, 0.07235686698333613, 0.00095367431640625
id, ckb, 0.07294869175787436, 0.0009565353393554688
id, ru, 0.07294869175787436, 0.0009732246398925781
id, hi, 0.07294869175787436, 0.0009577274322509766
id, arz, 0.07294869175787436, 0.0009670257568359375
id, bs, 0.07619355903278999, 0.0009837150573730469
id, te, 0.07294869175787436, 0.0009524822235107422
id, zh, 0.07294869175787436, 0.0009276866912841797
id, mk, 0.07294869175787436, 0.010845422744750977
id, hu, 0.07290262516852444, 0.0040073394775390625
id, ko, 0.07294869175787436, 0.0009815692901611328
id, war, 0.07328224943700276, 0.0009891986846923828
id, union, 0.00575162343349432, 0.0010006427764892578
fr, fr, 1.0, 0.0009233951568603516
fr, mr, 0.038325107063995036, 0.0009133815765380859
fr, tr, 0.038901604103171276, 0.0009229183197021484
fr, lv, 0.03829920220105874, 0.009933948516845703
fr, el, 0.038325107063995036, 0.0010013580322265625
fr, es, 0.037778445699866166, 0.0009808540344238281
fr, pl, 0.034108719023351185, 0.001013040542602539
fr, vi, 0.037262158556968704, 0.008856058120727539
fr, de, 0.028790422840963458, 0.007897138595581055
fr, ml, 0.038325107063995036, 0.0009815692901611328
fr, sh, 0.027230453775729944, 0.0009350776672363281
fr, nl, 0.03500703011048856, 0.0009145736694335938
fr, si, 0.038325107063995036, 0.0009143352508544922
fr, pt, 0.038130682949394944, 0.0009126663208007812
fr, ro, 0.0381774077807033, 0.0009143352508544922
fr, ja, 0.03831048159160919, 0.0009179115295410156
fr, simple, 0.0382670176343785, 0.0009207725524902344
fr, it, 0.03058195211020839, 0.0009386539459228516
fr, ceb, 0.038325107063995036, 0.0009169578552246094
fr, he, 0.03835815294665529, 0.010332584381103516
