Language1, Language2, SimilarityScore, Time
id, id, 0.03705076269548011, 0.0008208751678466797
id, fr, 0.0454648843057934, 0.00036144256591796875
id, mr, 0.5, 0.00015044212341308594
id, tr, 0.05555555555555555, 0.00025773048400878906
id, lv, 0.16666666666666666, 0.00016260147094726562
id, el, 0.09090909090909091, 0.00018453598022460938
id, es, 0.05555864197530863, 0.00025272369384765625
id, pl, 0.058823529411764705, 0.00022864341735839844
id, vi, 0.1, 0.00018095970153808594
id, de, 0.05001000500500501, 0.0002968311309814453
id, ml, 0.3333333333333333, 0.00014853477478027344
id, sh, 0.1, 0.0001881122589111328
id, nl, 0.0666889022355689, 0.00025653839111328125
id, pt, 0.06666666666666667, 0.0002117156982421875
id, ro, 0.09091735537190083, 0.00018906593322753906
id, ja, 0.041666666666666664, 0.0003497600555419922
id, simple, 0.0833472361250139, 0.0002033710479736328
id, it, 0.05264821053740722, 0.0006284713745117188
id, he, 0.1111111111111111, 0.0005905628204345703
id, da, 0.1111358271852099, 0.0006122589111328125
id, en, 0.03705076269548011, 0.0017745494842529297
id, sr, 0.1111111111111111, 0.0006258487701416016
id, sv, 0.07144388776531634, 0.0007088184356689453
id, ckb, 0.2, 0.0027360916137695312
id, ru, 0.038461538461538464, 0.015872478485107422
id, hi, 0.1111111111111111, 0.0009045600891113281
id, arz, 0.5, 0.0005016326904296875
id, bs, 0.3333333333333333, 0.0004966259002685547
id, te, 1.0, 0.00013327598571777344
id, zh, 0.045454545454545456, 0.0018239021301269531
id, mk, 0.05555555555555555, 0.0040705204010009766
id, hu, 0.09090909090909091, 0.0007281303405761719
id, ko, 0.06666666666666667, 0.0007050037384033203
id, union, 0.03705076269548011, 0.014334440231323242
fr, fr, 0.018537428122505754, 0.08088207244873047
fr, mr, 1.0, 0.0002372264862060547
fr, tr, 0.045454545454545456, 0.02276897430419922
fr, lv, 0.1111111111111111, 0.0010349750518798828
fr, el, 0.0625, 0.0068912506103515625
fr, es, 0.030305785123966943, 0.0639641284942627
fr, pl, 0.037037037037037035, 0.04790091514587402
fr, vi, 0.06666666666666667, 0.001253366470336914
fr, de, 0.027792454493078732, 0.06673884391784668
fr, ml, 0.3333333333333333, 0.011840105056762695
fr, sh, 0.05556482099383333, 0.021169185638427734
fr, nl, 0.03335783012809858, 0.04278850555419922
fr, pt, 0.03333333333333333, 0.10112524032592773
fr, ro, 0.06666666666666667, 0.006747007369995117
fr, ja, 0.024390243902439025, 0.10398626327514648
fr, simple, 0.06251173048048048, 0.0013165473937988281
fr, it, 0.025013777564530378, 0.07866382598876953
fr, he, 0.1, 0.0037806034088134766
fr, da, 0.07144900002042859, 0.004020214080810547
fr, en, 0.020852043972197434, 0.09511685371398926
fr, sr, 0.08333333333333333, 0.0022580623626708984
fr, sv, 0.04349340267679781, 0.0018854141235351562
fr, ckb, 0.25, 0.008491754531860352
fr, ru, 0.021739130434782608, 0.0024335384368896484
fr, hi, 0.125, 0.00025844573974609375
fr, arz, 0.5, 0.0001728534698486328
fr, bs, 0.25, 0.00017762184143066406
fr, te, 0.0, 8.678436279296875e-05
fr, zh, 0.027777777777777776, 0.004612922668457031
fr, mk, 0.03333333333333333, 0.05199766159057617
fr, hu, 0.05263434903047091, 0.00047397613525390625
fr, ko, 0.043478260869565216, 0.000545501708984375
fr, union, 0.018537428122505754, 0.13904881477355957
mr, mr, 0.5, 0.00021195411682128906
mr, tr, 1.0, 0.00013113021850585938
mr, lv, 1.0, 0.00011157989501953125
mr, el, 1.0, 0.00010919570922851562
mr, es, 1.0, 0.00011587142944335938
mr, pl, 1.0, 0.00011324882507324219
mr, vi, 0.0, 4.076957702636719e-05
mr, de, 1.0, 0.00013256072998046875
mr, ml, 0.0, 3.933906555175781e-05
mr, sh, 1.0, 0.00011682510375976562
mr, nl, 1.0, 0.00013566017150878906
mr, pt, 1.0, 0.00010275840759277344
mr, ro, 1.0, 0.00010156631469726562
mr, ja, 0.5, 0.012534856796264648
mr, simple, 1.0, 0.00021958351135253906
mr, it, 1.0, 0.000171661376953125
mr, he, 1.0, 0.00011301040649414062
mr, da, 1.0, 0.00011944770812988281
mr, en, 0.5, 0.00038242340087890625
mr, sr, 1.0, 0.00014448165893554688
mr, sv, 0.5, 0.009630203247070312
mr, ckb, 1.0, 0.00018787384033203125
mr, ru, 0.5, 0.002769947052001953
mr, hi, 1.0, 0.00012731552124023438
mr, arz, 1.0, 0.00011658668518066406
mr, bs, 1.0, 0.00011444091796875
mr, te, 1.0, 0.00011134147644042969
mr, zh, 1.0, 0.00011467933654785156
mr, mk, 1.0, 0.00011229515075683594
mr, hu, 1.0, 0.00011706352233886719
mr, ko, 1.0, 0.00010991096496582031
mr, union, 0.5, 0.0005097389221191406
tr, tr, 0.035721938775510206, 0.022086381912231445
tr, lv, 0.125, 0.002156496047973633
tr, el, 0.09090909090909091, 0.008839845657348633
tr, es, 0.05263157894736842, 0.004379749298095703
tr, pl, 0.05, 0.00790262222290039
tr, vi, 0.08333333333333333, 0.007898330688476562
tr, de, 0.04166840277777777, 0.004073143005371094
tr, ml, 0.3333333333333333, 0.00015473365783691406
tr, sh, 0.08333333333333333, 0.00150299072265625
tr, nl, 0.058823529411764705, 0.0014297962188720703
tr, pt, 0.05263157894736842, 0.0013692378997802734
tr, ro, 0.07142857142857142, 0.0010395050048828125
tr, ja, 0.043478260869565216, 0.0014233589172363281
tr, simple, 0.08333333333333333, 0.008766412734985352
tr, it, 0.05, 0.007918357849121094
tr, he, 0.09090909090909091, 0.0012934207916259766
tr, da, 0.09090909090909091, 0.0010020732879638672
tr, en, 0.035721938775510206, 0.0032181739807128906
tr, sr, 0.09090909090909091, 0.0019290447235107422
tr, sv, 0.058823529411764705, 0.0020186901092529297
tr, ckb, 0.25, 0.0008921623229980469
tr, ru, 0.03571428571428571, 0.017382383346557617
tr, hi, 0.16666666666666666, 0.0002989768981933594
tr, arz, 0.5, 0.0020508766174316406
tr, bs, 0.25, 0.0002503395080566406
tr, te, 0.0, 5.555152893066406e-05
tr, zh, 0.04, 0.0028374195098876953
tr, mk, 0.045454545454545456, 0.0061492919921875
tr, hu, 0.09090909090909091, 0.0010793209075927734
tr, ko, 0.058823529411764705, 0.014896869659423828
tr, union, 0.035721938775510206, 0.04391908645629883
lv, lv, 0.1111111111111111, 0.003911256790161133
lv, el, 0.16666666666666666, 0.008018732070922852
lv, es, 0.1111111111111111, 0.001676321029663086
lv, pl, 0.1111111111111111, 0.0013921260833740234
lv, vi, 0.2, 0.0012509822845458984
lv, de, 0.1111111111111111, 0.01142120361328125
lv, ml, 0.3333333333333333, 0.00023245811462402344
lv, sh, 0.16666666666666666, 0.001766204833984375
lv, nl, 0.125, 0.0009348392486572266
lv, pt, 0.1111111111111111, 0.0007731914520263672
lv, ro, 0.14285714285714285, 0.0007531642913818359
lv, ja, 0.125, 0.0007257461547851562
lv, simple, 0.14285714285714285, 0.0007114410400390625
lv, it, 0.1111111111111111, 0.02067279815673828
lv, he, 0.14285714285714285, 0.0013475418090820312
lv, da, 0.16666666666666666, 0.0009098052978515625
lv, en, 0.1111111111111111, 0.0018928050994873047
lv, sr, 0.16666666666666666, 0.0008721351623535156
lv, sv, 0.125, 0.0008997917175292969
lv, ckb, 0.5, 0.0006744861602783203
lv, ru, 0.1111111111111111, 0.0008001327514648438
lv, hi, 0.25, 0.0006875991821289062
lv, arz, 0.5, 0.00013065338134765625
lv, bs, 0.25, 0.0011415481567382812
lv, te, 0.0, 4.4345855712890625e-05
lv, zh, 0.125, 0.0010144710540771484
lv, mk, 0.1111111111111111, 0.0007493495941162109
lv, hu, 0.16666666666666666, 0.0007214546203613281
lv, ko, 0.1111111111111111, 0.0007319450378417969
lv, union, 0.1111111111111111, 0.002426624298095703
el, el, 0.05555555555555555, 0.005553245544433594
el, es, 0.07142857142857142, 0.00090789794921875
el, pl, 0.09090909090909091, 0.00080108642578125
el, vi, 0.1111111111111111, 0.0020825862884521484
el, de, 0.0625, 0.011114120483398438
el, ml, 0.5, 0.0014119148254394531
el, sh, 0.1111111111111111, 0.0013823509216308594
el, nl, 0.09090909090909091, 0.0020291805267333984
el, pt, 0.0625, 0.0014469623565673828
el, ro, 0.08333333333333333, 0.0009663105010986328
el, ja, 0.0625, 0.009298086166381836
el, simple, 0.1111111111111111, 0.0014545917510986328
el, it, 0.058823529411764705, 0.002422809600830078
el, he, 0.1111111111111111, 0.0009214878082275391
el, da, 0.1111111111111111, 0.0008883476257324219
el, en, 0.05555555555555555, 0.010121583938598633
el, sr, 0.14285714285714285, 0.0013730525970458984
el, sv, 0.07692307692307693, 0.0013630390167236328
el, ckb, 0.3333333333333333, 0.0010781288146972656
el, ru, 0.058823529411764705, 0.007894754409790039
el, hi, 0.3333333333333333, 0.0012509822845458984
el, arz, 0.5, 0.00013065338134765625
el, bs, 0.3333333333333333, 0.0011365413665771484
el, te, 0.0, 4.363059997558594e-05
el, zh, 0.06666666666666667, 0.005197763442993164
el, mk, 0.07692307692307693, 0.0010821819305419922
el, hu, 0.125, 0.0008013248443603516
el, ko, 0.125, 0.0007476806640625
el, union, 0.05555555555555555, 0.009383201599121094
es, es, 0.025643655489809333, 0.036647796630859375
es, pl, 0.043478260869565216, 0.00711512565612793
es, vi, 0.0625, 0.003888368606567383
es, de, 0.030304866850321393, 0.0480196475982666
es, ml, 0.3333333333333333, 0.0008847713470458984
es, sh, 0.0625, 0.00034046173095703125
es, nl, 0.038463017751479284, 0.002025604248046875
es, pt, 0.038461538461538464, 0.008614301681518555
es, ro, 0.06666666666666667, 0.003892660140991211
es, ja, 0.030303030303030304, 0.09194159507751465
es, simple, 0.058830449826989616, 0.003976106643676758
es, it, 0.03225910509885536, 0.016037702560424805
es, he, 0.1111111111111111, 0.0014221668243408203
es, da, 0.07142857142857142, 0.0010421276092529297
es, en, 0.026318559556786702, 0.0333406925201416
es, sr, 0.09090909090909091, 0.0016398429870605469
es, sv, 0.045456611570247926, 0.002295970916748047
es, ckb, 0.25, 0.0010380744934082031
