Language1, Language2, SimilarityScore, Kernel, Time
id, id, 1.0, 1.0675000000000008, 0.0002913475036621094
id, fr, 1.0, 1.0225000000000009, 0.00011801719665527344
id, tr, 0.0, 0.0, 0.00011801719665527344
id, es, 1.0, 1.0, 8.273124694824219e-05
id, pl, 0.0, 0.0, 8.273124694824219e-05
id, vi, 0.0, 0.0, 8.273124694824219e-05
id, de, 1.0, 1.0, 7.224082946777344e-05
id, sh, 0.0, 0.0, 7.224082946777344e-05
id, nl, 1.0, 1.0, 6.937980651855469e-05
id, pt, 1.0, 1.0, 6.198883056640625e-05
id, ro, 0.0, 0.0, 6.198883056640625e-05
id, ja, 0.0, 0.0, 6.198883056640625e-05
id, simple, 0.0, 0.0, 6.198883056640625e-05
id, it, 1.0, 1.0225000000000009, 0.00013184547424316406
id, he, 0.0, 0.0, 0.00013184547424316406
id, da, 0.0, 0.0, 0.00013184547424316406
id, en, 0.5020797777427737, 1.0744230769230771, 0.0001671314239501953
id, sr, 0.0, 0.0, 0.0001671314239501953
id, sv, 0.0, 0.0, 0.0001671314239501953
id, ru, 1.0, 1.0, 7.867813110351562e-05
id, bs, 0.0, 0.0, 7.867813110351562e-05
id, zh, 1.0, 1.0, 6.723403930664062e-05
id, mk, 0.0, 0.0, 6.723403930664062e-05
id, hu, 0.0, 0.0, 6.723403930664062e-05
id, ko, 0.0, 0.0, 6.723403930664062e-05
fr, fr, 1.0, 1.2925000000000002, 0.0007448196411132812
fr, tr, 1.0, 1.0225000000000009, 0.00011587142944335938
fr, es, 1.0, 1.1349999999999978, 0.00032138824462890625
fr, pl, 1.0, 1.0225000000000009, 0.00014472007751464844
fr, vi, 1.0, 1.0, 6.842613220214844e-05
fr, de, 1.0, 1.0450000000000004, 0.0001456737518310547
fr, sh, 1.0, 1.0, 6.318092346191406e-05
fr, nl, 1.0, 1.0450000000000004, 0.0001399517059326172
fr, pt, 1.0, 1.0450000000000004, 0.0001385211944580078
fr, ro, 1.0, 1.0, 6.198883056640625e-05
fr, ja, 1.0, 1.0450000000000004, 0.00014066696166992188
fr, simple, 0.0, 0.0, 0.00014066696166992188
fr, it, 1.0, 1.0450000000000004, 0.00015020370483398438
fr, he, 1.0, 1.0, 6.246566772460938e-05
fr, da, 1.0, 1.0, 6.008148193359375e-05
fr, en, 1.0, 1.1349999999999978, 0.0003230571746826172
fr, sr, 0.0, 0.0, 0.0003230571746826172
fr, sv, 1.0, 1.0, 7.43865966796875e-05
fr, ru, 1.0, 1.0450000000000004, 0.00014662742614746094
fr, bs, 1.0, 1.0, 6.4849853515625e-05
fr, zh, 1.0, 1.0450000000000004, 0.00014257431030273438
fr, mk, 1.0, 1.0, 6.079673767089844e-05
fr, hu, 0.0, 0.0, 6.079673767089844e-05
fr, ko, 1.0, 1.0225000000000009, 0.00010538101196289062
tr, tr, 1.0, 1.0225000000000009, 0.00012254714965820312
tr, es, 1.0, 1.0, 6.103515625e-05
tr, pl, 0.0, 0.0, 6.103515625e-05
tr, vi, 1.0, 1.0, 6.175041198730469e-05
tr, de, 1.0, 1.0, 5.9604644775390625e-05
tr, sh, 1.0, 1.0, 5.888938903808594e-05
tr, nl, 1.0, 1.0, 5.984306335449219e-05
tr, pt, 1.0, 1.0, 5.984306335449219e-05
tr, ro, 0.0, 0.0, 5.984306335449219e-05
tr, ja, 1.0, 1.0, 6.031990051269531e-05
tr, simple, 0.0, 0.0, 6.031990051269531e-05
