Language1, Language2, SimilarityScore, Time
id, id, 0.0, 1.7881393432617188e-05
id, fr, 0.0, 1.0967254638671875e-05
id, tr, 0.0, 5.4836273193359375e-06
id, es, 0.0, 9.298324584960938e-06
id, pl, 0.0, 4.76837158203125e-06
id, vi, 0.0, 4.76837158203125e-06
id, de, 0.0, 9.298324584960938e-06
id, sh, 0.0, 4.5299530029296875e-06
id, nl, 0.0, 8.821487426757812e-06
id, pt, 0.0, 8.58306884765625e-06
id, ro, 0.0, 4.76837158203125e-06
id, ja, 0.0, 4.76837158203125e-06
id, simple, 0.0, 4.76837158203125e-06
id, it, 0.0, 9.775161743164062e-06
id, he, 0.0, 5.0067901611328125e-06
id, da, 0.0, 1.2874603271484375e-05
id, en, 0.0, 1.1205673217773438e-05
id, sr, 0.0, 5.4836273193359375e-06
id, sv, 0.0, 4.76837158203125e-06
id, ru, 0.0, 1.2636184692382812e-05
id, bs, 0.0, 5.7220458984375e-06
id, zh, 0.0, 1.1205673217773438e-05
id, mk, 0.0, 5.9604644775390625e-06
id, hu, 0.0, 1.3828277587890625e-05
id, ko, 0.0, 4.5299530029296875e-06
fr, fr, 0.0, 1.1682510375976562e-05
fr, tr, 0.0, 9.775161743164062e-06
fr, es, 0.0, 1.1205673217773438e-05
fr, pl, 0.0, 9.775161743164062e-06
fr, vi, 0.0, 9.775161743164062e-06
fr, de, 0.0, 9.775161743164062e-06
fr, sh, 0.0, 9.298324584960938e-06
fr, nl, 0.0, 9.775161743164062e-06
fr, pt, 0.0, 9.5367431640625e-06
fr, ro, 0.0, 1.0013580322265625e-05
fr, ja, 0.0, 1.0251998901367188e-05
fr, simple, 0.0, 5.7220458984375e-06
fr, it, 0.0, 1.0967254638671875e-05
fr, he, 0.0, 1.0251998901367188e-05
fr, da, 0.0, 1.0251998901367188e-05
fr, en, 0.0, 1.1444091796875e-05
fr, sr, 0.0, 5.0067901611328125e-06
fr, sv, 0.0, 9.775161743164062e-06
fr, ru, 0.0, 1.0013580322265625e-05
fr, bs, 0.0, 9.5367431640625e-06
fr, zh, 0.0, 9.5367431640625e-06
fr, mk, 0.0, 1.0013580322265625e-05
fr, hu, 0.0, 5.245208740234375e-06
fr, ko, 0.0, 1.0013580322265625e-05
tr, tr, 0.0, 1.049041748046875e-05
tr, es, 0.0, 9.775161743164062e-06
tr, pl, 0.0, 5.245208740234375e-06
tr, vi, 0.0, 1.0013580322265625e-05
tr, de, 0.0, 1.0251998901367188e-05
tr, sh, 0.0, 1.0013580322265625e-05
tr, nl, 0.0, 9.5367431640625e-06
tr, pt, 0.0, 9.5367431640625e-06
tr, ro, 0.0, 5.4836273193359375e-06
tr, ja, 0.0, 9.775161743164062e-06
tr, simple, 0.0, 5.245208740234375e-06
tr, it, 0.0, 1.0728836059570312e-05
tr, he, 0.0, 5.4836273193359375e-06
tr, da, 0.0, 1.0013580322265625e-05
tr, en, 0.0, 1.049041748046875e-05
tr, sr, 0.0, 5.7220458984375e-06
tr, sv, 0.0, 1.0013580322265625e-05
tr, ru, 0.0, 9.775161743164062e-06
tr, bs, 0.0, 1.0013580322265625e-05
tr, zh, 0.0, 1.0013580322265625e-05
tr, mk, 0.0, 9.775161743164062e-06
tr, hu, 0.0, 5.245208740234375e-06
tr, ko, 0.0, 1.0013580322265625e-05
es, es, 0.0, 1.9550323486328125e-05
es, pl, 0.0, 9.775161743164062e-06
es, vi, 0.0, 9.775161743164062e-06
es, de, 0.0, 1.0251998901367188e-05
es, sh, 0.0, 9.775161743164062e-06
es, nl, 0.0, 9.775161743164062e-06
es, pt, 0.0, 1.0013580322265625e-05
es, ro, 0.0, 9.775161743164062e-06
es, ja, 0.0, 1.0013580322265625e-05
es, simple, 0.0, 1.0013580322265625e-05
es, it, 0.0, 1.1205673217773438e-05
es, he, 0.0, 9.298324584960938e-06
es, da, 0.0, 9.298324584960938e-06
es, en, 0.0, 1.2874603271484375e-05
es, sr, 0.0, 1.0251998901367188e-05
es, sv, 0.0, 1.0013580322265625e-05
es, ru, 0.0, 1.0251998901367188e-05
es, bs, 0.0, 1.0251998901367188e-05
es, zh, 0.0, 1.0728836059570312e-05
es, mk, 0.0, 9.5367431640625e-06
es, hu, 0.0, 5.245208740234375e-06
es, ko, 0.0, 1.0728836059570312e-05
pl, pl, 0.0, 1.0013580322265625e-05
pl, vi, 0.0, 5.7220458984375e-06
pl, de, 0.0, 1.0251998901367188e-05
pl, sh, 0.0, 5.0067901611328125e-06
pl, nl, 0.0, 5.245208740234375e-06
pl, pt, 0.0, 9.775161743164062e-06
pl, ro, 0.0, 5.0067901611328125e-06
pl, ja, 0.0, 9.775161743164062e-06
pl, simple, 0.0, 5.7220458984375e-06
pl, it, 0.0, 1.0251998901367188e-05
pl, he, 0.0, 5.245208740234375e-06
pl, da, 0.0, 5.245208740234375e-06
pl, en, 0.0, 1.239776611328125e-05
pl, sr, 0.0, 5.9604644775390625e-06
pl, sv, 0.0, 5.7220458984375e-06
pl, ru, 0.0, 1.0013580322265625e-05
pl, bs, 0.0, 5.245208740234375e-06
pl, zh, 0.0, 9.775161743164062e-06
pl, mk, 0.0, 5.4836273193359375e-06
pl, hu, 0.0, 1.2874603271484375e-05
pl, ko, 0.0, 9.5367431640625e-06
vi, vi, 0.0, 9.775161743164062e-06
vi, de, 0.0, 1.0013580322265625e-05
vi, sh, 0.0, 9.5367431640625e-06
vi, nl, 0.0, 9.775161743164062e-06
