Language1, Language2, SimilarityScore, Time
id, id, 0.25, 0.0023522377014160156
id, fr, 0.5, 0.0002040863037109375
id, tr, 0.0, 4.792213439941406e-05
id, es, 1.0, 0.00011587142944335938
id, pl, 0.0, 4.315376281738281e-05
id, vi, 0.0, 3.62396240234375e-05
id, de, 1.0, 0.00010728836059570312
id, sh, 0.0, 3.933906555175781e-05
id, nl, 1.0, 0.00011086463928222656
id, pt, 1.0, 0.00011610984802246094
id, ro, 0.0, 4.100799560546875e-05
id, ja, 0.0, 3.3855438232421875e-05
id, simple, 0.0, 3.2901763916015625e-05
id, it, 0.5, 0.00012874603271484375
id, he, 0.0, 3.886222839355469e-05
id, da, 0.0, 3.1948089599609375e-05
id, en, 0.3333333333333333, 0.000148773193359375
id, sr, 0.0, 4.4345855712890625e-05
id, sv, 0.0, 3.62396240234375e-05
id, ru, 1.0, 0.00011324882507324219
id, bs, 0.0, 3.981590270996094e-05
id, zh, 1.0, 0.00011658668518066406
id, mk, 0.0, 4.0531158447265625e-05
id, hu, 0.0, 3.409385681152344e-05
id, ko, 0.0, 3.314018249511719e-05
id, union, 0.25, 0.0001609325408935547
fr, fr, 0.07142857142857142, 0.0002357959747314453
fr, tr, 0.5, 0.0001456737518310547
fr, es, 0.14285714285714285, 0.0001652240753173828
fr, pl, 0.5, 0.00013756752014160156
fr, vi, 1.0, 0.0001270771026611328
fr, de, 0.3333333333333333, 0.00013780593872070312
fr, sh, 1.0, 0.00012826919555664062
fr, nl, 0.3333333333333333, 0.008078813552856445
fr, pt, 0.3333333333333333, 0.00024390220642089844
fr, ro, 1.0, 0.0001289844512939453
fr, ja, 0.3333333333333333, 0.00013017654418945312
fr, simple, 0.0, 4.458427429199219e-05
fr, it, 0.3333333333333333, 0.0001442432403564453
fr, he, 1.0, 0.00012826919555664062
fr, da, 1.0, 0.00011444091796875
fr, en, 0.14285714285714285, 0.006796598434448242
fr, sr, 0.0, 9.226799011230469e-05
fr, sv, 1.0, 0.00016999244689941406
fr, ru, 0.3333333333333333, 0.0025506019592285156
fr, bs, 1.0, 0.00014925003051757812
fr, zh, 0.3333333333333333, 0.0001468658447265625
fr, mk, 1.0, 0.00012040138244628906
fr, hu, 0.0, 4.839897155761719e-05
fr, ko, 0.5, 0.0032083988189697266
fr, union, 0.07142857142857142, 0.0014390945434570312
tr, tr, 0.5, 0.0001914501190185547
tr, es, 1.0, 0.00014328956604003906
tr, pl, 0.0, 4.458427429199219e-05
