Language1, Language2, SimilarityScore, Time
id, id, 1.0, 1.9073486328125e-05
id, fr, 1.0, 1.33514404296875e-05
id, tr, 0.0, 1.049041748046875e-05
id, es, 1.0, 1.2636184692382812e-05
id, pl, 0.0, 7.152557373046875e-06
id, vi, 0.0, 6.4373016357421875e-06
id, de, 1.0, 1.1682510375976562e-05
id, sh, 0.0, 6.67572021484375e-06
id, nl, 1.0, 1.1205673217773438e-05
id, pt, 1.0, 1.0967254638671875e-05
id, ro, 0.0, 6.4373016357421875e-06
id, ja, 0.0, 6.4373016357421875e-06
id, simple, 0.0, 6.4373016357421875e-06
id, it, 1.0, 1.2874603271484375e-05
id, he, 0.0, 6.67572021484375e-06
id, da, 0.0, 6.198883056640625e-06
id, en, 1.0, 1.4781951904296875e-05
id, sr, 0.0, 6.4373016357421875e-06
id, sv, 0.0, 6.67572021484375e-06
id, ru, 1.0, 1.1444091796875e-05
id, bs, 0.0, 6.67572021484375e-06
id, zh, 1.0, 1.1920928955078125e-05
id, mk, 0.0, 6.9141387939453125e-06
id, hu, 0.0, 6.4373016357421875e-06
id, ko, 0.0, 6.198883056640625e-06
fr, fr, 1.0, 1.4781951904296875e-05
fr, tr, 1.0, 1.239776611328125e-05
fr, es, 1.0, 1.3113021850585938e-05
fr, pl, 1.0, 1.1205673217773438e-05
fr, vi, 1.0, 1.1682510375976562e-05
fr, de, 1.0, 1.2159347534179688e-05
fr, sh, 1.0, 1.0967254638671875e-05
fr, nl, 1.0, 1.1205673217773438e-05
fr, pt, 1.0, 1.1444091796875e-05
fr, ro, 1.0, 1.0967254638671875e-05
fr, ja, 1.0, 1.0967254638671875e-05
fr, simple, 0.0, 8.344650268554688e-06
fr, it, 1.0, 1.2874603271484375e-05
fr, he, 1.0, 1.1920928955078125e-05
fr, da, 1.0, 1.1205673217773438e-05
fr, en, 1.0, 1.3828277587890625e-05
fr, sr, 0.0, 7.867813110351562e-06
fr, sv, 1.0, 1.2159347534179688e-05
fr, ru, 1.0, 1.1444091796875e-05
fr, bs, 1.0, 1.0967254638671875e-05
fr, zh, 1.0, 1.1444091796875e-05
fr, mk, 1.0, 1.1444091796875e-05
fr, hu, 0.0, 7.152557373046875e-06
fr, ko, 1.0, 1.1205673217773438e-05
