Language1, Language2, SimilarityScore, Time
id, id, 1.0, 8.630752563476562e-05
id, fr, 0.3769907836818766, 2.2649765014648438e-05
id, mr, 0.41128702849491805, 2.002716064453125e-05
id, tr, 0.45041182992111595, 1.811981201171875e-05
id, lv, 0.41128702849491805, 1.621246337890625e-05
id, el, 0.41128702849491805, 1.5974044799804688e-05
id, es, 0.42145324679703333, 1.71661376953125e-05
id, pl, 0.45041182992111595, 1.52587890625e-05
id, vi, 0.41128702849491805, 1.6450881958007812e-05
id, de, 0.41128702849491805, 1.9311904907226562e-05
id, sh, 0.4524466053294742, 1.6927719116210938e-05
id, nl, 0.3763566302208245, 1.7881393432617188e-05
id, pt, 0.4539486570135861, 1.811981201171875e-05
id, ro, 0.41128702849491805, 1.5735626220703125e-05
id, ja, 0.41128702849491805, 1.621246337890625e-05
id, simple, 0.41128702849491805, 1.71661376953125e-05
id, it, 0.4988860325990467, 1.5735626220703125e-05
id, he, 0.42850845773364854, 1.52587890625e-05
id, da, 0.41128702849491805, 1.6927719116210938e-05
id, en, 0.5990541736680197, 1.9073486328125e-05
id, sr, 0.41723520830987026, 1.5735626220703125e-05
id, sv, 0.4524466053294742, 1.8596649169921875e-05
id, ckb, 0.41128702849491805, 1.52587890625e-05
id, ru, 0.41128702849491805, 1.5974044799804688e-05
id, hi, 0.41128702849491805, 1.5020370483398438e-05
id, bs, 0.41128702849491805, 1.6689300537109375e-05
id, zh, 0.41128702849491805, 1.52587890625e-05
id, mk, 0.41128702849491805, 1.6689300537109375e-05
id, hu, 0.4610161802582539, 2.2172927856445312e-05
id, ko, 0.41128702849491805, 1.5735626220703125e-05
id, union, 0.3621071291071263, 1.811981201171875e-05
fr, fr, 1.0, 1.7881393432617188e-05
fr, mr, 0.41691170415342604, 1.5497207641601562e-05
fr, tr, 0.42602544814620985, 1.5497207641601562e-05
fr, lv, 0.41691170415342604, 1.71661376953125e-05
fr, el, 0.41691170415342604, 1.52587890625e-05
fr, es, 0.46600337434686756, 1.5974044799804688e-05
fr, pl, 0.42602544814620985, 1.8358230590820312e-05
fr, vi, 0.41691170415342604, 1.71661376953125e-05
fr, de, 0.41691170415342604, 1.621246337890625e-05
fr, sh, 0.3544608908600424, 1.6689300537109375e-05
fr, nl, 0.31856331459673093, 1.5020370483398438e-05
fr, pt, 0.4168154116212841, 1.5974044799804688e-05
fr, ro, 0.41691170415342604, 1.6927719116210938e-05
fr, ja, 0.41691170415342604, 1.5497207641601562e-05
fr, simple, 0.41691170415342604, 1.52587890625e-05
fr, it, 0.3795184267527542, 1.7642974853515625e-05
fr, he, 0.4277383051838699, 1.8835067749023438e-05
fr, da, 0.41691170415342604, 1.5497207641601562e-05
fr, en, 0.3977046318119836, 1.6927719116210938e-05
fr, sr, 0.35120996470108845, 1.52587890625e-05
fr, sv, 0.3544608908600424, 1.9073486328125e-05
fr, ckb, 0.41691170415342604, 1.5497207641601562e-05
fr, ru, 0.41691170415342604, 1.5974044799804688e-05
fr, hi, 0.41691170415342604, 1.52587890625e-05
fr, bs, 0.41691170415342604, 1.6927719116210938e-05
fr, zh, 0.41691170415342604, 2.0742416381835938e-05
fr, mk, 0.41691170415342604, 1.5974044799804688e-05
fr, hu, 0.42574868018437945, 1.621246337890625e-05
fr, ko, 0.41691170415342604, 1.621246337890625e-05
fr, union, 0.34600615158871323, 1.52587890625e-05
mr, mr, 1.0, 1.5974044799804688e-05
mr, tr, 0.6432777591606226, 1.6450881958007812e-05
mr, lv, 1.0, 1.5497207641601562e-05
mr, el, 1.0, 1.621246337890625e-05
mr, es, 0.7411828468492556, 1.6927719116210938e-05
mr, pl, 0.6432777591606226, 1.8358230590820312e-05
mr, vi, 1.0, 2.1219253540039062e-05
mr, de, 1.0, 1.71661376953125e-05
mr, sh, 0.4397754306092592, 1.5974044799804688e-05
mr, nl, 0.3753261722639772, 1.5735626220703125e-05
mr, pt, 0.7205906670052369, 1.621246337890625e-05
mr, ro, 1.0, 1.5735626220703125e-05
mr, ja, 1.0, 1.5497207641601562e-05
mr, simple, 1.0, 1.6927719116210938e-05
mr, it, 0.3884977131564414, 1.8358230590820312e-05
mr, he, 0.8374125296219865, 1.5497207641601562e-05
mr, da, 1.0, 1.811981201171875e-05
mr, en, 0.45546610120455616, 1.5020370483398438e-05
mr, sr, 0.4371986159608006, 1.621246337890625e-05
mr, sv, 0.4397754306092592, 1.52587890625e-05
mr, ckb, 1.0, 1.621246337890625e-05
mr, ru, 1.0, 1.4781951904296875e-05
mr, hi, 1.0, 1.6450881958007812e-05
mr, bs, 1.0, 1.9073486328125e-05
mr, zh, 1.0, 1.6689300537109375e-05
mr, mk, 1.0, 1.5497207641601562e-05
mr, hu, 0.578662931400625, 1.5735626220703125e-05
mr, ko, 1.0, 1.5497207641601562e-05
mr, union, 0.34726312465585757, 1.71661376953125e-05
tr, tr, 1.0, 1.5497207641601562e-05
tr, lv, 0.6432777591606226, 1.621246337890625e-05
tr, el, 0.6432777591606226, 1.5020370483398438e-05
tr, es, 0.6376894310973793, 1.621246337890625e-05
tr, pl, 0.5366501730025914, 2.0503997802734375e-05
tr, vi, 0.6432777591606226, 1.5735626220703125e-05
tr, de, 0.6432777591606226, 1.6450881958007812e-05
tr, sh, 0.43428117476550465, 1.5974044799804688e-05
tr, nl, 0.4300984393433484, 1.5497207641601562e-05
tr, pt, 0.7050998210319672, 1.5735626220703125e-05
tr, ro, 0.6432777591606226, 1.6689300537109375e-05
tr, ja, 0.6432777591606226, 1.52587890625e-05
tr, simple, 0.6432777591606226, 1.5974044799804688e-05
tr, it, 0.44354085579025876, 1.6689300537109375e-05
tr, he, 0.7088178566352328, 1.8358230590820312e-05
tr, da, 0.6432777591606226, 1.5020370483398438e-05
tr, en, 0.5319548645617677, 1.5974044799804688e-05
tr, sr, 0.4147071361483785, 1.5497207641601562e-05
tr, sv, 0.43428117476550465, 1.621246337890625e-05
tr, ckb, 0.6432777591606226, 1.52587890625e-05
tr, ru, 0.6432777591606226, 1.6450881958007812e-05
tr, hi, 0.6432777591606226, 1.4543533325195312e-05
tr, bs, 0.6432777591606226, 1.6450881958007812e-05
tr, zh, 0.6432777591606226, 1.9073486328125e-05
tr, mk, 0.6432777591606226, 1.621246337890625e-05
tr, hu, 0.5377599448363275, 1.5497207641601562e-05
tr, ko, 0.6432777591606226, 1.5735626220703125e-05
tr, union, 0.3521335006771941, 1.5020370483398438e-05
lv, lv, 1.0, 1.5974044799804688e-05
lv, el, 1.0, 1.5974044799804688e-05
lv, es, 0.7411828468492556, 1.52587890625e-05
lv, pl, 0.6432777591606226, 1.52587890625e-05
lv, vi, 1.0, 1.6450881958007812e-05
lv, de, 1.0, 2.0742416381835938e-05
lv, sh, 0.4397754306092592, 1.5974044799804688e-05
lv, nl, 0.3753261722639772, 1.621246337890625e-05
lv, pt, 0.7205906670052369, 1.5974044799804688e-05
lv, ro, 1.0, 1.52587890625e-05
lv, ja, 1.0, 1.621246337890625e-05
lv, simple, 1.0, 1.71661376953125e-05
lv, it, 0.3884977131564414, 1.5497207641601562e-05
lv, he, 0.8374125296219865, 1.4781951904296875e-05
lv, da, 1.0, 1.6689300537109375e-05
lv, en, 0.45546610120455616, 1.9311904907226562e-05
lv, sr, 0.4371986159608006, 1.52587890625e-05
lv, sv, 0.4397754306092592, 1.5974044799804688e-05
lv, ckb, 1.0, 1.5974044799804688e-05
lv, ru, 1.0, 1.52587890625e-05
lv, hi, 1.0, 1.5735626220703125e-05
lv, bs, 1.0, 1.5974044799804688e-05
lv, zh, 1.0, 1.5020370483398438e-05
lv, mk, 1.0, 1.52587890625e-05
lv, hu, 0.578662931400625, 1.621246337890625e-05
lv, ko, 1.0, 1.8358230590820312e-05
lv, union, 0.34726312465585757, 1.5020370483398438e-05
el, el, 1.0, 1.621246337890625e-05
el, es, 0.7411828468492556, 1.621246337890625e-05
el, pl, 0.6432777591606226, 1.6450881958007812e-05
el, vi, 1.0, 1.6450881958007812e-05
el, de, 1.0, 1.5735626220703125e-05
el, sh, 0.4397754306092592, 1.5020370483398438e-05
el, nl, 0.3753261722639772, 1.71661376953125e-05
el, pt, 0.7205906670052369, 2.0503997802734375e-05
el, ro, 1.0, 1.6689300537109375e-05
el, ja, 1.0, 1.6927719116210938e-05
el, simple, 1.0, 1.7881393432617188e-05
el, it, 0.3884977131564414, 1.52587890625e-05
el, he, 0.8374125296219865, 1.5735626220703125e-05
el, da, 1.0, 1.621246337890625e-05
el, en, 0.45546610120455616, 1.52587890625e-05
el, sr, 0.4371986159608006, 1.4781951904296875e-05
el, sv, 0.4397754306092592, 1.6689300537109375e-05
el, ckb, 1.0, 2.0742416381835938e-05
el, ru, 1.0, 1.5974044799804688e-05
el, hi, 1.0, 1.5974044799804688e-05
el, bs, 1.0, 1.5974044799804688e-05
el, zh, 1.0, 1.5020370483398438e-05
el, mk, 1.0, 1.621246337890625e-05
el, hu, 0.578662931400625, 1.6450881958007812e-05
el, ko, 1.0, 1.5497207641601562e-05
el, union, 0.34726312465585757, 1.4781951904296875e-05
es, es, 1.0, 1.621246337890625e-05
es, pl, 0.6393290755910214, 1.9073486328125e-05
es, vi, 0.7411828468492556, 1.5735626220703125e-05
es, de, 0.7411828468492556, 1.7881393432617188e-05
es, sh, 0.4325104027029967, 1.5735626220703125e-05
es, nl, 0.36774241790093504, 1.7404556274414062e-05
es, pt, 0.6738699215628075, 1.71661376953125e-05
es, ro, 0.7411828468492556, 1.5735626220703125e-05
es, ja, 0.7411828468492556, 1.52587890625e-05
es, simple, 0.7411828468492556, 1.6450881958007812e-05
es, it, 0.4026708547888884, 1.8358230590820312e-05
es, he, 0.765379216533096, 1.52587890625e-05
es, da, 0.7411828468492556, 1.7881393432617188e-05
es, en, 0.46776283269695657, 1.621246337890625e-05
es, sr, 0.4291096938848617, 1.5974044799804688e-05
es, sv, 0.4325104027029967, 1.52587890625e-05
es, ckb, 0.7411828468492556, 1.6689300537109375e-05
es, ru, 0.7411828468492556, 1.4781951904296875e-05
es, hi, 0.7411828468492556, 1.5735626220703125e-05
es, bs, 0.7411828468492556, 1.9550323486328125e-05
es, zh, 0.7411828468492556, 1.6450881958007812e-05
es, mk, 0.7411828468492556, 1.6689300537109375e-05
es, hu, 0.5896594047767371, 1.8358230590820312e-05
es, ko, 0.7411828468492556, 1.5020370483398438e-05
es, union, 0.34850619038733666, 1.5497207641601562e-05
pl, pl, 1.0, 1.6450881958007812e-05
pl, vi, 0.6432777591606226, 1.5735626220703125e-05
pl, de, 0.6432777591606226, 1.5020370483398438e-05
pl, sh, 0.461928087967034, 1.621246337890625e-05
pl, nl, 0.3563050523166212, 2.0265579223632812e-05
pl, pt, 0.646388696355663, 1.5497207641601562e-05
pl, ro, 0.6432777591606226, 1.7642974853515625e-05
pl, ja, 0.6432777591606226, 1.6450881958007812e-05
pl, simple, 0.6432777591606226, 1.9073486328125e-05
pl, it, 0.40135022922082914, 1.5497207641601562e-05
pl, he, 0.6209977445148688, 1.71661376953125e-05
pl, da, 0.6432777591606226, 1.5020370483398438e-05
pl, en, 0.4760396232009666, 1.5497207641601562e-05
pl, sr, 0.45618204774332966, 1.9550323486328125e-05
pl, sv, 0.461928087967034, 1.6689300537109375e-05
pl, ckb, 0.6432777591606226, 1.71661376953125e-05
pl, ru, 0.6432777591606226, 1.7881393432617188e-05
pl, hi, 0.6432777591606226, 1.4781951904296875e-05
pl, bs, 0.6432777591606226, 1.5735626220703125e-05
pl, zh, 0.6432777591606226, 1.621246337890625e-05
pl, mk, 0.6432777591606226, 1.5735626220703125e-05
pl, hu, 0.6463723005483746, 1.5020370483398438e-05
pl, ko, 0.6432777591606226, 1.6689300537109375e-05
pl, union, 0.3507520797982179, 2.09808349609375e-05
vi, vi, 1.0, 1.5497207641601562e-05
vi, de, 1.0, 1.6927719116210938e-05
vi, sh, 0.4397754306092592, 1.621246337890625e-05
vi, nl, 0.3753261722639772, 1.5735626220703125e-05
vi, pt, 0.7205906670052369, 1.5974044799804688e-05
vi, ro, 1.0, 1.6927719116210938e-05
vi, ja, 1.0, 1.52587890625e-05
vi, simple, 1.0, 1.5974044799804688e-05
vi, it, 0.3884977131564414, 1.71661376953125e-05
vi, he, 0.8374125296219865, 1.8358230590820312e-05
vi, da, 1.0, 1.5735626220703125e-05
vi, en, 0.45546610120455616, 1.7881393432617188e-05
vi, sr, 0.4371986159608006, 1.5735626220703125e-05
vi, sv, 0.4397754306092592, 1.6927719116210938e-05
vi, ckb, 1.0, 1.52587890625e-05
vi, ru, 1.0, 1.7642974853515625e-05
vi, hi, 1.0, 1.5020370483398438e-05
vi, bs, 1.0, 1.6450881958007812e-05
vi, zh, 1.0, 1.8596649169921875e-05
vi, mk, 1.0, 1.6689300537109375e-05
vi, hu, 0.578662931400625, 1.7642974853515625e-05
vi, ko, 1.0, 1.811981201171875e-05
vi, union, 0.34726312465585757, 1.52587890625e-05
de, de, 1.0, 1.5974044799804688e-05
de, sh, 0.4397754306092592, 1.6689300537109375e-05
de, nl, 0.3753261722639772, 1.621246337890625e-05
de, pt, 0.7205906670052369, 1.4781951904296875e-05
de, ro, 1.0, 1.6927719116210938e-05
de, ja, 1.0, 2.0742416381835938e-05
de, simple, 1.0, 1.5735626220703125e-05
de, it, 0.3884977131564414, 1.621246337890625e-05
de, he, 0.8374125296219865, 1.621246337890625e-05
de, da, 1.0, 1.5497207641601562e-05
de, en, 0.45546610120455616, 1.5974044799804688e-05
de, sr, 0.4371986159608006, 1.621246337890625e-05
de, sv, 0.4397754306092592, 2.7894973754882812e-05
de, ckb, 1.0, 1.5497207641601562e-05
de, ru, 1.0, 1.6689300537109375e-05
de, hi, 1.0, 1.8358230590820312e-05
de, bs, 1.0, 1.5497207641601562e-05
de, zh, 1.0, 1.811981201171875e-05
de, mk, 1.0, 1.71661376953125e-05
de, hu, 0.578662931400625, 1.4781951904296875e-05
de, ko, 1.0, 1.52587890625e-05
de, union, 0.34726312465585757, 1.6927719116210938e-05
sh, sh, 1.0, 1.52587890625e-05
sh, nl, 0.34895321162709736, 1.5020370483398438e-05
sh, pt, 0.44704240165791825, 1.6927719116210938e-05
sh, ro, 0.4397754306092592, 1.8596649169921875e-05
sh, ja, 0.4397754306092592, 1.5020370483398438e-05
sh, simple, 0.4397754306092592, 1.7404556274414062e-05
sh, it, 0.3650836656284034, 1.5497207641601562e-05
sh, he, 0.4402955835127618, 1.5497207641601562e-05
sh, da, 0.4397754306092592, 1.5497207641601562e-05
sh, en, 0.42412619771919796, 1.621246337890625e-05
sh, sr, 0.7162610221171642, 1.4781951904296875e-05
sh, sv, 1.0, 1.6450881958007812e-05
sh, ckb, 0.4397754306092592, 2.0503997802734375e-05
sh, ru, 0.4397754306092592, 1.5974044799804688e-05
sh, hi, 0.4397754306092592, 1.6450881958007812e-05
sh, bs, 0.4397754306092592, 1.621246337890625e-05
sh, zh, 0.4397754306092592, 1.5020370483398438e-05
sh, mk, 0.4397754306092592, 1.6927719116210938e-05
sh, hu, 0.4242352016328917, 1.6450881958007812e-05
sh, ko, 0.4397754306092592, 1.5974044799804688e-05
sh, union, 0.35440556806575974, 1.4781951904296875e-05
nl, nl, 1.0, 1.71661376953125e-05
nl, pt, 0.4068442560366478, 2.0265579223632812e-05
nl, ro, 0.3753261722639772, 1.5497207641601562e-05
nl, ja, 0.3753261722639772, 1.5735626220703125e-05
nl, simple, 0.3753261722639772, 1.5735626220703125e-05
nl, it, 0.39342261472110557, 1.5020370483398438e-05
nl, he, 0.3864761822704689, 1.5735626220703125e-05
nl, da, 0.3753261722639772, 1.6927719116210938e-05
nl, en, 0.42496650908068667, 1.52587890625e-05
nl, sr, 0.32918033560229737, 1.5974044799804688e-05
nl, sv, 0.34895321162709736, 1.8596649169921875e-05
nl, ckb, 0.3753261722639772, 1.6689300537109375e-05
nl, ru, 0.3753261722639772, 1.52587890625e-05
nl, hi, 0.3753261722639772, 1.8596649169921875e-05
nl, bs, 0.3753261722639772, 1.52587890625e-05
nl, zh, 0.3753261722639772, 1.5735626220703125e-05
nl, mk, 0.3753261722639772, 1.621246337890625e-05
nl, hu, 0.35149984496086967, 1.52587890625e-05
nl, ko, 0.3753261722639772, 1.4543533325195312e-05
nl, union, 0.3423879981790148, 1.621246337890625e-05
pt, pt, 1.0, 2.1219253540039062e-05
pt, ro, 0.7205906670052369, 1.5497207641601562e-05
pt, ja, 0.7205906670052369, 1.7404556274414062e-05
pt, simple, 0.7205906670052369, 1.7642974853515625e-05
pt, it, 0.44345399739949515, 1.4543533325195312e-05
pt, he, 0.7511464281500237, 1.5497207641601562e-05
pt, da, 0.7205906670052369, 1.71661376953125e-05
pt, en, 0.5345020488767239, 1.5020370483398438e-05
pt, sr, 0.4254511513987766, 1.52587890625e-05
pt, sv, 0.44704240165791825, 1.6927719116210938e-05
pt, ckb, 0.7205906670052369, 1.811981201171875e-05
pt, ru, 0.7205906670052369, 1.5497207641601562e-05
pt, hi, 0.7205906670052369, 1.7404556274414062e-05
pt, bs, 0.7205906670052369, 1.52587890625e-05
pt, zh, 0.7205906670052369, 1.7881393432617188e-05
pt, mk, 0.7205906670052369, 1.5020370483398438e-05
pt, hu, 0.6379478370518844, 1.5974044799804688e-05
pt, ko, 0.7205906670052369, 1.4543533325195312e-05
pt, union, 0.3519348918608201, 1.621246337890625e-05
ro, ro, 1.0, 2.0742416381835938e-05
ro, ja, 1.0, 1.5735626220703125e-05
ro, simple, 1.0, 1.5735626220703125e-05
ro, it, 0.3884977131564414, 1.5974044799804688e-05
ro, he, 0.8374125296219865, 1.52587890625e-05
ro, da, 1.0, 1.5974044799804688e-05
ro, en, 0.45546610120455616, 1.6450881958007812e-05
ro, sr, 0.4371986159608006, 1.5974044799804688e-05
ro, sv, 0.4397754306092592, 1.4781951904296875e-05
ro, ckb, 1.0, 1.6927719116210938e-05
ro, ru, 1.0, 1.9073486328125e-05
ro, hi, 1.0, 1.5020370483398438e-05
ro, bs, 1.0, 1.6689300537109375e-05
ro, zh, 1.0, 1.5974044799804688e-05
ro, mk, 1.0, 1.52587890625e-05
ro, hu, 0.578662931400625, 1.621246337890625e-05
ro, ko, 1.0, 1.6689300537109375e-05
ro, union, 0.34726312465585757, 1.52587890625e-05
ja, ja, 1.0, 1.4543533325195312e-05
ja, simple, 1.0, 1.6927719116210938e-05
ja, it, 0.3884977131564414, 2.09808349609375e-05
ja, he, 0.8374125296219865, 1.52587890625e-05
ja, da, 1.0, 1.5735626220703125e-05
ja, en, 0.45546610120455616, 1.5974044799804688e-05
ja, sr, 0.4371986159608006, 1.5020370483398438e-05
ja, sv, 0.4397754306092592, 1.9788742065429688e-05
ja, ckb, 1.0, 1.71661376953125e-05
ja, ru, 1.0, 1.6450881958007812e-05
