Language1, Language2, SimilarityScore, Time
id, id, 1.0, 7.605552673339844e-05
id, fr, 0.6666666666666666, 4.291534423828125e-05
id, mr, 1.0, 1.811981201171875e-05
id, tr, 0.9090909090909091, 2.6464462280273438e-05
id, lv, 0.6666666666666666, 1.811981201171875e-05
id, el, 0.6666666666666666, 1.7642974853515625e-05
id, es, 0.6885245901639344, 4.410743713378906e-05
id, pl, 0.75, 4.220008850097656e-05
id, vi, 0.6666666666666666, 2.7179718017578125e-05
id, de, 0.6666666666666666, 3.9577484130859375e-05
id, sh, 0.8266666666666667, 5.364418029785156e-05
id, nl, 0.782608695652174, 5.0067901611328125e-05
id, pt, 0.787878787878788, 4.5299530029296875e-05
id, ro, 0.6666666666666666, 1.9073486328125e-05
id, ja, 0.6666666666666666, 3.9577484130859375e-05
id, simple, 0.6666666666666666, 2.6226043701171875e-05
id, it, 0.8888888888888888, 5.173683166503906e-05
id, he, 0.7301587301587302, 4.100799560546875e-05
id, da, 0.6666666666666666, 2.0742416381835938e-05
id, en, 0.8947368421052632, 5.054473876953125e-05
id, sr, 0.7777777777777779, 4.9114227294921875e-05
id, sv, 0.8266666666666667, 4.792213439941406e-05
id, ckb, 0.6666666666666666, 1.7642974853515625e-05
id, ru, 0.6666666666666666, 3.838539123535156e-05
id, hi, 1.0, 1.6450881958007812e-05
id, bs, 1.0, 1.5735626220703125e-05
id, zh, 0.6666666666666666, 2.7179718017578125e-05
id, mk, 0.6666666666666666, 3.8623809814453125e-05
id, hu, 0.8837209302325582, 3.170967102050781e-05
id, ko, 0.6666666666666666, 2.0742416381835938e-05
fr, fr, 1.0, 1.3828277587890625e-05
fr, mr, 0.6666666666666666, 1.2159347534179688e-05
fr, tr, 0.6666666666666666, 1.8596649169921875e-05
fr, lv, 0.6666666666666666, 1.4781951904296875e-05
fr, el, 1.0, 1.5020370483398438e-05
fr, es, 0.6666666666666666, 1.6927719116210938e-05
fr, pl, 0.6666666666666666, 1.9073486328125e-05
fr, vi, 0.6666666666666666, 1.5974044799804688e-05
fr, de, 0.6666666666666666, 1.5497207641601562e-05
fr, sh, 0.6666666666666666, 2.6464462280273438e-05
fr, nl, 0.6666666666666666, 2.1696090698242188e-05
fr, pt, 0.6666666666666666, 2.002716064453125e-05
fr, ro, 0.6666666666666666, 1.5020370483398438e-05
fr, ja, 0.6666666666666666, 1.52587890625e-05
fr, simple, 0.6666666666666666, 1.52587890625e-05
fr, it, 0.6666666666666666, 2.5510787963867188e-05
fr, he, 0.6666666666666666, 1.7881393432617188e-05
fr, da, 0.6666666666666666, 1.52587890625e-05
fr, en, 0.6666666666666666, 2.6702880859375e-05
fr, sr, 0.6666666666666666, 2.2172927856445312e-05
fr, sv, 0.6666666666666666, 2.6226043701171875e-05
fr, ckb, 1.0, 1.52587890625e-05
fr, ru, 0.6666666666666666, 1.5735626220703125e-05
fr, hi, 0.6666666666666666, 1.52587890625e-05
fr, bs, 0.6666666666666666, 1.4781951904296875e-05
fr, zh, 0.6666666666666666, 1.5497207641601562e-05
fr, mk, 0.6666666666666666, 1.6450881958007812e-05
fr, hu, 0.6666666666666666, 2.3365020751953125e-05
fr, ko, 0.6666666666666666, 1.5735626220703125e-05
mr, mr, 1.0, 1.7881393432617188e-05
mr, tr, 1.0, 1.4066696166992188e-05
mr, lv, 1.0, 1.4066696166992188e-05
mr, el, 1.0, 9.059906005859375e-06
mr, es, 1.0, 1.4543533325195312e-05
mr, pl, 1.0, 1.3828277587890625e-05
mr, vi, 1.0, 1.3828277587890625e-05
mr, de, 1.0, 1.3113021850585938e-05
mr, sh, 1.0, 1.430511474609375e-05
mr, nl, 1.0, 1.4066696166992188e-05
mr, pt, 1.0, 1.4066696166992188e-05
mr, ro, 1.0, 1.3589859008789062e-05
mr, ja, 1.0, 1.3113021850585938e-05
mr, simple, 1.0, 1.3113021850585938e-05
mr, it, 1.0, 1.3828277587890625e-05
mr, he, 1.0, 1.3828277587890625e-05
mr, da, 1.0, 1.33514404296875e-05
mr, en, 1.0, 1.4066696166992188e-05
mr, sr, 1.0, 1.3828277587890625e-05
mr, sv, 1.0, 1.3589859008789062e-05
mr, ckb, 1.0, 8.58306884765625e-06
mr, ru, 1.0, 1.3828277587890625e-05
