Language1, Language2, SimilarityScore, Kernel, Time
id, id, 1.0, 1.0225000000000009, 0.0001766681671142578
id, fr, 1.0, 1.0225000000000009, 0.00010776519775390625
id, tr, 1.0, 1.0, 6.389617919921875e-05
id, lv, 1.0, 1.0, 6.008148193359375e-05
id, el, 1.0, 1.0, 5.9604644775390625e-05
id, es, 1.0, 1.0225000000000009, 0.00010275840759277344
id, pl, 1.0, 1.0, 5.91278076171875e-05
id, vi, 1.0, 1.0, 5.8650970458984375e-05
id, de, 1.0, 1.0, 6.29425048828125e-05
id, sh, 1.0, 1.0, 5.91278076171875e-05
id, nl, 1.0, 1.0, 5.888938903808594e-05
id, pt, 1.0, 1.0225000000000009, 0.00010013580322265625
id, ro, 1.0, 1.0, 5.888938903808594e-05
id, ja, 1.0, 1.0, 6.008148193359375e-05
id, it, 1.0, 1.0225000000000009, 0.00010156631469726562
id, ceb, 0.0, 0.0, 0.00010156631469726562
id, he, 1.0, 1.0, 6.0558319091796875e-05
id, da, 1.0, 1.0, 5.91278076171875e-05
id, en, 0.5660160774121898, 1.0391304347826091, 0.00010395050048828125
id, sr, 1.0, 1.0, 6.008148193359375e-05
id, sv, 1.0, 1.0225000000000009, 0.00010371208190917969
id, ru, 1.0, 1.0, 5.817413330078125e-05
id, hi, 0.0, 0.0, 5.817413330078125e-05
id, arz, 1.0, 1.0, 6.008148193359375e-05
id, bs, 1.0, 1.0, 5.888938903808594e-05
id, zh, 1.0, 1.0, 5.936622619628906e-05
id, mk, 1.0, 1.0, 6.031990051269531e-05
id, hu, 1.0, 1.0, 6.0558319091796875e-05
id, ko, 1.0, 1.0, 6.151199340820312e-05
fr, fr, 1.0, 2.4248313306369838, 0.0004391670227050781
fr, tr, 1.0, 1.0, 6.341934204101562e-05
fr, lv, 1.0, 1.0, 6.198883056640625e-05
fr, el, 1.0, 1.0, 6.079673767089844e-05
fr, es, 1.0, 1.0675000000000008, 0.0001888275146484375
fr, pl, 1.0, 1.0, 6.222724914550781e-05
fr, vi, 1.0, 1.0225000000000009, 0.00010085105895996094
fr, de, 1.0, 1.0225000000000009, 0.0001010894775390625
fr, sh, 1.0, 1.0, 6.198883056640625e-05
fr, nl, 1.0, 1.0, 5.793571472167969e-05
fr, pt, 1.0, 1.0225000000000009, 0.0001049041748046875
fr, ro, 1.0, 1.0, 6.031990051269531e-05
fr, ja, 1.0, 1.0450000000000004, 0.0001430511474609375
fr, it, 1.0, 1.0225000000000009, 0.00010037422180175781
fr, ceb, 1.0, 1.0, 5.91278076171875e-05
fr, he, 1.0, 1.0, 6.079673767089844e-05
fr, da, 1.0, 1.0, 5.91278076171875e-05
fr, en, 0.3889305872613408, 1.2694230769230757, 0.0002796649932861328
fr, sr, 1.0, 1.0, 6.222724914550781e-05
fr, sv, 1.0, 1.0450000000000004, 0.0001423358917236328
fr, ru, 1.0, 1.0450000000000004, 0.00014162063598632812
fr, hi, 1.0, 1.0, 5.984306335449219e-05
fr, arz, 1.0, 1.0, 5.91278076171875e-05
fr, bs, 1.0, 1.0225000000000009, 0.00010323524475097656
fr, zh, 1.0, 1.0225000000000009, 0.00010037422180175781
fr, mk, 1.0, 1.0225000000000009, 0.00010275840759277344
