Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 2.765655517578125e-05
fr, pl, 1.0, 1.0251998901367188e-05
fr, vi, 1.0, 9.298324584960938e-06
fr, de, 1.0, 8.58306884765625e-06
fr, sh, 1.0, 8.344650268554688e-06
fr, nl, 1.0, 8.106231689453125e-06
fr, ja, 1.0, 8.344650268554688e-06
fr, simple, 1.0, 8.58306884765625e-06
fr, it, 1.0, 8.58306884765625e-06
fr, en, 1.0, 1.621246337890625e-05
fr, sr, 1.0, 8.344650268554688e-06
fr, ru, 1.0, 8.58306884765625e-06
fr, zh, 1.0, 1.4066696166992188e-05
fr, hu, 1.0, 8.344650268554688e-06
pl, pl, 1.0, 1.430511474609375e-05
pl, vi, 1.0, 8.344650268554688e-06
pl, de, 1.0, 8.106231689453125e-06
pl, sh, 1.0, 8.344650268554688e-06
pl, nl, 1.0, 8.344650268554688e-06
pl, ja, 1.0, 8.106231689453125e-06
pl, simple, 1.0, 8.106231689453125e-06
pl, it, 1.0, 8.106231689453125e-06
pl, en, 1.0, 8.106231689453125e-06
pl, sr, 1.0, 8.106231689453125e-06
pl, ru, 1.0, 7.867813110351562e-06
pl, zh, 1.0, 8.106231689453125e-06
pl, hu, 1.0, 8.58306884765625e-06
vi, vi, 1.0, 1.52587890625e-05
vi, de, 1.0, 1.4066696166992188e-05
vi, sh, 1.0, 1.4066696166992188e-05
vi, nl, 1.0, 1.4781951904296875e-05
vi, ja, 1.0, 1.3589859008789062e-05
vi, simple, 1.0, 1.4543533325195312e-05
vi, it, 1.0, 1.33514404296875e-05
vi, en, 0.6666666666666666, 1.5974044799804688e-05
vi, sr, 1.0, 1.4781951904296875e-05
vi, ru, 1.0, 1.3828277587890625e-05
vi, zh, 1.0, 1.4543533325195312e-05
vi, hu, 1.0, 1.4066696166992188e-05
de, de, 1.0, 1.430511474609375e-05
de, sh, 1.0, 1.3828277587890625e-05
de, nl, 1.0, 1.3828277587890625e-05
de, ja, 1.0, 1.4066696166992188e-05
de, simple, 1.0, 1.3589859008789062e-05
de, it, 1.0, 1.33514404296875e-05
de, en, 0.6666666666666666, 1.52587890625e-05
de, sr, 1.0, 1.4543533325195312e-05
de, ru, 1.0, 1.3828277587890625e-05
de, zh, 1.0, 1.33514404296875e-05
de, hu, 1.0, 1.33514404296875e-05
sh, sh, 1.0, 1.3828277587890625e-05
sh, nl, 1.0, 1.3589859008789062e-05
sh, ja, 1.0, 1.3828277587890625e-05
sh, simple, 1.0, 1.3113021850585938e-05
sh, it, 1.0, 1.33514404296875e-05
sh, en, 0.6666666666666666, 1.5020370483398438e-05
sh, sr, 1.0, 1.4066696166992188e-05
sh, ru, 1.0, 1.3589859008789062e-05
sh, zh, 1.0, 1.3828277587890625e-05
sh, hu, 1.0, 1.3113021850585938e-05
nl, nl, 1.0, 1.71661376953125e-05
nl, ja, 1.0, 1.4066696166992188e-05
nl, simple, 1.0, 1.3113021850585938e-05
nl, it, 1.0, 1.3828277587890625e-05
nl, en, 0.6666666666666666, 1.430511474609375e-05
nl, sr, 1.0, 1.33514404296875e-05
nl, ru, 1.0, 1.430511474609375e-05
nl, zh, 1.0, 1.3589859008789062e-05
nl, hu, 1.0, 1.3828277587890625e-05
ja, ja, 1.0, 1.4066696166992188e-05
ja, simple, 1.0, 1.3828277587890625e-05
ja, it, 1.0, 1.4066696166992188e-05
ja, en, 0.6666666666666666, 1.5497207641601562e-05
ja, sr, 1.0, 1.4066696166992188e-05
ja, ru, 1.0, 1.3589859008789062e-05
ja, zh, 1.0, 1.3589859008789062e-05
ja, hu, 1.0, 1.3113021850585938e-05
simple, simple, 1.0, 1.3828277587890625e-05
simple, it, 1.0, 1.3828277587890625e-05
simple, en, 0.6666666666666666, 1.5020370483398438e-05
simple, sr, 1.0, 1.5497207641601562e-05
simple, ru, 1.0, 1.4543533325195312e-05
simple, zh, 1.0, 1.3589859008789062e-05
simple, hu, 1.0, 1.33514404296875e-05
it, it, 1.0, 1.33514404296875e-05
it, en, 0.6666666666666666, 1.5020370483398438e-05
it, sr, 1.0, 1.5020370483398438e-05
it, ru, 1.0, 1.3828277587890625e-05
it, zh, 1.0, 1.3589859008789062e-05
it, hu, 1.0, 1.4066696166992188e-05
en, en, 1.0, 1.7404556274414062e-05
en, sr, 0.6666666666666666, 1.52587890625e-05
en, ru, 0.6666666666666666, 1.5735626220703125e-05
en, zh, 0.6666666666666666, 1.5020370483398438e-05
en, hu, 0.6666666666666666, 1.52587890625e-05
sr, sr, 1.0, 1.4781951904296875e-05
sr, ru, 1.0, 1.4066696166992188e-05
sr, zh, 1.0, 1.430511474609375e-05
sr, hu, 1.0, 1.3589859008789062e-05
ru, ru, 1.0, 1.4066696166992188e-05
ru, zh, 1.0, 1.3828277587890625e-05
ru, hu, 1.0, 1.3113021850585938e-05
zh, zh, 1.0, 1.3828277587890625e-05
zh, hu, 1.0, 1.33514404296875e-05
hu, hu, 1.0, 1.33514404296875e-05
