Language1, Language2, SimilarityScore, Time
nl, nl, 0.5, 3.314018249511719e-05
nl, ja, 0.5, 1.3113021850585938e-05
nl, en, 0.5, 1.049041748046875e-05
nl, zh, 0.5, 1.049041748046875e-05
nl, union, 0.5, 1.0251998901367188e-05
ja, ja, 0.5, 9.298324584960938e-06
ja, en, 0.5, 9.775161743164062e-06
ja, zh, 0.5, 9.5367431640625e-06
ja, union, 0.5, 9.5367431640625e-06
en, en, 0.5, 9.298324584960938e-06
en, zh, 0.5, 8.821487426757812e-06
en, union, 0.5, 9.298324584960938e-06
zh, zh, 0.5, 9.5367431640625e-06
zh, union, 0.5, 9.059906005859375e-06
union, union, 0.5, 9.298324584960938e-06
