Language1, Language2, SimilarityScore, Time
vi, vi, 1.0, 8.249282836914062e-05
vi, de, 1.0, 2.002716064453125e-05
vi, ja, 1.0, 1.621246337890625e-05
vi, en, 1.0, 1.52587890625e-05
vi, union, 1.0, 1.5974044799804688e-05
de, de, 1.0, 1.4543533325195312e-05
de, ja, 1.0, 1.52587890625e-05
de, en, 1.0, 1.5974044799804688e-05
de, union, 1.0, 1.5020370483398438e-05
ja, ja, 1.0, 1.4781951904296875e-05
ja, en, 1.0, 1.430511474609375e-05
ja, union, 1.0, 1.4781951904296875e-05
en, en, 1.0, 1.430511474609375e-05
en, union, 1.0, 1.430511474609375e-05
union, union, 1.0, 1.430511474609375e-05
