Language1, Language2, SimilarityScore, Time
vi, vi, 1.0, 7.605552673339844e-05
vi, de, 1.0, 1.8835067749023438e-05
vi, ja, 1.0, 1.5020370483398438e-05
vi, en, 1.0, 1.4066696166992188e-05
vi, union, 1.0, 1.430511474609375e-05
de, de, 1.0, 1.3828277587890625e-05
de, ja, 1.0, 1.33514404296875e-05
de, en, 1.0, 1.3113021850585938e-05
de, union, 1.0, 1.3589859008789062e-05
ja, ja, 1.0, 1.33514404296875e-05
ja, en, 1.0, 1.33514404296875e-05
ja, union, 1.0, 1.33514404296875e-05
en, en, 1.0, 1.33514404296875e-05
en, union, 1.0, 1.2874603271484375e-05
union, union, 1.0, 1.33514404296875e-05
