Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.7894973754882812e-05
id, fr, 1.0, 1.9073486328125e-05
id, lv, 1.0, 1.621246337890625e-05
id, es, 1.0, 1.5497207641601562e-05
id, pl, 1.0, 1.5974044799804688e-05
id, de, 1.0, 1.4543533325195312e-05
id, sh, 1.0, 1.4543533325195312e-05
id, nl, 1.0, 1.52587890625e-05
id, pt, 1.0, 1.430511474609375e-05
id, it, 1.0, 1.4543533325195312e-05
id, da, 1.0, 1.4781951904296875e-05
id, en, 1.0, 1.4543533325195312e-05
id, sr, 1.0, 1.430511474609375e-05
id, sv, 1.0, 1.430511474609375e-05
id, ru, 1.0, 1.4066696166992188e-05
id, hi, 1.0, 1.430511474609375e-05
id, zh, 1.0, 1.430511474609375e-05
id, ko, 1.0, 1.5020370483398438e-05
fr, fr, 1.0, 1.3828277587890625e-05
fr, lv, 1.0, 1.3828277587890625e-05
fr, es, 1.0, 1.1444091796875e-05
fr, pl, 1.0, 1.239776611328125e-05
fr, de, 1.0, 1.1682510375976562e-05
fr, sh, 1.0, 1.1205673217773438e-05
fr, nl, 1.0, 1.4066696166992188e-05
fr, pt, 1.0, 1.430511474609375e-05
fr, it, 1.0, 1.4781951904296875e-05
fr, da, 1.0, 1.430511474609375e-05
fr, en, 1.0, 1.430511474609375e-05
fr, sr, 1.0, 1.4066696166992188e-05
fr, sv, 1.0, 1.430511474609375e-05
fr, ru, 1.0, 1.3828277587890625e-05
fr, hi, 1.0, 1.3828277587890625e-05
fr, zh, 1.0, 1.3828277587890625e-05
fr, ko, 1.0, 1.33514404296875e-05
lv, lv, 1.0, 1.3828277587890625e-05
lv, es, 1.0, 1.3113021850585938e-05
lv, pl, 1.0, 1.430511474609375e-05
lv, de, 1.0, 1.3828277587890625e-05
lv, sh, 1.0, 1.3589859008789062e-05
lv, nl, 1.0, 1.3113021850585938e-05
lv, pt, 1.0, 1.3113021850585938e-05
lv, it, 1.0, 1.3113021850585938e-05
lv, da, 1.0, 1.3589859008789062e-05
lv, en, 1.0, 1.3589859008789062e-05
lv, sr, 1.0, 1.33514404296875e-05
lv, sv, 1.0, 1.3589859008789062e-05
lv, ru, 1.0, 1.3828277587890625e-05
lv, hi, 1.0, 1.33514404296875e-05
lv, zh, 1.0, 1.3113021850585938e-05
lv, ko, 1.0, 1.33514404296875e-05
es, es, 1.0, 1.3589859008789062e-05
es, pl, 1.0, 1.430511474609375e-05
es, de, 1.0, 1.2874603271484375e-05
es, sh, 1.0, 1.33514404296875e-05
es, nl, 1.0, 1.33514404296875e-05
es, pt, 1.0, 1.3828277587890625e-05
es, it, 1.0, 1.3589859008789062e-05
es, da, 1.0, 1.3589859008789062e-05
es, en, 1.0, 1.33514404296875e-05
es, sr, 1.0, 1.3828277587890625e-05
es, sv, 1.0, 1.2874603271484375e-05
es, ru, 1.0, 1.3113021850585938e-05
es, hi, 1.0, 1.33514404296875e-05
es, zh, 1.0, 1.33514404296875e-05
es, ko, 1.0, 1.3828277587890625e-05
pl, pl, 1.0, 5.030632019042969e-05
pl, de, 1.0, 1.5974044799804688e-05
pl, sh, 1.0, 1.4543533325195312e-05
pl, nl, 1.0, 1.430511474609375e-05
pl, pt, 1.0, 1.3828277587890625e-05
pl, it, 1.0, 1.4066696166992188e-05
pl, da, 1.0, 1.5020370483398438e-05
