Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00022864341735839844
id, fr, 1.0, 0.00010967254638671875
id, lv, 1.0, 0.00010132789611816406
id, es, 1.0, 9.846687316894531e-05
id, pl, 1.0, 0.00011324882507324219
id, de, 1.0, 0.00010895729064941406
id, sh, 1.0, 9.632110595703125e-05
id, nl, 1.0, 9.489059448242188e-05
id, pt, 1.0, 9.393692016601562e-05
id, it, 1.0, 9.393692016601562e-05
id, da, 1.0, 9.322166442871094e-05
id, en, 1.0, 9.298324584960938e-05
id, sr, 1.0, 9.298324584960938e-05
id, sv, 1.0, 9.393692016601562e-05
id, ru, 1.0, 9.322166442871094e-05
id, hi, 1.0, 9.226799011230469e-05
id, zh, 1.0, 9.250640869140625e-05
id, ko, 1.0, 9.179115295410156e-05
id, union, 1.0, 0.00010538101196289062
fr, fr, 1.0, 9.417533874511719e-05
fr, lv, 1.0, 9.322166442871094e-05
fr, es, 1.0, 9.131431579589844e-05
fr, pl, 1.0, 0.00010347366333007812
fr, de, 1.0, 8.916854858398438e-05
fr, sh, 1.0, 8.916854858398438e-05
fr, nl, 1.0, 8.96453857421875e-05
fr, pt, 1.0, 8.893013000488281e-05
fr, it, 1.0, 8.893013000488281e-05
fr, da, 1.0, 8.916854858398438e-05
fr, en, 1.0, 8.869171142578125e-05
fr, sr, 1.0, 8.869171142578125e-05
fr, sv, 1.0, 8.7738037109375e-05
fr, ru, 1.0, 8.893013000488281e-05
fr, hi, 1.0, 9.059906005859375e-05
fr, zh, 1.0, 8.893013000488281e-05
fr, ko, 1.0, 8.869171142578125e-05
fr, union, 1.0, 0.00010156631469726562
lv, lv, 1.0, 8.821487426757812e-05
lv, es, 1.0, 8.869171142578125e-05
lv, pl, 1.0, 0.0002524852752685547
lv, de, 1.0, 0.00010442733764648438
lv, sh, 1.0, 9.799003601074219e-05
lv, nl, 1.0, 9.465217590332031e-05
lv, pt, 1.0, 9.441375732421875e-05
lv, it, 1.0, 9.298324584960938e-05
lv, da, 1.0, 9.1552734375e-05
lv, en, 1.0, 9.226799011230469e-05
lv, sr, 1.0, 9.083747863769531e-05
lv, sv, 1.0, 9.1552734375e-05
lv, ru, 1.0, 9.107589721679688e-05
lv, hi, 1.0, 9.107589721679688e-05
lv, zh, 1.0, 9.107589721679688e-05
lv, ko, 1.0, 9.036064147949219e-05
lv, union, 1.0, 0.00010395050048828125
es, es, 1.0, 8.96453857421875e-05
es, pl, 1.0, 0.00010275840759277344
es, de, 1.0, 9.059906005859375e-05
es, sh, 1.0, 8.916854858398438e-05
es, nl, 1.0, 8.988380432128906e-05
es, pt, 1.0, 9.083747863769531e-05
es, it, 1.0, 9.107589721679688e-05
es, da, 1.0, 9.036064147949219e-05
es, en, 1.0, 9.036064147949219e-05
es, sr, 1.0, 9.131431579589844e-05
es, sv, 1.0, 8.988380432128906e-05
es, ru, 1.0, 9.036064147949219e-05
es, hi, 1.0, 8.988380432128906e-05
es, zh, 1.0, 8.988380432128906e-05
es, ko, 1.0, 9.036064147949219e-05
es, union, 1.0, 0.00010395050048828125
pl, pl, 9.016016016016017, 0.010325908660888672
pl, de, 1.0, 0.0002219676971435547
pl, sh, 1.0, 0.00011706352233886719
pl, nl, 1.0, 0.0001125335693359375
pl, pt, 1.0, 0.00010967254638671875
pl, it, 1.0, 0.0001087188720703125
pl, da, 1.0, 0.0001087188720703125
pl, en, 1.0, 0.00011491775512695312
pl, sr, 1.0, 0.00010204315185546875
pl, sv, 1.0, 0.00010156631469726562
pl, ru, 1.0, 0.00010156631469726562
pl, hi, 1.0, 0.00010085105895996094
pl, zh, 1.0, 0.0001125335693359375
pl, ko, 1.0, 0.00010561943054199219
pl, union, 9.016016016016017, 0.015910863876342773
de, de, 1.0, 0.00020813941955566406
de, sh, 1.0, 0.00010561943054199219
de, nl, 1.0, 0.00010085105895996094
de, pt, 1.0, 9.751319885253906e-05
de, it, 1.0, 9.751319885253906e-05
de, da, 1.0, 9.489059448242188e-05
de, en, 1.0, 9.465217590332031e-05
de, sr, 1.0, 9.417533874511719e-05
de, sv, 1.0, 9.441375732421875e-05
de, ru, 1.0, 9.322166442871094e-05
de, hi, 1.0, 9.226799011230469e-05
de, zh, 1.0, 9.274482727050781e-05
de, ko, 1.0, 9.34600830078125e-05
de, union, 1.0, 0.00010967254638671875
sh, sh, 1.0, 9.202957153320312e-05
sh, nl, 1.0, 9.202957153320312e-05
sh, pt, 1.0, 9.250640869140625e-05
sh, it, 1.0, 9.226799011230469e-05
sh, da, 1.0, 9.322166442871094e-05
sh, en, 1.0, 9.202957153320312e-05
sh, sr, 1.0, 9.274482727050781e-05
sh, sv, 1.0, 9.1552734375e-05
sh, ru, 1.0, 9.107589721679688e-05
sh, hi, 1.0, 9.226799011230469e-05
sh, zh, 1.0, 9.322166442871094e-05
sh, ko, 1.0, 9.250640869140625e-05
sh, union, 1.0, 0.00010442733764648438
nl, nl, 1.0, 9.202957153320312e-05
nl, pt, 1.0, 9.202957153320312e-05
nl, it, 1.0, 9.179115295410156e-05
nl, da, 1.0, 0.00010561943054199219
nl, en, 1.0, 9.5367431640625e-05
nl, sr, 1.0, 9.107589721679688e-05
nl, sv, 1.0, 9.179115295410156e-05
nl, ru, 1.0, 9.202957153320312e-05
nl, hi, 1.0, 9.250640869140625e-05
nl, zh, 1.0, 9.202957153320312e-05
nl, ko, 1.0, 9.1552734375e-05
nl, union, 1.0, 0.00010418891906738281
pt, pt, 1.0, 9.059906005859375e-05
pt, it, 1.0, 9.083747863769531e-05
pt, da, 1.0, 9.226799011230469e-05
pt, en, 1.0, 9.131431579589844e-05
pt, sr, 1.0, 9.107589721679688e-05
pt, sv, 1.0, 9.107589721679688e-05
pt, ru, 1.0, 9.107589721679688e-05
pt, hi, 1.0, 9.036064147949219e-05
pt, zh, 1.0, 9.179115295410156e-05
pt, ko, 1.0, 9.131431579589844e-05
pt, union, 1.0, 0.000102996826171875
it, it, 1.0, 9.083747863769531e-05
it, da, 1.0, 9.107589721679688e-05
it, en, 1.0, 9.131431579589844e-05
it, sr, 1.0, 9.107589721679688e-05
it, sv, 1.0, 9.059906005859375e-05
it, ru, 1.0, 9.083747863769531e-05
it, hi, 1.0, 9.083747863769531e-05
it, zh, 1.0, 9.179115295410156e-05
it, ko, 1.0, 9.083747863769531e-05
it, union, 1.0, 0.00010275840759277344
da, da, 1.0, 9.179115295410156e-05
da, en, 1.0, 9.298324584960938e-05
da, sr, 1.0, 9.202957153320312e-05
da, sv, 1.0, 9.1552734375e-05
da, ru, 1.0, 0.012251138687133789
da, hi, 1.0, 0.00010704994201660156
da, zh, 1.0, 9.703636169433594e-05
da, ko, 1.0, 9.441375732421875e-05
da, union, 1.0, 0.00011110305786132812
en, en, 2.0, 0.00010824203491210938
en, sr, 1.0, 9.751319885253906e-05
en, sv, 1.0, 9.584426879882812e-05
en, ru, 1.0, 9.369850158691406e-05
en, hi, 1.0, 9.250640869140625e-05
en, zh, 1.0, 9.179115295410156e-05
en, ko, 1.0, 9.202957153320312e-05
en, union, 2.0, 0.00011372566223144531
sr, sr, 1.0, 9.465217590332031e-05
sr, sv, 1.0, 9.417533874511719e-05
sr, ru, 1.0, 9.369850158691406e-05
sr, hi, 1.0, 9.226799011230469e-05
sr, zh, 1.0, 9.250640869140625e-05
sr, ko, 1.0, 9.34600830078125e-05
sr, union, 1.0, 0.00010633468627929688
sv, sv, 1.0, 9.34600830078125e-05
sv, ru, 1.0, 9.274482727050781e-05
sv, hi, 1.0, 9.250640869140625e-05
sv, zh, 1.0, 9.226799011230469e-05
sv, ko, 1.0, 9.226799011230469e-05
sv, union, 1.0, 0.000102996826171875
ru, ru, 1.0, 9.202957153320312e-05
ru, hi, 1.0, 9.202957153320312e-05
ru, zh, 1.0, 9.131431579589844e-05
ru, ko, 1.0, 9.107589721679688e-05
ru, union, 1.0, 0.000102996826171875
hi, hi, 1.0, 0.00010848045349121094
hi, zh, 1.0, 9.1552734375e-05
hi, ko, 1.0, 9.202957153320312e-05
hi, union, 1.0, 0.00010371208190917969
