Language1, Language2, SimilarityScore, Time
id, id, 0.3337784453346685, 0.0003180503845214844
id, fr, 0.5, 0.00013756752014160156
id, lv, 1.0, 0.0001201629638671875
id, es, 0.5, 0.0001201629638671875
id, pl, 0.3333333333333333, 0.00013017654418945312
id, de, 1.0, 0.00011706352233886719
id, sh, 1.0, 0.00010967254638671875
id, nl, 1.0, 0.00010800361633300781
id, pt, 0.5, 0.00011467933654785156
id, it, 1.0, 0.00010991096496582031
id, da, 1.0, 0.00011563301086425781
id, en, 0.33366700033366703, 0.00013446807861328125
id, sr, 1.0, 0.00011873245239257812
id, sv, 0.5, 0.00011610984802246094
id, ru, 0.5, 0.00011396408081054688
id, hi, 1.0, 0.00011014938354492188
id, zh, 1.0, 0.00010752677917480469
id, ko, 1.0, 0.0001049041748046875
id, union, 0.3337784453346685, 0.00013756752014160156
fr, fr, 0.5, 0.00011157989501953125
fr, lv, 1.0, 0.00010037422180175781
fr, es, 1.0, 0.0001010894775390625
fr, pl, 0.5, 0.00011157989501953125
fr, de, 1.0, 0.00010037422180175781
fr, sh, 1.0, 9.846687316894531e-05
fr, nl, 1.0, 9.822845458984375e-05
fr, pt, 1.0, 9.679794311523438e-05
fr, it, 1.0, 9.72747802734375e-05
fr, da, 1.0, 9.775161743164062e-05
fr, en, 0.5, 0.00011086463928222656
fr, sr, 1.0, 0.00010085105895996094
fr, sv, 1.0, 9.846687316894531e-05
fr, ru, 1.0, 9.846687316894531e-05
fr, hi, 1.0, 9.72747802734375e-05
fr, zh, 1.0, 0.00010967254638671875
fr, ko, 1.0, 0.00010991096496582031
fr, union, 0.5, 0.00013017654418945312
lv, lv, 1.0, 0.00011086463928222656
lv, es, 1.0, 0.00010919570922851562
lv, pl, 1.0, 0.00011467933654785156
lv, de, 1.0, 0.00010991096496582031
lv, sh, 1.0, 0.00010967254638671875
lv, nl, 1.0, 0.000110626220703125
lv, pt, 1.0, 0.00011110305786132812
lv, it, 1.0, 0.00011157989501953125
lv, da, 1.0, 0.00011277198791503906
lv, en, 1.0, 0.00011777877807617188
lv, sr, 1.0, 0.00011110305786132812
lv, sv, 1.0, 0.00011157989501953125
lv, ru, 1.0, 0.00011181831359863281
lv, hi, 1.0, 0.00011110305786132812
lv, zh, 1.0, 0.00011110305786132812
lv, ko, 1.0, 0.00011181831359863281
lv, union, 1.0, 0.00012826919555664062
es, es, 0.5, 0.009276390075683594
es, pl, 0.5, 0.0002257823944091797
es, de, 1.0, 0.00011730194091796875
es, sh, 1.0, 0.00011157989501953125
es, nl, 1.0, 0.00010967254638671875
es, pt, 0.5, 0.00011467933654785156
es, it, 1.0, 0.00010967254638671875
es, da, 1.0, 0.00010800361633300781
es, en, 0.5, 0.00012135505676269531
es, sr, 1.0, 0.00010943412780761719
es, sv, 0.5, 0.00011420249938964844
es, ru, 0.5, 0.00011324882507324219
es, hi, 1.0, 0.00010776519775390625
es, zh, 1.0, 0.00010704994201660156
