Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.2172927856445312e-05
id, fr, 1.0, 1.0013580322265625e-05
id, lv, 1.0, 9.5367431640625e-06
id, es, 1.0, 1.1920928955078125e-05
id, pl, 1.0, 1.2159347534179688e-05
id, de, 1.0, 8.344650268554688e-06
id, sh, 1.0, 8.344650268554688e-06
id, nl, 1.0, 9.059906005859375e-06
id, pt, 1.0, 1.0967254638671875e-05
id, it, 1.0, 8.344650268554688e-06
id, da, 1.0, 8.821487426757812e-06
id, en, 1.0, 1.6689300537109375e-05
id, sr, 1.0, 8.58306884765625e-06
id, sv, 1.0, 1.049041748046875e-05
id, ru, 1.0, 1.0728836059570312e-05
id, hi, 1.0, 9.298324584960938e-06
id, zh, 1.0, 8.106231689453125e-06
id, ko, 1.0, 8.106231689453125e-06
fr, fr, 1.0, 8.58306884765625e-06
fr, lv, 1.0, 8.344650268554688e-06
fr, es, 1.0, 8.106231689453125e-06
fr, pl, 1.0, 9.5367431640625e-06
fr, de, 1.0, 8.58306884765625e-06
fr, sh, 1.0, 7.867813110351562e-06
fr, nl, 1.0, 8.344650268554688e-06
fr, pt, 1.0, 8.344650268554688e-06
fr, it, 1.0, 8.344650268554688e-06
fr, da, 1.0, 8.106231689453125e-06
fr, en, 1.0, 9.5367431640625e-06
fr, sr, 1.0, 8.106231689453125e-06
fr, sv, 1.0, 7.62939453125e-06
fr, ru, 1.0, 8.821487426757812e-06
fr, hi, 1.0, 7.867813110351562e-06
fr, zh, 1.0, 7.867813110351562e-06
fr, ko, 1.0, 8.58306884765625e-06
lv, lv, 1.0, 7.62939453125e-06
lv, es, 1.0, 7.867813110351562e-06
lv, pl, 1.0, 9.298324584960938e-06
lv, de, 1.0, 7.867813110351562e-06
lv, sh, 1.0, 7.867813110351562e-06
lv, nl, 1.0, 7.3909759521484375e-06
lv, pt, 1.0, 8.344650268554688e-06
lv, it, 1.0, 8.106231689453125e-06
lv, da, 1.0, 7.62939453125e-06
lv, en, 1.0, 8.821487426757812e-06
lv, sr, 1.0, 8.344650268554688e-06
lv, sv, 1.0, 7.62939453125e-06
lv, ru, 1.0, 8.106231689453125e-06
lv, hi, 1.0, 8.344650268554688e-06
lv, zh, 1.0, 7.867813110351562e-06
lv, ko, 1.0, 8.58306884765625e-06
es, es, 1.0, 7.867813110351562e-06
es, pl, 1.0, 8.58306884765625e-06
es, de, 1.0, 8.106231689453125e-06
es, sh, 1.0, 7.867813110351562e-06
es, nl, 1.0, 8.106231689453125e-06
es, pt, 1.0, 8.344650268554688e-06
es, it, 1.0, 7.62939453125e-06
es, da, 1.0, 7.867813110351562e-06
es, en, 1.0, 1.1920928955078125e-05
es, sr, 1.0, 8.58306884765625e-06
es, sv, 1.0, 8.106231689453125e-06
es, ru, 1.0, 8.106231689453125e-06
es, hi, 1.0, 7.867813110351562e-06
es, zh, 1.0, 7.867813110351562e-06
es, ko, 1.0, 8.106231689453125e-06
pl, pl, 1.0, 2.0503997802734375e-05
pl, de, 1.0, 9.059906005859375e-06
pl, sh, 1.0, 8.821487426757812e-06
pl, nl, 1.0, 8.106231689453125e-06
pl, pt, 1.0, 8.821487426757812e-06
pl, it, 1.0, 8.821487426757812e-06
pl, da, 1.0, 8.821487426757812e-06
pl, en, 1.0, 1.33514404296875e-05
pl, sr, 1.0, 8.344650268554688e-06
pl, sv, 1.0, 8.344650268554688e-06
pl, ru, 1.0, 8.58306884765625e-06
pl, hi, 1.0, 8.344650268554688e-06
pl, zh, 1.0, 8.106231689453125e-06
pl, ko, 1.0, 8.106231689453125e-06
de, de, 1.0, 8.344650268554688e-06
de, sh, 1.0, 8.821487426757812e-06
de, nl, 1.0, 7.867813110351562e-06
de, pt, 1.0, 7.867813110351562e-06
de, it, 1.0, 7.867813110351562e-06
de, da, 1.0, 7.62939453125e-06
de, en, 1.0, 8.58306884765625e-06
de, sr, 1.0, 7.867813110351562e-06
de, sv, 1.0, 8.821487426757812e-06
de, ru, 1.0, 7.62939453125e-06
de, hi, 1.0, 7.867813110351562e-06
de, zh, 1.0, 8.106231689453125e-06
de, ko, 1.0, 7.62939453125e-06
sh, sh, 1.0, 8.106231689453125e-06
sh, nl, 1.0, 7.867813110351562e-06
sh, pt, 1.0, 8.106231689453125e-06
sh, it, 1.0, 7.62939453125e-06
sh, da, 1.0, 8.106231689453125e-06
sh, en, 1.0, 8.106231689453125e-06
sh, sr, 1.0, 7.867813110351562e-06
sh, sv, 1.0, 7.62939453125e-06
sh, ru, 1.0, 8.344650268554688e-06
sh, hi, 1.0, 8.58306884765625e-06
sh, zh, 1.0, 7.62939453125e-06
sh, ko, 1.0, 8.344650268554688e-06
nl, nl, 1.0, 7.62939453125e-06
nl, pt, 1.0, 7.62939453125e-06
nl, it, 1.0, 7.62939453125e-06
nl, da, 1.0, 7.62939453125e-06
nl, en, 1.0, 7.867813110351562e-06
nl, sr, 1.0, 8.58306884765625e-06
nl, sv, 1.0, 8.821487426757812e-06
nl, ru, 1.0, 7.867813110351562e-06
nl, hi, 1.0, 8.344650268554688e-06
nl, zh, 1.0, 8.344650268554688e-06
nl, ko, 1.0, 8.58306884765625e-06
pt, pt, 1.0, 8.106231689453125e-06
pt, it, 1.0, 8.344650268554688e-06
pt, da, 1.0, 8.58306884765625e-06
pt, en, 1.0, 1.2874603271484375e-05
pt, sr, 1.0, 8.106231689453125e-06
pt, sv, 1.0, 8.344650268554688e-06
pt, ru, 1.0, 8.344650268554688e-06
pt, hi, 1.0, 7.62939453125e-06
pt, zh, 1.0, 7.867813110351562e-06
pt, ko, 1.0, 7.867813110351562e-06
it, it, 1.0, 8.344650268554688e-06
it, da, 1.0, 7.62939453125e-06
it, en, 1.0, 8.344650268554688e-06
it, sr, 1.0, 7.867813110351562e-06
it, sv, 1.0, 8.106231689453125e-06
it, ru, 1.0, 7.867813110351562e-06
it, hi, 1.0, 7.867813110351562e-06
it, zh, 1.0, 7.62939453125e-06
it, ko, 1.0, 8.344650268554688e-06
da, da, 1.0, 8.344650268554688e-06
da, en, 1.0, 8.58306884765625e-06
da, sr, 1.0, 8.344650268554688e-06
da, sv, 1.0, 7.867813110351562e-06
da, ru, 1.0, 7.62939453125e-06
da, hi, 1.0, 8.344650268554688e-06
da, zh, 1.0, 8.106231689453125e-06
da, ko, 1.0, 7.867813110351562e-06
en, en, 1.0, 1.7881393432617188e-05
en, sr, 1.0, 8.106231689453125e-06
en, sv, 1.0, 1.1205673217773438e-05
en, ru, 1.0, 1.1444091796875e-05
en, hi, 1.0, 8.344650268554688e-06
en, zh, 1.0, 8.106231689453125e-06
en, ko, 1.0, 8.821487426757812e-06
sr, sr, 1.0, 7.867813110351562e-06
sr, sv, 1.0, 8.344650268554688e-06
sr, ru, 1.0, 8.344650268554688e-06
sr, hi, 1.0, 7.867813110351562e-06
sr, zh, 1.0, 8.344650268554688e-06
sr, ko, 1.0, 8.106231689453125e-06
sv, sv, 1.0, 8.821487426757812e-06
sv, ru, 1.0, 7.62939453125e-06
sv, hi, 1.0, 7.62939453125e-06
sv, zh, 1.0, 8.106231689453125e-06
sv, ko, 1.0, 7.867813110351562e-06
ru, ru, 1.0, 8.58306884765625e-06
ru, hi, 1.0, 8.821487426757812e-06
ru, zh, 1.0, 8.106231689453125e-06
ru, ko, 1.0, 8.58306884765625e-06
hi, hi, 1.0, 7.62939453125e-06
hi, zh, 1.0, 8.106231689453125e-06
hi, ko, 1.0, 8.106231689453125e-06
zh, zh, 1.0, 8.106231689453125e-06
zh, ko, 1.0, 7.867813110351562e-06
ko, ko, 1.0, 8.344650268554688e-06
