Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.11169314384460449
id, fr, 0.015192691630563743, 0.05873250961303711
id, mr, 0.015192691630563743, 0.01118016242980957
id, tr, 0.01257002138245878, 0.004992961883544922
id, lv, 0.015134311043670436, 0.005392313003540039
id, el, 0.015192691630563743, 0.005805492401123047
id, es, 0.015192691630563743, 0.0049474239349365234
id, pl, 0.015192691630563743, 0.006572723388671875
id, vi, 0.015194430112340847, 0.011623144149780273
id, de, 0.015192691630563743, 0.005313873291015625
id, ml, 0.015192691630563743, 0.004835844039916992
id, sh, 0.014630682695669183, 0.00516819953918457
id, nl, 0.015192691630563743, 0.005640745162963867
id, si, 0.015192691630563743, 0.006696462631225586
id, pt, 0.015192691630563743, 0.011245012283325195
id, ro, 0.015031731631548723, 0.0073735713958740234
id, ja, 0.015192691630563743, 0.006975412368774414
id, simple, 0.013788534195514164, 0.006758689880371094
id, it, 0.015192691630563743, 0.009841680526733398
id, ceb, 0.015189010886530067, 0.006813764572143555
id, he, 0.015192691630563743, 0.006773948669433594
id, da, 0.01423506727419969, 0.012515544891357422
id, en, 0.015185574972557077, 0.006975650787353516
id, sr, 0.01518824254114468, 0.007350921630859375
id, sv, 0.015192691630563743, 0.007538795471191406
id, ckb, 0.015192691630563743, 0.0066835880279541016
id, ru, 0.015192691630563743, 0.007429838180541992
id, hi, 0.015192691630563743, 0.013063907623291016
id, arz, 0.015192691630563743, 0.007385730743408203
id, bs, 0.015078691018563075, 0.007996559143066406
id, te, 0.015192691630563743, 0.006822109222412109
id, zh, 0.015192691630563743, 0.00679779052734375
id, mk, 0.015192691630563743, 0.007615804672241211
id, hu, 0.012957727191777523, 0.007180929183959961
id, ko, 0.015192691630563743, 0.011243104934692383
id, war, 0.015199023333876975, 0.007264137268066406
id, union, 0.0068269302829076645, 0.0074615478515625
fr, fr, 1.0, 0.0008680820465087891
fr, mr, 1.0, 0.003031492233276367
fr, tr, 0.018435329219220784, 0.01195526123046875
fr, lv, 0.07767387205027083, 0.007842540740966797
fr, el, 1.0, 0.0018038749694824219
fr, es, 1.0, 0.01080632209777832
fr, pl, 1.0, 0.008013248443603516
fr, vi, 0.18274399763155677, 0.011508703231811523
fr, de, 1.0, 0.001760721206665039
fr, ml, 1.0, 0.005756378173828125
fr, sh, 0.032463187419804404, 0.007927656173706055
fr, nl, 1.0, 0.0017652511596679688
fr, si, 1.0, 0.006165504455566406
fr, pt, 1.0, 0.008555173873901367
fr, ro, 0.06954543910258232, 0.011306285858154297
fr, ja, 1.0, 0.0046041011810302734
fr, simple, 0.022499532463534016, 0.0032806396484375
fr, it, 1.0, 0.008371114730834961
fr, ceb, 0.24336073281110826, 0.009171247482299805
fr, he, 1.0, 0.006322622299194336
fr, da, 0.029850746268656716, 0.0079193115234375
fr, en, 0.3333333333333333, 0.008196592330932617
fr, sr, 0.38742588672279304, 0.005625486373901367
fr, sv, 1.0, 0.009956598281860352
fr, ckb, 1.0, 0.008179903030395508
fr, ru, 1.0, 0.007734775543212891
fr, hi, 1.0, 0.003912448883056641
fr, arz, 1.0, 0.004302501678466797
fr, bs, 0.07374709210258673, 0.007684230804443359
fr, te, 1.0, 0.012087821960449219
fr, zh, 1.0, 0.002322673797607422
fr, mk, 1.0, 0.005345344543457031
fr, hu, 0.019487584194771035, 0.0023970603942871094
fr, ko, 1.0, 0.0054759979248046875
fr, war, 0.30216947925196225, 0.012667417526245117
fr, union, 0.006200103424307838, 0.007983684539794922
mr, mr, 1.0, 0.0032236576080322266
mr, tr, 0.018435329219220784, 0.00834345817565918
mr, lv, 0.07767387205027083, 0.002043485641479492
mr, el, 1.0, 0.009418249130249023
mr, es, 1.0, 0.008378267288208008
mr, pl, 1.0, 0.007463932037353516
mr, vi, 0.18274399763155677, 0.0039479732513427734
mr, de, 1.0, 0.015946388244628906
mr, ml, 1.0, 0.0025436878204345703
mr, sh, 0.032463187419804404, 0.0065441131591796875
mr, nl, 1.0, 0.006760835647583008
mr, si, 1.0, 0.008405923843383789
mr, pt, 1.0, 0.00904703140258789
mr, ro, 0.06954543910258232, 0.010345458984375
mr, ja, 1.0, 0.003936052322387695
mr, simple, 0.022499532463534016, 0.012689590454101562
mr, it, 1.0, 0.003194570541381836
mr, ceb, 0.24336073281110826, 0.001653432846069336
mr, he, 1.0, 0.011206626892089844
mr, da, 0.029850746268656716, 0.007051944732666016
mr, en, 0.3333333333333333, 0.008013248443603516
mr, sr, 0.38742588672279304, 0.009361028671264648
mr, sv, 1.0, 0.007392406463623047
mr, ckb, 1.0, 0.010895729064941406
mr, ru, 1.0, 0.028872013092041016
mr, hi, 1.0, 0.015149593353271484
mr, arz, 1.0, 0.008275032043457031
mr, bs, 0.07374709210258673, 0.0034923553466796875
mr, te, 1.0, 0.009509801864624023
mr, zh, 1.0, 0.010352611541748047
mr, mk, 1.0, 0.008714914321899414
mr, hu, 0.019487584194771035, 0.011750936508178711
mr, ko, 1.0, 0.0057561397552490234
mr, war, 0.30216947925196225, 0.009551763534545898
mr, union, 0.006200103424307838, 0.0038042068481445312
tr, tr, 1.0, 0.008623123168945312
tr, lv, 0.018365827985234243, 0.007405757904052734
tr, el, 0.018435329219220784, 0.011923789978027344
tr, es, 0.018435329219220784, 0.007939338684082031
tr, pl, 0.018435329219220784, 0.007965803146362305
tr, vi, 0.018439311098700735, 0.011924028396606445
tr, de, 0.018435329219220784, 0.00479578971862793
tr, ml, 0.018435329219220784, 0.0020380020141601562
tr, sh, 0.016713527964274125, 0.005646467208862305
tr, nl, 0.018435329219220784, 0.008083105087280273
tr, si, 0.018435329219220784, 0.007176637649536133
tr, pt, 0.018435329219220784, 0.004158973693847656
tr, ro, 0.018035072688208226, 0.011715412139892578
tr, ja, 0.018435329219220784, 0.009363651275634766
tr, simple, 0.015458605601190521, 0.006554365158081055
tr, it, 0.018435329219220784, 0.009646892547607422
tr, ceb, 0.018419239847910943, 0.006242990493774414
tr, he, 0.018435329219220784, 0.00798487663269043
tr, da, 0.016315601935728397, 0.007898569107055664
tr, en, 0.018422576284968222, 0.0079193115234375
tr, sr, 0.018427355513776375, 0.011947393417358398
tr, sv, 0.018435329219220784, 0.003968000411987305
tr, ckb, 0.018435329219220784, 0.008057594299316406
tr, ru, 0.018435329219220784, 0.02726888656616211
tr, hi, 0.018435329219220784, 0.008472204208374023
tr, arz, 0.018435329219220784, 0.0043637752532958984
tr, bs, 0.01811364729953259, 0.0015206336975097656
tr, te, 0.018435329219220784, 0.011290788650512695
tr, zh, 0.018435329219220784, 0.01684427261352539
tr, mk, 0.018435329219220784, 0.004569530487060547
tr, hu, 0.01422995368603259, 0.023566722869873047
tr, ko, 0.018435329219220784, 0.005950927734375
tr, war, 0.0184297241086412, 0.023425579071044922
tr, union, 0.006576838637734256, 0.007377147674560547
lv, lv, 1.0, 0.004884243011474609
lv, el, 0.07767387205027083, 0.007561206817626953
lv, es, 0.07767387205027083, 0.0016584396362304688
lv, pl, 0.07767387205027083, 0.006257772445678711
lv, vi, 0.07379349185456995, 0.007921695709228516
lv, de, 0.07767387205027083, 0.00795435905456543
lv, ml, 0.07767387205027083, 0.007915496826171875
lv, sh, 0.03097919550651852, 0.0017087459564208984
lv, nl, 0.07767387205027083, 0.010210275650024414
lv, si, 0.07767387205027083, 0.015952348709106445
lv, pt, 0.07767387205027083, 0.008184194564819336
lv, ro, 0.05686713849728839, 0.004751682281494141
lv, ja, 0.07767387205027083, 0.007182121276855469
lv, simple, 0.022025254295672803, 0.0076901912689208984
lv, it, 0.07767387205027083, 0.003928422927856445
lv, ceb, 0.07595595279317306, 0.012185811996459961
lv, he, 0.07767387205027083, 0.008099079132080078
lv, da, 0.02892497288100427, 0.0037314891815185547
lv, en, 0.07667774013050205, 0.007759809494018555
lv, sr, 0.07704665649621713, 0.007972478866577148
lv, sv, 0.07767387205027083, 0.011429309844970703
lv, ckb, 0.07767387205027083, 0.012434005737304688
lv, ru, 0.07767387205027083, 0.007955074310302734
lv, hi, 0.07767387205027083, 0.008152008056640625
lv, arz, 0.07767387205027083, 0.0016398429870605469
lv, bs, 0.05674461965289261, 0.001562356948852539
lv, te, 0.07767387205027083, 0.012523889541625977
lv, zh, 0.07767387205027083, 0.007904291152954102
lv, mk, 0.07767387205027083, 0.003942966461181641
lv, hu, 0.019658482780367494, 0.007941722869873047
lv, ko, 0.07767387205027083, 0.0015268325805664062
lv, war, 0.0763543454661654, 0.006655693054199219
lv, union, 0.006224146598043781, 0.0076792240142822266
el, el, 1.0, 0.008139848709106445
el, es, 1.0, 0.008776426315307617
el, pl, 1.0, 0.0017478466033935547
el, vi, 0.18274399763155677, 0.0015921592712402344
el, de, 1.0, 0.0015854835510253906
el, ml, 1.0, 0.0016367435455322266
el, sh, 0.032463187419804404, 0.0017130374908447266
el, nl, 1.0, 0.0016889572143554688
el, si, 1.0, 0.009254693984985352
el, pt, 1.0, 0.0016093254089355469
el, ro, 0.06954543910258232, 0.009766340255737305
el, ja, 1.0, 0.0018885135650634766
el, simple, 0.022499532463534016, 0.0016567707061767578
el, it, 1.0, 0.0016498565673828125
el, ceb, 0.24336073281110826, 0.0015573501586914062
el, he, 1.0, 0.0015716552734375
el, da, 0.029850746268656716, 0.007466554641723633
el, en, 0.3333333333333333, 0.00798487663269043
el, sr, 0.38742588672279304, 0.008811473846435547
el, sv, 1.0, 0.0017361640930175781
el, ckb, 1.0, 0.0016493797302246094
el, ru, 1.0, 0.0016181468963623047
el, hi, 1.0, 0.005890369415283203
el, arz, 1.0, 0.008411407470703125
el, bs, 0.07374709210258673, 0.0018053054809570312
el, te, 1.0, 0.0018191337585449219
el, zh, 1.0, 0.007802248001098633
el, mk, 1.0, 0.008359193801879883
el, hu, 0.019487584194771035, 0.005391120910644531
el, ko, 1.0, 0.006075143814086914
el, war, 0.30216947925196225, 0.008403301239013672
el, union, 0.006200103424307838, 0.0016851425170898438
es, es, 1.0, 0.0016083717346191406
es, pl, 1.0, 0.0041294097900390625
