Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0008559226989746094
id, fr, 0.0, 1.0251998901367188e-05
id, mr, 1.0, 0.00012564659118652344
id, tr, 1.0, 0.0006723403930664062
id, lv, 1.0, 0.0003352165222167969
id, el, 0.0, 9.5367431640625e-06
id, es, 0.0, 8.344650268554688e-06
id, pl, 0.0, 6.9141387939453125e-06
id, vi, 1.0, 0.0002913475036621094
id, de, 0.0, 8.58306884765625e-06
id, ml, 1.0, 0.0001347064971923828
id, sh, 1.0, 0.00029540061950683594
id, nl, 0.0, 1.1205673217773438e-05
id, si, 1.0, 6.031990051269531e-05
id, pt, 0.0, 1.2874603271484375e-05
id, ro, 1.0, 0.0003445148468017578
id, ja, 0.0, 8.821487426757812e-06
id, simple, 1.0, 0.00037360191345214844
id, it, 0.0, 8.821487426757812e-06
id, ceb, 1.0, 6.556510925292969e-05
id, he, 1.0, 0.00016927719116210938
id, da, 1.0, 0.00032138824462890625
id, en, 0.0, 9.775161743164062e-06
id, sr, 1.0, 0.00017261505126953125
id, sv, 0.0, 1.2159347534179688e-05
id, ckb, 1.0, 8.320808410644531e-05
id, ru, 0.0, 1.1205673217773438e-05
id, hi, 1.0, 0.00015926361083984375
id, arz, 1.0, 7.796287536621094e-05
id, bs, 1.0, 0.00019240379333496094
id, te, 1.0, 6.413459777832031e-05
id, zh, 0.0, 1.33514404296875e-05
id, mk, 1.0, 0.0002715587615966797
id, hu, 1.0, 0.000812530517578125
id, ko, 0.0, 1.33514404296875e-05
id, war, 1.0, 6.771087646484375e-05
fr, fr, 1.0, 9.5367431640625e-06
fr, mr, 0.0, 7.62939453125e-06
fr, tr, 0.0, 1.52587890625e-05
fr, lv, 0.0, 6.9141387939453125e-06
fr, el, 0.0, 5.245208740234375e-06
fr, es, 1.0, 1.0967254638671875e-05
fr, pl, 0.0, 5.7220458984375e-06
fr, vi, 0.0, 5.4836273193359375e-06
fr, de, 1.0, 8.821487426757812e-06
fr, ml, 0.0, 5.245208740234375e-06
fr, sh, 0.0, 6.198883056640625e-06
fr, nl, 0.0, 5.245208740234375e-06
fr, si, 0.0, 5.0067901611328125e-06
fr, pt, 1.0, 8.821487426757812e-06
fr, ro, 0.0, 6.4373016357421875e-06
fr, ja, 0.0, 5.0067901611328125e-06
fr, simple, 0.0, 8.344650268554688e-06
fr, it, 1.0, 9.775161743164062e-06
fr, ceb, 0.0, 4.76837158203125e-06
fr, he, 0.0, 5.245208740234375e-06
fr, da, 0.0, 6.9141387939453125e-06
fr, en, 1.0, 9.298324584960938e-06
fr, sr, 0.0, 5.0067901611328125e-06
fr, sv, 1.0, 1.0251998901367188e-05
fr, ckb, 0.0, 5.245208740234375e-06
fr, ru, 0.0, 5.245208740234375e-06
fr, hi, 0.0, 5.0067901611328125e-06
fr, arz, 0.0, 5.0067901611328125e-06
fr, bs, 0.0, 5.245208740234375e-06
fr, te, 0.0, 5.0067901611328125e-06
fr, zh, 1.0, 9.059906005859375e-06
fr, mk, 0.0, 5.0067901611328125e-06
fr, hu, 0.0, 1.2874603271484375e-05
fr, ko, 0.0, 5.245208740234375e-06
fr, war, 0.0, 4.76837158203125e-06
mr, mr, 1.0, 2.002716064453125e-05
mr, tr, 1.0, 0.00012731552124023438
mr, lv, 1.0, 7.62939453125e-05
mr, el, 0.0, 6.9141387939453125e-06
mr, es, 0.0, 5.4836273193359375e-06
mr, pl, 0.0, 5.4836273193359375e-06
mr, vi, 1.0, 3.075599670410156e-05
mr, de, 0.0, 5.9604644775390625e-06
mr, ml, 1.0, 1.7404556274414062e-05
mr, sh, 1.0, 0.00014853477478027344
mr, nl, 0.0, 8.106231689453125e-06
mr, si, 1.0, 1.4543533325195312e-05
mr, pt, 0.0, 7.152557373046875e-06
mr, ro, 1.0, 0.00011682510375976562
mr, ja, 0.0, 7.152557373046875e-06
mr, simple, 1.0, 0.00014352798461914062
mr, it, 0.0, 7.62939453125e-06
mr, ceb, 1.0, 2.3365020751953125e-05
mr, he, 1.0, 1.8358230590820312e-05
mr, da, 1.0, 0.00011920928955078125
mr, en, 0.0, 7.62939453125e-06
mr, sr, 1.0, 1.8596649169921875e-05
mr, sv, 0.0, 5.9604644775390625e-06
mr, ckb, 1.0, 1.6689300537109375e-05
mr, ru, 0.0, 6.4373016357421875e-06
mr, hi, 1.0, 1.7404556274414062e-05
mr, arz, 1.0, 1.4543533325195312e-05
mr, bs, 1.0, 6.341934204101562e-05
mr, te, 1.0, 1.2159347534179688e-05
mr, zh, 0.0, 6.67572021484375e-06
mr, mk, 1.0, 1.811981201171875e-05
mr, hu, 1.0, 0.0003001689910888672
mr, ko, 0.0, 7.62939453125e-06
mr, war, 1.0, 1.8358230590820312e-05
tr, tr, 1.0, 0.0012624263763427734
tr, lv, 1.0, 0.00044155120849609375
tr, el, 0.0, 9.298324584960938e-06
tr, es, 0.0, 9.5367431640625e-06
tr, pl, 0.0, 1.049041748046875e-05
tr, vi, 1.0, 0.00029540061950683594
tr, de, 0.0, 1.33514404296875e-05
tr, ml, 1.0, 0.000179290771484375
tr, sh, 1.0, 0.0003132820129394531
tr, nl, 0.0, 1.1682510375976562e-05
tr, si, 1.0, 4.9591064453125e-05
tr, pt, 0.0, 1.3589859008789062e-05
tr, ro, 1.0, 0.00037550926208496094
tr, ja, 0.0, 1.430511474609375e-05
tr, simple, 1.0, 0.0004551410675048828
tr, it, 0.0, 1.0967254638671875e-05
tr, ceb, 1.0, 8.177757263183594e-05
tr, he, 1.0, 0.00021266937255859375
tr, da, 1.0, 0.0003190040588378906
tr, en, 0.0, 1.049041748046875e-05
tr, sr, 1.0, 0.00024390220642089844
tr, sv, 0.0, 1.430511474609375e-05
tr, ckb, 1.0, 0.00010371208190917969
tr, ru, 0.0, 1.1205673217773438e-05
tr, hi, 1.0, 0.00015044212341308594
tr, arz, 1.0, 7.462501525878906e-05
tr, bs, 1.0, 0.00015854835510253906
tr, te, 1.0, 4.3392181396484375e-05
tr, zh, 0.0, 1.1920928955078125e-05
tr, mk, 1.0, 0.00044417381286621094
tr, hu, 1.0, 0.0009906291961669922
tr, ko, 0.0, 1.430511474609375e-05
tr, war, 1.0, 7.796287536621094e-05
lv, lv, 1.0, 0.00029778480529785156
lv, el, 0.0, 8.106231689453125e-06
lv, es, 0.0, 6.4373016357421875e-06
lv, pl, 0.0, 6.4373016357421875e-06
lv, vi, 1.0, 0.00014781951904296875
lv, de, 0.0, 7.62939453125e-06
lv, ml, 1.0, 8.869171142578125e-05
lv, sh, 1.0, 0.00024056434631347656
lv, nl, 0.0, 1.5020370483398438e-05
lv, si, 1.0, 3.695487976074219e-05
lv, pt, 0.0, 7.867813110351562e-06
lv, ro, 1.0, 0.0002574920654296875
lv, ja, 0.0, 7.62939453125e-06
lv, simple, 1.0, 0.00029087066650390625
lv, it, 0.0, 7.867813110351562e-06
lv, ceb, 1.0, 4.7206878662109375e-05
lv, he, 1.0, 0.00010251998901367188
lv, da, 1.0, 0.00028061866760253906
lv, en, 0.0, 7.3909759521484375e-06
lv, sr, 1.0, 0.00010228157043457031
lv, sv, 0.0, 7.62939453125e-06
lv, ckb, 1.0, 4.0531158447265625e-05
lv, ru, 0.0, 6.9141387939453125e-06
lv, hi, 1.0, 8.416175842285156e-05
lv, arz, 1.0, 3.886222839355469e-05
lv, bs, 1.0, 0.00012159347534179688
lv, te, 1.0, 3.0517578125e-05
lv, zh, 0.0, 7.152557373046875e-06
lv, mk, 1.0, 0.0001430511474609375
lv, hu, 1.0, 0.0006937980651855469
lv, ko, 0.0, 7.867813110351562e-06
lv, war, 1.0, 3.981590270996094e-05
el, el, 1.0, 1.0251998901367188e-05
el, es, 1.0, 9.5367431640625e-06
el, pl, 1.0, 8.821487426757812e-06
el, vi, 0.0, 9.298324584960938e-06
el, de, 1.0, 1.2159347534179688e-05
el, ml, 0.0, 5.9604644775390625e-06
el, sh, 0.0, 7.152557373046875e-06
el, nl, 0.0, 5.7220458984375e-06
el, si, 0.0, 5.7220458984375e-06
el, pt, 0.0, 5.7220458984375e-06
el, ro, 0.0, 6.9141387939453125e-06
el, ja, 1.0, 1.2159347534179688e-05
el, simple, 0.0, 8.106231689453125e-06
el, it, 0.0, 5.9604644775390625e-06
el, ceb, 0.0, 5.4836273193359375e-06
el, he, 0.0, 5.245208740234375e-06
el, da, 0.0, 6.9141387939453125e-06
el, en, 1.0, 1.0728836059570312e-05
el, sr, 0.0, 5.4836273193359375e-06
el, sv, 0.0, 5.245208740234375e-06
el, ckb, 0.0, 4.76837158203125e-06
el, ru, 1.0, 9.059906005859375e-06
el, hi, 0.0, 4.76837158203125e-06
el, arz, 0.0, 4.76837158203125e-06
el, bs, 0.0, 5.7220458984375e-06
el, te, 0.0, 5.0067901611328125e-06
el, zh, 1.0, 9.5367431640625e-06
el, mk, 0.0, 5.0067901611328125e-06
el, hu, 0.0, 2.0265579223632812e-05
el, ko, 1.0, 1.4543533325195312e-05
el, war, 0.0, 6.198883056640625e-06
es, es, 1.0, 1.0728836059570312e-05
es, pl, 0.0, 5.4836273193359375e-06
es, vi, 0.0, 5.7220458984375e-06
es, de, 1.0, 9.059906005859375e-06
es, ml, 0.0, 5.245208740234375e-06
es, sh, 0.0, 6.198883056640625e-06
es, nl, 0.0, 1.049041748046875e-05
es, si, 0.0, 5.4836273193359375e-06
es, pt, 1.0, 9.775161743164062e-06
es, ro, 0.0, 7.3909759521484375e-06
es, ja, 1.0, 1.1920928955078125e-05
es, simple, 0.0, 2.4557113647460938e-05
es, it, 1.0, 9.775161743164062e-06
es, ceb, 0.0, 5.4836273193359375e-06
es, he, 0.0, 5.245208740234375e-06
es, da, 0.0, 8.106231689453125e-06
es, en, 1.0, 1.049041748046875e-05
es, sr, 0.0, 5.245208740234375e-06
es, sv, 1.0, 9.059906005859375e-06
es, ckb, 0.0, 5.4836273193359375e-06
es, ru, 1.0, 8.821487426757812e-06
es, hi, 0.0, 5.245208740234375e-06
es, arz, 0.0, 5.4836273193359375e-06
es, bs, 0.0, 5.9604644775390625e-06
es, te, 0.0, 5.9604644775390625e-06
es, zh, 1.0, 9.298324584960938e-06
es, mk, 0.0, 5.0067901611328125e-06
es, hu, 0.0, 1.430511474609375e-05
es, ko, 1.0, 1.33514404296875e-05
es, war, 0.0, 5.7220458984375e-06
pl, pl, 1.0, 9.775161743164062e-06
pl, vi, 0.0, 5.9604644775390625e-06
pl, de, 0.0, 5.9604644775390625e-06
pl, ml, 0.0, 5.245208740234375e-06
pl, sh, 0.0, 7.152557373046875e-06
pl, nl, 0.0, 5.0067901611328125e-06
pl, si, 0.0, 5.4836273193359375e-06
pl, pt, 0.0, 6.9141387939453125e-06
pl, ro, 0.0, 6.198883056640625e-06
pl, ja, 1.0, 1.239776611328125e-05
pl, simple, 0.0, 6.67572021484375e-06
pl, it, 0.0, 5.4836273193359375e-06
pl, ceb, 0.0, 5.245208740234375e-06
pl, he, 0.0, 4.76837158203125e-06
pl, da, 0.0, 5.7220458984375e-06
pl, en, 1.0, 1.9788742065429688e-05
pl, sr, 0.0, 5.7220458984375e-06
pl, sv, 0.0, 5.0067901611328125e-06
pl, ckb, 0.0, 5.0067901611328125e-06
pl, ru, 0.0, 5.0067901611328125e-06
pl, hi, 0.0, 5.0067901611328125e-06
pl, arz, 0.0, 5.0067901611328125e-06
pl, bs, 0.0, 5.9604644775390625e-06
pl, te, 0.0, 6.4373016357421875e-06
pl, zh, 0.0, 5.9604644775390625e-06
pl, mk, 0.0, 5.4836273193359375e-06
pl, hu, 0.0, 1.1920928955078125e-05
pl, ko, 0.0, 6.4373016357421875e-06
pl, war, 0.0, 5.4836273193359375e-06
vi, vi, 1.0, 0.00010728836059570312
vi, de, 0.0, 8.344650268554688e-06
vi, ml, 1.0, 3.6716461181640625e-05
vi, sh, 1.0, 0.00020766258239746094
vi, nl, 0.0, 7.152557373046875e-06
vi, si, 1.0, 1.6927719116210938e-05
vi, pt, 0.0, 6.4373016357421875e-06
vi, ro, 1.0, 0.00021505355834960938
vi, ja, 0.0, 7.867813110351562e-06
vi, simple, 1.0, 0.0002865791320800781
vi, it, 0.0, 7.3909759521484375e-06
vi, ceb, 1.0, 2.6702880859375e-05
vi, he, 1.0, 5.2928924560546875e-05
vi, da, 1.0, 0.0002613067626953125
vi, en, 0.0, 8.821487426757812e-06
vi, sr, 1.0, 4.744529724121094e-05
vi, sv, 0.0, 6.4373016357421875e-06
vi, ckb, 1.0, 2.5510787963867188e-05
vi, ru, 0.0, 5.7220458984375e-06
vi, hi, 1.0, 4.267692565917969e-05
vi, arz, 1.0, 2.5510787963867188e-05
vi, bs, 1.0, 8.726119995117188e-05
vi, te, 1.0, 1.5020370483398438e-05
vi, zh, 0.0, 7.152557373046875e-06
vi, mk, 1.0, 4.0531158447265625e-05
vi, hu, 1.0, 0.0006549358367919922
vi, ko, 0.0, 7.3909759521484375e-06
vi, war, 1.0, 2.9325485229492188e-05
de, de, 1.0, 1.049041748046875e-05
de, ml, 0.0, 7.3909759521484375e-06
de, sh, 0.0, 6.9141387939453125e-06
de, nl, 0.0, 5.9604644775390625e-06
de, si, 0.0, 5.9604644775390625e-06
de, pt, 1.0, 1.1920928955078125e-05
de, ro, 0.0, 7.867813110351562e-06
de, ja, 1.0, 1.1444091796875e-05
de, simple, 0.0, 1.0013580322265625e-05
de, it, 1.0, 1.811981201171875e-05
de, ceb, 0.0, 6.4373016357421875e-06
de, he, 0.0, 5.4836273193359375e-06
de, da, 0.0, 6.9141387939453125e-06
de, en, 1.0, 1.2874603271484375e-05
de, sr, 0.0, 5.245208740234375e-06
de, sv, 1.0, 9.059906005859375e-06
de, ckb, 0.0, 5.4836273193359375e-06
de, ru, 1.0, 8.821487426757812e-06
de, hi, 0.0, 5.245208740234375e-06
de, arz, 0.0, 5.4836273193359375e-06
de, bs, 0.0, 5.4836273193359375e-06
de, te, 0.0, 4.76837158203125e-06
de, zh, 1.0, 9.298324584960938e-06
de, mk, 0.0, 5.245208740234375e-06
de, hu, 0.0, 1.3828277587890625e-05
de, ko, 1.0, 1.1205673217773438e-05
de, war, 0.0, 5.4836273193359375e-06
ml, ml, 1.0, 2.5510787963867188e-05
ml, sh, 1.0, 0.00014448165893554688
ml, nl, 0.0, 7.867813110351562e-06
ml, si, 1.0, 1.3589859008789062e-05
ml, pt, 0.0, 5.9604644775390625e-06
ml, ro, 1.0, 0.00010371208190917969
ml, ja, 0.0, 7.62939453125e-06
ml, simple, 1.0, 0.0001277923583984375
ml, it, 0.0, 7.62939453125e-06
ml, ceb, 1.0, 2.1219253540039062e-05
ml, he, 1.0, 1.6927719116210938e-05
ml, da, 1.0, 0.00011754035949707031
ml, en, 0.0, 7.3909759521484375e-06
ml, sr, 1.0, 2.1219253540039062e-05
ml, sv, 0.0, 5.7220458984375e-06
ml, ckb, 1.0, 1.4781951904296875e-05
ml, ru, 0.0, 5.9604644775390625e-06
ml, hi, 1.0, 2.5510787963867188e-05
ml, arz, 1.0, 1.430511474609375e-05
ml, bs, 1.0, 6.151199340820312e-05
ml, te, 1.0, 1.4543533325195312e-05
ml, zh, 0.0, 7.152557373046875e-06
ml, mk, 1.0, 1.9550323486328125e-05
ml, hu, 1.0, 0.00025010108947753906
ml, ko, 0.0, 7.867813110351562e-06
ml, war, 1.0, 1.7881393432617188e-05
sh, sh, 1.0, 0.00036597251892089844
sh, nl, 0.0, 8.106231689453125e-06
sh, si, 1.0, 6.008148193359375e-05
sh, pt, 0.0, 8.344650268554688e-06
sh, ro, 1.0, 0.0003333091735839844
sh, ja, 0.0, 7.3909759521484375e-06
sh, simple, 1.0, 0.00034499168395996094
sh, it, 0.0, 9.775161743164062e-06
sh, ceb, 1.0, 0.00010013580322265625
sh, he, 1.0, 0.00015211105346679688
sh, da, 1.0, 0.0003261566162109375
sh, en, 0.0, 7.867813110351562e-06
sh, sr, 1.0, 0.00017881393432617188
sh, sv, 0.0, 8.106231689453125e-06
sh, ckb, 1.0, 9.703636169433594e-05
sh, ru, 0.0, 7.867813110351562e-06
sh, hi, 1.0, 0.00015354156494140625
sh, arz, 1.0, 8.249282836914062e-05
sh, bs, 1.0, 0.00018477439880371094
sh, te, 1.0, 9.274482727050781e-05
sh, zh, 0.0, 7.62939453125e-06
sh, mk, 1.0, 0.00011777877807617188
sh, hu, 1.0, 0.0005669593811035156
sh, ko, 0.0, 8.106231689453125e-06
sh, war, 1.0, 9.5367431640625e-05
nl, nl, 1.0, 1.0728836059570312e-05
nl, si, 0.0, 7.152557373046875e-06
nl, pt, 0.0, 5.7220458984375e-06
nl, ro, 0.0, 6.198883056640625e-06
nl, ja, 0.0, 5.4836273193359375e-06
nl, simple, 0.0, 6.9141387939453125e-06
nl, it, 0.0, 5.4836273193359375e-06
nl, ceb, 0.0, 5.4836273193359375e-06
nl, he, 0.0, 5.7220458984375e-06
nl, da, 0.0, 5.9604644775390625e-06
nl, en, 0.0, 5.7220458984375e-06
nl, sr, 0.0, 5.245208740234375e-06
nl, sv, 0.0, 5.245208740234375e-06
nl, ckb, 0.0, 5.4836273193359375e-06
nl, ru, 0.0, 5.0067901611328125e-06
nl, hi, 0.0, 5.4836273193359375e-06
nl, arz, 0.0, 5.4836273193359375e-06
nl, bs, 0.0, 6.4373016357421875e-06
nl, te, 0.0, 5.4836273193359375e-06
nl, zh, 0.0, 5.7220458984375e-06
nl, mk, 0.0, 5.4836273193359375e-06
nl, hu, 0.0, 1.2159347534179688e-05
nl, ko, 0.0, 5.7220458984375e-06
nl, war, 0.0, 5.7220458984375e-06
si, si, 1.0, 1.52587890625e-05
si, pt, 0.0, 5.9604644775390625e-06
si, ro, 1.0, 4.315376281738281e-05
si, ja, 0.0, 6.198883056640625e-06
si, simple, 1.0, 6.389617919921875e-05
si, it, 0.0, 7.867813110351562e-06
si, ceb, 1.0, 1.4543533325195312e-05
si, he, 1.0, 1.1682510375976562e-05
si, da, 1.0, 5.698204040527344e-05
si, en, 0.0, 7.152557373046875e-06
si, sr, 1.0, 1.2636184692382812e-05
si, sv, 0.0, 6.198883056640625e-06
si, ckb, 1.0, 1.1920928955078125e-05
si, ru, 0.0, 5.4836273193359375e-06
si, hi, 1.0, 1.1682510375976562e-05
si, arz, 1.0, 1.0967254638671875e-05
si, bs, 1.0, 3.814697265625e-05
si, te, 1.0, 1.1682510375976562e-05
si, zh, 0.0, 6.4373016357421875e-06
si, mk, 1.0, 1.1682510375976562e-05
si, hu, 1.0, 9.179115295410156e-05
si, ko, 0.0, 7.62939453125e-06
si, war, 1.0, 1.5735626220703125e-05
pt, pt, 1.0, 1.0251998901367188e-05
pt, ro, 0.0, 8.344650268554688e-06
pt, ja, 0.0, 5.7220458984375e-06
pt, simple, 0.0, 7.867813110351562e-06
pt, it, 1.0, 1.049041748046875e-05
pt, ceb, 0.0, 5.9604644775390625e-06
pt, he, 0.0, 5.245208740234375e-06
pt, da, 0.0, 6.4373016357421875e-06
pt, en, 1.0, 1.0251998901367188e-05
pt, sr, 0.0, 5.4836273193359375e-06
pt, sv, 1.0, 9.5367431640625e-06
pt, ckb, 0.0, 5.245208740234375e-06
pt, ru, 0.0, 5.4836273193359375e-06
pt, hi, 0.0, 5.245208740234375e-06
pt, arz, 0.0, 5.0067901611328125e-06
pt, bs, 0.0, 6.4373016357421875e-06
pt, te, 0.0, 5.245208740234375e-06
pt, zh, 1.0, 1.0013580322265625e-05
pt, mk, 0.0, 5.9604644775390625e-06
pt, hu, 0.0, 1.52587890625e-05
pt, ko, 0.0, 5.9604644775390625e-06
pt, war, 0.0, 5.4836273193359375e-06
ro, ro, 1.0, 0.0003876686096191406
ro, ja, 0.0, 7.152557373046875e-06
ro, simple, 1.0, 0.0003561973571777344
ro, it, 0.0, 7.3909759521484375e-06
ro, ceb, 1.0, 7.081031799316406e-05
ro, he, 1.0, 0.00016450881958007812
ro, da, 1.0, 0.0003409385681152344
ro, en, 0.0, 8.106231689453125e-06
ro, sr, 1.0, 0.0001990795135498047
ro, sv, 0.0, 7.62939453125e-06
ro, ckb, 1.0, 5.888938903808594e-05
ro, ru, 0.0, 7.62939453125e-06
ro, hi, 1.0, 0.00011396408081054688
ro, arz, 1.0, 8.177757263183594e-05
ro, bs, 1.0, 0.0001423358917236328
ro, te, 1.0, 3.886222839355469e-05
ro, zh, 0.0, 7.3909759521484375e-06
ro, mk, 1.0, 0.00013256072998046875
ro, hu, 1.0, 0.0006976127624511719
ro, ko, 0.0, 8.106231689453125e-06
ro, war, 1.0, 6.198883056640625e-05
ja, ja, 1.0, 9.5367431640625e-06
ja, simple, 0.0, 7.62939453125e-06
ja, it, 0.0, 5.7220458984375e-06
ja, ceb, 0.0, 5.245208740234375e-06
ja, he, 0.0, 5.0067901611328125e-06
ja, da, 0.0, 5.9604644775390625e-06
ja, en, 1.0, 1.0251998901367188e-05
ja, sr, 0.0, 5.7220458984375e-06
ja, sv, 0.0, 4.76837158203125e-06
ja, ckb, 0.0, 5.4836273193359375e-06
ja, ru, 1.0, 8.821487426757812e-06
ja, hi, 0.0, 5.0067901611328125e-06
ja, arz, 0.0, 5.0067901611328125e-06
ja, bs, 0.0, 5.4836273193359375e-06
ja, te, 0.0, 5.245208740234375e-06
ja, zh, 1.0, 8.106231689453125e-06
ja, mk, 0.0, 5.0067901611328125e-06
ja, hu, 0.0, 1.239776611328125e-05
ja, ko, 1.0, 1.0251998901367188e-05
ja, war, 0.0, 5.0067901611328125e-06
simple, simple, 1.0, 0.0005171298980712891
simple, it, 0.0, 9.059906005859375e-06
simple, ceb, 1.0, 9.72747802734375e-05
simple, he, 1.0, 0.00018477439880371094
simple, da, 1.0, 0.0004646778106689453
simple, en, 0.0, 1.0251998901367188e-05
simple, sr, 1.0, 0.0002238750457763672
simple, sv, 0.0, 8.58306884765625e-06
simple, ckb, 1.0, 8.58306884765625e-05
simple, ru, 0.0, 7.62939453125e-06
simple, hi, 1.0, 0.00011944770812988281
simple, arz, 1.0, 7.557868957519531e-05
simple, bs, 1.0, 0.00017333030700683594
simple, te, 1.0, 4.935264587402344e-05
simple, zh, 0.0, 6.9141387939453125e-06
simple, mk, 1.0, 0.0001690387725830078
simple, hu, 1.0, 0.0006096363067626953
simple, ko, 0.0, 7.867813110351562e-06
simple, war, 1.0, 8.630752563476562e-05
it, it, 1.0, 1.0013580322265625e-05
it, ceb, 0.0, 7.152557373046875e-06
it, he, 0.0, 5.4836273193359375e-06
it, da, 0.0, 6.4373016357421875e-06
it, en, 1.0, 1.049041748046875e-05
it, sr, 0.0, 5.4836273193359375e-06
it, sv, 1.0, 9.298324584960938e-06
it, ckb, 0.0, 5.7220458984375e-06
it, ru, 0.0, 5.7220458984375e-06
it, hi, 0.0, 5.7220458984375e-06
it, arz, 0.0, 5.7220458984375e-06
it, bs, 0.0, 5.9604644775390625e-06
it, te, 0.0, 5.9604644775390625e-06
it, zh, 1.0, 9.775161743164062e-06
it, mk, 0.0, 5.9604644775390625e-06
it, hu, 0.0, 1.1920928955078125e-05
it, ko, 0.0, 5.4836273193359375e-06
it, war, 0.0, 5.7220458984375e-06
ceb, ceb, 1.0, 3.910064697265625e-05
ceb, he, 1.0, 2.3126602172851562e-05
ceb, da, 1.0, 9.918212890625e-05
ceb, en, 0.0, 7.152557373046875e-06
ceb, sr, 1.0, 2.3365020751953125e-05
ceb, sv, 0.0, 6.4373016357421875e-06
ceb, ckb, 1.0, 1.811981201171875e-05
ceb, ru, 0.0, 6.198883056640625e-06
ceb, hi, 1.0, 2.2411346435546875e-05
ceb, arz, 1.0, 1.8835067749023438e-05
ceb, bs, 1.0, 6.985664367675781e-05
ceb, te, 1.0, 1.5735626220703125e-05
ceb, zh, 0.0, 7.152557373046875e-06
ceb, mk, 1.0, 2.2411346435546875e-05
ceb, hu, 1.0, 0.00016927719116210938
ceb, ko, 0.0, 7.62939453125e-06
ceb, war, 1.0, 2.193450927734375e-05
he, he, 1.0, 3.0279159545898438e-05
he, da, 1.0, 0.0001533031463623047
he, en, 0.0, 7.62939453125e-06
he, sr, 1.0, 2.0503997802734375e-05
he, sv, 0.0, 5.9604644775390625e-06
he, ckb, 1.0, 1.5974044799804688e-05
he, ru, 0.0, 5.7220458984375e-06
he, hi, 1.0, 1.7404556274414062e-05
