Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0009174346923828125
id, fr, 0.0, 0.0003657341003417969
id, mr, 0.2980769230769231, 0.0004000663757324219
id, tr, 0.4592833876221498, 0.0009806156158447266
id, lv, 0.5046728971962616, 0.0004913806915283203
id, el, 0.0, 0.0003795623779296875
id, es, 0.0, 0.0003647804260253906
id, pl, 0.0, 0.00035881996154785156
id, vi, 0.5801526717557252, 0.00043463706970214844
id, de, 0.0, 0.00036716461181640625
id, ml, 0.3627906976744186, 0.00040435791015625
id, sh, 0.35, 0.0005681514739990234
id, nl, 0.0, 0.0003552436828613281
id, si, 0.09359605911330049, 0.00037479400634765625
id, pt, 0.0, 0.00036644935607910156
id, ro, 0.423963133640553, 0.000545501708984375
id, ja, 0.0, 0.000370025634765625
id, simple, 0.4588744588744589, 0.0006258487701416016
id, it, 0.0, 0.00039124488830566406
id, ceb, 0.14146341463414633, 0.00038361549377441406
id, he, 0.3991031390134529, 0.0004017353057861328
id, da, 0.36403508771929827, 0.0005888938903808594
id, en, 0.0, 0.0003757476806640625
id, sr, 0.4090909090909091, 0.0004024505615234375
id, sv, 0.0, 0.00037741661071777344
id, ckb, 0.1796116504854369, 0.0003750324249267578
id, ru, 0.0, 0.00038504600524902344
id, hi, 0.39737991266375544, 0.0003917217254638672
id, arz, 0.16666666666666666, 0.00038552284240722656
id, bs, 0.15048543689320387, 0.0004756450653076172
id, te, 0.10344827586206896, 0.00038361549377441406
id, zh, 0.0, 0.00039267539978027344
id, mk, 0.44765342960288806, 0.00040912628173828125
id, hu, 0.42731277533039647, 0.0012331008911132812
id, ko, 0.0, 0.0003981590270996094
id, war, 0.10679611650485436, 0.0004062652587890625
id, union, 0.4521158129175947, 0.003946542739868164
fr, fr, 1.0, 2.2411346435546875e-05
fr, mr, 0.0, 1.7881393432617188e-05
fr, tr, 0.0, 0.0005681514739990234
fr, lv, 0.0, 0.0001163482666015625
fr, el, 0.0, 1.0967254638671875e-05
fr, es, 0.2, 1.239776611328125e-05
fr, pl, 0.0, 1.049041748046875e-05
fr, vi, 0.0, 4.7206878662109375e-05
fr, de, 0.5, 1.1682510375976562e-05
fr, ml, 0.0, 1.6927719116210938e-05
fr, sh, 0.0, 0.0001685619354248047
fr, nl, 0.0, 1.1682510375976562e-05
fr, si, 0.0, 1.1920928955078125e-05
fr, pt, 1.0, 1.0251998901367188e-05
fr, ro, 0.0, 0.00015592575073242188
fr, ja, 0.0, 1.049041748046875e-05
fr, simple, 0.0, 0.0002422332763671875
fr, it, 1.0, 1.1205673217773438e-05
