Language1, Language2, SimilarityScore, Time
id, id, 1.0, 8.511543273925781e-05
id, fr, 1.0, 4.9114227294921875e-05
id, mr, 1.0, 1.430511474609375e-05
id, tr, 1.0, 3.0040740966796875e-05
id, lv, 1.0, 2.1696090698242188e-05
id, el, 1.0, 1.6927719116210938e-05
id, es, 1.0, 6.341934204101562e-05
id, pl, 1.0, 5.507469177246094e-05
id, vi, 1.0, 2.193450927734375e-05
id, de, 1.0, 7.343292236328125e-05
id, ml, 1.0, 1.5974044799804688e-05
id, sh, 1.0, 2.6464462280273438e-05
id, nl, 1.0, 7.510185241699219e-05
id, si, 1.0, 1.0967254638671875e-05
id, pt, 1.0, 4.38690185546875e-05
id, ro, 1.0, 4.506111145019531e-05
id, ja, 1.0, 3.337860107421875e-05
id, simple, 1.0, 2.9087066650390625e-05
id, it, 1.0, 4.76837158203125e-05
id, ceb, 1.0, 1.0251998901367188e-05
id, he, 1.0, 2.3126602172851562e-05
id, da, 1.0, 3.337860107421875e-05
id, en, 1.0, 8.916854858398438e-05
id, sr, 1.0, 3.361701965332031e-05
id, sv, 1.0, 4.4345855712890625e-05
id, ckb, 1.0, 1.1920928955078125e-05
id, ru, 1.0, 4.267692565917969e-05
id, hi, 1.0, 2.3365020751953125e-05
id, arz, 1.0, 1.239776611328125e-05
id, bs, 1.0, 1.4543533325195312e-05
id, te, 1.0, 1.1920928955078125e-05
id, zh, 1.0, 3.814697265625e-05
id, mk, 1.0, 1.811981201171875e-05
id, hu, 1.0, 5.459785461425781e-05
id, ko, 1.0, 2.574920654296875e-05
id, war, 1.0, 1.2636184692382812e-05
fr, fr, 1.0, 0.00011658668518066406
fr, mr, 1.0, 1.1205673217773438e-05
fr, tr, 1.0, 2.7418136596679688e-05
fr, lv, 1.0, 1.9788742065429688e-05
fr, el, 1.0, 1.4543533325195312e-05
fr, es, 1.0, 7.009506225585938e-05
fr, pl, 1.0, 3.981590270996094e-05
fr, vi, 1.0, 1.6927719116210938e-05
fr, de, 1.0, 9.34600830078125e-05
fr, ml, 1.0, 1.52587890625e-05
fr, sh, 1.0, 2.7418136596679688e-05
fr, nl, 1.0, 6.866455078125e-05
fr, si, 1.0, 1.1444091796875e-05
fr, pt, 1.0, 3.457069396972656e-05
fr, ro, 1.0, 5.412101745605469e-05
fr, ja, 1.0, 3.457069396972656e-05
fr, simple, 1.0, 2.6702880859375e-05
fr, it, 1.0, 6.008148193359375e-05
fr, ceb, 1.0, 1.1205673217773438e-05
fr, he, 1.0, 2.2172927856445312e-05
fr, da, 1.0, 3.170967102050781e-05
fr, en, 1.0, 7.963180541992188e-05
fr, sr, 1.0, 2.6464462280273438e-05
fr, sv, 1.0, 4.8160552978515625e-05
fr, ckb, 1.0, 1.3113021850585938e-05
fr, ru, 1.0, 3.62396240234375e-05
fr, hi, 1.0, 3.2901763916015625e-05
fr, arz, 1.0, 1.5735626220703125e-05
fr, bs, 1.0, 1.6689300537109375e-05
fr, te, 1.0, 1.2636184692382812e-05
fr, zh, 1.0, 3.24249267578125e-05
fr, mk, 1.0, 1.5497207641601562e-05
fr, hu, 1.0, 7.939338684082031e-05
fr, ko, 1.0, 2.5272369384765625e-05
fr, war, 1.0, 1.3113021850585938e-05
mr, mr, 1.0, 1.2874603271484375e-05
mr, tr, 1.0, 1.6927719116210938e-05
mr, lv, 1.0, 1.5497207641601562e-05
mr, el, 1.0, 1.1920928955078125e-05
mr, es, 1.0, 1.71661376953125e-05
mr, pl, 1.0, 1.239776611328125e-05
mr, vi, 1.0, 1.1205673217773438e-05
mr, de, 1.0, 1.52587890625e-05
mr, ml, 1.0, 1.0251998901367188e-05
mr, sh, 1.0, 1.0728836059570312e-05
mr, nl, 1.0, 1.4066696166992188e-05
mr, si, 1.0, 9.5367431640625e-06
mr, pt, 1.0, 1.2636184692382812e-05
mr, ro, 1.0, 1.0728836059570312e-05
mr, ja, 1.0, 9.059906005859375e-06
mr, simple, 1.0, 1.0013580322265625e-05
mr, it, 1.0, 1.2636184692382812e-05
mr, ceb, 1.0, 9.5367431640625e-06
mr, he, 1.0, 9.5367431640625e-06
mr, da, 1.0, 1.2159347534179688e-05
mr, en, 1.0, 1.430511474609375e-05
mr, sr, 1.0, 9.298324584960938e-06
mr, sv, 1.0, 1.0967254638671875e-05
mr, ckb, 1.0, 9.775161743164062e-06
mr, ru, 1.0, 1.0013580322265625e-05
mr, hi, 1.0, 9.298324584960938e-06
mr, arz, 1.0, 9.5367431640625e-06
mr, bs, 1.0, 9.5367431640625e-06
