Language1, Language2, SimilarityScore, Time
fr, fr, 0.0, 2.1219253540039062e-05
fr, el, 0.0, 7.867813110351562e-06
fr, de, 0.0, 6.198883056640625e-06
fr, en, 0.0, 1.1682510375976562e-05
fr, ru, 0.0, 5.9604644775390625e-06
fr, zh, 0.0, 5.4836273193359375e-06
el, el, 0.0, 1.0728836059570312e-05
el, de, 0.0, 5.245208740234375e-06
el, en, 0.0, 1.0728836059570312e-05
el, ru, 0.0, 5.245208740234375e-06
el, zh, 0.0, 5.0067901611328125e-06
de, de, 0.0, 9.5367431640625e-06
de, en, 0.0, 9.059906005859375e-06
de, ru, 0.0, 4.76837158203125e-06
de, zh, 0.0, 4.5299530029296875e-06
en, en, 0.0, 1.049041748046875e-05
en, ru, 0.0, 5.0067901611328125e-06
en, zh, 0.0, 4.5299530029296875e-06
ru, ru, 0.0, 9.5367431640625e-06
ru, zh, 0.0, 5.4836273193359375e-06
zh, zh, 0.0, 8.821487426757812e-06
