Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.266334533691406e-05
fr, de, 1.0, 1.2636184692382812e-05
fr, ml, 1.0, 1.0251998901367188e-05
fr, pt, 1.0, 9.5367431640625e-06
fr, ja, 1.0, 1.0251998901367188e-05
fr, en, 1.0, 1.0967254638671875e-05
fr, ko, 1.0, 1.0013580322265625e-05
fr, union, 1.0, 9.5367431640625e-06
de, de, 1.0, 8.58306884765625e-06
de, ml, 1.0, 1.0013580322265625e-05
de, pt, 1.0, 8.58306884765625e-06
de, ja, 1.0, 8.821487426757812e-06
de, en, 1.0, 8.344650268554688e-06
de, ko, 1.0, 9.775161743164062e-06
de, union, 1.0, 9.298324584960938e-06
ml, ml, 1.0, 9.059906005859375e-06
ml, pt, 1.0, 8.821487426757812e-06
ml, ja, 1.0, 9.059906005859375e-06
ml, en, 1.0, 9.775161743164062e-06
ml, ko, 1.0, 8.344650268554688e-06
ml, union, 1.0, 9.059906005859375e-06
pt, pt, 1.0, 8.106231689453125e-06
pt, ja, 1.0, 1.0728836059570312e-05
pt, en, 1.0, 9.059906005859375e-06
pt, ko, 1.0, 8.821487426757812e-06
pt, union, 1.0, 8.58306884765625e-06
ja, ja, 1.0, 9.298324584960938e-06
ja, en, 1.0, 9.5367431640625e-06
ja, ko, 1.0, 8.58306884765625e-06
ja, union, 1.0, 8.58306884765625e-06
en, en, 1.0, 8.58306884765625e-06
en, ko, 1.0, 1.049041748046875e-05
en, union, 1.0, 9.059906005859375e-06
ko, ko, 1.0, 8.344650268554688e-06
ko, union, 1.0, 8.821487426757812e-06
union, union, 1.0, 9.298324584960938e-06
