Language1, Language2, SimilarityScore, Time
fr, fr, 0.33355555555555555, 0.007906436920166016
fr, es, 0.50025, 0.00024199485778808594
fr, pt, 1.0, 0.00012683868408203125
fr, ja, 1.0, 0.00011420249938964844
fr, it, 0.33355555555555555, 0.0001595020294189453
fr, en, 1.0, 0.0001220703125
fr, union, 0.33355555555555555, 0.00015854835510253906
es, es, 0.50025, 0.00012922286987304688
es, pt, 1.0, 0.00011920928955078125
es, ja, 1.0, 0.00011444091796875
es, it, 0.50025, 0.0001251697540283203
es, en, 1.0, 0.000118255615234375
es, union, 0.50025, 0.0001270771026611328
pt, pt, 1.0, 0.0001232624053955078
pt, ja, 1.0, 0.00010585784912109375
pt, it, 1.0, 0.00012302398681640625
pt, en, 0.0, 4.0531158447265625e-05
pt, union, 1.0, 0.00010800361633300781
ja, ja, 0.5, 0.00011277198791503906
ja, it, 0.5, 0.00011777877807617188
ja, en, 0.0, 4.0531158447265625e-05
ja, union, 0.5, 0.00011086463928222656
it, it, 0.250250375500751, 0.00045037269592285156
it, en, 1.0, 0.00012087821960449219
it, union, 0.250250375500751, 0.00014591217041015625
en, en, 1.0, 0.00011396408081054688
en, union, 1.0, 0.00011229515075683594
union, union, 0.250250375500751, 0.0006632804870605469
