Language1, Language2, SimilarityScore, Time
id, id, 0.0, 1.9788742065429688e-05
id, fr, 0.0, 1.239776611328125e-05
id, tr, 0.0, 1.0728836059570312e-05
id, el, 0.0, 1.0251998901367188e-05
id, es, 0.0, 1.0013580322265625e-05
id, pl, 0.0, 1.0251998901367188e-05
id, vi, 0.0, 1.0967254638671875e-05
id, de, 0.0, 1.0251998901367188e-05
id, sh, 0.0, 9.5367431640625e-06
id, nl, 0.0, 1.049041748046875e-05
id, pt, 0.0, 1.049041748046875e-05
id, ro, 0.0, 1.049041748046875e-05
id, ja, 0.0, 1.0013580322265625e-05
id, it, 0.0, 9.5367431640625e-06
id, he, 0.0, 9.298324584960938e-06
id, da, 0.0, 9.775161743164062e-06
id, en, 0.0, 1.0013580322265625e-05
id, sr, 0.0, 9.298324584960938e-06
id, sv, 0.0, 9.775161743164062e-06
id, ru, 0.0, 9.298324584960938e-06
id, zh, 0.0, 9.5367431640625e-06
id, hu, 0.0, 9.5367431640625e-06
id, ko, 0.0, 9.5367431640625e-06
fr, fr, 0.0, 9.5367431640625e-06
fr, tr, 0.0, 9.5367431640625e-06
fr, el, 0.0, 9.775161743164062e-06
fr, es, 0.0, 9.775161743164062e-06
fr, pl, 0.0, 9.775161743164062e-06
fr, vi, 0.0, 9.775161743164062e-06
fr, de, 0.0, 1.0251998901367188e-05
fr, sh, 0.0, 9.775161743164062e-06
fr, nl, 0.0, 9.5367431640625e-06
fr, pt, 0.0, 1.0251998901367188e-05
fr, ro, 0.0, 1.0013580322265625e-05
fr, ja, 0.0, 9.5367431640625e-06
fr, it, 0.0, 1.0013580322265625e-05
fr, he, 0.0, 9.5367431640625e-06
fr, da, 0.0, 1.0728836059570312e-05
fr, en, 0.0, 1.0013580322265625e-05
fr, sr, 0.0, 9.298324584960938e-06
fr, sv, 0.0, 1.0251998901367188e-05
fr, ru, 0.0, 1.1682510375976562e-05
fr, zh, 0.0, 1.0013580322265625e-05
fr, hu, 0.0, 9.5367431640625e-06
fr, ko, 0.0, 9.775161743164062e-06
tr, tr, 0.0, 9.5367431640625e-06
tr, el, 0.0, 9.298324584960938e-06
tr, es, 0.0, 1.1444091796875e-05
tr, pl, 0.0, 9.298324584960938e-06
tr, vi, 0.0, 9.5367431640625e-06
tr, de, 0.0, 9.298324584960938e-06
tr, sh, 0.0, 9.5367431640625e-06
tr, nl, 0.0, 1.0967254638671875e-05
tr, pt, 0.0, 9.775161743164062e-06
tr, ro, 0.0, 9.059906005859375e-06
tr, ja, 0.0, 9.775161743164062e-06
tr, it, 0.0, 9.775161743164062e-06
tr, he, 0.0, 9.775161743164062e-06
tr, da, 0.0, 9.775161743164062e-06
tr, en, 0.0, 1.0013580322265625e-05
tr, sr, 0.0, 9.298324584960938e-06
tr, sv, 0.0, 9.775161743164062e-06
tr, ru, 0.0, 9.775161743164062e-06
tr, zh, 0.0, 9.5367431640625e-06
tr, hu, 0.0, 9.5367431640625e-06
tr, ko, 0.0, 9.298324584960938e-06
el, el, 0.0, 9.775161743164062e-06
el, es, 0.0, 9.5367431640625e-06
el, pl, 0.0, 9.775161743164062e-06
el, vi, 0.0, 9.298324584960938e-06
el, de, 0.0, 9.5367431640625e-06
el, sh, 0.0, 9.298324584960938e-06
el, nl, 0.0, 9.5367431640625e-06
el, pt, 0.0, 9.775161743164062e-06
el, ro, 0.0, 9.059906005859375e-06
el, ja, 0.0, 9.5367431640625e-06
el, it, 0.0, 9.298324584960938e-06
el, he, 0.0, 9.059906005859375e-06
el, da, 0.0, 9.5367431640625e-06
el, en, 0.0, 9.298324584960938e-06
el, sr, 0.0, 9.059906005859375e-06
el, sv, 0.0, 9.775161743164062e-06
el, ru, 0.0, 9.059906005859375e-06
el, zh, 0.0, 9.298324584960938e-06
el, hu, 0.0, 9.775161743164062e-06
el, ko, 0.0, 9.775161743164062e-06
es, es, 0.0, 9.775161743164062e-06
es, pl, 0.0, 1.0251998901367188e-05
es, vi, 0.0, 9.298324584960938e-06
es, de, 0.0, 9.775161743164062e-06
es, sh, 0.0, 9.059906005859375e-06
es, nl, 0.0, 9.5367431640625e-06
es, pt, 0.0, 9.298324584960938e-06
es, ro, 0.0, 9.775161743164062e-06
es, ja, 0.0, 1.0013580322265625e-05
es, it, 0.0, 1.0013580322265625e-05
es, he, 0.0, 1.0251998901367188e-05
es, da, 0.0, 9.5367431640625e-06
es, en, 0.0, 9.5367431640625e-06
es, sr, 0.0, 9.5367431640625e-06
es, sv, 0.0, 9.5367431640625e-06
es, ru, 0.0, 9.298324584960938e-06
es, zh, 0.0, 9.298324584960938e-06
es, hu, 0.0, 9.059906005859375e-06
es, ko, 0.0, 9.775161743164062e-06
pl, pl, 0.0, 9.775161743164062e-06
pl, vi, 0.0, 9.298324584960938e-06
pl, de, 0.0, 9.5367431640625e-06
pl, sh, 0.0, 9.298324584960938e-06
pl, nl, 0.0, 9.775161743164062e-06
pl, pt, 0.0, 9.059906005859375e-06
pl, ro, 0.0, 9.298324584960938e-06
pl, ja, 0.0, 9.298324584960938e-06
pl, it, 0.0, 9.5367431640625e-06
pl, he, 0.0, 9.775161743164062e-06
pl, da, 0.0, 9.298324584960938e-06
pl, en, 0.0, 9.775161743164062e-06
pl, sr, 0.0, 9.775161743164062e-06
pl, sv, 0.0, 1.0013580322265625e-05
