Language1, Language2, SimilarityScore, Time
id, id, 1.0, 1.8358230590820312e-05
id, fr, 0.0, 1.2636184692382812e-05
id, tr, 0.0, 1.0251998901367188e-05
id, el, 0.0, 6.67572021484375e-06
id, es, 0.0, 1.0251998901367188e-05
id, pl, 0.0, 1.0251998901367188e-05
id, de, 0.0, 1.1205673217773438e-05
id, ml, 0.0, 9.5367431640625e-06
id, nl, 0.0, 1.0251998901367188e-05
id, si, 0.0, 9.298324584960938e-06
id, pt, 1.0, 1.2159347534179688e-05
id, ro, 0.0, 9.298324584960938e-06
id, ja, 0.0, 9.775161743164062e-06
id, it, 0.0, 1.0967254638671875e-05
id, he, 0.0, 9.5367431640625e-06
id, da, 0.0, 5.7220458984375e-06
id, en, 0.0, 1.4066696166992188e-05
id, sr, 0.0, 9.5367431640625e-06
id, sv, 0.0, 1.1205673217773438e-05
id, ru, 0.0, 9.5367431640625e-06
id, hi, 0.0, 1.0251998901367188e-05
id, arz, 0.0, 9.5367431640625e-06
id, zh, 0.0, 9.775161743164062e-06
id, hu, 0.0, 1.0013580322265625e-05
id, ko, 0.0, 1.0013580322265625e-05
fr, fr, 0.0, 1.1920928955078125e-05
fr, tr, 0.0, 9.298324584960938e-06
fr, el, 0.0, 5.245208740234375e-06
fr, es, 0.0, 1.1682510375976562e-05
fr, pl, 0.0, 1.0251998901367188e-05
fr, de, 0.0, 1.0013580322265625e-05
fr, ml, 0.0, 9.059906005859375e-06
fr, nl, 0.0, 1.049041748046875e-05
fr, si, 0.0, 9.059906005859375e-06
fr, pt, 0.0, 1.0728836059570312e-05
fr, ro, 0.0, 9.775161743164062e-06
fr, ja, 0.0, 1.0013580322265625e-05
fr, it, 0.0, 1.239776611328125e-05
fr, he, 0.0, 2.4557113647460938e-05
fr, da, 0.0, 5.4836273193359375e-06
fr, en, 0.0, 2.4557113647460938e-05
fr, sr, 0.0, 1.0013580322265625e-05
fr, sv, 0.0, 1.1205673217773438e-05
fr, ru, 0.0, 1.049041748046875e-05
fr, hi, 0.0, 1.0251998901367188e-05
fr, arz, 0.0, 9.5367431640625e-06
fr, zh, 0.0, 9.298324584960938e-06
fr, hu, 0.0, 9.775161743164062e-06
fr, ko, 0.0, 1.0013580322265625e-05
tr, tr, 0.0, 9.5367431640625e-06
tr, el, 0.0, 5.0067901611328125e-06
tr, es, 0.0, 1.1444091796875e-05
tr, pl, 0.0, 5.4836273193359375e-06
tr, de, 0.0, 9.298324584960938e-06
tr, ml, 0.0, 4.76837158203125e-06
tr, nl, 0.0, 9.298324584960938e-06
tr, si, 0.0, 5.0067901611328125e-06
tr, pt, 0.0, 1.0728836059570312e-05
tr, ro, 0.0, 9.5367431640625e-06
tr, ja, 0.0, 9.5367431640625e-06
tr, it, 0.0, 9.775161743164062e-06
tr, he, 0.0, 9.298324584960938e-06
tr, da, 0.0, 5.0067901611328125e-06
tr, en, 0.0, 1.2636184692382812e-05
tr, sr, 0.0, 5.245208740234375e-06
tr, sv, 0.0, 9.5367431640625e-06
tr, ru, 0.0, 9.059906005859375e-06
tr, hi, 0.0, 5.0067901611328125e-06
tr, arz, 0.0, 1.0013580322265625e-05
tr, zh, 0.0, 9.5367431640625e-06
tr, hu, 0.0, 9.298324584960938e-06
tr, ko, 0.0, 9.059906005859375e-06
el, el, 0.0, 9.298324584960938e-06
el, es, 0.0, 9.5367431640625e-06
el, pl, 0.0, 5.245208740234375e-06
el, de, 0.0, 4.5299530029296875e-06
el, ml, 0.0, 4.76837158203125e-06
el, nl, 0.0, 4.5299530029296875e-06
el, si, 0.0, 4.5299530029296875e-06
el, pt, 0.0, 9.298324584960938e-06
el, ro, 0.0, 5.245208740234375e-06
el, ja, 0.0, 4.76837158203125e-06
el, it, 0.0, 4.76837158203125e-06
el, he, 0.0, 4.5299530029296875e-06
el, da, 0.0, 5.0067901611328125e-06
el, en, 0.0, 1.0251998901367188e-05
el, sr, 0.0, 9.059906005859375e-06
el, sv, 0.0, 4.76837158203125e-06
el, ru, 0.0, 9.775161743164062e-06
el, hi, 0.0, 4.76837158203125e-06
el, arz, 0.0, 4.76837158203125e-06
el, zh, 0.0, 4.5299530029296875e-06
el, hu, 0.0, 4.76837158203125e-06
el, ko, 0.0, 4.76837158203125e-06
es, es, 1.0, 1.52587890625e-05
es, pl, 0.0, 9.5367431640625e-06
