Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.38690185546875e-05
id, fr, 0.25, 1.4543533325195312e-05
id, tr, 0.14285714285714285, 1.049041748046875e-05
id, el, 0.0, 1.0013580322265625e-05
id, es, 0.21428571428571427, 1.1444091796875e-05
id, pl, 0.14285714285714285, 1.049041748046875e-05
id, de, 0.15384615384615385, 1.1444091796875e-05
id, ml, 0.2, 9.059906005859375e-06
id, nl, 0.125, 1.0728836059570312e-05
id, si, 0.25, 9.775161743164062e-06
id, pt, 0.2857142857142857, 1.1205673217773438e-05
id, ro, 0.4, 1.049041748046875e-05
id, ja, 0.06666666666666667, 1.0251998901367188e-05
id, it, 0.42857142857142855, 1.1920928955078125e-05
id, he, 0.4, 9.298324584960938e-06
id, da, 0.0, 9.298324584960938e-06
id, en, 0.11538461538461539, 2.9087066650390625e-05
id, sr, 0.2, 9.775161743164062e-06
id, sv, 0.6, 1.0967254638671875e-05
id, ru, 0.23076923076923078, 1.0013580322265625e-05
id, hi, 0.125, 9.5367431640625e-06
id, arz, 0.25, 9.298324584960938e-06
id, zh, 0.25, 9.5367431640625e-06
id, hu, 0.4, 9.5367431640625e-06
id, ko, 0.3, 1.0013580322265625e-05
id, union, 0.08888888888888889, 3.075599670410156e-05
fr, fr, 1.0, 9.5367431640625e-06
fr, tr, 0.25, 8.344650268554688e-06
fr, el, 0.0, 8.106231689453125e-06
fr, es, 0.4117647058823529, 1.0251998901367188e-05
fr, pl, 0.25, 8.344650268554688e-06
fr, de, 0.4666666666666667, 8.821487426757812e-06
fr, ml, 0.08333333333333333, 8.106231689453125e-06
fr, nl, 0.45454545454545453, 8.58306884765625e-06
fr, si, 0.09090909090909091, 8.106231689453125e-06
fr, pt, 0.3333333333333333, 9.298324584960938e-06
fr, ro, 0.2727272727272727, 8.344650268554688e-06
fr, ja, 0.21052631578947367, 9.298324584960938e-06
fr, it, 0.4166666666666667, 1.049041748046875e-05
fr, he, 0.2727272727272727, 7.62939453125e-06
fr, da, 0.0, 7.62939453125e-06
fr, en, 0.3333333333333333, 2.2172927856445312e-05
fr, sr, 0.08333333333333333, 8.106231689453125e-06
fr, sv, 0.25, 9.5367431640625e-06
fr, ru, 0.4375, 9.059906005859375e-06
fr, hi, 0.23076923076923078, 8.58306884765625e-06
fr, arz, 0.09090909090909091, 7.867813110351562e-06
fr, zh, 0.21428571428571427, 9.059906005859375e-06
fr, hu, 0.2727272727272727, 8.344650268554688e-06
fr, ko, 0.3333333333333333, 9.5367431640625e-06
fr, union, 0.24444444444444444, 2.7418136596679688e-05
tr, tr, 1.0, 8.344650268554688e-06
tr, el, 0.0, 7.62939453125e-06
tr, es, 0.21428571428571427, 9.775161743164062e-06
tr, pl, 0.0, 7.867813110351562e-06
tr, de, 0.25, 8.106231689453125e-06
tr, ml, 0.0, 7.62939453125e-06
tr, nl, 0.5, 8.344650268554688e-06
tr, si, 0.0, 7.62939453125e-06
tr, pt, 0.5, 9.5367431640625e-06
tr, ro, 0.16666666666666666, 8.106231689453125e-06
tr, ja, 0.14285714285714285, 8.58306884765625e-06
tr, it, 0.25, 9.775161743164062e-06
tr, he, 0.16666666666666666, 7.867813110351562e-06
tr, da, 0.0, 7.3909759521484375e-06
tr, en, 0.11538461538461539, 2.1457672119140625e-05
tr, sr, 0.0, 7.867813110351562e-06
tr, sv, 0.14285714285714285, 9.059906005859375e-06
tr, ru, 0.14285714285714285, 8.344650268554688e-06
tr, hi, 0.0, 8.106231689453125e-06
tr, arz, 0.25, 7.3909759521484375e-06
tr, zh, 0.25, 8.106231689453125e-06
tr, hu, 0.16666666666666666, 7.62939453125e-06
tr, ko, 0.08333333333333333, 7.867813110351562e-06
tr, union, 0.08888888888888889, 2.6464462280273438e-05
el, el, 1.0, 7.867813110351562e-06
el, es, 0.07142857142857142, 9.059906005859375e-06
el, pl, 0.0, 7.62939453125e-06
el, de, 0.0, 7.867813110351562e-06
el, ml, 0.0, 7.867813110351562e-06
el, nl, 0.0, 7.62939453125e-06
el, si, 0.0, 7.867813110351562e-06
el, pt, 0.16666666666666666, 9.775161743164062e-06
el, ro, 0.0, 7.62939453125e-06
el, ja, 0.0, 8.106231689453125e-06
el, it, 0.0, 1.0013580322265625e-05
el, he, 0.0, 8.344650268554688e-06
el, da, 0.0, 8.106231689453125e-06
el, en, 0.08, 2.2172927856445312e-05
el, sr, 0.3333333333333333, 8.344650268554688e-06
el, sv, 0.0, 9.059906005859375e-06
el, ru, 0.16666666666666666, 8.58306884765625e-06
el, hi, 0.0, 8.106231689453125e-06
el, arz, 0.0, 7.62939453125e-06
el, zh, 0.0, 8.58306884765625e-06
el, hu, 0.0, 7.867813110351562e-06
el, ko, 0.0, 8.821487426757812e-06
el, union, 0.044444444444444446, 2.8371810913085938e-05
es, es, 1.0, 1.1682510375976562e-05
es, pl, 0.13333333333333333, 9.5367431640625e-06
es, de, 0.4117647058823529, 1.0728836059570312e-05
es, ml, 0.07142857142857142, 8.821487426757812e-06
es, nl, 0.2857142857142857, 1.0251998901367188e-05
es, si, 0.07692307692307693, 9.298324584960938e-06
es, pt, 0.38461538461538464, 1.1205673217773438e-05
es, ro, 0.23076923076923078, 9.059906005859375e-06
es, ja, 0.13636363636363635, 1.0013580322265625e-05
es, it, 0.26666666666666666, 1.1205673217773438e-05
es, he, 0.23076923076923078, 9.298324584960938e-06
es, da, 0.0, 8.58306884765625e-06
es, en, 0.35714285714285715, 2.2649765014648438e-05
es, sr, 0.07142857142857142, 9.5367431640625e-06
es, sv, 0.21428571428571427, 1.0251998901367188e-05
es, ru, 0.3888888888888889, 9.775161743164062e-06
es, hi, 0.125, 9.298324584960938e-06
es, arz, 0.07692307692307693, 8.821487426757812e-06
es, zh, 0.1875, 9.298324584960938e-06
es, hu, 0.14285714285714285, 9.059906005859375e-06
es, ko, 0.2222222222222222, 9.298324584960938e-06
es, union, 0.28888888888888886, 2.7894973754882812e-05
pl, pl, 1.0, 8.106231689453125e-06
pl, de, 0.15384615384615385, 8.344650268554688e-06
pl, ml, 0.0, 7.867813110351562e-06
pl, nl, 0.125, 7.867813110351562e-06
pl, si, 0.0, 7.62939453125e-06
pl, pt, 0.125, 9.298324584960938e-06
pl, ro, 0.16666666666666666, 7.867813110351562e-06
pl, ja, 0.06666666666666667, 8.58306884765625e-06
pl, it, 0.42857142857142855, 1.0251998901367188e-05
pl, he, 0.16666666666666666, 7.867813110351562e-06
pl, da, 0.0, 7.867813110351562e-06
pl, en, 0.11538461538461539, 2.0742416381835938e-05
pl, sr, 0.2, 7.867813110351562e-06
pl, sv, 0.14285714285714285, 9.298324584960938e-06
pl, ru, 0.23076923076923078, 8.58306884765625e-06
pl, hi, 0.125, 7.867813110351562e-06
pl, arz, 0.0, 7.62939453125e-06
pl, zh, 0.0, 8.106231689453125e-06
pl, hu, 0.4, 7.62939453125e-06
pl, ko, 0.3, 8.344650268554688e-06
pl, union, 0.08888888888888889, 2.8133392333984375e-05
de, de, 1.0, 9.5367431640625e-06
de, ml, 0.08333333333333333, 8.344650268554688e-06
de, nl, 0.45454545454545453, 9.059906005859375e-06
de, si, 0.09090909090909091, 8.106231689453125e-06
de, pt, 0.23076923076923078, 1.1205673217773438e-05
de, ro, 0.16666666666666666, 8.821487426757812e-06
de, ja, 0.15, 8.58306884765625e-06
de, it, 0.3076923076923077, 1.8835067749023438e-05
de, he, 0.16666666666666666, 1.6689300537109375e-05
de, da, 0.09090909090909091, 1.4781951904296875e-05
de, en, 0.3333333333333333, 3.528594970703125e-05
de, sr, 0.0, 1.5497207641601562e-05
de, sv, 0.15384615384615385, 1.8835067749023438e-05
de, ru, 0.4375, 1.0967254638671875e-05
de, hi, 0.14285714285714285, 1.0013580322265625e-05
de, arz, 0.09090909090909091, 8.821487426757812e-06
de, zh, 0.21428571428571427, 9.298324584960938e-06
