Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00023603439331054688
id, fr, 1.0, 0.00011682510375976562
id, tr, 1.0, 0.00010776519775390625
id, lv, 1.0, 0.00010561943054199219
id, el, 1.0, 0.00010275840759277344
id, es, 1.0, 0.0001010894775390625
id, pl, 1.0, 9.942054748535156e-05
id, de, 1.0, 0.00010061264038085938
id, nl, 1.0, 9.918212890625e-05
id, pt, 1.0, 0.0001270771026611328
id, ro, 1.0, 0.00010728836059570312
id, ja, 1.0, 0.00010275840759277344
id, simple, 1.0, 0.00010013580322265625
id, it, 1.0, 9.942054748535156e-05
id, da, 1.0, 9.965896606445312e-05
id, en, 1.0, 9.965896606445312e-05
id, sr, 1.0, 9.870529174804688e-05
id, sv, 1.0, 9.822845458984375e-05
id, ru, 1.0, 0.00010657310485839844
id, mk, 1.0, 9.441375732421875e-05
id, hu, 1.0, 9.441375732421875e-05
id, union, 1.0, 9.417533874511719e-05
fr, fr, 1.0, 9.34600830078125e-05
fr, tr, 1.0, 9.34600830078125e-05
fr, lv, 1.0, 9.226799011230469e-05
fr, el, 1.0, 9.369850158691406e-05
fr, es, 1.0, 9.298324584960938e-05
fr, pl, 1.0, 9.274482727050781e-05
fr, de, 1.0, 9.322166442871094e-05
fr, nl, 1.0, 9.274482727050781e-05
fr, pt, 1.0, 9.226799011230469e-05
fr, ro, 1.0, 9.226799011230469e-05
fr, ja, 1.0, 9.274482727050781e-05
fr, simple, 1.0, 9.226799011230469e-05
fr, it, 1.0, 9.250640869140625e-05
fr, da, 1.0, 9.250640869140625e-05
fr, en, 1.0, 9.202957153320312e-05
fr, sr, 1.0, 9.298324584960938e-05
fr, sv, 1.0, 9.274482727050781e-05
fr, ru, 1.0, 9.322166442871094e-05
fr, mk, 1.0, 0.00022363662719726562
fr, hu, 1.0, 0.00014066696166992188
fr, union, 1.0, 0.00013136863708496094
tr, tr, 1.0, 0.00012421607971191406
tr, lv, 1.0, 0.00013208389282226562
tr, el, 1.0, 0.0001308917999267578
tr, es, 1.0, 0.0001277923583984375
tr, pl, 1.0, 0.0001304149627685547
tr, de, 1.0, 0.00011205673217773438
tr, nl, 1.0, 0.00010943412780761719
tr, pt, 1.0, 0.00011014938354492188
tr, ro, 1.0, 0.00010919570922851562
tr, ja, 1.0, 0.00010824203491210938
tr, simple, 1.0, 0.00010800361633300781
tr, it, 1.0, 0.00010776519775390625
tr, da, 1.0, 0.00010824203491210938
tr, en, 1.0, 0.00011873245239257812
tr, sr, 1.0, 0.00010251998901367188
tr, sv, 1.0, 0.00010180473327636719
tr, ru, 1.0, 0.00010204315185546875
tr, mk, 1.0, 0.00010275840759277344
tr, hu, 1.0, 0.00010156631469726562
tr, union, 1.0, 0.000102996826171875
lv, lv, 1.0, 0.00010132789611816406
lv, el, 1.0, 0.0001010894775390625
lv, es, 1.0, 0.00010180473327636719
lv, pl, 1.0, 0.00010156631469726562
lv, de, 1.0, 0.00010228157043457031
lv, nl, 1.0, 0.00010132789611816406
lv, pt, 1.0, 0.00010085105895996094
lv, ro, 1.0, 0.00010204315185546875
lv, ja, 1.0, 0.00010323524475097656
lv, simple, 1.0, 0.00010323524475097656
lv, it, 1.0, 0.00010347366333007812
lv, da, 1.0, 0.00010204315185546875
lv, en, 1.0, 0.00010228157043457031
lv, sr, 1.0, 0.00010180473327636719
lv, sv, 1.0, 0.00011467933654785156
lv, ru, 1.0, 9.34600830078125e-05
lv, mk, 1.0, 9.274482727050781e-05
lv, hu, 1.0, 0.00010395050048828125
lv, union, 1.0, 0.00010323524475097656
el, el, 1.0, 0.00013828277587890625
el, es, 1.0, 0.00011491775512695312
el, pl, 1.0, 0.00010848045349121094
el, de, 1.0, 9.942054748535156e-05
el, nl, 1.0, 9.870529174804688e-05
el, pt, 1.0, 9.799003601074219e-05
el, ro, 1.0, 9.918212890625e-05
el, ja, 1.0, 9.799003601074219e-05
el, simple, 1.0, 9.679794311523438e-05
el, it, 1.0, 9.72747802734375e-05
el, da, 1.0, 0.00010657310485839844
el, en, 1.0, 0.00012350082397460938
el, sr, 1.0, 0.00012111663818359375
el, sv, 1.0, 0.00011706352233886719
el, ru, 1.0, 0.00010442733764648438
el, mk, 1.0, 0.00010061264038085938
el, hu, 1.0, 9.918212890625e-05
el, union, 1.0, 9.822845458984375e-05
es, es, 1.0, 9.775161743164062e-05
es, pl, 1.0, 0.00011372566223144531
es, de, 1.0, 0.00012183189392089844
es, nl, 1.0, 0.00010848045349121094
es, pt, 1.0, 0.00010085105895996094
es, ro, 1.0, 0.00010037422180175781
es, ja, 1.0, 0.000133514404296875
es, simple, 1.0, 0.00012803077697753906
es, it, 1.0, 0.00011277198791503906
es, da, 1.0, 0.000102996826171875
es, en, 1.0, 0.00010013580322265625
es, sr, 1.0, 0.00010037422180175781
es, sv, 1.0, 9.965896606445312e-05
es, ru, 1.0, 0.00012230873107910156
es, mk, 1.0, 0.00011587142944335938
es, hu, 1.0, 0.00010418891906738281
es, union, 1.0, 0.00011134147644042969
pl, pl, 1.0, 0.00011944770812988281
pl, de, 1.0, 0.00012183189392089844
pl, nl, 1.0, 0.00010204315185546875
pl, pt, 1.0, 0.00010037422180175781
pl, ro, 1.0, 0.00012087821960449219
pl, ja, 1.0, 0.00011658668518066406
pl, simple, 1.0, 0.00010323524475097656
pl, it, 1.0, 0.00010061264038085938
pl, da, 1.0, 0.0001163482666015625
pl, en, 1.0, 0.00012159347534179688
pl, sr, 1.0, 0.00010585784912109375
pl, sv, 1.0, 0.00010156631469726562
pl, ru, 1.0, 0.00010013580322265625
pl, mk, 1.0, 0.0001201629638671875
pl, hu, 1.0, 0.00011563301086425781
pl, union, 1.0, 0.00010156631469726562
de, de, 1.0, 9.965896606445312e-05
de, nl, 1.0, 0.0001201629638671875
de, pt, 1.0, 0.00013017654418945312
de, ro, 1.0, 0.00010561943054199219
de, ja, 1.0, 0.00010085105895996094
de, simple, 1.0, 0.00011539459228515625
de, it, 1.0, 0.00011515617370605469
de, da, 1.0, 0.0001220703125
de, en, 1.0, 0.00010418891906738281
de, sr, 1.0, 9.942054748535156e-05
de, sv, 1.0, 9.942054748535156e-05
de, ru, 1.0, 9.703636169433594e-05
de, mk, 1.0, 9.775161743164062e-05
de, hu, 1.0, 9.703636169433594e-05
de, union, 1.0, 9.655952453613281e-05
nl, nl, 1.0, 9.72747802734375e-05
nl, pt, 1.0, 9.584426879882812e-05
nl, ro, 1.0, 9.584426879882812e-05
nl, ja, 1.0, 9.632110595703125e-05
nl, simple, 1.0, 0.00010442733764648438
nl, it, 1.0, 9.179115295410156e-05
nl, da, 1.0, 9.250640869140625e-05
nl, en, 1.0, 9.274482727050781e-05
nl, sr, 1.0, 9.202957153320312e-05
nl, sv, 1.0, 9.274482727050781e-05
nl, ru, 1.0, 9.250640869140625e-05
nl, mk, 1.0, 9.1552734375e-05
nl, hu, 1.0, 9.226799011230469e-05
nl, union, 1.0, 9.1552734375e-05
pt, pt, 1.0, 9.131431579589844e-05
pt, ro, 1.0, 9.107589721679688e-05
pt, ja, 1.0, 9.417533874511719e-05
pt, simple, 1.0, 9.179115295410156e-05
pt, it, 1.0, 9.179115295410156e-05
pt, da, 1.0, 9.489059448242188e-05
pt, en, 1.0, 9.226799011230469e-05
pt, sr, 1.0, 9.226799011230469e-05
pt, sv, 1.0, 9.179115295410156e-05
pt, ru, 1.0, 9.655952453613281e-05
pt, mk, 1.0, 0.00010204315185546875
pt, hu, 1.0, 0.00010228157043457031
pt, union, 1.0, 0.00010061264038085938
ro, ro, 1.0, 0.00010013580322265625
ro, ja, 1.0, 0.00010061264038085938
ro, simple, 1.0, 0.00010085105895996094
ro, it, 1.0, 9.965896606445312e-05
ro, da, 1.0, 0.00010156631469726562
ro, en, 1.0, 0.00010085105895996094
ro, sr, 1.0, 9.965896606445312e-05
ro, sv, 1.0, 0.00010180473327636719
ro, ru, 1.0, 0.00010061264038085938
ro, mk, 1.0, 0.00010156631469726562
ro, hu, 1.0, 0.00010085105895996094
ro, union, 1.0, 0.0001010894775390625
ja, ja, 1.0, 0.00010156631469726562
ja, simple, 1.0, 0.00010180473327636719
ja, it, 1.0, 0.00010204315185546875
ja, da, 1.0, 0.00010037422180175781
ja, en, 1.0, 0.00010228157043457031
ja, sr, 1.0, 0.00010061264038085938
ja, sv, 1.0, 0.00010275840759277344
ja, ru, 1.0, 0.00010204315185546875
ja, mk, 1.0, 0.00010061264038085938
ja, hu, 1.0, 0.00010085105895996094
ja, union, 1.0, 0.00010156631469726562
simple, simple, 1.0, 0.0001201629638671875
simple, it, 1.0, 0.00010323524475097656
simple, da, 1.0, 0.00010323524475097656
simple, en, 1.0, 0.00012254714965820312
simple, sr, 1.0, 0.00010609626770019531
simple, sv, 1.0, 9.965896606445312e-05
simple, ru, 1.0, 9.894371032714844e-05
simple, mk, 1.0, 9.72747802734375e-05
simple, hu, 1.0, 9.679794311523438e-05
simple, union, 1.0, 9.655952453613281e-05
it, it, 1.0, 9.679794311523438e-05
