Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.3365020751953125e-05
id, fr, 0.5, 1.621246337890625e-05
id, tr, 0.0, 1.52587890625e-05
id, el, 0.0, 7.152557373046875e-06
id, es, 0.3333333333333333, 1.5735626220703125e-05
id, pl, 1.0, 1.5020370483398438e-05
id, vi, 0.0, 1.1682510375976562e-05
id, de, 0.0, 1.0967254638671875e-05
id, sh, 0.6666666666666666, 1.3828277587890625e-05
id, nl, 1.0, 1.3113021850585938e-05
id, si, 0.0, 1.0967254638671875e-05
id, pt, 0.0, 1.1205673217773438e-05
id, ro, 0.0, 1.0967254638671875e-05
id, ja, 0.0, 1.1682510375976562e-05
id, simple, 0.0, 1.2874603271484375e-05
id, it, 0.5, 1.4781951904296875e-05
id, he, 0.0, 1.1444091796875e-05
id, en, 0.6666666666666666, 1.4066696166992188e-05
id, sr, 0.5, 1.239776611328125e-05
id, sv, 0.0, 1.049041748046875e-05
id, ru, 0.0, 1.1920928955078125e-05
id, hi, 0.0, 1.1444091796875e-05
id, zh, 0.0, 1.1444091796875e-05
id, mk, 0.0, 1.0967254638671875e-05
id, hu, 0.0, 9.775161743164062e-06
id, ko, 0.0, 9.5367431640625e-06
fr, fr, 1.0, 1.1682510375976562e-05
fr, tr, 0.0, 1.0251998901367188e-05
fr, el, 0.0, 1.0251998901367188e-05
fr, es, 0.0, 1.4781951904296875e-05
fr, pl, 0.25, 2.6464462280273438e-05
fr, vi, 0.0, 1.239776611328125e-05
fr, de, 0.0, 1.1920928955078125e-05
fr, sh, 0.125, 1.811981201171875e-05
fr, nl, 0.25, 1.4066696166992188e-05
fr, si, 0.0, 1.0728836059570312e-05
fr, pt, 0.0, 1.3828277587890625e-05
fr, ro, 0.0, 1.0967254638671875e-05
fr, ja, 0.0, 1.049041748046875e-05
fr, simple, 0.0, 1.0728836059570312e-05
fr, it, 0.08333333333333333, 1.9550323486328125e-05
fr, he, 0.0, 1.1920928955078125e-05
fr, en, 0.09090909090909091, 1.9550323486328125e-05
fr, sr, 0.0, 1.3589859008789062e-05
fr, sv, 0.0, 1.2159347534179688e-05
fr, ru, 0.0, 1.3113021850585938e-05
fr, hi, 0.0, 1.2636184692382812e-05
fr, zh, 0.0, 1.3113021850585938e-05
fr, mk, 0.0, 9.775161743164062e-06
fr, hu, 0.0, 1.0251998901367188e-05
fr, ko, 0.0, 9.5367431640625e-06
tr, tr, 0.0, 1.5497207641601562e-05
tr, el, 0.0, 5.245208740234375e-06
tr, es, 0.0, 1.0013580322265625e-05
tr, pl, 0.0, 1.0013580322265625e-05
tr, vi, 0.0, 9.5367431640625e-06
tr, de, 0.0, 1.0967254638671875e-05
tr, sh, 0.0, 1.0967254638671875e-05
tr, nl, 0.0, 9.775161743164062e-06
tr, si, 0.0, 1.0013580322265625e-05
tr, pt, 0.0, 1.0013580322265625e-05
tr, ro, 0.0, 9.5367431640625e-06
tr, ja, 0.0, 1.0013580322265625e-05
tr, simple, 0.0, 9.775161743164062e-06
tr, it, 0.0, 1.049041748046875e-05
tr, he, 0.0, 9.5367431640625e-06
tr, en, 0.0, 1.0251998901367188e-05
tr, sr, 0.0, 9.5367431640625e-06
tr, sv, 0.0, 9.298324584960938e-06
tr, ru, 0.0, 9.059906005859375e-06
tr, hi, 0.0, 8.821487426757812e-06
tr, zh, 0.0, 8.58306884765625e-06
tr, mk, 0.0, 9.5367431640625e-06
tr, hu, 0.0, 9.059906005859375e-06
tr, ko, 0.0, 9.5367431640625e-06
el, el, 0.0, 1.0013580322265625e-05
el, es, 0.0, 9.775161743164062e-06
el, pl, 0.0, 2.1696090698242188e-05
el, vi, 0.0, 5.7220458984375e-06
el, de, 0.0, 1.0967254638671875e-05
el, sh, 0.0, 1.0251998901367188e-05
el, nl, 0.0, 1.0013580322265625e-05
el, si, 0.0, 5.4836273193359375e-06
el, pt, 0.0, 1.430511474609375e-05
el, ro, 0.0, 7.152557373046875e-06
el, ja, 0.0, 6.198883056640625e-06
el, simple, 0.0, 5.9604644775390625e-06
el, it, 0.0, 1.2159347534179688e-05
el, he, 0.0, 6.4373016357421875e-06
el, en, 0.0, 1.2159347534179688e-05
el, sr, 0.0, 1.2636184692382812e-05
el, sv, 0.0, 6.198883056640625e-06
el, ru, 0.0, 1.1682510375976562e-05
el, hi, 0.0, 6.4373016357421875e-06
el, zh, 0.0, 5.9604644775390625e-06
el, mk, 0.0, 6.198883056640625e-06
el, hu, 0.0, 5.9604644775390625e-06
