Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 6.67572021484375e-05
fr, es, 1.0, 1.811981201171875e-05
fr, pl, 1.0, 1.4543533325195312e-05
fr, de, 1.0, 1.33514404296875e-05
fr, nl, 1.0, 1.430511474609375e-05
fr, he, 1.0, 1.3589859008789062e-05
fr, en, 1.0, 1.2874603271484375e-05
fr, ru, 1.0, 1.2874603271484375e-05
fr, hi, 1.0, 1.2874603271484375e-05
fr, union, 1.0, 1.2636184692382812e-05
es, es, 1.0, 1.2636184692382812e-05
es, pl, 1.0, 1.2159347534179688e-05
es, de, 1.0, 1.2636184692382812e-05
es, nl, 1.0, 1.2636184692382812e-05
es, he, 1.0, 1.239776611328125e-05
es, en, 1.0, 1.2159347534179688e-05
es, ru, 1.0, 1.2636184692382812e-05
es, hi, 1.0, 1.239776611328125e-05
es, union, 1.0, 1.239776611328125e-05
pl, pl, 1.0, 1.2636184692382812e-05
pl, de, 1.0, 1.2636184692382812e-05
pl, nl, 1.0, 1.239776611328125e-05
pl, he, 1.0, 1.239776611328125e-05
pl, en, 1.0, 1.239776611328125e-05
pl, ru, 1.0, 1.239776611328125e-05
pl, hi, 1.0, 1.239776611328125e-05
pl, union, 1.0, 1.2159347534179688e-05
de, de, 1.0, 1.2159347534179688e-05
de, nl, 1.0, 1.239776611328125e-05
de, he, 1.0, 1.2874603271484375e-05
de, en, 1.0, 1.2636184692382812e-05
de, ru, 1.0, 1.2159347534179688e-05
de, hi, 1.0, 1.2159347534179688e-05
de, union, 1.0, 1.239776611328125e-05
nl, nl, 1.0, 1.2159347534179688e-05
nl, he, 1.0, 1.239776611328125e-05
nl, en, 1.0, 1.2159347534179688e-05
nl, ru, 1.0, 1.239776611328125e-05
nl, hi, 1.0, 1.239776611328125e-05
nl, union, 1.0, 1.2159347534179688e-05
he, he, 1.0, 1.239776611328125e-05
he, en, 1.0, 1.1920928955078125e-05
he, ru, 1.0, 1.2636184692382812e-05
he, hi, 1.0, 1.239776611328125e-05
he, union, 1.0, 1.4781951904296875e-05
en, en, 1.0, 2.0742416381835938e-05
en, ru, 1.0, 1.2636184692382812e-05
en, hi, 1.0, 1.2159347534179688e-05
en, union, 1.0, 1.2636184692382812e-05
ru, ru, 1.0, 1.239776611328125e-05
ru, hi, 1.0, 1.2636184692382812e-05
ru, union, 1.0, 1.2159347534179688e-05
hi, hi, 1.0, 1.2636184692382812e-05
hi, union, 1.0, 1.2159347534179688e-05
union, union, 1.0, 1.239776611328125e-05
