Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.000102996826171875
id, fr, 0.15548737703860027, 5.4836273193359375e-05
id, mr, 1.0, 4.363059997558594e-05
id, tr, 0.585786437626905, 4.267692565917969e-05
id, lv, 1.0, 4.1961669921875e-05
id, el, 1.0, 4.267692565917969e-05
id, es, 0.2216368750839041, 4.220008850097656e-05
id, pl, 0.44948974278317805, 4.220008850097656e-05
id, vi, 1.0, 4.1961669921875e-05
id, de, 0.15707061676257178, 4.1961669921875e-05
id, ml, 1.0, 4.1961669921875e-05
id, sh, 1.0, 4.1961669921875e-05
id, nl, 0.2474401533514073, 4.1484832763671875e-05
id, si, 1.0, 5.054473876953125e-05
id, pt, 0.23441237831492112, 4.1961669921875e-05
id, ro, 0.585786437626905, 4.172325134277344e-05
id, ja, 1.0, 4.1484832763671875e-05
id, simple, 0.585786437626905, 4.124641418457031e-05
id, it, 0.26533119314590375, 4.124641418457031e-05
id, he, 1.0, 4.172325134277344e-05
id, da, 0.585786437626905, 5.173683166503906e-05
id, en, 0.059409036512886065, 4.267692565917969e-05
id, sr, 0.585786437626905, 4.124641418457031e-05
id, sv, 0.4142135623730951, 4.1484832763671875e-05
id, ckb, 1.0, 4.220008850097656e-05
id, ru, 0.585786437626905, 4.172325134277344e-05
id, hi, 1.0, 4.172325134277344e-05
id, bs, 1.0, 4.1484832763671875e-05
id, te, 1.0, 4.124641418457031e-05
id, zh, 1.0, 4.172325134277344e-05
id, mk, 1.0, 4.124641418457031e-05
id, hu, 1.0, 4.100799560546875e-05
id, ko, 1.0, 4.172325134277344e-05
id, union, 0.04320697295076076, 4.267692565917969e-05
fr, fr, 1.0, 4.1961669921875e-05
fr, mr, 0.15548737703860027, 4.124641418457031e-05
fr, tr, 0.15438708879488486, 4.1484832763671875e-05
fr, lv, 0.15548737703860027, 4.1484832763671875e-05
fr, el, 0.15548737703860027, 4.1484832763671875e-05
fr, es, 0.1380187802153207, 4.1484832763671875e-05
fr, pl, 0.15764745227203086, 4.124641418457031e-05
fr, vi, 0.15548737703860027, 4.100799560546875e-05
fr, de, 0.1628893629124636, 4.1484832763671875e-05
fr, ml, 0.15548737703860027, 4.100799560546875e-05
fr, sh, 0.15548737703860027, 4.124641418457031e-05
fr, nl, 0.14593533700330263, 4.100799560546875e-05
fr, si, 0.15548737703860027, 4.100799560546875e-05
fr, pt, 0.136282156100694, 4.792213439941406e-05
fr, ro, 0.15438708879488486, 4.1484832763671875e-05
fr, ja, 0.15548737703860027, 4.172325134277344e-05
fr, simple, 0.15438708879488486, 4.100799560546875e-05
fr, it, 0.15120906377970128, 4.124641418457031e-05
fr, he, 0.15548737703860027, 4.1484832763671875e-05
fr, da, 0.15438708879488486, 4.1484832763671875e-05
fr, en, 0.061584924866513235, 4.172325134277344e-05
fr, sr, 0.15438708879488486, 4.100799560546875e-05
fr, sv, 0.15331120368114, 4.124641418457031e-05
fr, ckb, 0.15548737703860027, 4.124641418457031e-05
fr, ru, 0.15712752819350173, 4.1484832763671875e-05
fr, hi, 0.15548737703860027, 4.124641418457031e-05
fr, bs, 0.15548737703860027, 4.124641418457031e-05
fr, te, 0.15548737703860027, 4.124641418457031e-05
fr, zh, 0.15548737703860027, 4.100799560546875e-05
fr, mk, 0.15548737703860027, 4.100799560546875e-05
fr, hu, 0.15548737703860027, 4.100799560546875e-05
fr, ko, 0.15548737703860027, 4.124641418457031e-05
fr, union, 0.044801968217292, 4.267692565917969e-05
mr, mr, 1.0, 4.100799560546875e-05
mr, tr, 0.585786437626905, 4.124641418457031e-05
mr, lv, 1.0, 4.100799560546875e-05
mr, el, 1.0, 4.124641418457031e-05
mr, es, 0.2216368750839041, 4.100799560546875e-05
mr, pl, 0.44948974278317805, 4.8160552978515625e-05
mr, vi, 1.0, 4.124641418457031e-05
mr, de, 0.15707061676257178, 4.124641418457031e-05
mr, ml, 1.0, 4.124641418457031e-05
mr, sh, 1.0, 4.0531158447265625e-05
mr, nl, 0.2474401533514073, 4.100799560546875e-05
mr, si, 1.0, 4.100799560546875e-05
mr, pt, 0.23441237831492112, 4.100799560546875e-05
mr, ro, 0.585786437626905, 5.14984130859375e-05
mr, ja, 1.0, 4.1484832763671875e-05
