Language1, Language2, SimilarityScore, Time
id, id, 1.0, 1.6450881958007812e-05
id, fr, 1.0, 1.1444091796875e-05
id, mr, 1.0, 9.775161743164062e-06
id, tr, 1.0, 1.0013580322265625e-05
id, lv, 1.0, 8.821487426757812e-06
id, el, 1.0, 9.775161743164062e-06
id, es, 1.0, 1.0251998901367188e-05
id, pl, 1.0, 1.0013580322265625e-05
id, vi, 1.0, 9.059906005859375e-06
id, de, 1.0, 1.3113021850585938e-05
id, ml, 1.0, 9.298324584960938e-06
id, sh, 1.0, 9.298324584960938e-06
id, nl, 1.0, 1.1682510375976562e-05
id, si, 1.0, 9.298324584960938e-06
id, pt, 1.0, 1.1444091796875e-05
id, ro, 1.0, 9.298324584960938e-06
id, ja, 1.0, 1.0013580322265625e-05
id, simple, 1.0, 1.049041748046875e-05
id, it, 1.0, 1.0967254638671875e-05
id, he, 1.0, 9.5367431640625e-06
id, da, 1.0, 1.049041748046875e-05
id, en, 1.0, 1.7881393432617188e-05
id, sr, 1.0, 1.0967254638671875e-05
id, sv, 1.0, 1.049041748046875e-05
id, ckb, 1.0, 9.5367431640625e-06
id, ru, 1.0, 1.0728836059570312e-05
id, hi, 1.0, 9.298324584960938e-06
id, bs, 1.0, 2.288818359375e-05
id, te, 1.0, 8.821487426757812e-06
id, zh, 1.0, 1.0013580322265625e-05
id, mk, 1.0, 9.059906005859375e-06
id, hu, 1.0, 9.059906005859375e-06
id, ko, 1.0, 9.5367431640625e-06
fr, fr, 1.0, 7.295608520507812e-05
fr, mr, 1.0, 1.4543533325195312e-05
fr, tr, 1.0, 1.3589859008789062e-05
fr, lv, 1.0, 9.775161743164062e-06
fr, el, 1.0, 1.1920928955078125e-05
fr, es, 1.0, 4.172325134277344e-05
fr, pl, 1.0, 2.5033950805664062e-05
fr, vi, 1.0, 1.1682510375976562e-05
fr, de, 1.0, 5.5789947509765625e-05
fr, ml, 1.0, 1.1444091796875e-05
fr, sh, 1.0, 1.239776611328125e-05
fr, nl, 1.0, 3.1948089599609375e-05
fr, si, 1.0, 9.775161743164062e-06
fr, pt, 1.0, 4.220008850097656e-05
fr, ro, 1.0, 1.4543533325195312e-05
fr, ja, 1.0, 1.6450881958007812e-05
fr, simple, 1.0, 1.2159347534179688e-05
fr, it, 1.0, 4.00543212890625e-05
fr, he, 1.0, 1.0967254638671875e-05
fr, da, 1.0, 1.1920928955078125e-05
fr, en, 1.0, 0.00011873245239257812
fr, sr, 1.0, 1.33514404296875e-05
fr, sv, 1.0, 1.430511474609375e-05
fr, ckb, 1.0, 1.0013580322265625e-05
fr, ru, 1.0, 2.3365020751953125e-05
fr, hi, 1.0, 1.2874603271484375e-05
fr, bs, 1.0, 9.5367431640625e-06
fr, te, 1.0, 1.0967254638671875e-05
fr, zh, 1.0, 2.1219253540039062e-05
fr, mk, 1.0, 1.1682510375976562e-05
fr, hu, 1.0, 1.239776611328125e-05
fr, ko, 1.0, 1.1444091796875e-05
mr, mr, 1.0, 9.059906005859375e-06
mr, tr, 1.0, 9.059906005859375e-06
mr, lv, 0.0, 6.9141387939453125e-06
mr, el, 0.0, 5.4836273193359375e-06
mr, es, 1.0, 1.1682510375976562e-05
mr, pl, 1.0, 1.0013580322265625e-05
mr, vi, 0.0, 5.4836273193359375e-06
mr, de, 1.0, 1.2159347534179688e-05
mr, ml, 1.0, 9.298324584960938e-06
mr, sh, 0.0, 5.4836273193359375e-06
mr, nl, 1.0, 9.5367431640625e-06
mr, si, 0.0, 5.245208740234375e-06
mr, pt, 1.0, 1.0251998901367188e-05
mr, ro, 0.0, 5.4836273193359375e-06
mr, ja, 1.0, 9.059906005859375e-06
mr, simple, 1.0, 9.298324584960938e-06
mr, it, 1.0, 9.5367431640625e-06
mr, he, 0.0, 5.4836273193359375e-06
mr, da, 0.0, 4.76837158203125e-06
mr, en, 1.0, 1.9311904907226562e-05
mr, sr, 0.0, 5.7220458984375e-06
mr, sv, 1.0, 1.0013580322265625e-05
mr, ckb, 1.0, 8.821487426757812e-06
mr, ru, 1.0, 9.775161743164062e-06
mr, hi, 1.0, 9.298324584960938e-06
mr, bs, 0.0, 5.7220458984375e-06
mr, te, 1.0, 9.5367431640625e-06
mr, zh, 1.0, 9.059906005859375e-06
mr, mk, 0.0, 5.245208740234375e-06
mr, hu, 0.0, 5.0067901611328125e-06
mr, ko, 0.0, 5.0067901611328125e-06
tr, tr, 1.0, 1.33514404296875e-05
tr, lv, 1.0, 9.5367431640625e-06
tr, el, 1.0, 9.298324584960938e-06
tr, es, 1.0, 1.33514404296875e-05
tr, pl, 1.0, 1.1920928955078125e-05
tr, vi, 1.0, 8.58306884765625e-06
tr, de, 1.0, 1.3113021850585938e-05
tr, ml, 1.0, 9.298324584960938e-06
tr, sh, 1.0, 9.5367431640625e-06
tr, nl, 1.0, 1.3828277587890625e-05
tr, si, 0.0, 5.7220458984375e-06
tr, pt, 1.0, 1.3113021850585938e-05
tr, ro, 1.0, 9.5367431640625e-06
tr, ja, 1.0, 1.1205673217773438e-05
tr, simple, 1.0, 9.298324584960938e-06
tr, it, 1.0, 1.0251998901367188e-05
tr, he, 1.0, 9.5367431640625e-06
tr, da, 1.0, 9.059906005859375e-06
tr, en, 1.0, 1.7881393432617188e-05
tr, sr, 1.0, 9.298324584960938e-06
tr, sv, 1.0, 1.1205673217773438e-05
tr, ckb, 1.0, 9.5367431640625e-06
tr, ru, 1.0, 9.775161743164062e-06
tr, hi, 1.0, 9.059906005859375e-06
tr, bs, 1.0, 8.821487426757812e-06
tr, te, 1.0, 8.821487426757812e-06
tr, zh, 1.0, 9.298324584960938e-06
tr, mk, 1.0, 9.059906005859375e-06
tr, hu, 1.0, 9.059906005859375e-06
tr, ko, 1.0, 9.298324584960938e-06
lv, lv, 1.0, 8.58306884765625e-06
lv, el, 1.0, 8.58306884765625e-06
lv, es, 1.0, 9.059906005859375e-06
lv, pl, 1.0, 8.344650268554688e-06
lv, vi, 1.0, 8.344650268554688e-06
lv, de, 1.0, 8.821487426757812e-06
