Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0002715587615966797
id, fr, 1.0, 0.00013017654418945312
id, mr, 0.0, 5.269050598144531e-05
id, tr, 1.0, 0.00019049644470214844
id, lv, 0.0, 7.224082946777344e-05
id, es, 1.0, 0.00011801719665527344
id, pl, 0.0, 4.291534423828125e-05
id, de, 1.0, 0.00011587142944335938
id, nl, 0.0, 4.315376281738281e-05
id, pt, 0.0, 3.600120544433594e-05
id, ro, 0.0, 3.24249267578125e-05
id, ja, 0.0, 4.7206878662109375e-05
id, it, 0.0, 3.409385681152344e-05
id, en, 1.0, 0.0001308917999267578
id, sr, 0.0, 4.00543212890625e-05
id, sv, 0.0, 3.2901763916015625e-05
id, ru, 0.0, 3.2901763916015625e-05
id, zh, 0.0, 3.1948089599609375e-05
id, hu, 0.0, 3.123283386230469e-05
id, union, 1.0, 0.00012421607971191406
fr, fr, 0.11113581481481481, 0.00741267204284668
fr, mr, 0.0, 0.00010657310485839844
fr, tr, 1.0, 0.00017142295837402344
fr, lv, 0.0, 4.6253204345703125e-05
fr, es, 0.25, 0.0003993511199951172
fr, pl, 0.0, 4.76837158203125e-05
fr, de, 0.5, 0.000118255615234375
fr, nl, 0.5, 0.00012230873107910156
fr, pt, 0.3333333333333333, 0.00014519691467285156
fr, ro, 0.0, 4.553794860839844e-05
fr, ja, 1.0, 0.00010943412780761719
fr, it, 0.5, 0.00013375282287597656
fr, en, 0.16666666666666666, 0.0007424354553222656
fr, sr, 1.0, 0.00011944770812988281
fr, sv, 0.0, 4.4345855712890625e-05
fr, ru, 1.0, 0.00010657310485839844
fr, zh, 0.0, 4.3392181396484375e-05
fr, hu, 1.0, 0.00010347366333007812
fr, union, 0.11113581481481481, 0.0001819133758544922
mr, mr, 1.0, 0.0001125335693359375
mr, tr, 0.0, 4.1484832763671875e-05
mr, lv, 0.0, 3.0517578125e-05
mr, es, 0.0, 2.956390380859375e-05
mr, pl, 0.0, 2.7418136596679688e-05
mr, de, 0.0, 2.8371810913085938e-05
mr, nl, 0.0, 2.86102294921875e-05
mr, pt, 0.0, 4.935264587402344e-05
mr, ro, 0.0, 3.170967102050781e-05
mr, ja, 0.0, 2.86102294921875e-05
mr, it, 0.0, 2.7418136596679688e-05
mr, en, 0.0, 3.933906555175781e-05
mr, sr, 0.0, 2.8133392333984375e-05
mr, sv, 0.0, 2.765655517578125e-05
mr, ru, 0.0, 2.7894973754882812e-05
mr, zh, 0.0, 2.7418136596679688e-05
mr, hu, 0.0, 2.6464462280273438e-05
mr, union, 1.0, 0.00011658668518066406
tr, tr, 0.1, 0.007432460784912109
tr, lv, 1.0, 0.00020265579223632812
tr, es, 0.5, 0.00011992454528808594
tr, pl, 1.0, 0.00010824203491210938
tr, de, 0.5, 0.0016012191772460938
tr, nl, 1.0, 0.00010824203491210938
tr, pt, 0.0, 4.124641418457031e-05
tr, ro, 0.0, 3.0994415283203125e-05
tr, ja, 0.0, 2.9087066650390625e-05
tr, it, 1.0, 9.608268737792969e-05
tr, en, 1.0, 0.00011706352233886719
tr, sr, 0.0, 3.838539123535156e-05
tr, sv, 0.0, 2.9802322387695312e-05
tr, ru, 0.5, 0.00010275840759277344
tr, zh, 0.0, 3.838539123535156e-05
tr, hu, 0.0, 2.956390380859375e-05
tr, union, 0.1, 0.006602287292480469
lv, lv, 1.0, 0.0002028942108154297
lv, es, 1.0, 0.00011181831359863281
lv, pl, 1.0, 0.00010538101196289062
lv, de, 1.0, 0.00010323524475097656
lv, nl, 1.0, 0.00010275840759277344
lv, pt, 0.0, 3.910064697265625e-05
lv, ro, 0.0, 2.9325485229492188e-05
lv, ja, 0.0, 2.8848648071289062e-05
lv, it, 1.0, 0.00010061264038085938
lv, en, 0.0, 4.9591064453125e-05
lv, sr, 0.0, 2.9802322387695312e-05
lv, sv, 0.0, 2.956390380859375e-05
lv, ru, 1.0, 0.00010156631469726562
lv, zh, 0.0, 3.6716461181640625e-05
lv, hu, 0.0, 2.9325485229492188e-05
lv, union, 1.0, 0.00011563301086425781
es, es, 0.09090909090909091, 0.0165708065032959
es, pl, 1.0, 0.00021648406982421875
es, de, 0.3333333333333333, 0.00014019012451171875
es, nl, 0.3333333333333333, 0.00013947486877441406
es, pt, 1.0, 0.00011992454528808594
es, ro, 0.0, 4.267692565917969e-05
es, ja, 1.0, 0.00010561943054199219
es, it, 0.5, 0.00011754035949707031
es, en, 0.16666666666666666, 0.008438587188720703
