Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.00022339820861816406
fr, tr, 1.0, 0.00010895729064941406
fr, es, 1.0, 0.00010919570922851562
fr, pl, 1.0, 9.942054748535156e-05
fr, vi, 0.0, 3.838539123535156e-05
fr, de, 1.0, 9.1552734375e-05
fr, nl, 1.0, 9.655952453613281e-05
fr, pt, 1.0, 9.560585021972656e-05
fr, ja, 1.0, 9.512901306152344e-05
fr, da, 1.0, 9.465217590332031e-05
fr, en, 1.0, 9.512901306152344e-05
fr, sv, 1.0, 9.34600830078125e-05
fr, ru, 1.0, 9.274482727050781e-05
fr, bs, 1.0, 9.250640869140625e-05
fr, zh, 1.0, 9.322166442871094e-05
fr, ko, 1.0, 9.250640869140625e-05
fr, union, 1.0, 9.298324584960938e-05
tr, tr, 1.0, 9.1552734375e-05
tr, es, 1.0, 9.226799011230469e-05
tr, pl, 1.0, 9.250640869140625e-05
tr, vi, 0.0, 3.600120544433594e-05
tr, de, 1.0, 8.511543273925781e-05
tr, nl, 1.0, 9.107589721679688e-05
tr, pt, 1.0, 0.00010800361633300781
tr, ja, 1.0, 0.00010085105895996094
tr, da, 1.0, 9.274482727050781e-05
tr, en, 1.0, 9.322166442871094e-05
tr, sv, 1.0, 9.202957153320312e-05
tr, ru, 1.0, 9.107589721679688e-05
tr, bs, 1.0, 9.083747863769531e-05
tr, zh, 1.0, 9.131431579589844e-05
tr, ko, 1.0, 9.107589721679688e-05
tr, union, 1.0, 9.226799011230469e-05
es, es, 1.0, 9.036064147949219e-05
es, pl, 1.0, 9.131431579589844e-05
es, vi, 0.0, 3.552436828613281e-05
es, de, 1.0, 8.535385131835938e-05
es, nl, 1.0, 9.1552734375e-05
es, pt, 1.0, 9.1552734375e-05
es, ja, 1.0, 9.942054748535156e-05
es, da, 1.0, 9.131431579589844e-05
es, en, 1.0, 9.226799011230469e-05
es, sv, 1.0, 9.012222290039062e-05
es, ru, 1.0, 9.131431579589844e-05
es, bs, 1.0, 9.012222290039062e-05
es, zh, 1.0, 9.083747863769531e-05
es, ko, 1.0, 9.107589721679688e-05
es, union, 1.0, 9.1552734375e-05
pl, pl, 2.0, 0.013366937637329102
pl, vi, 1.0, 0.00021505355834960938
pl, de, 1.0, 0.00010776519775390625
pl, nl, 1.0, 0.0001010894775390625
pl, pt, 2.0, 0.003403902053833008
pl, ja, 1.0, 0.00011372566223144531
pl, da, 1.0, 9.846687316894531e-05
pl, en, 2.0, 0.00010704994201660156
pl, sv, 1.0, 9.894371032714844e-05
pl, ru, 2.0, 0.00017762184143066406
pl, bs, 1.0, 9.703636169433594e-05
pl, zh, 2.0, 0.0008897781372070312
pl, ko, 1.0, 9.703636169433594e-05
pl, union, 2.0, 0.00047707557678222656
vi, vi, 1.0, 9.655952453613281e-05
vi, de, 0.0, 4.458427429199219e-05
vi, nl, 0.0, 2.7418136596679688e-05
vi, pt, 1.0, 8.726119995117188e-05
vi, ja, 0.0, 3.5762786865234375e-05
vi, da, 0.0, 2.6941299438476562e-05
vi, en, 1.0, 8.702278137207031e-05
vi, sv, 0.0, 3.528594970703125e-05
vi, ru, 1.0, 8.654594421386719e-05
vi, bs, 0.0, 3.552436828613281e-05
vi, zh, 1.0, 8.678436279296875e-05
vi, ko, 0.0, 3.552436828613281e-05
vi, union, 1.0, 8.845329284667969e-05
de, de, 2.0, 0.0006084442138671875
de, nl, 1.0, 9.870529174804688e-05
de, pt, 1.0, 0.000110626220703125
de, ja, 1.0, 0.00010943412780761719
de, da, 1.0, 0.00010538101196289062
de, en, 2.0, 0.0002455711364746094
de, sv, 1.0, 0.00010967254638671875
de, ru, 1.0, 0.00010633468627929688
de, bs, 1.0, 0.00010728836059570312
de, zh, 1.0, 0.0001068115234375
de, ko, 1.0, 0.00010585784912109375
de, union, 2.0, 0.01838970184326172
nl, nl, 1.0, 0.0001976490020751953
nl, pt, 1.0, 0.00010824203491210938
nl, ja, 1.0, 0.00010418891906738281
nl, da, 1.0, 0.00010132789611816406
nl, en, 1.0, 0.00010228157043457031
nl, sv, 1.0, 9.822845458984375e-05
nl, ru, 1.0, 9.942054748535156e-05
nl, bs, 1.0, 9.846687316894531e-05
nl, zh, 1.0, 9.775161743164062e-05
nl, ko, 1.0, 9.679794311523438e-05
nl, union, 1.0, 9.655952453613281e-05
pt, pt, 2.0, 0.010408878326416016
pt, ja, 1.0, 0.00020170211791992188
pt, da, 1.0, 0.000110626220703125
