Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.1961669921875e-05
id, fr, 0.23529411764705882, 1.71661376953125e-05
id, mr, 0.1111111111111111, 1.2636184692382812e-05
id, tr, 0.425, 1.3589859008789062e-05
id, lv, 0.25, 1.2874603271484375e-05
id, el, 0.2, 1.1682510375976562e-05
id, es, 0.32142857142857145, 1.3589859008789062e-05
id, pl, 0.34065934065934067, 1.621246337890625e-05
id, vi, 0.37142857142857144, 1.5497207641601562e-05
id, de, 0.2222222222222222, 1.9311904907226562e-05
id, ml, 0.2777777777777778, 1.2159347534179688e-05
id, sh, 0.16666666666666666, 1.430511474609375e-05
id, nl, 0.28195488721804507, 1.5974044799804688e-05
id, pt, 0.369047619047619, 1.5020370483398438e-05
id, ro, 0.25, 1.2159347534179688e-05
id, ja, 0.3076923076923077, 1.1920928955078125e-05
id, simple, 0.16666666666666666, 1.1205673217773438e-05
id, it, 0.3482142857142857, 1.52587890625e-05
id, he, 0.3333333333333333, 1.1682510375976562e-05
id, da, 0.4583333333333333, 1.3113021850585938e-05
id, en, 0.2326315789473684, 2.6464462280273438e-05
id, sr, 0.19444444444444445, 1.4066696166992188e-05
id, sv, 0.25, 1.33514404296875e-05
id, ru, 0.23333333333333334, 1.1682510375976562e-05
id, hi, 0.2777777777777778, 1.2159347534179688e-05
id, bs, 0.2, 1.1920928955078125e-05
id, te, 0.16666666666666666, 1.0967254638671875e-05
id, zh, 0.23333333333333334, 1.239776611328125e-05
id, mk, 0.2222222222222222, 1.0728836059570312e-05
id, hu, 0.35984848484848486, 1.7881393432617188e-05
id, ko, 0.2916666666666667, 1.2159347534179688e-05
id, war, 0.16666666666666666, 1.1205673217773438e-05
id, union, 0.18214285714285713, 6.651878356933594e-05
fr, fr, 1.0, 1.1920928955078125e-05
fr, mr, 0.0625, 9.298324584960938e-06
fr, tr, 0.17647058823529413, 1.1205673217773438e-05
fr, lv, 0.14705882352941177, 9.775161743164062e-06
fr, el, 0.15625, 1.0251998901367188e-05
fr, es, 0.38235294117647056, 1.1205673217773438e-05
fr, pl, 0.37745098039215685, 1.3828277587890625e-05
fr, vi, 0.21875, 1.33514404296875e-05
fr, de, 0.2608695652173913, 1.621246337890625e-05
fr, ml, 0.15625, 1.1682510375976562e-05
fr, sh, 0.3157894736842105, 1.2636184692382812e-05
fr, nl, 0.322463768115942, 1.4066696166992188e-05
fr, pt, 0.2631578947368421, 1.3113021850585938e-05
fr, ro, 0.1875, 1.049041748046875e-05
fr, ja, 0.3235294117647059, 1.049041748046875e-05
fr, simple, 0.09375, 9.5367431640625e-06
fr, it, 0.35294117647058826, 1.3589859008789062e-05
fr, he, 0.1875, 9.775161743164062e-06
fr, da, 0.1875, 1.1205673217773438e-05
fr, en, 0.2855750487329435, 2.193450927734375e-05
fr, sr, 0.34210526315789475, 1.2159347534179688e-05
fr, sv, 0.3235294117647059, 1.1682510375976562e-05
fr, ru, 0.35294117647058826, 1.0728836059570312e-05
