Language1, Language2, SimilarityScore, Time
id, id, 0.0, 1.7642974853515625e-05
id, fr, 0.0, 1.0251998901367188e-05
id, tr, 0.0, 9.5367431640625e-06
id, lv, 0.0, 9.298324584960938e-06
id, el, 0.0, 1.0013580322265625e-05
id, es, 0.0, 1.2636184692382812e-05
id, pl, 0.0, 1.0967254638671875e-05
id, vi, 0.0, 1.1920928955078125e-05
id, de, 0.0, 1.0967254638671875e-05
id, ml, 0.0, 8.821487426757812e-06
id, sh, 0.0, 9.298324584960938e-06
id, nl, 0.0, 1.0967254638671875e-05
id, si, 0.0, 9.298324584960938e-06
id, pt, 0.0, 9.059906005859375e-06
id, ro, 0.0, 1.0728836059570312e-05
id, ja, 0.0, 1.0013580322265625e-05
id, simple, 0.0, 9.298324584960938e-06
id, it, 0.0, 9.775161743164062e-06
id, he, 0.0, 8.821487426757812e-06
id, da, 0.0, 8.821487426757812e-06
id, en, 0.0, 9.775161743164062e-06
id, sr, 0.0, 9.059906005859375e-06
id, sv, 0.0, 8.821487426757812e-06
id, ckb, 0.0, 9.059906005859375e-06
id, ru, 0.0, 9.5367431640625e-06
id, hi, 0.0, 9.775161743164062e-06
id, bs, 0.0, 1.5497207641601562e-05
id, te, 0.0, 9.775161743164062e-06
id, zh, 0.0, 9.059906005859375e-06
id, mk, 0.0, 8.821487426757812e-06
id, hu, 0.0, 8.821487426757812e-06
id, ko, 0.0, 8.821487426757812e-06
id, war, 0.0, 8.821487426757812e-06
fr, fr, 0.0, 1.1205673217773438e-05
fr, tr, 0.0, 1.0013580322265625e-05
fr, lv, 0.0, 1.049041748046875e-05
fr, el, 0.0, 1.049041748046875e-05
fr, es, 0.0, 1.2159347534179688e-05
fr, pl, 0.0, 9.775161743164062e-06
fr, vi, 0.0, 8.821487426757812e-06
fr, de, 0.0, 1.0013580322265625e-05
fr, ml, 0.0, 9.298324584960938e-06
fr, sh, 0.0, 9.059906005859375e-06
fr, nl, 0.0, 9.298324584960938e-06
fr, si, 0.0, 9.775161743164062e-06
fr, pt, 0.0, 1.0013580322265625e-05
fr, ro, 0.0, 8.821487426757812e-06
fr, ja, 0.0, 9.059906005859375e-06
fr, simple, 0.0, 8.821487426757812e-06
fr, it, 0.0, 1.0013580322265625e-05
fr, he, 0.0, 9.298324584960938e-06
fr, da, 0.0, 8.58306884765625e-06
fr, en, 0.0, 1.0251998901367188e-05
fr, sr, 0.0, 9.5367431640625e-06
fr, sv, 0.0, 1.0013580322265625e-05
fr, ckb, 0.0, 9.059906005859375e-06
fr, ru, 0.0, 1.049041748046875e-05
fr, hi, 0.0, 9.5367431640625e-06
fr, bs, 0.0, 9.298324584960938e-06
fr, te, 0.0, 9.059906005859375e-06
fr, zh, 0.0, 9.298324584960938e-06
fr, mk, 0.0, 8.821487426757812e-06
fr, hu, 0.0, 9.059906005859375e-06
fr, ko, 0.0, 1.0251998901367188e-05
fr, war, 0.0, 9.775161743164062e-06
tr, tr, 0.0, 9.5367431640625e-06
tr, lv, 0.0, 1.0728836059570312e-05
tr, el, 0.0, 1.0728836059570312e-05
tr, es, 0.0, 1.0251998901367188e-05
tr, pl, 0.0, 9.059906005859375e-06
tr, vi, 0.0, 9.298324584960938e-06
tr, de, 0.0, 9.298324584960938e-06
tr, ml, 0.0, 9.059906005859375e-06
tr, sh, 0.0, 9.5367431640625e-06
tr, nl, 0.0, 9.775161743164062e-06
tr, si, 0.0, 9.5367431640625e-06
tr, pt, 0.0, 8.821487426757812e-06
tr, ro, 0.0, 8.821487426757812e-06
tr, ja, 0.0, 8.821487426757812e-06
tr, simple, 0.0, 8.58306884765625e-06
tr, it, 0.0, 9.298324584960938e-06
tr, he, 0.0, 9.059906005859375e-06
tr, da, 0.0, 9.775161743164062e-06
tr, en, 0.0, 1.0967254638671875e-05
tr, sr, 0.0, 9.5367431640625e-06
tr, sv, 0.0, 1.049041748046875e-05
tr, ckb, 0.0, 9.5367431640625e-06
tr, ru, 0.0, 9.059906005859375e-06
tr, hi, 0.0, 9.5367431640625e-06
tr, bs, 0.0, 9.059906005859375e-06
tr, te, 0.0, 8.821487426757812e-06
tr, zh, 0.0, 8.821487426757812e-06
tr, mk, 0.0, 9.5367431640625e-06
tr, hu, 0.0, 9.059906005859375e-06
tr, ko, 0.0, 1.0251998901367188e-05
tr, war, 0.0, 9.775161743164062e-06
lv, lv, 0.0, 1.0251998901367188e-05
lv, el, 0.0, 1.049041748046875e-05
lv, es, 0.0, 1.0251998901367188e-05
lv, pl, 0.0, 9.298324584960938e-06
lv, vi, 0.0, 9.059906005859375e-06
lv, de, 0.0, 9.059906005859375e-06
lv, ml, 0.0, 8.821487426757812e-06
lv, sh, 0.0, 9.5367431640625e-06
lv, nl, 0.0, 9.775161743164062e-06
lv, si, 0.0, 8.821487426757812e-06
lv, pt, 0.0, 8.58306884765625e-06
lv, ro, 0.0, 9.059906005859375e-06
lv, ja, 0.0, 8.821487426757812e-06
lv, simple, 0.0, 8.821487426757812e-06
lv, it, 0.0, 9.775161743164062e-06
lv, he, 0.0, 9.298324584960938e-06
lv, da, 0.0, 9.059906005859375e-06
lv, en, 0.0, 1.0728836059570312e-05
lv, sr, 0.0, 1.0251998901367188e-05
lv, sv, 0.0, 1.621246337890625e-05
lv, ckb, 0.0, 1.0251998901367188e-05
lv, ru, 0.0, 9.059906005859375e-06
lv, hi, 0.0, 9.059906005859375e-06
lv, bs, 0.0, 8.821487426757812e-06
lv, te, 0.0, 9.059906005859375e-06
lv, zh, 0.0, 8.821487426757812e-06
lv, mk, 0.0, 9.059906005859375e-06
lv, hu, 0.0, 1.0251998901367188e-05
lv, ko, 0.0, 1.0251998901367188e-05
lv, war, 0.0, 1.0251998901367188e-05
el, el, 0.0, 1.0728836059570312e-05
el, es, 0.0, 1.1205673217773438e-05
el, pl, 0.0, 8.58306884765625e-06
el, vi, 0.0, 9.059906005859375e-06
el, de, 0.0, 1.2159347534179688e-05
el, ml, 0.0, 9.059906005859375e-06
el, sh, 0.0, 8.58306884765625e-06
el, nl, 0.0, 1.0013580322265625e-05
el, si, 0.0, 9.5367431640625e-06
el, pt, 0.0, 9.5367431640625e-06
el, ro, 0.0, 8.58306884765625e-06
el, ja, 0.0, 8.821487426757812e-06
el, simple, 0.0, 8.58306884765625e-06
el, it, 0.0, 9.298324584960938e-06
el, he, 0.0, 9.059906005859375e-06
el, da, 0.0, 9.059906005859375e-06
el, en, 0.0, 9.059906005859375e-06
el, sr, 0.0, 8.821487426757812e-06
el, sv, 0.0, 9.298324584960938e-06
el, ckb, 0.0, 9.775161743164062e-06
el, ru, 0.0, 2.0265579223632812e-05
el, hi, 0.0, 9.5367431640625e-06
el, bs, 0.0, 5.245208740234375e-06
el, te, 0.0, 9.059906005859375e-06
el, zh, 0.0, 8.821487426757812e-06
el, mk, 0.0, 8.58306884765625e-06
el, hu, 0.0, 8.821487426757812e-06
el, ko, 0.0, 8.821487426757812e-06
el, war, 0.0, 9.775161743164062e-06
es, es, 1.0, 1.5020370483398438e-05
es, pl, 0.0, 1.1444091796875e-05
es, vi, 0.0, 1.1444091796875e-05
es, de, 0.0, 1.0013580322265625e-05
es, ml, 0.0, 9.5367431640625e-06
es, sh, 0.0, 1.33514404296875e-05
es, nl, 0.0, 1.1920928955078125e-05
es, si, 0.0, 9.059906005859375e-06
es, pt, 0.0, 1.0013580322265625e-05
es, ro, 0.0, 9.775161743164062e-06
es, ja, 0.0, 9.5367431640625e-06
es, simple, 0.0, 9.298324584960938e-06
es, it, 1.0, 1.0728836059570312e-05
es, he, 0.0, 9.059906005859375e-06
es, da, 0.0, 9.5367431640625e-06
es, en, 0.3333333333333333, 1.3589859008789062e-05
es, sr, 0.0, 1.0013580322265625e-05
es, sv, 0.0, 1.0967254638671875e-05
es, ckb, 0.0, 1.0251998901367188e-05
es, ru, 0.0, 1.1205673217773438e-05
es, hi, 0.0, 9.775161743164062e-06
es, bs, 0.0, 9.5367431640625e-06
es, te, 0.0, 9.775161743164062e-06
es, zh, 0.0, 9.775161743164062e-06
es, mk, 0.0, 9.298324584960938e-06
es, hu, 0.0, 9.775161743164062e-06
es, ko, 0.0, 1.0251998901367188e-05
es, war, 0.0, 1.049041748046875e-05
pl, pl, 0.0, 1.049041748046875e-05
pl, vi, 0.0, 1.0251998901367188e-05
pl, de, 0.0, 9.775161743164062e-06
pl, ml, 0.0, 8.821487426757812e-06
pl, sh, 0.0, 9.059906005859375e-06
pl, nl, 0.0, 9.775161743164062e-06
pl, si, 0.0, 9.059906005859375e-06
pl, pt, 0.0, 8.821487426757812e-06
pl, ro, 0.0, 9.5367431640625e-06
pl, ja, 0.0, 9.5367431640625e-06
pl, simple, 0.0, 9.059906005859375e-06
pl, it, 0.0, 9.5367431640625e-06
pl, he, 0.0, 8.821487426757812e-06
pl, da, 0.0, 9.059906005859375e-06
pl, en, 0.0, 9.775161743164062e-06
pl, sr, 0.0, 9.059906005859375e-06
pl, sv, 0.0, 9.059906005859375e-06
pl, ckb, 0.0, 8.344650268554688e-06
pl, ru, 0.0, 9.775161743164062e-06
pl, hi, 0.0, 1.0013580322265625e-05
pl, bs, 0.0, 1.7881393432617188e-05
pl, te, 0.0, 9.775161743164062e-06
pl, zh, 0.0, 9.298324584960938e-06
pl, mk, 0.0, 8.821487426757812e-06
pl, hu, 0.0, 8.58306884765625e-06
pl, ko, 0.0, 8.821487426757812e-06
pl, war, 0.0, 9.059906005859375e-06
vi, vi, 0.0, 9.059906005859375e-06
vi, de, 0.0, 1.0967254638671875e-05
vi, ml, 0.0, 1.0013580322265625e-05
vi, sh, 0.0, 1.0251998901367188e-05
vi, nl, 0.0, 1.0013580322265625e-05
vi, si, 0.0, 1.049041748046875e-05
vi, pt, 0.0, 8.821487426757812e-06
vi, ro, 0.0, 8.58306884765625e-06
vi, ja, 0.0, 1.1920928955078125e-05
vi, simple, 0.0, 9.298324584960938e-06
vi, it, 0.0, 1.0013580322265625e-05
vi, he, 0.0, 1.0013580322265625e-05
vi, da, 0.0, 9.775161743164062e-06
vi, en, 0.0, 1.0013580322265625e-05
vi, sr, 0.0, 9.059906005859375e-06
vi, sv, 0.0, 9.059906005859375e-06
vi, ckb, 0.0, 8.58306884765625e-06
vi, ru, 0.0, 8.821487426757812e-06
vi, hi, 0.0, 8.821487426757812e-06
vi, bs, 0.0, 8.344650268554688e-06
vi, te, 0.0, 8.821487426757812e-06
vi, zh, 0.0, 9.059906005859375e-06
vi, mk, 0.0, 1.0013580322265625e-05
vi, hu, 0.0, 9.775161743164062e-06
vi, ko, 0.0, 1.049041748046875e-05
vi, war, 0.0, 9.059906005859375e-06
de, de, 1.0, 1.239776611328125e-05
de, ml, 0.0, 8.821487426757812e-06
de, sh, 0.0, 9.059906005859375e-06
de, nl, 0.0, 1.049041748046875e-05
de, si, 0.0, 9.5367431640625e-06
de, pt, 0.0, 9.298324584960938e-06
de, ro, 0.0, 9.775161743164062e-06
de, ja, 0.0, 1.0251998901367188e-05
de, simple, 0.0, 1.0013580322265625e-05
de, it, 0.0, 9.775161743164062e-06
de, he, 0.0, 9.298324584960938e-06
de, da, 0.0, 1.3113021850585938e-05
de, en, 0.0, 1.2874603271484375e-05
de, sr, 0.0, 9.298324584960938e-06
de, sv, 0.0, 9.5367431640625e-06
de, ckb, 0.0, 9.775161743164062e-06
de, ru, 0.0, 9.059906005859375e-06
de, hi, 0.0, 9.775161743164062e-06
de, bs, 0.0, 8.821487426757812e-06
de, te, 0.0, 8.821487426757812e-06
de, zh, 0.0, 9.775161743164062e-06
de, mk, 0.0, 8.58306884765625e-06
de, hu, 0.0, 8.821487426757812e-06
de, ko, 0.0, 9.5367431640625e-06
de, war, 0.0, 9.775161743164062e-06
ml, ml, 0.0, 1.5020370483398438e-05
ml, sh, 0.0, 9.775161743164062e-06
