Language1, Language2, SimilarityScore, Time
id, id, 2.0, 0.00024819374084472656
id, fr, 2.0, 0.00012135505676269531
id, tr, 2.0, 0.00011181831359863281
id, lv, 2.0, 0.00010609626770019531
id, el, 1.0, 0.00010323524475097656
id, es, 2.0, 0.0001125335693359375
id, pl, 2.0, 0.0001251697540283203
id, vi, 2.0, 0.00010657310485839844
id, de, 2.0, 0.00010728836059570312
id, ml, 1.0, 0.00010037422180175781
id, sh, 2.0, 0.00010395050048828125
id, nl, 2.0, 0.00010514259338378906
id, si, 1.0, 9.870529174804688e-05
id, pt, 2.0, 0.00010132789611816406
id, ro, 2.0, 0.00010371208190917969
id, ja, 2.0, 0.00010251998901367188
id, simple, 2.0, 0.00010180473327636719
id, it, 2.0, 0.00010251998901367188
id, he, 1.0, 9.894371032714844e-05
id, da, 2.0, 0.0001010894775390625
id, en, 2.0, 0.00017261505126953125
id, sr, 2.0, 0.0003609657287597656
id, sv, 2.0, 0.00010204315185546875
id, ckb, 2.0, 0.0006239414215087891
id, ru, 2.0, 0.00037407875061035156
id, hi, 2.0, 0.00010323524475097656
id, bs, 1.0, 0.00010156631469726562
id, te, 1.0, 9.72747802734375e-05
id, zh, 2.0, 0.0011904239654541016
id, mk, 1.0, 0.00011205673217773438
id, hu, 1.0, 9.72747802734375e-05
id, ko, 2.0, 0.00010418891906738281
id, war, 1.0, 9.72747802734375e-05
id, union, 2.0, 0.0014905929565429688
fr, fr, 7.0, 0.0007054805755615234
fr, tr, 2.0, 0.0005235671997070312
fr, lv, 2.0, 0.00041484832763671875
fr, el, 1.0, 0.00010848045349121094
fr, es, 4.0, 0.0007185935974121094
fr, pl, 3.0, 0.0003902912139892578
fr, vi, 2.0, 0.00010466575622558594
fr, de, 5.0, 0.0007264614105224609
fr, ml, 1.0, 0.00010728836059570312
fr, sh, 2.0, 0.0006635189056396484
fr, nl, 3.0, 0.00046181678771972656
fr, si, 1.0, 0.00011134147644042969
fr, pt, 2.0, 0.0006964206695556641
fr, ro, 2.0, 0.00010991096496582031
fr, ja, 3.0, 0.00011754035949707031
fr, simple, 2.0, 0.000102996826171875
fr, it, 3.0, 0.0012602806091308594
fr, he, 2.0, 0.00014519691467285156
fr, da, 2.0, 0.0008983612060546875
fr, en, 6.0, 0.0006418228149414062
fr, sr, 2.0, 0.0004410743713378906
fr, sv, 3.0, 0.00044465065002441406
fr, ckb, 2.0, 0.00040459632873535156
fr, ru, 4.0, 0.0004329681396484375
fr, hi, 3.0, 0.0004115104675292969
fr, bs, 1.0, 0.00010943412780761719
fr, te, 1.0, 0.00010418891906738281
fr, zh, 4.0, 0.0009734630584716797
fr, mk, 1.0, 0.00010800361633300781
fr, hu, 1.0, 9.775161743164062e-05
fr, ko, 3.0, 0.00011968612670898438
fr, war, 1.0, 0.00010061264038085938
fr, union, 7.0, 0.0016620159149169922
tr, tr, 2.0, 0.00018334388732910156
tr, lv, 2.0, 0.0009222030639648438
tr, el, 1.0, 0.00012254714965820312
tr, es, 2.0, 0.0006997585296630859
tr, pl, 2.0, 0.00011110305786132812
tr, vi, 2.0, 0.00010561943054199219
tr, de, 2.0, 0.0010225772857666016
tr, ml, 1.0, 0.00010538101196289062
tr, sh, 2.0, 0.0006389617919921875
tr, nl, 2.0, 0.0003867149353027344
tr, si, 1.0, 0.00010061264038085938
tr, pt, 2.0, 0.0001010894775390625
