Language1, Language2, SimilarityScore, Time
pl, pl, 1.0, 1.4781951904296875e-05
pl, vi, 0.0, 9.5367431640625e-06
pl, de, 1.0, 9.059906005859375e-06
pl, ja, 0.0, 5.9604644775390625e-06
pl, en, 1.0, 9.298324584960938e-06
pl, sv, 1.0, 8.821487426757812e-06
pl, ru, 0.0, 5.4836273193359375e-06
vi, vi, 1.0, 8.344650268554688e-06
vi, de, 0.0, 5.0067901611328125e-06
vi, ja, 0.0, 4.76837158203125e-06
vi, en, 1.0, 9.059906005859375e-06
vi, sv, 0.0, 5.245208740234375e-06
vi, ru, 0.0, 5.0067901611328125e-06
de, de, 1.0, 9.059906005859375e-06
de, ja, 0.0, 5.245208740234375e-06
de, en, 1.0, 1.1920928955078125e-05
de, sv, 1.0, 1.1444091796875e-05
de, ru, 1.0, 1.1444091796875e-05
ja, ja, 1.0, 1.1682510375976562e-05
ja, en, 0.0, 6.9141387939453125e-06
ja, sv, 0.0, 4.5299530029296875e-06
ja, ru, 0.0, 5.245208740234375e-06
en, en, 1.0, 1.71661376953125e-05
en, sv, 1.0, 1.0251998901367188e-05
en, ru, 1.0, 9.298324584960938e-06
sv, sv, 1.0, 9.059906005859375e-06
sv, ru, 1.0, 9.059906005859375e-06
ru, ru, 1.0, 9.298324584960938e-06
