Language1, Language2, SimilarityScore, Time
pl, pl, 1.0, 3.7670135498046875e-05
pl, vi, 0.0, 1.3828277587890625e-05
pl, de, 0.3333333333333333, 1.3113021850585938e-05
pl, ja, 0.0, 1.2636184692382812e-05
pl, en, 0.2, 1.9550323486328125e-05
pl, sv, 0.5, 1.2159347534179688e-05
pl, ru, 0.0, 1.239776611328125e-05
pl, union, 0.125, 1.5497207641601562e-05
vi, vi, 1.0, 1.0728836059570312e-05
vi, de, 0.0, 1.0967254638671875e-05
vi, ja, 0.0, 1.0967254638671875e-05
vi, en, 0.2, 1.5020370483398438e-05
vi, sv, 0.0, 1.1205673217773438e-05
vi, ru, 0.0, 1.1205673217773438e-05
vi, union, 0.125, 1.3828277587890625e-05
de, de, 1.0, 1.0728836059570312e-05
de, ja, 0.0, 1.049041748046875e-05
de, en, 0.3333333333333333, 1.4543533325195312e-05
de, sv, 0.6666666666666666, 1.1682510375976562e-05
de, ru, 0.3333333333333333, 1.0967254638671875e-05
de, union, 0.375, 1.430511474609375e-05
ja, ja, 1.0, 1.1205673217773438e-05
ja, en, 0.0, 1.4066696166992188e-05
ja, sv, 0.0, 1.1205673217773438e-05
ja, ru, 0.0, 1.049041748046875e-05
ja, union, 0.25, 1.3828277587890625e-05
en, en, 1.0, 1.7404556274414062e-05
en, sv, 0.4, 1.4066696166992188e-05
en, ru, 0.2, 1.430511474609375e-05
en, union, 0.625, 1.6689300537109375e-05
sv, sv, 1.0, 1.0967254638671875e-05
sv, ru, 0.5, 1.0967254638671875e-05
sv, union, 0.25, 1.4066696166992188e-05
ru, ru, 1.0, 1.049041748046875e-05
ru, union, 0.125, 1.3589859008789062e-05
union, union, 1.0, 1.5974044799804688e-05
