Language1, Language2, SimilarityScore, Time
id, id, 1.001001001001001, 0.00029659271240234375
id, fr, 1.0, 0.0001304149627685547
id, mr, 1.0, 0.00011920928955078125
id, tr, 1.0, 0.0001163482666015625
id, lv, 1.0, 0.00011444091796875
id, el, 1.0, 0.0001251697540283203
id, es, 1.0, 0.00011205673217773438
id, pl, 1.0, 0.00010895729064941406
id, vi, 1.0, 0.00011038780212402344
id, de, 1.001001001001001, 0.00011229515075683594
id, ml, 1.0, 0.00010895729064941406
id, sh, 1.0, 0.00010848045349121094
id, nl, 1.0, 0.00010824203491210938
id, si, 1.0, 0.00010967254638671875
id, pt, 1.0, 0.00010824203491210938
id, ja, 1.0, 0.00010967254638671875
id, simple, 1.0, 0.00010991096496582031
id, it, 1.0, 0.00011086463928222656
id, he, 1.0, 0.0001087188720703125
id, da, 1.0, 0.00010824203491210938
id, en, 1.0, 0.00010776519775390625
id, sr, 1.0, 0.00010943412780761719
id, sv, 1.0, 0.00010943412780761719
id, ru, 1.0, 0.00010752677917480469
id, hi, 1.0, 0.00010824203491210938
id, bs, 1.0, 0.00010895729064941406
id, zh, 1.0, 0.0001068115234375
id, hu, 1.0, 0.00010800361633300781
id, ko, 1.0, 0.00010824203491210938
id, union, 1.001001001001001, 0.00011396408081054688
fr, fr, 2.0, 0.00012302398681640625
fr, mr, 1.0, 0.00010967254638671875
fr, tr, 1.0, 0.00010585784912109375
fr, lv, 1.0, 0.00010442733764648438
fr, el, 1.0, 0.013767004013061523
fr, es, 1.0, 0.00015115737915039062
fr, pl, 1.0, 0.00011181831359863281
fr, vi, 2.0, 0.00011897087097167969
fr, de, 1.0, 0.00011324882507324219
fr, ml, 1.0, 0.0001087188720703125
fr, sh, 1.0, 0.00010824203491210938
fr, nl, 1.0, 0.00010609626770019531
fr, si, 1.0, 0.00010466575622558594
fr, pt, 1.0, 0.00010514259338378906
fr, ja, 1.0, 0.00010609626770019531
fr, simple, 1.0, 0.00010585784912109375
fr, it, 2.0, 0.00011754035949707031
fr, he, 1.0, 0.00010824203491210938
fr, da, 1.0, 0.00010585784912109375
fr, en, 2.0, 0.00011205673217773438
fr, sr, 1.0, 0.00010752677917480469
fr, sv, 1.0, 0.00011444091796875
fr, ru, 1.0, 0.00010442733764648438
fr, hi, 1.0, 0.00010347366333007812
fr, bs, 1.0, 0.00010371208190917969
fr, zh, 2.0, 0.007597208023071289
fr, hu, 1.0, 0.000225067138671875
fr, ko, 1.0, 0.00012350082397460938
fr, union, 2.0, 0.0001347064971923828
mr, mr, 1.0, 0.00011849403381347656
mr, tr, 1.0, 0.00011205673217773438
mr, lv, 1.0, 0.00010824203491210938
mr, el, 1.0, 0.00010585784912109375
mr, es, 1.0, 0.00010585784912109375
mr, pl, 1.0, 0.00010633468627929688
mr, vi, 1.0, 0.00010585784912109375
mr, de, 1.0, 0.00010180473327636719
mr, ml, 1.0, 0.00010061264038085938
mr, sh, 1.0, 0.00010895729064941406
mr, nl, 1.0, 9.632110595703125e-05
mr, si, 1.0, 9.775161743164062e-05
mr, pt, 1.0, 9.751319885253906e-05
mr, ja, 1.0, 9.870529174804688e-05
mr, simple, 1.0, 9.799003601074219e-05
mr, it, 1.0, 0.00010323524475097656
mr, he, 1.0, 0.00010037422180175781
mr, da, 1.0, 0.00010085105895996094
mr, en, 1.0, 0.00010228157043457031
mr, sr, 1.0, 0.00010228157043457031
mr, sv, 1.0, 0.00010347366333007812
mr, ru, 1.0, 0.00010514259338378906
mr, hi, 1.0, 0.00010752677917480469
mr, bs, 1.0, 0.00010800361633300781
mr, zh, 1.0, 0.0001227855682373047
mr, hu, 1.0, 0.00011110305786132812
mr, ko, 1.0, 0.0001125335693359375
mr, union, 1.0, 0.00011849403381347656
tr, tr, 1.0, 0.00011205673217773438
tr, lv, 1.0, 0.00011277198791503906
tr, el, 1.0, 0.00011277198791503906
tr, es, 1.0, 0.00011277198791503906
tr, pl, 1.0, 0.00011301040649414062
tr, vi, 1.0, 0.00011420249938964844
tr, de, 1.0, 0.00011491775512695312
tr, ml, 1.0, 0.00011444091796875
tr, sh, 1.0, 0.00011277198791503906
tr, nl, 1.0, 0.00011301040649414062
tr, si, 1.0, 0.00011348724365234375
