Language1, Language2, SimilarityScore, Time
id, id, 1.0, 1.6689300537109375e-05
id, fr, 1.0, 1.1205673217773438e-05
id, tr, 1.0, 9.298324584960938e-06
id, lv, 1.0, 8.821487426757812e-06
id, es, 1.0, 8.821487426757812e-06
id, pl, 1.0, 9.5367431640625e-06
id, vi, 1.0, 1.0013580322265625e-05
id, de, 1.0, 1.0013580322265625e-05
id, ml, 1.0, 9.775161743164062e-06
id, sh, 1.0, 2.5510787963867188e-05
id, nl, 1.0, 1.1920928955078125e-05
id, si, 1.0, 8.344650268554688e-06
id, pt, 1.0, 1.1444091796875e-05
id, ro, 1.0, 1.0013580322265625e-05
id, ja, 1.0, 8.821487426757812e-06
id, simple, 1.0, 8.344650268554688e-06
id, it, 1.0, 1.0967254638671875e-05
id, he, 1.0, 8.344650268554688e-06
id, da, 1.0, 8.106231689453125e-06
id, en, 1.0, 1.2636184692382812e-05
id, sr, 1.0, 9.5367431640625e-06
id, sv, 1.0, 8.821487426757812e-06
id, ru, 1.0, 8.344650268554688e-06
id, hi, 1.0, 8.58306884765625e-06
id, bs, 1.0, 8.58306884765625e-06
id, te, 1.0, 9.298324584960938e-06
id, zh, 1.0, 9.5367431640625e-06
id, mk, 1.0, 9.775161743164062e-06
id, hu, 1.0, 1.0013580322265625e-05
id, ko, 1.0, 8.344650268554688e-06
fr, fr, 1.0, 8.106231689453125e-06
fr, tr, 1.0, 8.344650268554688e-06
fr, lv, 0.0, 8.344650268554688e-06
fr, es, 1.0, 9.298324584960938e-06
fr, pl, 1.0, 7.867813110351562e-06
fr, vi, 0.0, 5.245208740234375e-06
fr, de, 1.0, 8.58306884765625e-06
fr, ml, 1.0, 8.58306884765625e-06
fr, sh, 1.0, 8.58306884765625e-06
fr, nl, 1.0, 8.821487426757812e-06
fr, si, 1.0, 9.298324584960938e-06
fr, pt, 1.0, 1.0967254638671875e-05
fr, ro, 1.0, 8.344650268554688e-06
fr, ja, 1.0, 8.58306884765625e-06
fr, simple, 0.0, 5.7220458984375e-06
fr, it, 1.0, 8.58306884765625e-06
fr, he, 1.0, 9.5367431640625e-06
fr, da, 1.0, 1.0251998901367188e-05
fr, en, 1.0, 1.33514404296875e-05
fr, sr, 1.0, 1.0251998901367188e-05
fr, sv, 1.0, 8.58306884765625e-06
fr, ru, 1.0, 8.821487426757812e-06
fr, hi, 1.0, 8.58306884765625e-06
fr, bs, 1.0, 8.58306884765625e-06
fr, te, 1.0, 9.059906005859375e-06
fr, zh, 0.0, 5.9604644775390625e-06
fr, mk, 1.0, 8.821487426757812e-06
fr, hu, 1.0, 8.344650268554688e-06
fr, ko, 1.0, 8.106231689453125e-06
tr, tr, 1.0, 8.58306884765625e-06
tr, lv, 1.0, 8.58306884765625e-06
tr, es, 1.0, 9.298324584960938e-06
tr, pl, 1.0, 8.344650268554688e-06
tr, vi, 1.0, 9.298324584960938e-06
tr, de, 1.0, 8.58306884765625e-06
tr, ml, 1.0, 8.821487426757812e-06
tr, sh, 1.0, 8.821487426757812e-06
tr, nl, 1.0, 1.239776611328125e-05
tr, si, 1.0, 1.0013580322265625e-05
tr, pt, 1.0, 1.1920928955078125e-05
tr, ro, 1.0, 9.775161743164062e-06
tr, ja, 1.0, 8.344650268554688e-06
tr, simple, 1.0, 1.0013580322265625e-05
tr, it, 1.0, 1.0728836059570312e-05
tr, he, 1.0, 8.821487426757812e-06
tr, da, 1.0, 8.106231689453125e-06
tr, en, 1.0, 1.239776611328125e-05
tr, sr, 1.0, 8.58306884765625e-06
tr, sv, 1.0, 8.106231689453125e-06
tr, ru, 1.0, 8.821487426757812e-06
tr, hi, 1.0, 8.821487426757812e-06
tr, bs, 1.0, 1.5974044799804688e-05
tr, te, 1.0, 9.059906005859375e-06
tr, zh, 1.0, 8.344650268554688e-06
tr, mk, 1.0, 8.821487426757812e-06
tr, hu, 1.0, 8.344650268554688e-06
tr, ko, 1.0, 9.5367431640625e-06
lv, lv, 1.0, 9.5367431640625e-06
lv, es, 1.0, 9.5367431640625e-06
lv, pl, 0.0, 7.62939453125e-06
lv, vi, 1.0, 8.58306884765625e-06
lv, de, 1.0, 7.867813110351562e-06
lv, ml, 0.0, 5.4836273193359375e-06
lv, sh, 1.0, 8.106231689453125e-06
lv, nl, 1.0, 9.775161743164062e-06
lv, si, 0.0, 5.245208740234375e-06
lv, pt, 1.0, 1.049041748046875e-05
lv, ro, 0.0, 5.4836273193359375e-06
lv, ja, 0.0, 4.76837158203125e-06
lv, simple, 1.0, 8.344650268554688e-06
lv, it, 1.0, 1.1444091796875e-05
lv, he, 1.0, 1.9311904907226562e-05
