Language1, Language2, SimilarityScore, Time
id, id, 1.0, 7.724761962890625e-05
id, fr, 1.0, 1.9550323486328125e-05
id, pl, 1.0, 1.7642974853515625e-05
id, de, 1.0, 1.6450881958007812e-05
id, ml, 1.0, 1.6689300537109375e-05
id, nl, 1.0, 1.5735626220703125e-05
id, pt, 1.0, 1.52587890625e-05
id, it, 1.0, 1.5735626220703125e-05
id, en, 0.42542612319071343, 1.5735626220703125e-05
id, ru, 1.0, 1.621246337890625e-05
id, zh, 1.0, 1.5020370483398438e-05
id, union, 0.42542612319071343, 1.621246337890625e-05
fr, fr, 1.0, 1.5735626220703125e-05
fr, pl, 1.0, 1.5497207641601562e-05
fr, de, 1.0, 1.5020370483398438e-05
fr, ml, 1.0, 1.6689300537109375e-05
fr, nl, 1.0, 1.5497207641601562e-05
fr, pt, 1.0, 1.52587890625e-05
fr, it, 1.0, 1.6450881958007812e-05
fr, en, 0.42542612319071343, 1.5497207641601562e-05
fr, ru, 1.0, 1.6927719116210938e-05
fr, zh, 1.0, 1.6689300537109375e-05
fr, union, 0.42542612319071343, 1.8358230590820312e-05
pl, pl, 1.0, 1.71661376953125e-05
pl, de, 1.0, 1.5974044799804688e-05
pl, ml, 1.0, 1.5735626220703125e-05
pl, nl, 1.0, 1.5735626220703125e-05
pl, pt, 1.0, 1.5735626220703125e-05
pl, it, 1.0, 1.5497207641601562e-05
pl, en, 0.42542612319071343, 1.5020370483398438e-05
pl, ru, 1.0, 1.5974044799804688e-05
pl, zh, 1.0, 1.5735626220703125e-05
pl, union, 0.42542612319071343, 1.5735626220703125e-05
de, de, 1.0, 1.6450881958007812e-05
de, ml, 1.0, 1.5974044799804688e-05
de, nl, 1.0, 1.5974044799804688e-05
de, pt, 1.0, 1.621246337890625e-05
de, it, 1.0, 1.5497207641601562e-05
de, en, 0.42542612319071343, 1.621246337890625e-05
de, ru, 1.0, 1.5497207641601562e-05
de, zh, 1.0, 1.6689300537109375e-05
de, union, 0.42542612319071343, 1.5735626220703125e-05
ml, ml, 1.0, 1.5974044799804688e-05
ml, nl, 1.0, 1.5735626220703125e-05
ml, pt, 1.0, 1.5735626220703125e-05
ml, it, 1.0, 1.5735626220703125e-05
ml, en, 0.42542612319071343, 1.52587890625e-05
ml, ru, 1.0, 1.5974044799804688e-05
ml, zh, 1.0, 1.5020370483398438e-05
ml, union, 0.42542612319071343, 1.52587890625e-05
nl, nl, 1.0, 1.52587890625e-05
nl, pt, 1.0, 1.52587890625e-05
nl, it, 1.0, 1.5497207641601562e-05
nl, en, 0.42542612319071343, 1.5497207641601562e-05
nl, ru, 1.0, 3.075599670410156e-05
nl, zh, 1.0, 1.6450881958007812e-05
nl, union, 0.42542612319071343, 1.5974044799804688e-05
pt, pt, 1.0, 1.5497207641601562e-05
pt, it, 1.0, 1.5497207641601562e-05
pt, en, 0.42542612319071343, 1.52587890625e-05
pt, ru, 1.0, 1.52587890625e-05
pt, zh, 1.0, 1.5974044799804688e-05
pt, union, 0.42542612319071343, 1.5974044799804688e-05
it, it, 1.0, 1.5735626220703125e-05
it, en, 0.42542612319071343, 1.5735626220703125e-05
it, ru, 1.0, 1.5497207641601562e-05
it, zh, 1.0, 1.5497207641601562e-05
it, union, 0.42542612319071343, 1.52587890625e-05
en, en, 1.0, 1.52587890625e-05
en, ru, 0.42542612319071343, 1.5497207641601562e-05
en, zh, 0.42542612319071343, 1.52587890625e-05
en, union, 0.3891255301484031, 1.5735626220703125e-05
ru, ru, 1.0, 1.5497207641601562e-05
ru, zh, 1.0, 1.5497207641601562e-05
ru, union, 0.42542612319071343, 1.5497207641601562e-05
zh, zh, 1.0, 1.52587890625e-05
zh, union, 0.42542612319071343, 1.52587890625e-05
union, union, 1.0, 1.5735626220703125e-05
