Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00024366378784179688
id, fr, 0.0, 4.3392181396484375e-05
id, pl, 0.0, 2.9802322387695312e-05
id, de, 0.0, 2.7894973754882812e-05
id, ml, 0.0, 2.6226043701171875e-05
id, nl, 0.0, 2.6464462280273438e-05
id, pt, 0.0, 2.5987625122070312e-05
id, it, 0.0, 2.5987625122070312e-05
id, en, 0.0, 3.123283386230469e-05
id, ru, 0.0, 2.956390380859375e-05
id, zh, 0.0, 2.6464462280273438e-05
id, union, 1.0, 0.00012445449829101562
fr, fr, 2.0, 0.00011491775512695312
fr, pl, 1.0, 0.00010228157043457031
fr, de, 2.0, 0.00010514259338378906
fr, ml, 0.0, 3.647804260253906e-05
fr, nl, 2.0, 9.751319885253906e-05
fr, pt, 1.0, 9.846687316894531e-05
fr, it, 1.0, 9.560585021972656e-05
fr, en, 2.0, 0.00010561943054199219
fr, ru, 1.0, 9.608268737792969e-05
fr, zh, 1.0, 9.560585021972656e-05
fr, union, 2.0, 0.00010371208190917969
pl, pl, 1.0, 9.489059448242188e-05
pl, de, 1.0, 9.369850158691406e-05
pl, ml, 0.0, 3.600120544433594e-05
pl, nl, 1.0, 8.7738037109375e-05
pl, pt, 0.0, 3.528594970703125e-05
pl, it, 0.0, 2.7179718017578125e-05
pl, en, 1.0, 9.059906005859375e-05
pl, ru, 1.0, 9.560585021972656e-05
pl, zh, 1.0, 9.369850158691406e-05
pl, union, 1.0, 9.679794311523438e-05
de, de, 2.0, 0.0001049041748046875
de, ml, 0.0, 3.552436828613281e-05
de, nl, 2.0, 9.369850158691406e-05
de, pt, 1.0, 9.632110595703125e-05
de, it, 1.0, 9.441375732421875e-05
de, en, 2.0, 0.00010204315185546875
de, ru, 1.0, 9.512901306152344e-05
de, zh, 1.0, 9.369850158691406e-05
de, union, 2.0, 0.00010371208190917969
ml, ml, 1.0, 9.679794311523438e-05
ml, nl, 0.0, 3.600120544433594e-05
ml, pt, 0.0, 2.8133392333984375e-05
ml, it, 0.0, 2.6464462280273438e-05
ml, en, 0.0, 4.076957702636719e-05
ml, ru, 0.0, 2.765655517578125e-05
ml, zh, 0.0, 2.574920654296875e-05
ml, union, 1.0, 9.560585021972656e-05
nl, nl, 2.0, 0.00010228157043457031
nl, pt, 1.0, 9.655952453613281e-05
nl, it, 1.0, 9.489059448242188e-05
nl, en, 2.0, 0.00010561943054199219
nl, ru, 1.0, 9.655952453613281e-05
nl, zh, 1.0, 9.465217590332031e-05
nl, union, 2.0, 0.0001049041748046875
pt, pt, 1.0, 9.608268737792969e-05
pt, it, 1.0, 9.441375732421875e-05
pt, en, 1.0, 9.703636169433594e-05
pt, ru, 0.0, 3.647804260253906e-05
pt, zh, 0.0, 2.7418136596679688e-05
pt, union, 1.0, 9.083747863769531e-05
it, it, 1.0, 9.369850158691406e-05
it, en, 1.0, 9.655952453613281e-05
it, ru, 0.0, 3.552436828613281e-05
it, zh, 0.0, 2.765655517578125e-05
it, union, 1.0, 8.96453857421875e-05
en, en, 2.002002002002002, 0.00011014938354492188
en, ru, 1.0, 9.918212890625e-05
en, zh, 1.0, 9.703636169433594e-05
en, union, 2.002002002002002, 0.00010824203491210938
ru, ru, 1.0, 9.584426879882812e-05
ru, zh, 1.0, 9.5367431640625e-05
ru, union, 1.0, 9.632110595703125e-05
zh, zh, 1.0, 9.322166442871094e-05
zh, union, 1.0, 9.655952453613281e-05
union, union, 4.002002002002002, 0.01673746109008789
