Language1, Language2, SimilarityScore, Time
id, id, 0.5, 3.933906555175781e-05
id, fr, 0.0, 1.2636184692382812e-05
id, pl, 0.0, 1.0728836059570312e-05
id, de, 0.0, 1.0013580322265625e-05
id, ml, 0.0, 1.0013580322265625e-05
id, nl, 0.0, 1.0013580322265625e-05
id, pt, 0.0, 1.0013580322265625e-05
id, it, 0.0, 9.775161743164062e-06
id, en, 0.0, 1.5497207641601562e-05
id, ru, 0.0, 9.775161743164062e-06
id, zh, 0.0, 9.298324584960938e-06
id, union, 0.125, 1.1205673217773438e-05
fr, fr, 0.5, 9.059906005859375e-06
fr, pl, 0.25, 8.821487426757812e-06
fr, de, 0.5, 9.298324584960938e-06
fr, ml, 0.0, 9.059906005859375e-06
fr, nl, 0.5, 9.298324584960938e-06
fr, pt, 0.25, 9.059906005859375e-06
fr, it, 0.25, 8.58306884765625e-06
fr, en, 0.5, 1.0251998901367188e-05
fr, ru, 0.25, 9.059906005859375e-06
fr, zh, 0.25, 9.059906005859375e-06
fr, union, 0.25, 1.0013580322265625e-05
pl, pl, 0.5, 8.821487426757812e-06
pl, de, 0.25, 8.821487426757812e-06
pl, ml, 0.0, 9.059906005859375e-06
pl, nl, 0.25, 8.821487426757812e-06
pl, pt, 0.0, 9.059906005859375e-06
pl, it, 0.0, 8.821487426757812e-06
pl, en, 0.25, 9.775161743164062e-06
pl, ru, 0.5, 9.059906005859375e-06
pl, zh, 0.5, 8.821487426757812e-06
pl, union, 0.125, 1.0728836059570312e-05
de, de, 0.5, 9.5367431640625e-06
de, ml, 0.0, 9.059906005859375e-06
de, nl, 0.5, 9.059906005859375e-06
de, pt, 0.25, 8.821487426757812e-06
de, it, 0.25, 8.58306884765625e-06
de, en, 0.5, 9.5367431640625e-06
de, ru, 0.25, 9.059906005859375e-06
de, zh, 0.25, 9.059906005859375e-06
de, union, 0.25, 9.775161743164062e-06
ml, ml, 0.5, 8.821487426757812e-06
ml, nl, 0.0, 1.049041748046875e-05
ml, pt, 0.0, 8.821487426757812e-06
ml, it, 0.0, 8.821487426757812e-06
ml, en, 0.0, 1.0013580322265625e-05
ml, ru, 0.0, 9.059906005859375e-06
ml, zh, 0.0, 9.059906005859375e-06
ml, union, 0.125, 1.0013580322265625e-05
nl, nl, 0.5, 9.298324584960938e-06
nl, pt, 0.25, 9.298324584960938e-06
nl, it, 0.25, 8.821487426757812e-06
nl, en, 0.5, 9.5367431640625e-06
nl, ru, 0.25, 8.821487426757812e-06
nl, zh, 0.25, 8.821487426757812e-06
nl, union, 0.25, 1.0013580322265625e-05
pt, pt, 0.5, 8.821487426757812e-06
pt, it, 0.5, 9.059906005859375e-06
pt, en, 0.25, 9.5367431640625e-06
pt, ru, 0.0, 9.059906005859375e-06
pt, zh, 0.0, 9.059906005859375e-06
pt, union, 0.125, 9.775161743164062e-06
it, it, 0.5, 8.58306884765625e-06
it, en, 0.25, 1.0251998901367188e-05
it, ru, 0.0, 9.059906005859375e-06
it, zh, 0.0, 8.821487426757812e-06
it, union, 0.125, 9.5367431640625e-06
en, en, 1.0, 1.1682510375976562e-05
en, ru, 0.25, 9.775161743164062e-06
en, zh, 0.25, 9.5367431640625e-06
en, union, 0.75, 1.1444091796875e-05
ru, ru, 0.5, 9.298324584960938e-06
ru, zh, 0.5, 8.821487426757812e-06
ru, union, 0.125, 9.775161743164062e-06
zh, zh, 0.5, 8.821487426757812e-06
zh, union, 0.125, 9.775161743164062e-06
union, union, 1.0, 1.1444091796875e-05
