Language1, Language2, SimilarityScore, Time
id, id, 1.0, 3.600120544433594e-05
id, fr, 0.5217391304347826, 2.0503997802734375e-05
id, tr, 0.6666666666666666, 1.4066696166992188e-05
id, es, 0.7096774193548386, 1.33514404296875e-05
id, pl, 0.6666666666666666, 1.2636184692382812e-05
id, vi, 0.6666666666666666, 1.2159347534179688e-05
id, de, 0.75, 1.3113021850585938e-05
id, nl, 0.8, 1.239776611328125e-05
id, pt, 0.6666666666666666, 1.3113021850585938e-05
id, ro, 0.6666666666666666, 1.1682510375976562e-05
id, ja, 0.8, 1.1920928955078125e-05
id, it, 0.8571428571428571, 1.1444091796875e-05
id, he, 0.6666666666666666, 1.1444091796875e-05
id, da, 0.6666666666666666, 1.1682510375976562e-05
id, en, 0.5217391304347826, 1.7404556274414062e-05
id, sv, 0.6666666666666666, 1.2159347534179688e-05
id, ru, 0.7368421052631579, 1.2636184692382812e-05
id, zh, 0.8, 1.239776611328125e-05
id, hu, 0.6666666666666666, 1.2874603271484375e-05
id, ko, 0.6666666666666666, 1.33514404296875e-05
id, union, 0.5116279069767442, 2.2411346435546875e-05
fr, fr, 1.0, 1.8835067749023438e-05
fr, tr, 0.5217391304347826, 1.5974044799804688e-05
fr, es, 0.5833333333333333, 1.6927719116210938e-05
fr, pl, 0.5384615384615384, 1.5974044799804688e-05
fr, vi, 0.5217391304347826, 1.5497207641601562e-05
fr, de, 0.5714285714285714, 1.6927719116210938e-05
fr, nl, 0.56, 1.5735626220703125e-05
fr, pt, 0.5454545454545455, 1.621246337890625e-05
fr, ro, 0.5384615384615384, 1.5497207641601562e-05
fr, ja, 0.56, 1.621246337890625e-05
fr, it, 0.5416666666666666, 1.621246337890625e-05
fr, he, 0.5217391304347826, 1.621246337890625e-05
fr, da, 0.5217391304347826, 1.5974044799804688e-05
fr, en, 0.6556291390728477, 2.09808349609375e-05
fr, sv, 0.5384615384615384, 1.3828277587890625e-05
fr, ru, 0.5862068965517242, 1.3828277587890625e-05
fr, zh, 0.56, 1.3113021850585938e-05
fr, hu, 0.5217391304347826, 1.2159347534179688e-05
fr, ko, 0.5416666666666666, 1.2874603271484375e-05
fr, union, 0.7227926078028747, 2.09808349609375e-05
tr, tr, 1.0, 1.1682510375976562e-05
tr, es, 0.7096774193548386, 1.1444091796875e-05
tr, pl, 0.8, 1.0967254638671875e-05
tr, vi, 0.6666666666666666, 1.811981201171875e-05
tr, de, 0.75, 1.2159347534179688e-05
tr, nl, 0.8, 1.1682510375976562e-05
tr, pt, 0.7272727272727273, 1.2159347534179688e-05
tr, ro, 0.8, 1.1682510375976562e-05
tr, ja, 0.8, 1.1205673217773438e-05
tr, it, 0.8571428571428571, 1.1444091796875e-05
tr, he, 0.6666666666666666, 1.1205673217773438e-05
tr, da, 0.6666666666666666, 1.1205673217773438e-05
tr, en, 0.5217391304347826, 1.5497207641601562e-05
tr, sv, 0.8, 1.1444091796875e-05
tr, ru, 0.7368421052631579, 1.1682510375976562e-05
tr, zh, 0.8, 1.2159347534179688e-05
tr, hu, 1.0, 1.1444091796875e-05
tr, ko, 0.6666666666666666, 1.239776611328125e-05
tr, union, 0.5116279069767442, 1.9788742065429688e-05
es, es, 1.0, 1.430511474609375e-05
es, pl, 0.7428571428571428, 1.2636184692382812e-05
es, vi, 0.6666666666666666, 1.2874603271484375e-05
es, de, 0.8108108108108107, 1.3589859008789062e-05
es, nl, 0.787878787878788, 1.239776611328125e-05
es, pt, 0.7906976744186047, 1.3589859008789062e-05
es, ro, 0.787878787878788, 1.3113021850585938e-05
es, ja, 0.787878787878788, 1.2636184692382812e-05
es, it, 0.75, 1.1920928955078125e-05
es, he, 0.7096774193548386, 1.1205673217773438e-05
es, da, 0.7096774193548386, 1.1205673217773438e-05
es, en, 0.6000000000000001, 1.6689300537109375e-05
es, sv, 0.7428571428571428, 1.1920928955078125e-05
es, ru, 0.7619047619047619, 1.239776611328125e-05
es, zh, 0.787878787878788, 1.1444091796875e-05
es, hu, 0.7096774193548386, 1.1682510375976562e-05
es, ko, 0.7058823529411764, 1.1205673217773438e-05
es, union, 0.5961538461538461, 2.002716064453125e-05
pl, pl, 1.0, 1.1205673217773438e-05
pl, vi, 0.6666666666666666, 1.0967254638671875e-05
pl, de, 0.8, 1.1920928955078125e-05
pl, nl, 0.8571428571428571, 1.0967254638671875e-05
