Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00022482872009277344
id, fr, 1.0, 0.00011658668518066406
id, tr, 0.0, 3.9577484130859375e-05
id, es, 1.0, 9.799003601074219e-05
id, pl, 0.0, 3.719329833984375e-05
id, vi, 0.0, 2.8133392333984375e-05
id, de, 1.0, 0.0001049041748046875
id, nl, 1.0, 9.942054748535156e-05
id, pt, 0.0, 3.7670135498046875e-05
id, ro, 0.0, 2.8371810913085938e-05
id, ja, 1.0, 9.059906005859375e-05
id, it, 1.0, 9.608268737792969e-05
id, he, 0.0, 3.62396240234375e-05
id, da, 0.0, 2.7894973754882812e-05
id, en, 1.0, 9.775161743164062e-05
id, sv, 0.0, 4.4345855712890625e-05
id, ru, 1.0, 8.988380432128906e-05
id, zh, 1.0, 9.512901306152344e-05
id, hu, 0.0, 3.600120544433594e-05
id, ko, 0.0, 2.8371810913085938e-05
id, union, 1.0, 0.00010180473327636719
fr, fr, 11.003001001001001, 0.002736806869506836
fr, tr, 1.0, 0.00016021728515625
fr, es, 6.0, 0.0037689208984375
fr, pl, 2.0, 0.00017762184143066406
fr, vi, 1.0, 0.00010991096496582031
fr, de, 4.0, 0.001798868179321289
fr, nl, 3.0, 0.009783029556274414
fr, pt, 3.0, 0.0011675357818603516
fr, ro, 2.0, 0.00012421607971191406
fr, ja, 3.0, 0.0010352134704589844
fr, it, 2.0, 0.0005943775177001953
fr, he, 1.0, 0.00011181831359863281
fr, da, 1.0, 0.00010395050048828125
fr, en, 8.001, 0.0015783309936523438
fr, sv, 2.0, 0.00011777877807617188
fr, ru, 5.0, 0.0010483264923095703
fr, zh, 3.0, 0.0006015300750732422
fr, hu, 1.0, 0.0001251697540283203
fr, ko, 2.0, 0.0010020732879638672
fr, union, 11.003001001001001, 0.003995180130004883
tr, tr, 1.0, 0.00015974044799804688
tr, es, 1.0, 0.00010776519775390625
tr, pl, 1.0, 0.00010395050048828125
tr, vi, 0.0, 3.838539123535156e-05
tr, de, 1.0, 9.703636169433594e-05
tr, nl, 1.0, 0.0001010894775390625
tr, pt, 1.0, 9.870529174804688e-05
tr, ro, 1.0, 9.775161743164062e-05
tr, ja, 1.0, 9.894371032714844e-05
tr, it, 1.0, 9.72747802734375e-05
tr, he, 0.0, 3.7670135498046875e-05
tr, da, 0.0, 2.956390380859375e-05
tr, en, 1.0, 0.00010037422180175781
tr, sv, 1.0, 9.894371032714844e-05
tr, ru, 1.0, 9.822845458984375e-05
tr, zh, 1.0, 9.703636169433594e-05
tr, hu, 1.0, 0.00010514259338378906
tr, ko, 0.0, 3.552436828613281e-05
tr, union, 1.0, 0.00010061264038085938
es, es, 10.0, 0.007713794708251953
es, pl, 2.0, 0.00023031234741210938
es, vi, 0.0, 4.267692565917969e-05
es, de, 4.0, 0.009621858596801758
es, nl, 3.0, 0.0002532005310058594
es, pt, 4.0, 0.001775979995727539
es, ro, 3.0, 0.0001747608184814453
es, ja, 3.0, 0.0001239776611328125
es, it, 2.0, 0.0017447471618652344
es, he, 1.0, 0.00011873245239257812
es, da, 1.0, 0.00010013580322265625
es, en, 7.0, 0.0016238689422607422
es, sv, 2.0, 0.00011157989501953125
es, ru, 3.0, 0.00010967254638671875
es, zh, 3.0, 0.0013790130615234375
es, hu, 1.0, 0.00011324882507324219
es, ko, 1.0, 0.00011038780212402344
es, union, 10.0, 0.003790140151977539
pl, pl, 3.0, 0.0010592937469482422
pl, vi, 0.0, 6.079673767089844e-05
pl, de, 2.0, 0.001004934310913086
pl, nl, 2.0, 0.0008075237274169922
pl, pt, 3.0, 0.0006470680236816406
pl, ro, 1.0, 0.00012969970703125
pl, ja, 2.0, 0.0010457038879394531
pl, it, 1.0, 0.00010609626770019531
pl, he, 0.0, 3.790855407714844e-05
pl, da, 1.0, 9.202957153320312e-05
pl, en, 3.0, 0.0015606880187988281
pl, sv, 2.0, 0.000133514404296875
pl, ru, 1.0, 0.00011301040649414062
pl, zh, 1.0, 0.00011038780212402344
pl, hu, 1.0, 0.00010609626770019531
pl, ko, 1.0, 0.00010514259338378906
pl, union, 3.0, 0.00013375282287597656
vi, vi, 1.0, 0.00011849403381347656
vi, de, 0.0, 4.1961669921875e-05
vi, nl, 0.0, 3.3855438232421875e-05
vi, pt, 0.0, 3.218650817871094e-05
vi, ro, 0.0, 3.123283386230469e-05
vi, ja, 0.0, 2.8848648071289062e-05
vi, it, 0.0, 2.574920654296875e-05
vi, he, 0.0, 2.5033950805664062e-05
vi, da, 0.0, 2.47955322265625e-05
vi, en, 1.0, 9.775161743164062e-05
vi, sv, 0.0, 4.00543212890625e-05
vi, ru, 1.0, 0.00010180473327636719
vi, zh, 0.0, 4.9114227294921875e-05
vi, hu, 0.0, 3.1948089599609375e-05
vi, ko, 1.0, 9.965896606445312e-05
vi, union, 1.0, 0.00011610984802246094
de, de, 5.0, 0.0071773529052734375
de, nl, 3.0, 0.0036575794219970703
de, pt, 2.0, 0.0002052783966064453
de, ro, 1.0, 0.00010895729064941406
de, ja, 3.0, 0.00011396408081054688
de, it, 2.0, 0.0023016929626464844
de, he, 0.0, 4.553794860839844e-05
de, da, 1.0, 0.00010156631469726562
de, en, 4.0, 0.0012331008911132812
de, sv, 2.0, 0.0005638599395751953
de, ru, 2.0, 0.00010752677917480469
de, zh, 2.0, 0.0009109973907470703
de, hu, 1.0, 0.00010466575622558594
de, ko, 1.0, 9.799003601074219e-05
de, union, 5.0, 0.0014069080352783203
nl, nl, 3.0, 0.0004229545593261719
nl, pt, 2.0, 0.00013327598571777344
nl, ro, 1.0, 0.00011849403381347656
nl, ja, 3.0, 0.00013327598571777344
nl, it, 2.0, 0.00012230873107910156
nl, he, 0.0, 4.291534423828125e-05
nl, da, 1.0, 0.00011038780212402344
nl, en, 3.0, 0.0006322860717773438
nl, sv, 2.0, 0.00011897087097167969
nl, ru, 2.0, 0.00012254714965820312
nl, zh, 2.0, 0.0007677078247070312
nl, hu, 1.0, 0.00013494491577148438
nl, ko, 1.0, 0.00011324882507324219
nl, union, 3.0, 0.00016307830810546875
pt, pt, 7.0, 0.008782386779785156
pt, ro, 3.0, 0.007877349853515625
pt, ja, 2.0, 0.00020170211791992188
pt, it, 1.0, 0.00010991096496582031
pt, he, 1.0, 0.000102996826171875
pt, da, 1.0, 9.894371032714844e-05
pt, en, 4.0, 0.00013637542724609375
pt, sv, 2.0, 0.00011706352233886719
pt, ru, 2.0, 0.00011348724365234375
pt, zh, 2.0, 0.00011110305786132812
pt, hu, 1.0, 0.00010204315185546875
pt, ko, 1.0, 9.632110595703125e-05
pt, union, 7.0, 0.0001621246337890625
ro, ro, 3.0, 0.00012040138244628906
ro, ja, 1.0, 0.00010275840759277344
ro, it, 1.0, 9.965896606445312e-05
ro, he, 1.0, 9.965896606445312e-05
ro, da, 0.0, 3.790855407714844e-05
ro, en, 2.0, 0.00011301040649414062
ro, sv, 1.0, 0.00010418891906738281
ro, ru, 2.0, 0.00010585784912109375
ro, zh, 2.0, 0.00010466575622558594
ro, hu, 1.0, 0.00010895729064941406
ro, ko, 0.0, 3.6716461181640625e-05
ro, union, 3.0, 0.00011086463928222656
ja, ja, 3.0, 0.00011110305786132812
ja, it, 2.0, 0.00010991096496582031
ja, he, 0.0, 3.790855407714844e-05
ja, da, 1.0, 9.226799011230469e-05
ja, en, 3.0, 0.00013446807861328125
ja, sv, 2.0, 0.00011730194091796875
ja, ru, 2.0, 0.00010657310485839844
ja, zh, 2.0, 0.00016450881958007812
ja, hu, 1.0, 0.0001068115234375
ja, ko, 1.0, 9.870529174804688e-05
ja, union, 3.0, 0.00012230873107910156
it, it, 2.0, 0.0009877681732177734
it, he, 0.0, 4.315376281738281e-05
it, da, 0.0, 3.075599670410156e-05
it, en, 2.0, 0.0004725456237792969
it, sv, 1.0, 0.00011444091796875
it, ru, 2.0, 0.00038552284240722656
it, zh, 2.0, 0.0009236335754394531
it, hu, 1.0, 0.00013113021850585938
it, ko, 0.0, 6.151199340820312e-05
it, union, 2.0, 0.001528024673461914
he, he, 1.0, 0.00012421607971191406
he, da, 0.0, 4.38690185546875e-05
he, en, 1.0, 0.00010585784912109375
he, sv, 0.0, 3.886222839355469e-05
he, ru, 1.0, 0.00010442733764648438
he, zh, 1.0, 0.00010824203491210938
he, hu, 0.0, 3.886222839355469e-05
he, ko, 0.0, 3.170967102050781e-05
he, union, 1.0, 0.00011181831359863281
da, da, 1.0, 0.00010418891906738281
da, en, 1.0, 0.00011014938354492188
da, sv, 1.0, 0.00010228157043457031
da, ru, 0.0, 3.8623809814453125e-05
da, zh, 0.0, 3.1948089599609375e-05
da, hu, 0.0, 3.0279159545898438e-05
da, ko, 1.0, 9.775161743164062e-05
da, union, 1.0, 0.00011515617370605469
en, en, 11.006006006006004, 0.004636287689208984
en, sv, 2.0, 0.0002129077911376953
en, ru, 6.0, 0.003955841064453125
en, zh, 3.0, 0.01161813735961914
en, hu, 1.0, 0.00022935867309570312
en, ko, 2.0, 0.0011496543884277344
en, union, 11.006006006006004, 0.0007379055023193359
sv, sv, 3.0, 0.0005376338958740234
sv, ru, 1.0, 0.0001327991485595703
sv, zh, 1.0, 0.00011849403381347656
sv, hu, 1.0, 0.00011420249938964844
sv, ko, 1.0, 0.00011038780212402344
sv, union, 3.0, 0.00014066696166992188
ru, ru, 6.0, 0.004576206207275391
ru, zh, 3.0, 0.00018262863159179688
ru, hu, 1.0, 0.00011301040649414062
ru, ko, 1.0, 0.00010609626770019531
ru, union, 6.0, 0.00015687942504882812
zh, zh, 3.0, 0.00011277198791503906
zh, hu, 1.0, 0.00010323524475097656
zh, ko, 0.0, 3.790855407714844e-05
zh, union, 3.0, 0.00011515617370605469
hu, hu, 1.0, 0.00010132789611816406
hu, ko, 0.0, 3.719329833984375e-05
hu, union, 1.0, 0.00010395050048828125
ko, ko, 2.0, 0.0011658668518066406
ko, union, 2.0, 0.0003075599670410156
union, union, 21.008007007007006, 0.04878592491149902
