Language1, Language2, SimilarityScore, Time
id, id, 1.0, 3.2901763916015625e-05
id, fr, 0.09090909090909091, 2.0265579223632812e-05
id, tr, 0.0, 1.0251998901367188e-05
id, es, 0.1, 1.0728836059570312e-05
id, pl, 0.0, 1.0013580322265625e-05
id, vi, 0.0, 9.298324584960938e-06
id, de, 0.2, 9.775161743164062e-06
id, nl, 0.3333333333333333, 9.5367431640625e-06
id, pt, 0.0, 1.049041748046875e-05
id, ro, 0.0, 1.0728836059570312e-05
id, ja, 0.3333333333333333, 9.5367431640625e-06
id, it, 0.5, 8.821487426757812e-06
id, he, 0.0, 9.059906005859375e-06
id, da, 0.0, 8.344650268554688e-06
id, en, 0.09090909090909091, 1.5974044799804688e-05
id, sv, 0.0, 9.5367431640625e-06
id, ru, 0.16666666666666666, 1.0013580322265625e-05
id, zh, 0.3333333333333333, 9.298324584960938e-06
id, hu, 0.0, 8.821487426757812e-06
id, ko, 0.0, 8.344650268554688e-06
id, union, 0.047619047619047616, 2.002716064453125e-05
fr, fr, 1.0, 1.4781951904296875e-05
fr, tr, 0.09090909090909091, 1.0967254638671875e-05
fr, es, 0.4, 1.2636184692382812e-05
fr, pl, 0.16666666666666666, 1.1205673217773438e-05
fr, vi, 0.09090909090909091, 1.1444091796875e-05
fr, de, 0.3333333333333333, 1.2159347534179688e-05
fr, nl, 0.2727272727272727, 1.0967254638671875e-05
fr, pt, 0.2, 1.1920928955078125e-05
fr, ro, 0.16666666666666666, 1.1205673217773438e-05
fr, ja, 0.2727272727272727, 1.1444091796875e-05
fr, it, 0.18181818181818182, 1.1205673217773438e-05
fr, he, 0.09090909090909091, 1.1682510375976562e-05
fr, da, 0.09090909090909091, 1.1205673217773438e-05
fr, en, 0.5714285714285714, 1.6689300537109375e-05
fr, sv, 0.16666666666666666, 1.0728836059570312e-05
fr, ru, 0.4166666666666667, 1.239776611328125e-05
fr, zh, 0.2727272727272727, 1.0967254638671875e-05
fr, hu, 0.09090909090909091, 1.1205673217773438e-05
fr, ko, 0.18181818181818182, 1.1205673217773438e-05
fr, union, 0.5238095238095238, 2.002716064453125e-05
tr, tr, 1.0, 8.821487426757812e-06
tr, es, 0.1, 9.059906005859375e-06
tr, pl, 0.3333333333333333, 8.821487426757812e-06
tr, vi, 0.0, 9.059906005859375e-06
tr, de, 0.2, 9.775161743164062e-06
tr, nl, 0.3333333333333333, 8.344650268554688e-06
tr, pt, 0.14285714285714285, 9.059906005859375e-06
tr, ro, 0.3333333333333333, 8.344650268554688e-06
tr, ja, 0.3333333333333333, 8.58306884765625e-06
tr, it, 0.5, 8.344650268554688e-06
tr, he, 0.0, 8.58306884765625e-06
tr, da, 0.0, 1.1444091796875e-05
tr, en, 0.09090909090909091, 1.430511474609375e-05
tr, sv, 0.3333333333333333, 9.298324584960938e-06
tr, ru, 0.16666666666666666, 9.298324584960938e-06
tr, zh, 0.3333333333333333, 8.344650268554688e-06
tr, hu, 1.0, 8.821487426757812e-06
tr, ko, 0.0, 8.106231689453125e-06
tr, union, 0.047619047619047616, 1.6927719116210938e-05
es, es, 1.0, 1.0013580322265625e-05
es, pl, 0.18181818181818182, 9.298324584960938e-06
es, vi, 0.0, 9.298324584960938e-06
es, de, 0.36363636363636365, 9.5367431640625e-06
es, nl, 0.3, 9.059906005859375e-06
es, pt, 0.3076923076923077, 9.298324584960938e-06
es, ro, 0.3, 9.298324584960938e-06
es, ja, 0.3, 9.059906005859375e-06
es, it, 0.2, 9.298324584960938e-06
es, he, 0.1, 8.821487426757812e-06
es, da, 0.1, 8.821487426757812e-06
es, en, 0.5, 1.4066696166992188e-05
es, sv, 0.18181818181818182, 9.775161743164062e-06
es, ru, 0.23076923076923078, 9.298324584960938e-06
es, zh, 0.3, 9.059906005859375e-06
es, hu, 0.1, 9.5367431640625e-06
es, ko, 0.09090909090909091, 8.58306884765625e-06
es, union, 0.47619047619047616, 1.71661376953125e-05
pl, pl, 1.0, 9.059906005859375e-06
pl, vi, 0.0, 8.344650268554688e-06
pl, de, 0.3333333333333333, 9.298324584960938e-06
pl, nl, 0.5, 8.821487426757812e-06
pl, pt, 0.42857142857142855, 9.5367431640625e-06
pl, ro, 0.2, 8.58306884765625e-06
pl, ja, 0.5, 8.58306884765625e-06
pl, it, 0.25, 8.344650268554688e-06
pl, he, 0.0, 8.344650268554688e-06
pl, da, 0.3333333333333333, 8.58306884765625e-06
pl, en, 0.2727272727272727, 1.5497207641601562e-05
pl, sv, 0.5, 9.298324584960938e-06
pl, ru, 0.125, 9.298324584960938e-06
pl, zh, 0.2, 8.344650268554688e-06
pl, hu, 0.3333333333333333, 8.821487426757812e-06
pl, ko, 0.25, 8.58306884765625e-06
pl, union, 0.14285714285714285, 1.621246337890625e-05
vi, vi, 1.0, 8.58306884765625e-06
vi, de, 0.0, 8.821487426757812e-06
vi, nl, 0.0, 8.344650268554688e-06
vi, pt, 0.0, 9.059906005859375e-06
vi, ro, 0.0, 8.344650268554688e-06
vi, ja, 0.0, 8.58306884765625e-06
vi, it, 0.0, 8.821487426757812e-06
vi, he, 0.0, 8.344650268554688e-06
vi, da, 0.0, 8.821487426757812e-06
vi, en, 0.09090909090909091, 1.33514404296875e-05
vi, sv, 0.0, 8.821487426757812e-06
vi, ru, 0.16666666666666666, 8.821487426757812e-06
vi, zh, 0.0, 8.106231689453125e-06
vi, hu, 0.0, 8.106231689453125e-06
vi, ko, 0.5, 8.106231689453125e-06
vi, union, 0.047619047619047616, 1.621246337890625e-05
de, de, 1.0, 9.298324584960938e-06
de, nl, 0.6, 8.344650268554688e-06
de, pt, 0.2, 9.5367431640625e-06
de, ro, 0.14285714285714285, 9.059906005859375e-06
de, ja, 0.6, 8.58306884765625e-06
de, it, 0.4, 9.5367431640625e-06
de, he, 0.0, 8.106231689453125e-06
de, da, 0.2, 8.821487426757812e-06
de, en, 0.3333333333333333, 1.33514404296875e-05
de, sv, 0.3333333333333333, 8.821487426757812e-06
de, ru, 0.2222222222222222, 9.298324584960938e-06
de, zh, 0.3333333333333333, 9.059906005859375e-06
de, hu, 0.2, 8.344650268554688e-06
de, ko, 0.16666666666666666, 8.58306884765625e-06
de, union, 0.23809523809523808, 1.6927719116210938e-05
nl, nl, 1.0, 9.059906005859375e-06
nl, pt, 0.25, 9.059906005859375e-06
nl, ro, 0.2, 8.58306884765625e-06
nl, ja, 1.0, 9.059906005859375e-06
nl, it, 0.6666666666666666, 8.344650268554688e-06
nl, he, 0.0, 8.58306884765625e-06
nl, da, 0.3333333333333333, 8.344650268554688e-06
nl, en, 0.2727272727272727, 1.3589859008789062e-05
nl, sv, 0.5, 8.821487426757812e-06
nl, ru, 0.2857142857142857, 9.298324584960938e-06
nl, zh, 0.5, 9.775161743164062e-06
nl, hu, 0.3333333333333333, 8.58306884765625e-06
nl, ko, 0.25, 8.58306884765625e-06
nl, union, 0.14285714285714285, 1.7404556274414062e-05
pt, pt, 1.0, 1.0013580322265625e-05
pt, ro, 0.42857142857142855, 8.821487426757812e-06
pt, ja, 0.25, 8.821487426757812e-06
pt, it, 0.125, 8.344650268554688e-06
pt, he, 0.14285714285714285, 9.298324584960938e-06
pt, da, 0.14285714285714285, 8.821487426757812e-06
pt, en, 0.2857142857142857, 1.4543533325195312e-05
pt, sv, 0.25, 8.821487426757812e-06
pt, ru, 0.18181818181818182, 9.298324584960938e-06
pt, zh, 0.25, 8.821487426757812e-06
pt, hu, 0.14285714285714285, 9.298324584960938e-06
pt, ko, 0.125, 8.58306884765625e-06
pt, union, 0.3333333333333333, 1.6689300537109375e-05
ro, ro, 1.0, 9.5367431640625e-06
ro, ja, 0.2, 8.821487426757812e-06
ro, it, 0.25, 8.58306884765625e-06
ro, he, 0.3333333333333333, 8.821487426757812e-06
ro, da, 0.0, 8.106231689453125e-06
ro, en, 0.16666666666666666, 1.3589859008789062e-05
ro, sv, 0.2, 8.821487426757812e-06
ro, ru, 0.2857142857142857, 8.821487426757812e-06
ro, zh, 0.5, 8.821487426757812e-06
ro, hu, 0.3333333333333333, 8.58306884765625e-06
ro, ko, 0.0, 8.58306884765625e-06
ro, union, 0.14285714285714285, 1.5974044799804688e-05
ja, ja, 1.0, 8.58306884765625e-06
ja, it, 0.6666666666666666, 8.344650268554688e-06
ja, he, 0.0, 8.344650268554688e-06
ja, da, 0.3333333333333333, 8.58306884765625e-06
ja, en, 0.2727272727272727, 1.2874603271484375e-05
ja, sv, 0.5, 9.298324584960938e-06
ja, ru, 0.2857142857142857, 8.58306884765625e-06
ja, zh, 0.5, 8.58306884765625e-06
ja, hu, 0.3333333333333333, 8.821487426757812e-06
ja, ko, 0.25, 7.867813110351562e-06
ja, union, 0.14285714285714285, 1.52587890625e-05
it, it, 1.0, 9.298324584960938e-06
it, he, 0.0, 8.344650268554688e-06
it, da, 0.0, 8.821487426757812e-06
it, en, 0.18181818181818182, 1.2874603271484375e-05
it, sv, 0.25, 8.58306884765625e-06
it, ru, 0.3333333333333333, 8.344650268554688e-06
it, zh, 0.6666666666666666, 8.344650268554688e-06
it, hu, 0.5, 8.344650268554688e-06
it, ko, 0.0, 8.58306884765625e-06
it, union, 0.09523809523809523, 1.621246337890625e-05
he, he, 1.0, 8.821487426757812e-06
he, da, 0.0, 8.344650268554688e-06
he, en, 0.09090909090909091, 1.2874603271484375e-05
he, sv, 0.0, 9.059906005859375e-06
he, ru, 0.16666666666666666, 8.58306884765625e-06
he, zh, 0.3333333333333333, 8.58306884765625e-06
he, hu, 0.0, 7.867813110351562e-06
he, ko, 0.0, 9.5367431640625e-06
he, union, 0.047619047619047616, 1.621246337890625e-05
da, da, 1.0, 9.059906005859375e-06
da, en, 0.09090909090909091, 1.33514404296875e-05
da, sv, 0.3333333333333333, 8.58306884765625e-06
da, ru, 0.0, 8.821487426757812e-06
da, zh, 0.0, 8.344650268554688e-06
da, hu, 0.0, 8.344650268554688e-06
da, ko, 0.5, 8.58306884765625e-06
da, union, 0.047619047619047616, 1.5974044799804688e-05
en, en, 1.0, 1.8358230590820312e-05
en, sv, 0.16666666666666666, 1.2159347534179688e-05
en, ru, 0.5454545454545454, 1.33514404296875e-05
en, zh, 0.2727272727272727, 1.3828277587890625e-05
en, hu, 0.09090909090909091, 1.2636184692382812e-05
en, ko, 0.18181818181818182, 1.2636184692382812e-05
en, union, 0.5238095238095238, 2.0265579223632812e-05
sv, sv, 1.0, 9.059906005859375e-06
sv, ru, 0.125, 8.344650268554688e-06
sv, zh, 0.2, 8.821487426757812e-06
sv, hu, 0.3333333333333333, 8.58306884765625e-06
sv, ko, 0.25, 8.106231689453125e-06
sv, union, 0.14285714285714285, 1.6450881958007812e-05
