Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0002849102020263672
fr, pl, 0.0, 5.221366882324219e-05
fr, de, 1.0, 0.0001418590545654297
fr, nl, 0.0, 4.792213439941406e-05
fr, ja, 1.0, 0.0001277923583984375
fr, da, 0.0, 4.649162292480469e-05
fr, en, 0.0, 4.100799560546875e-05
fr, union, 1.0, 0.000125885009765625
pl, pl, 1.0, 0.00011277198791503906
pl, de, 0.0, 3.933906555175781e-05
pl, nl, 0.0, 3.266334533691406e-05
pl, ja, 0.0, 3.2901763916015625e-05
pl, da, 0.0, 3.170967102050781e-05
pl, en, 0.0, 3.0517578125e-05
pl, union, 1.0, 0.0001068115234375
de, de, 0.3333333333333333, 0.000152587890625
de, nl, 1.0, 0.00011754035949707031
de, ja, 1.0, 0.00011301040649414062
de, da, 1.0, 0.00010991096496582031
de, en, 1.0, 0.00010752677917480469
de, union, 0.3333333333333333, 0.0001239776611328125
nl, nl, 1.0, 0.00010967254638671875
nl, ja, 0.0, 3.9577484130859375e-05
nl, da, 1.0, 0.00010442733764648438
nl, en, 1.0, 0.00011301040649414062
nl, union, 1.0, 0.0001728534698486328
ja, ja, 1.0, 0.00010395050048828125
ja, da, 0.0, 3.7670135498046875e-05
ja, en, 0.0, 3.1948089599609375e-05
ja, union, 1.0, 0.00010013580322265625
da, da, 1.0, 0.00010085105895996094
da, en, 1.0, 9.989738464355469e-05
da, union, 1.0, 0.00010180473327636719
en, en, 1.0, 0.00010061264038085938
en, union, 1.0, 0.00010561943054199219
union, union, 0.25, 0.00012636184692382812
