Language1, Language2, SimilarityScore, Time
id, id, 2.0, 0.00028395652770996094
id, fr, 1.0, 0.0001666545867919922
id, tr, 1.0, 0.00010704994201660156
id, el, 1.0, 0.00010275840759277344
id, es, 1.0, 0.00010275840759277344
id, pl, 1.0, 9.942054748535156e-05
id, vi, 1.0, 0.00010824203491210938
id, de, 1.0, 0.00013065338134765625
id, sh, 0.0, 4.029273986816406e-05
id, nl, 1.0, 9.894371032714844e-05
id, pt, 1.0, 0.00010132789611816406
id, ja, 1.0, 0.00010013580322265625
id, simple, 1.0, 9.72747802734375e-05
id, it, 1.0, 0.00010418891906738281
id, he, 1.0, 9.703636169433594e-05
id, da, 1.0, 9.655952453613281e-05
id, en, 2.0, 0.0006830692291259766
id, sr, 1.0, 0.00010848045349121094
id, sv, 1.0, 0.00010180473327636719
id, ru, 1.0, 0.00010991096496582031
id, zh, 1.0, 9.322166442871094e-05
id, mk, 1.0, 9.560585021972656e-05
id, hu, 1.0, 9.393692016601562e-05
id, ko, 1.0, 9.083747863769531e-05
id, union, 2.0, 0.0013899803161621094
fr, fr, 10.056338028169012, 0.008848905563354492
fr, tr, 6.0, 0.0009570121765136719
fr, el, 2.0, 0.0005452632904052734
fr, es, 5.0, 0.0005362033843994141
fr, pl, 5.0, 0.0005352497100830078
fr, vi, 2.0, 0.00048828125
fr, de, 5.013027054108216, 0.0006048679351806641
fr, sh, 1.0, 0.00014209747314453125
fr, nl, 4.004004004004004, 0.0009248256683349609
fr, pt, 3.0, 0.0005221366882324219
fr, ja, 5.0, 0.0005035400390625
fr, simple, 2.0, 0.0005147457122802734
fr, it, 5.004006008012016, 0.0005400180816650391
fr, he, 3.0, 0.0005204677581787109
fr, da, 2.0, 0.0004897117614746094
fr, en, 10.040160642570282, 0.006674766540527344
fr, sr, 3.0, 0.0006840229034423828
fr, sv, 3.0, 0.0005133152008056641
fr, ru, 4.0, 0.0005686283111572266
fr, zh, 3.0, 0.0005185604095458984
fr, mk, 1.0, 0.00014781951904296875
fr, hu, 4.0, 0.0008938312530517578
fr, ko, 3.0, 0.0005140304565429688
fr, union, 10.056338028169012, 0.002544403076171875
tr, tr, 6.0, 0.001146078109741211
tr, el, 2.0, 0.000942230224609375
tr, es, 4.0, 0.0008981227874755859
tr, pl, 5.0, 0.0009107589721679688
tr, vi, 2.0, 0.0008695125579833984
tr, de, 5.0, 0.0009748935699462891
tr, sh, 1.0, 0.00011515617370605469
tr, nl, 4.0, 0.001641988754272461
tr, pt, 3.0, 0.0008623600006103516
