Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.020695209503173828
id, fr, 0.13266049233571006, 0.011504650115966797
id, tr, 1.0, 0.008388280868530273
id, el, 1.0, 0.003922700881958008
id, es, 0.4995609207196074, 0.011944293975830078
id, pl, 0.13501901077390305, 0.007938861846923828
id, de, 0.10615362098911282, 0.011272907257080078
id, sh, 1.0, 0.008614778518676758
id, nl, 0.518294030906437, 0.011924982070922852
id, pt, 0.15073966014415155, 0.011950969696044922
id, ro, 1.0, 0.007932901382446289
id, ja, 1.0, 0.007946252822875977
id, it, 0.27353516399915706, 0.01194453239440918
id, ceb, 0.6934049242589713, 0.011931657791137695
id, da, 0.13683602130432282, 0.007935047149658203
id, en, 0.12810169710792105, 0.007932424545288086
id, sr, 1.0, 0.007952213287353516
id, sv, 0.21898272152834455, 0.007951736450195312
id, ru, 1.0, 0.003957986831665039
id, zh, 1.0, 0.011924266815185547
id, mk, 1.0, 0.007941722869873047
id, hu, 1.0, 0.007961511611938477
id, ko, 1.0, 0.00793147087097168
id, union, 0.1236051354625318, 0.007967948913574219
fr, fr, 1.0, 0.00794219970703125
fr, tr, 0.13266049233571006, 0.007930278778076172
fr, el, 0.13266049233571006, 0.01196599006652832
fr, es, 0.13558062450709396, 0.007953882217407227
fr, pl, 0.27726944886971383, 0.011943817138671875
fr, de, 0.11789259633846759, 0.007928609848022461
fr, sh, 0.13266049233571006, 0.007963418960571289
fr, nl, 0.1346832872025716, 0.007942914962768555
fr, pt, 0.3777094109549452, 0.003927707672119141
fr, ro, 0.13266049233571006, 0.011983871459960938
fr, ja, 0.13266049233571006, 0.007925033569335938
fr, it, 0.13324834723283305, 0.007968425750732422
fr, ceb, 0.13310589221565453, 0.007935285568237305
fr, da, 0.43654225348594694, 0.0039370059967041016
fr, en, 0.231365628154305, 0.011970281600952148
fr, sr, 0.13266049233571006, 0.00792384147644043
fr, sv, 0.13397934383428553, 0.007966756820678711
fr, ru, 0.13266049233571006, 0.007941961288452148
fr, zh, 0.13266049233571006, 0.003943443298339844
fr, mk, 0.13266049233571006, 0.01196908950805664
fr, hu, 0.13266049233571006, 0.007931709289550781
fr, ko, 0.13266049233571006, 0.003953218460083008
fr, union, 0.12324783902993966, 0.011951684951782227
tr, tr, 1.0, 0.003935337066650391
tr, el, 1.0, 0.011969804763793945
tr, es, 0.4995609207196074, 0.007924318313598633
tr, pl, 0.13501901077390305, 0.0003266334533691406
tr, de, 0.10615362098911282, 0.00025343894958496094
tr, sh, 1.0, 0.00024056434631347656
tr, nl, 0.518294030906437, 0.00024008750915527344
tr, pt, 0.15073966014415155, 0.00024127960205078125
tr, ro, 1.0, 0.0002377033233642578
tr, ja, 1.0, 0.00023603439331054688
tr, it, 0.27353516399915706, 0.00023436546325683594
tr, ceb, 0.6934049242589713, 0.00023984909057617188
tr, da, 0.13683602130432282, 0.00023603439331054688
tr, en, 0.12810169710792105, 0.00023555755615234375
tr, sr, 1.0, 0.0002410411834716797
tr, sv, 0.21898272152834455, 0.00023674964904785156
tr, ru, 1.0, 0.008440732955932617
tr, zh, 1.0, 0.0119476318359375
tr, mk, 1.0, 0.007964611053466797
tr, hu, 1.0, 0.007901668548583984
tr, ko, 1.0, 0.0039598941802978516
tr, union, 0.1236051354625318, 0.011968851089477539
el, el, 1.0, 0.003926515579223633
el, es, 0.4995609207196074, 0.011980533599853516
el, pl, 0.13501901077390305, 0.007920980453491211
el, de, 0.10615362098911282, 0.0003256797790527344
el, sh, 1.0, 0.0002434253692626953
el, nl, 0.518294030906437, 0.0002410411834716797
el, pt, 0.15073966014415155, 0.00024247169494628906
el, ro, 1.0, 0.00023937225341796875
el, ja, 1.0, 0.0002334117889404297
el, it, 0.27353516399915706, 0.00023674964904785156
el, ceb, 0.6934049242589713, 0.00023889541625976562
el, da, 0.13683602130432282, 0.00023865699768066406
el, en, 0.12810169710792105, 0.00024700164794921875
el, sr, 1.0, 0.00023889541625976562
el, sv, 0.21898272152834455, 0.0002334117889404297
el, ru, 1.0, 0.00024080276489257812
el, zh, 1.0, 0.008445501327514648
el, mk, 1.0, 0.007927656173706055
el, hu, 1.0, 0.011965513229370117
el, ko, 1.0, 0.011938333511352539
el, union, 0.1236051354625318, 0.011949777603149414
es, es, 1.0, 0.003918647766113281
es, pl, 0.13768534099601965, 0.011958837509155273
es, de, 0.10850762754259313, 0.007921934127807617
es, sh, 0.4995609207196074, 0.003966569900512695
es, nl, 0.4693389117340962, 0.011941909790039062
es, pt, 0.15424296141712607, 0.0039272308349609375
es, ro, 0.4995609207196074, 0.011983871459960938
es, ja, 0.4995609207196074, 0.007916927337646484
es, it, 0.2730360134090288, 0.003968238830566406
es, ceb, 0.4761062489833704, 0.011947393417358398
es, da, 0.13985093856890665, 0.0039441585540771484
es, en, 0.13027156372370266, 0.011955976486206055
es, sr, 0.4995609207196074, 0.007930278778076172
es, sv, 0.21483236454748408, 0.0003275871276855469
es, ru, 0.4995609207196074, 0.0002455711364746094
es, zh, 0.4995609207196074, 0.0002491474151611328
es, mk, 0.4995609207196074, 0.0002474784851074219
es, hu, 0.4995609207196074, 0.0002410411834716797
es, ko, 0.4995609207196074, 0.00024056434631347656
es, union, 0.12380511359077576, 0.00023818016052246094
pl, pl, 1.0, 0.00023865699768066406
pl, de, 0.11847332803089922, 0.0002384185791015625
pl, sh, 0.13501901077390305, 0.00023627281188964844
pl, nl, 0.13681773785812415, 0.00023317337036132812
