Language1, Language2, SimilarityScore, Time
id, id, 0.0, 1.9311904907226562e-05
id, fr, 0.0, 3.1948089599609375e-05
id, tr, 0.0, 6.198883056640625e-06
id, el, 0.0, 5.4836273193359375e-06
id, es, 0.0, 1.0967254638671875e-05
id, pl, 0.0, 2.7418136596679688e-05
id, de, 0.0, 1.52587890625e-05
id, sh, 0.0, 5.0067901611328125e-06
id, nl, 0.0, 1.1444091796875e-05
id, pt, 0.0, 3.266334533691406e-05
id, ro, 0.0, 1.2636184692382812e-05
id, ja, 0.0, 5.9604644775390625e-06
id, it, 0.0, 1.1444091796875e-05
id, ceb, 0.0, 1.1205673217773438e-05
id, da, 0.0, 3.409385681152344e-05
id, en, 0.0, 3.075599670410156e-05
id, sr, 0.0, 1.4543533325195312e-05
id, sv, 0.0, 1.33514404296875e-05
id, ru, 0.0, 1.0728836059570312e-05
id, zh, 0.0, 1.049041748046875e-05
id, mk, 0.0, 5.245208740234375e-06
id, hu, 0.0, 5.0067901611328125e-06
id, ko, 0.0, 5.0067901611328125e-06
fr, fr, 1.0, 0.02130889892578125
fr, tr, 0.0, 2.0742416381835938e-05
fr, el, 0.0, 2.0503997802734375e-05
fr, es, 0.002658396101019052, 0.009905099868774414
fr, pl, 0.8503580851865812, 0.005348682403564453
fr, de, 0.06938954765041722, 0.002180337905883789
fr, sh, 0.0, 2.1219253540039062e-05
fr, nl, 0.007561436672967864, 0.0007612705230712891
fr, pt, 0.9388015299617509, 0.020111083984375
fr, ro, 0.0, 2.0265579223632812e-05
fr, ja, 0.0, 0.00019407272338867188
fr, it, 0.002215330084182543, 0.0016446113586425781
fr, ceb, 0.000946969696969697, 0.0007975101470947266
fr, da, 0.9575551782682513, 0.004319429397583008
fr, en, 0.9665809768637532, 0.0049076080322265625
fr, sr, 0.0, 2.0742416381835938e-05
fr, sv, 0.006202924235711121, 0.001833200454711914
fr, ru, 0.0, 0.0016105175018310547
fr, zh, 0.0, 1.8596649169921875e-05
fr, mk, 0.0, 1.6450881958007812e-05
fr, hu, 0.0, 1.6450881958007812e-05
fr, ko, 0.0, 1.6927719116210938e-05
tr, tr, 0.0, 9.059906005859375e-06
tr, el, 0.0, 1.4781951904296875e-05
tr, es, 0.0, 1.0967254638671875e-05
tr, pl, 0.0, 2.2411346435546875e-05
tr, de, 0.0, 1.1682510375976562e-05
tr, sh, 0.0, 5.0067901611328125e-06
tr, nl, 0.0, 8.344650268554688e-06
tr, pt, 0.0, 2.47955322265625e-05
tr, ro, 0.0, 5.0067901611328125e-06
tr, ja, 0.0, 4.5299530029296875e-06
tr, it, 0.0, 8.821487426757812e-06
tr, ceb, 0.0, 9.059906005859375e-06
tr, da, 0.0, 2.1696090698242188e-05
tr, en, 0.0, 2.2649765014648438e-05
tr, sr, 0.0, 1.9788742065429688e-05
tr, sv, 0.0, 1.2636184692382812e-05
tr, ru, 0.0, 8.821487426757812e-06
tr, zh, 0.0, 5.0067901611328125e-06
tr, mk, 0.0, 4.5299530029296875e-06
tr, hu, 0.0, 4.76837158203125e-06
tr, ko, 0.0, 4.5299530029296875e-06
el, el, 0.0, 9.298324584960938e-06
el, es, 0.0, 1.0013580322265625e-05
el, pl, 0.0, 2.3365020751953125e-05
el, de, 0.0, 1.430511474609375e-05
el, sh, 0.0, 8.58306884765625e-06
el, nl, 0.0, 5.245208740234375e-06
el, pt, 0.0, 1.2636184692382812e-05
el, ro, 0.0, 5.245208740234375e-06
el, ja, 0.0, 4.5299530029296875e-06
el, it, 0.0, 1.0013580322265625e-05
el, ceb, 0.0, 4.76837158203125e-06
el, da, 0.0, 1.430511474609375e-05
el, en, 0.0, 3.147125244140625e-05
el, sr, 0.0, 1.1682510375976562e-05
el, sv, 0.0, 1.2159347534179688e-05
el, ru, 0.0, 8.821487426757812e-06
el, zh, 0.0, 5.245208740234375e-06
el, mk, 0.0, 8.344650268554688e-06
el, hu, 0.0, 8.344650268554688e-06
el, ko, 0.0, 4.76837158203125e-06
es, es, 1.0, 5.0067901611328125e-05
es, pl, 0.0024469820554649264, 0.0017962455749511719
es, de, 0.03278688524590164, 0.0001780986785888672
es, sh, 0.0, 8.58306884765625e-06
es, nl, 0.18181818181818182, 2.9802322387695312e-05
es, pt, 0.0026019080659150044, 0.0016798973083496094
es, ro, 0.0, 1.5020370483398438e-05
es, ja, 0.0, 1.3113021850585938e-05
es, it, 0.0, 2.47955322265625e-05
es, ceb, 0.0, 1.8358230590820312e-05
es, da, 0.0025466893039049238, 0.001810312271118164
es, en, 0.0025929127052722557, 0.0019412040710449219
es, sr, 0.0, 9.059906005859375e-06
es, sv, 0.05263157894736842, 3.790855407714844e-05
es, ru, 0.0, 2.1696090698242188e-05
es, zh, 0.0, 1.1205673217773438e-05
es, mk, 0.0, 5.4836273193359375e-06
es, hu, 0.0, 1.049041748046875e-05
es, ko, 0.0, 9.775161743164062e-06
pl, pl, 1.0, 0.005401611328125
pl, de, 0.06774557771923222, 0.002621889114379883
pl, sh, 0.0, 1.811981201171875e-05
pl, nl, 0.0071301247771836, 0.0009512901306152344
pl, pt, 0.9035294117647059, 0.005382061004638672
pl, ro, 0.0, 2.2172927856445312e-05
pl, ja, 0.0, 0.0002579689025878906
pl, it, 0.00181422351233672, 0.002337932586669922
pl, ceb, 0.000946969696969697, 0.0008089542388916016
pl, da, 0.8534639100471527, 0.004607200622558594
pl, en, 0.8508411214953271, 0.004266500473022461
pl, sr, 0.0, 1.5735626220703125e-05
pl, sv, 0.005714285714285714, 0.001768350601196289
pl, ru, 0.0, 0.0018131732940673828
pl, zh, 0.0, 3.1948089599609375e-05
pl, mk, 0.0, 1.430511474609375e-05
pl, hu, 0.0, 2.09808349609375e-05
pl, ko, 0.0, 2.47955322265625e-05
de, de, 1.0, 0.0004246234893798828
de, sh, 0.0, 1.3113021850585938e-05
de, nl, 0.0684931506849315, 8.821487426757812e-05
de, pt, 0.07072013799051315, 0.0019342899322509766
de, ro, 0.0, 1.8835067749023438e-05
de, ja, 0.0, 3.1948089599609375e-05
de, it, 0.023696682464454975, 0.016295194625854492
de, ceb, 0.010752688172043012, 0.00011491775512695312
de, da, 0.06939799331103678, 0.002243518829345703
de, en, 0.06993603411513859, 0.002332925796508789
de, sr, 0.0, 1.5020370483398438e-05
de, sv, 0.05232558139534884, 0.0001888275146484375
de, ru, 0.0, 0.00016069412231445312
de, zh, 0.0, 2.1696090698242188e-05
de, mk, 0.0, 1.2159347534179688e-05
de, hu, 0.0, 1.6927719116210938e-05
de, ko, 0.0, 1.5020370483398438e-05
sh, sh, 0.0, 1.3589859008789062e-05
sh, nl, 0.0, 6.67572021484375e-06
sh, pt, 0.0, 1.5735626220703125e-05
sh, ro, 0.0, 7.152557373046875e-06
sh, ja, 0.0, 5.9604644775390625e-06
sh, it, 0.0, 6.4373016357421875e-06
sh, ceb, 0.0, 6.198883056640625e-06
sh, da, 0.0, 1.621246337890625e-05
sh, en, 0.0, 1.5020370483398438e-05
sh, sr, 0.0, 1.430511474609375e-05
sh, sv, 0.0, 6.198883056640625e-06
sh, ru, 0.0, 5.9604644775390625e-06
sh, zh, 0.0, 6.198883056640625e-06
sh, mk, 0.0, 1.239776611328125e-05
sh, hu, 0.0, 1.1444091796875e-05
sh, ko, 0.0, 5.9604644775390625e-06
nl, nl, 1.0, 3.981590270996094e-05
nl, pt, 0.0078125, 0.0009067058563232422
nl, ro, 0.0, 1.7642974853515625e-05
nl, ja, 0.0, 1.5974044799804688e-05
nl, it, 0.08333333333333333, 3.361701965332031e-05
nl, ceb, 0.0, 2.2649765014648438e-05
nl, da, 0.007554296506137866, 0.0008900165557861328
nl, en, 0.008442776735459663, 0.0008990764617919922
nl, sr, 0.0, 9.298324584960938e-06
nl, sv, 0.0, 3.528594970703125e-05
nl, ru, 0.0, 2.765655517578125e-05
nl, zh, 0.0, 1.3828277587890625e-05
nl, mk, 0.0, 6.9141387939453125e-06
nl, hu, 0.0, 1.3113021850585938e-05
nl, ko, 0.0, 1.2159347534179688e-05
pt, pt, 1.0, 0.004613637924194336
pt, ro, 0.0, 2.4318695068359375e-05
pt, ja, 0.0, 0.0002117156982421875
pt, it, 0.0021691973969631237, 0.001971721649169922
pt, ceb, 0.0009765625, 0.0008664131164550781
pt, da, 0.9779286926994907, 0.00450587272644043
pt, en, 0.9197171381031614, 0.004134178161621094
pt, sr, 0.0, 1.7404556274414062e-05
pt, sv, 0.006076388888888889, 0.002157926559448242
pt, ru, 0.0, 0.0015070438385009766
pt, zh, 0.0, 3.6716461181640625e-05
pt, mk, 0.0, 1.3828277587890625e-05
pt, hu, 0.0, 2.2411346435546875e-05
pt, ko, 0.0, 2.3126602172851562e-05
ro, ro, 0.0, 1.2636184692382812e-05
ro, ja, 0.0, 5.4836273193359375e-06
ro, it, 0.0, 9.5367431640625e-06
ro, ceb, 0.0, 9.775161743164062e-06
ro, da, 0.0, 2.7894973754882812e-05
ro, en, 0.0, 2.9325485229492188e-05
ro, sr, 0.0, 8.106231689453125e-06
ro, sv, 0.0, 1.3828277587890625e-05
ro, ru, 0.0, 1.2636184692382812e-05
ro, zh, 0.0, 2.765655517578125e-05
ro, mk, 0.0, 6.67572021484375e-06
ro, hu, 0.0, 6.198883056640625e-06
ro, ko, 0.0, 6.4373016357421875e-06
ja, ja, 0.0, 1.4781951904296875e-05
ja, it, 0.0, 1.6450881958007812e-05
ja, ceb, 0.0, 1.33514404296875e-05
ja, da, 0.0, 0.00024247169494628906
ja, en, 0.0, 0.00021195411682128906
ja, sr, 0.0, 9.298324584960938e-06
ja, sv, 0.0, 1.3589859008789062e-05
ja, ru, 0.0, 1.2159347534179688e-05
ja, zh, 0.0, 9.298324584960938e-06
ja, mk, 0.0, 5.4836273193359375e-06
ja, hu, 0.0, 5.0067901611328125e-06
ja, ko, 0.0, 8.821487426757812e-06
it, it, 1.0, 2.6702880859375e-05
it, ceb, 0.0, 1.6927719116210938e-05
it, da, 0.0021231422505307855, 0.001832723617553711
it, en, 0.002110595187842972, 0.0017209053039550781
it, sr, 0.0, 1.049041748046875e-05
it, sv, 0.0, 3.647804260253906e-05
it, ru, 0.0, 2.1696090698242188e-05
it, zh, 0.0, 1.1682510375976562e-05
it, mk, 0.0, 6.198883056640625e-06
it, hu, 0.0, 1.0728836059570312e-05
it, ko, 0.0, 1.049041748046875e-05
ceb, ceb, 1.0, 1.8358230590820312e-05
ceb, da, 0.000946073793755913, 0.0007340908050537109
ceb, en, 0.000942507068803016, 0.0008349418640136719
ceb, sr, 0.0, 8.821487426757812e-06
ceb, sv, 0.09090909090909091, 2.7894973754882812e-05
ceb, ru, 0.0, 1.621246337890625e-05
ceb, zh, 0.0, 9.5367431640625e-06
ceb, mk, 0.0, 5.4836273193359375e-06
ceb, hu, 0.0, 9.5367431640625e-06
ceb, ko, 0.0, 8.58306884765625e-06
da, da, 1.0, 0.021188735961914062
da, en, 0.9156528791565288, 0.005189657211303711
da, sr, 0.0, 1.6689300537109375e-05
da, sv, 0.00594732370433305, 0.0022301673889160156
da, ru, 0.0, 0.017796754837036133
da, zh, 0.0, 2.193450927734375e-05
da, mk, 0.0, 1.239776611328125e-05
da, hu, 0.0, 2.002716064453125e-05
da, ko, 0.0, 2.0742416381835938e-05
en, en, 1.0, 0.0052034854888916016
en, sr, 0.0, 1.7404556274414062e-05
en, sv, 0.006118881118881119, 0.002208232879638672
en, ru, 0.0, 0.00197601318359375
en, zh, 0.0, 2.9802322387695312e-05
en, mk, 0.0, 1.5974044799804688e-05
en, hu, 0.0, 2.3365020751953125e-05
en, ko, 0.0, 2.1696090698242188e-05
sr, sr, 0.0, 2.09808349609375e-05
sr, sv, 0.0, 6.67572021484375e-06
sr, ru, 0.0, 6.198883056640625e-06
sr, zh, 0.0, 5.9604644775390625e-06
sr, mk, 0.0, 1.3828277587890625e-05
sr, hu, 0.0, 1.2159347534179688e-05
sr, ko, 0.0, 6.4373016357421875e-06
sv, sv, 1.0, 5.650520324707031e-05
sv, ru, 0.0, 3.4809112548828125e-05
sv, zh, 0.0, 1.3828277587890625e-05
sv, mk, 0.0, 6.67572021484375e-06
sv, hu, 0.0, 1.2874603271484375e-05
sv, ko, 0.0, 1.239776611328125e-05
ru, ru, 0.0, 1.9311904907226562e-05
ru, zh, 0.0, 1.239776611328125e-05
ru, mk, 0.0, 5.9604644775390625e-06
ru, hu, 0.0, 1.239776611328125e-05
ru, ko, 0.0, 1.1444091796875e-05
zh, zh, 0.0, 1.2159347534179688e-05
zh, mk, 0.0, 6.198883056640625e-06
zh, hu, 0.0, 6.198883056640625e-06
zh, ko, 0.0, 1.1920928955078125e-05
mk, mk, 0.0, 1.1920928955078125e-05
mk, hu, 0.0, 1.239776611328125e-05
mk, ko, 0.0, 6.4373016357421875e-06
hu, hu, 0.0, 1.239776611328125e-05
hu, ko, 0.0, 6.4373016357421875e-06
ko, ko, 0.0, 1.1920928955078125e-05
