Language1, Language2, SimilarityScore, Time
id, id, 6.0, 0.00022339820861816406
id, fr, 5.0, 0.00014162063598632812
id, tr, 1.0, 0.00011420249938964844
id, el, 2.0, 0.00011444091796875
id, es, 2.0, 0.00011587142944335938
id, pl, 3.0, 0.00011968612670898438
id, vi, 3.0, 0.00011467933654785156
id, de, 6.0, 0.00013566017150878906
id, ml, 1.0, 0.00011658668518066406
id, sh, 1.0, 0.00010347366333007812
id, nl, 2.0, 0.00011038780212402344
id, si, 1.0, 0.0001049041748046875
id, pt, 4.0, 0.000125885009765625
id, ro, 1.0, 0.00013017654418945312
id, ja, 2.0, 0.0001404285430908203
id, simple, 1.0, 0.00012350082397460938
id, it, 5.0, 0.00014257431030273438
id, he, 2.0, 0.0001125335693359375
id, da, 2.0, 0.00010967254638671875
id, en, 4.0, 0.0001304149627685547
id, sr, 1.0, 0.0001049041748046875
id, sv, 2.0, 0.00010991096496582031
id, ru, 4.0, 0.00011682510375976562
id, hi, 1.0, 0.000102996826171875
id, zh, 4.0, 0.00011539459228515625
id, hu, 1.0, 0.00010251998901367188
id, ko, 0.0, 4.410743713378906e-05
id, union, 6.0, 0.00018835067749023438
fr, fr, 14.002002002002003, 0.00992584228515625
fr, tr, 4.0, 0.0002257823944091797
fr, el, 2.0, 0.00013399124145507812
fr, es, 4.0, 0.00013256072998046875
fr, pl, 4.0, 0.00012922286987304688
fr, vi, 3.0, 0.0001373291015625
fr, de, 10.0, 0.0030405521392822266
fr, ml, 2.0, 0.00016951560974121094
fr, sh, 1.0, 0.00013709068298339844
fr, nl, 6.0, 0.00018644332885742188
fr, si, 1.0, 0.00013113021850585938
fr, pt, 7.0, 0.00017189979553222656
fr, ro, 1.0, 0.00012540817260742188
fr, ja, 5.0, 0.00013756752014160156
fr, simple, 1.0, 0.0001125335693359375
fr, it, 8.0, 0.00015306472778320312
fr, he, 4.0, 0.00013208389282226562
fr, da, 2.0, 0.00011658668518066406
fr, en, 11.002002002002003, 0.0001804828643798828
fr, sr, 1.0, 0.00011539459228515625
fr, sv, 4.0, 0.00012946128845214844
fr, ru, 5.0, 0.00013518333435058594
fr, hi, 1.0, 0.00011134147644042969
fr, zh, 7.0, 0.0001404285430908203
fr, hu, 1.0, 0.00011110305786132812
fr, ko, 4.0009999999999994, 0.00013017654418945312
fr, union, 14.002002002002003, 0.004755973815917969
tr, tr, 4.0, 0.000152587890625
tr, el, 0.0, 4.172325134277344e-05
tr, es, 0.0, 3.528594970703125e-05
tr, pl, 0.0, 3.218650817871094e-05
tr, vi, 1.0, 0.00010156631469726562
tr, de, 2.0, 0.0001342296600341797
tr, ml, 1.0, 0.00012254714965820312
tr, sh, 0.0, 4.506111145019531e-05
tr, nl, 2.0, 0.00013375282287597656
tr, si, 1.0, 0.00013780593872070312
tr, pt, 3.0, 0.00016260147094726562
tr, ro, 1.0, 0.00013327598571777344
tr, ja, 2.0, 0.0001392364501953125
tr, simple, 0.0, 4.887580871582031e-05
tr, it, 2.0, 0.0001468658447265625
tr, he, 1.0, 0.0001270771026611328
tr, da, 0.0, 4.076957702636719e-05
tr, en, 3.0, 0.00014829635620117188
tr, sr, 0.0, 4.5299530029296875e-05
tr, sv, 0.0, 4.506111145019531e-05
tr, ru, 2.0, 0.000133514404296875
tr, hi, 0.0, 4.649162292480469e-05
tr, zh, 2.0, 0.00011777877807617188
tr, hu, 0.0, 4.649162292480469e-05
tr, ko, 2.0, 0.00013828277587890625
tr, union, 4.0, 0.00018024444580078125
el, el, 2.0, 0.00013065338134765625
el, es, 1.0, 0.00012993812561035156
el, pl, 1.0, 0.0001227855682373047
el, vi, 1.0, 0.0001285076141357422
el, de, 2.0, 0.0008761882781982422
el, ml, 0.0, 4.9114227294921875e-05
el, sh, 1.0, 0.00011229515075683594
el, nl, 1.0, 0.00014638900756835938
el, si, 0.0, 4.506111145019531e-05
el, pt, 1.0, 0.000110626220703125
el, ro, 0.0, 3.9577484130859375e-05
el, ja, 0.0, 3.147125244140625e-05
el, simple, 0.0, 2.8133392333984375e-05
el, it, 1.0, 0.00010418891906738281
el, he, 1.0, 0.00010180473327636719
el, da, 1.0, 9.989738464355469e-05
el, en, 2.0, 0.0014629364013671875
el, sr, 1.0, 0.0001246929168701172
el, sv, 1.0, 0.000118255615234375
el, ru, 1.0, 0.00011134147644042969
el, hi, 0.0, 3.886222839355469e-05
el, zh, 1.0, 0.00010514259338378906
el, hu, 0.0, 3.600120544433594e-05
el, ko, 0.0, 3.170967102050781e-05
el, union, 2.0, 0.0010669231414794922
es, es, 9.002002002002003, 0.0001819133758544922
es, pl, 4.0, 0.0005059242248535156
es, vi, 2.0, 0.00027179718017578125
es, de, 6.002002002002001, 0.0003314018249511719
es, ml, 1.0, 0.00012874603271484375
es, sh, 1.0, 0.00011467933654785156
es, nl, 5.0, 0.0006253719329833984
es, si, 0.0, 4.935264587402344e-05
es, pt, 4.002002002002002, 0.00041604042053222656
es, ro, 0.0, 5.078315734863281e-05
es, ja, 4.0, 0.0003857612609863281
es, simple, 1.0, 0.00012612342834472656
es, it, 6.002002002002001, 0.00017189979553222656
es, he, 3.0, 0.0006744861602783203
es, da, 2.0, 0.00030875205993652344
es, en, 5.0, 0.00036072731018066406
es, sr, 1.0, 0.00012874603271484375
es, sv, 4.0, 0.0004718303680419922
es, ru, 3.0, 0.00031638145446777344
es, hi, 1.0, 0.0001246929168701172
es, zh, 4.0, 0.0004863739013671875
es, hu, 1.0, 0.00011110305786132812
