Language1, Language2, SimilarityScore, Time
id, id, 0.5, 3.981590270996094e-05
id, fr, 0.16666666666666666, 1.9550323486328125e-05
id, tr, 0.05555555555555555, 1.2636184692382812e-05
id, el, 0.16666666666666666, 1.1205673217773438e-05
id, es, 0.07692307692307693, 1.3589859008789062e-05
id, pl, 0.1875, 1.33514404296875e-05
id, vi, 0.25, 1.1682510375976562e-05
id, de, 0.14285714285714285, 1.6927719116210938e-05
id, ml, 0.07142857142857142, 1.1205673217773438e-05
id, sh, 0.08333333333333333, 1.0728836059570312e-05
id, nl, 0.047619047619047616, 1.1444091796875e-05
id, si, 0.08333333333333333, 9.298324584960938e-06
id, pt, 0.15384615384615385, 1.1920928955078125e-05
id, ro, 0.08333333333333333, 9.775161743164062e-06
id, ja, 0.05, 1.049041748046875e-05
id, simple, 0.08333333333333333, 9.298324584960938e-06
id, it, 0.17857142857142858, 1.5735626220703125e-05
id, he, 0.125, 2.3126602172851562e-05
id, da, 0.14285714285714285, 1.1444091796875e-05
id, en, 0.05263157894736842, 2.1457672119140625e-05
id, sr, 0.08333333333333333, 1.0967254638671875e-05
id, sv, 0.1111111111111111, 1.2159347534179688e-05
id, ru, 0.18181818181818182, 1.1205673217773438e-05
id, hi, 0.08333333333333333, 1.811981201171875e-05
id, zh, 0.2, 1.1205673217773438e-05
id, hu, 0.0625, 1.0967254638671875e-05
id, ko, 0.0, 1.239776611328125e-05
id, union, 0.045454545454545456, 3.719329833984375e-05
fr, fr, 1.0, 1.4781951904296875e-05
fr, tr, 0.14285714285714285, 1.0967254638671875e-05
fr, el, 0.07142857142857142, 1.0251998901367188e-05
fr, es, 0.10526315789473684, 1.239776611328125e-05
fr, pl, 0.13333333333333333, 1.1920928955078125e-05
fr, vi, 0.10714285714285714, 1.0251998901367188e-05
fr, de, 0.2, 1.4781951904296875e-05
fr, ml, 0.07142857142857142, 1.0251998901367188e-05
fr, sh, 0.03571428571428571, 1.0013580322265625e-05
fr, nl, 0.12, 1.1920928955078125e-05
fr, si, 0.03571428571428571, 9.775161743164062e-06
fr, pt, 0.19444444444444445, 1.2874603271484375e-05
fr, ro, 0.03571428571428571, 1.049041748046875e-05
fr, ja, 0.1, 1.1444091796875e-05
fr, simple, 0.03571428571428571, 1.0251998901367188e-05
fr, it, 0.21052631578947367, 1.621246337890625e-05
fr, he, 0.14285714285714285, 1.1444091796875e-05
